[176.04],['1700576672']
[175.91],['1700576673']
[175.84],['1700576673']
[175.83],['1700576673']
[175.78],['1700576673']
[175.84],['1700576673']
[175.8],['1700576673']
[175.8],['1700576673']
[175.74],['1700576673']
[175.7],['1700576673']
[175.7],['1700576673']
[175.7],['1700576673']
[175.7],['1700576673']
[175.63],['1700576673']
[175.6],['1700576673']
[175.26],['1700576673']
[174.93],['1700576674']
[173.66],['1700576674']
[172.1],['1700576674']
[170.6],['1700576674']
[168.47],['1700576674']
[163.78],['1700576674']
[159.15],['1700576674']
[155.62],['1700576674']
[152.17],['1700576674']
[148.91],['1700576674']
[146.06],['1700576674']
[141.58],['1700576674']
[137.17],['1700576674']
[135.35],['1700576674']
[133.93],['1700576674']
[132.23],['1700576675']
[128.63],['1700576675']
[125.69],['1700576675']
[121.57],['1700576675']
[119.72],['1700576675']
[117.53],['1700576675']
[115.85],['1700576675']
[113.84],['1700576675']
[109.4],['1700576675']
[105.84],['1700576675']
[102.17],['1700576675']
[98.04],['1700576675']
[95.87],['1700576675']
[93.1],['1700576675']
[92.12],['1700576676']
[91.61],['1700576676']
[90.35],['1700576676']
[89.34],['1700576676']
[88.36],['1700576676']
[87.4],['1700576676']
[87.51],['1700576676']
[87.48],['1700576676']
[87.28],['1700576676']
[87.46],['1700576676']
[87.29],['1700576676']
[87.32],['1700576676']
[87.35],['1700576676']
[87.4],['1700576676']
[87.56],['1700576676']
[87.82],['1700576676']
[88.34],['1700576677']
[88.79],['1700576677']
[88.8],['1700576677']
[88.96],['1700576677']
[89.18],['1700576677']
[89.54],['1700576677']
[89.95],['1700576677']
[90.25],['1700576677']
[90.6],['1700576677']
[90.79],['1700576677']
[90.88],['1700576677']
[91.13],['1700576677']
[91.14],['1700576677']
[91.03],['1700576677']
[91.04],['1700576677']
[91.18],['1700576678']
[91.05],['1700576678']
[91.15],['1700576678']
[91.01],['1700576678']
[90.86],['1700576678']
[90.63],['1700576678']
[90.08],['1700576678']
[89.93],['1700576678']
[89.89],['1700576678']
[90.02],['1700576678']
[90.1],['1700576678']
[90.44],['1700576678']
[90.49],['1700576678']
[91.12],['1700576678']
[91.21],['1700576678']
[91.23],['1700576679']
[91.69],['1700576679']
[92.72],['1700576679']
[96.],['1700576679']
[100.69],['1700576679']
[107.63],['1700576679']
[115.55],['1700576679']
[122.2],['1700576679']
[128.84],['1700576679']
[133.2],['1700576679']
[137.23],['1700576679']
[141.51],['1700576679']
[145.75],['1700576679']
[148.92],['1700576679']
[153.07],['1700576680']
[156.06],['1700576680']
[158.17],['1700576680']
[161.1],['1700576680']
[163.33],['1700576680']
[164.83],['1700576680']
[167.],['1700576680']
[168.46],['1700576680']
[170.24],['1700576680']
[171.34],['1700576680']
[172.11],['1700576680']
[172.76],['1700576680']
[173.23],['1700576680']
[173.66],['1700576680']
[173.56],['1700576680']
[173.52],['1700576681']
[173.43],['1700576681']
[173.45],['1700576681']
[173.53],['1700576681']
[173.8],['1700576681']
[173.78],['1700576681']
[174.19],['1700576681']
[174.35],['1700576681']
[174.39],['1700576681']
[174.49],['1700576681']
[174.59],['1700576681']
[174.8],['1700576681']
[174.89],['1700576681']
[174.99],['1700576681']
[175.05],['1700576681']
[174.97],['1700576681']
[175.18],['1700576682']
[174.79],['1700576682']
[174.73],['1700576682']
[174.76],['1700576682']
