Sample,EIMMagnitude,EIMPhase,JointAngle,Mass,Time
1,60.2691,5.7313,0,0,1700576728
1,48.8021,5.7313,0,0,1700576728
1,51.6371,8.17359,0,0,1700576728
1,54.7473,8.0538,0,0,1700576728
1,56.274,7.86007,0,0,1700576728
1,56.1998,7.47603,0,0,1700576728
1,54.9687,7.09509,0,0,1700576728
1,53.8087,6.93351,0,0,1700576728
1,53.4484,6.91708,0,0,1700576728
1,53.604,7.03686,0,0,1700576728
1,53.7133,7.41895,0,0,1700576728
1,53.5156,7.84237,0,0,1700576728
1,52.9662,7.97751,0,0,1700576728
1,52.1592,7.85481,0,0,1700576728
1,51.4725,7.63868,0,0,1700576728
1,51.2812,7.41843,0,0,1700576728
1,51.4146,7.23518,0,0,1700576728
1,51.4629,7.0602,0,0,1700576728
1,51.4752,6.86524,0,0,1700576728
1,51.7128,6.68802,0,0,1700576728
1,52.0764,6.6162,0,0,1700576728
1,52.3154,6.7122,0,0,1700576728
1,52.3041,6.85706,0,0,1700576728
1,52.0166,6.84997,0,0,1700576728
1,51.7098,6.73201,0,0,1700576728
1,51.6839,6.69962,0,0,1700576728
1,51.8071,6.7502,0,0,1700576728
1,51.88,6.77223,0,0,1700576728
1,52.0671,6.79207,0,0,1700576728
1,52.47,6.82438,0,0,1700576728
1,52.7675,6.7877,0,0,1700576728
1,52.7073,6.71395,0,0,1700576728
1,52.4626,6.69266,0,0,1700576728
1,52.3006,6.6852,0,0,1700576728
1,52.3641,6.66617,0,0,1700576728
1,52.621,6.69986,0,0,1700576728
1,52.8289,6.75997,0,0,1700576728
1,52.8123,6.77171,0,0,1700576728
1,52.6739,6.75402,0,0,1700576728
1,52.5941,6.72941,0,0,1700576728
1,52.6506,6.69182,0,0,1700576728
1,52.7999,6.66519,0,0,1700576728
1,52.9515,6.67142,0,0,1700576728
1,53.0786,6.69494,0,0,1700576728
1,53.1641,6.68248,0,0,1700576728
1,53.1869,6.62604,0,0,1700576728
1,53.175,6.59328,0,0,1700576728
1,53.1536,6.61804,0,0,1700576728
1,53.1307,6.68547,0,0,1700576728
1,53.0937,6.75299,0,0,1700576728
1,53.0165,6.76222,0,0,1700576728
1,52.9302,6.71671,0,0,1700576728
1,52.873,6.67765,0,0,1700576728
1,52.8563,6.66545,0,0,1700576728
1,52.8878,6.63864,0,0,1700576728
1,52.9284,6.58051,0,0,1700576728
1,52.9655,6.51279,0,0,1700576728
1,53.0347,6.44879,0,0,1700576728
1,53.0976,6.41959,0,0,1700576728
1,53.1154,6.45014,0,0,1700576728
1,53.1171,6.50735,0,0,1700576728
1,53.1203,6.56158,0,0,1700576728
1,53.0931,6.60318,0,0,1700576728
1,52.984,6.61249,0,0,1700576728
1,52.8445,6.62847,0,0,1700576728
1,52.7605,6.68997,0,0,1700576728
1,52.688,6.72243,0,0,1700576728
1,52.605,6.69192,0,0,1700576728
1,52.6098,6.66435,0,0,1700576728
1,52.743,6.65053,0,0,1700576728
1,52.9063,6.63968,0,0,1700576728
1,52.9882,6.64739,0,0,1700576728
1,52.9793,6.64689,0,0,1700576728
1,52.9411,6.61637,0,0,1700576728
1,52.936,6.57542,0,0,1700576728
1,52.9728,6.53379,0,0,1700576728
1,52.9974,6.50859,0,0,1700576728
1,52.9855,6.53085,0,0,1700576728
1,52.9796,6.58079,0,0,1700576728
1,52.9697,6.62371,0,0,1700576728
1,52.8939,6.66244,0,0,1700576728
1,52.8017,6.69332,0,0,1700576728
1,52.7764,6.71662,0,0,1700576728
1,52.7713,6.74852,0,0,1700576728
