Sample,EIMMagnitude,EIMPhase,JointAngle,Mass,Time
1,90.9358,10.9195,0,0,1700576728
1,90.9358,10.9195,0,0,1700576728
1,90.9358,10.9195,0,0,1700576728
1,90.9358,10.9195,0,0,1700576728
1,72.0196,4.1294,0,0,1700576728
1,54.3619,6.95658,0,0,1700576728
1,69.4888,10.2372,0,0,1700576728
1,74.7153,10.2181,0,0,1700576728
1,87.1511,8.80422,0,0,1700576728
1,69.8058,24.5307,0,0,1700576728
1,76.7479,17.4895,0,0,1700576728
1,56.1303,7.53001,0,0,1700576728
1,58.1278,9.22851,0,0,1700576728
1,53.2519,3.2277,0,0,1700576728
1,84.4222,7.4251,0,0,1700576728
1,78.4932,5.45251,0,0,1700576728
1,66.7427,7.04356,0,0,1700576728
1,73.2229,1.53655,0,0,1700576728
1,88.047,6.83678,0,0,1700576728
1,87.9205,5.4623,0,0,1700576728
1,73.2142,20.1954,0,0,1700576728
1,79.3465,15.3479,0,0,1700576728
1,45.7613,2.45538,0,0,1700576728
1,66.6722,2.22519,0,0,1700576728
1,85.8252,14.4294,0,0,1700576728
1,76.73,14.4439,0,0,1700576728
1,70.6777,3.16248,0,0,1700576728
1,82.9149,16.1468,0,0,1700576728
1,112.407,10.9323,0,0,1700576728
1,72.6699,4.08988,0,0,1700576728
1,63.0071,3.27133,0,0,1700576728
1,57.1434,16.8719,0,0,1700576728
1,73.1041,3.95262,0,0,1700576728
1,79.1167,7.54466,0,0,1700576728
1,105.019,16.5628,0,0,1700576728
1,74.6474,13.3057,0,0,1700576728
1,67.2382,4.49692,0,0,1700576728
1,61.51,11.6472,0,0,1700576728
1,76.9701,7.22737,0,0,1700576728
1,78.936,4.56683,0,0,1700576728
1,94.2218,11.6572,0,0,1700576728
1,72.9119,7.40733,0,0,1700576728
1,92.9999,16.9051,0,0,1700576728
1,72.683,3.07255,0,0,1700576728
1,76.655,2.49564,0,0,1700576728
1,74.1157,12.3389,0,0,1700576728
1,72.644,10.1981,0,0,1700576728
1,75.0072,18.2708,0,0,1700576728
1,73.6424,14.9258,0,0,1700576728
1,63.8048,4.78015,0,0,1700576728
1,70.6211,4.56597,0,0,1700576728
1,73.7702,6.70957,0,0,1700576728
1,69.708,14.0101,0,0,1700576728
1,88.6957,1.86982,0,0,1700576728
1,71.0295,4.66873,0,0,1700576728
1,77.6032,4.56042,0,0,1700576728
1,89.7898,1.43899,0,0,1700576728
1,74.1011,8.98887,0,0,1700576728
1,75.1434,17.5955,0,0,1700576728
1,77.1266,12.7309,0,0,1700576728
1,73.3973,13.0389,0,0,1700576728
1,78.508,16.979,0,0,1700576728
1,51.2456,1.75335,0,0,1700576728
1,60.7324,12.3713,0,0,1700576728
1,83.1854,26.9532,0,0,1700576728
1,54.7217,2.26796,0,0,1700576728
1,69.5558,0.908336,0,0,1700576728
1,77.3747,15.5469,0,0,1700576728
1,105.283,2.95772,0,0,1700576728
1,86.1426,8.42823,0,0,1700576728
1,79.4181,16.6656,0,0,1700576728
1,65.5011,3.78819,0,0,1700576728
1,73.0084,5.3847,0,0,1700576728
1,74.2258,5.39802,0,0,1700576728
1,89.2893,4.16562,0,0,1700576728
1,69.6509,4.64918,0,0,1700576728
1,72.0544,19.9965,0,0,1700576728
1,76.328,15.5893,0,0,1700576728
1,81.3508,7.96248,0,0,1700576728
1,48.1524,22.6876,0,0,1700576728
1,66.5414,3.48773,0,0,1700576728
1,88.2852,17.9051,0,0,1700576728
1,63.7186,10.8557,0,0,1700576728
1,72.082,17.0572,0,0,1700576728
1,76.4013,7.83761,0,0,1700576728
1,88.8797,15.4477,0,0,1700576728
1,60.9228,9.15621,0,0,1700576728
1,60.4809,16.7042,0,0,1700576728
1,69.5108,6.08343,0,0,1700576728
1,79.9556,12.8264,0,0,1700576728
1,71.7835,14.6296,0,0,1700576728
1,73.2764,15.0853,0,0,1700576728
1,75.2235,2.54816,0,0,1700576728
1,64.2829,4.59454,0,0,1700576728
1,78.2431,5.01977,0,0,1700576728
1,60.0579,3.87564,0,0,1700576728
1,63.6265,6.46716,0,0,1700576728
1,73.7,5.21206,0,0,1700576728
1,78.6983,14.1987,0,0,1700576728
1,74.7157,0.130474,0,0,1700576728
1,72.5542,3.06901,0,0,1700576728
1,59.0907,4.81552,0,0,1700576728
1,93.9829,7.88271,0,0,1700576728
1,80.763,7.0287,0,0,1700576728
1,71.4213,11.7022,0,0,1700576728
1,70.1965,1.20168,0,0,1700576728
1,69.1401,28.0113,0,0,1700576728
1,87.5386,19.2822,0,0,1700576728
1,66.099,13.3742,0,0,1700576728
1,55.1606,4.05059,0,0,1700576728
1,73.9507,1.98649,0,0,1700576728
1,75.3142,1.20073,0,0,1700576728
1,54.9387,9.76472,0,0,1700576728
1,81.4726,4.99686,0,0,1700576728
1,67.5404,13.3784,0,0,1700576728
1,75.568,6.59229,0,0,1700576728
1,80.4651,19.6395,0,0,1700576728
1,62.5647,8.29841,0,0,1700576728
1,84.1483,21.5681,0,0,1700576728
1,80.3316,4.59199,0,0,1700576728
1,75.5791,14.5738,0,0,1700576728
1,81.314,1.9654,0,0,1700576728
1,81.6013,16.6126,0,0,1700576728
1,75.8429,14.2306,0,0,1700576728
1,63.9429,6.67302,0,0,1700576728
1,80.2966,1.2196,0,0,1700576728
1,56.1902,8.73189,0,0,1700576728
1,77.0253,5.30283,0,0,1700576728
1,72.291,8.73666,0,0,1700576728
1,71.2128,3.33329,0,0,1700576728
1,65.9052,8.41825,0,0,1700576728
1,84.6876,16.8991,0,0,1700576728
1,69.32,1.91872,0,0,1700576728
1,83.3436,0.48432,0,0,1700576728
1,67.7785,2.53589,0,0,1700576728
1,77.2217,20.5875,0,0,1700576728
1,64.2872,12.0868,0,0,1700576728
1,71.1542,11.6437,0,0,1700576729
1,90.4323,4.48979,0,0,1700576729
1,69.7965,28.8936,0,0,1700576729
1,62.8951,6.5566,0,0,1700576729
1,72.0961,10.8197,0,0,1700576729
1,70.087,3.44014,0,0,1700576729
1,89.9065,12.6662,0,0,1700576729
1,69.774,4.88846,0,0,1700576729
1,87.893,7.39474,0,0,1700576729
1,86.6348,18.6214,0,0,1700576729
1,81.6717,11.409,0,0,1700576729
1,79.303,6.32891,0,0,1700576729
1,70.3564,21.7186,0,0,1700576729
1,71.1486,13.4658,0,0,1700576729
1,59.7322,26.6195,0,0,1700576729
1,80.481,8.35791,0,0,1700576729
1,79.7365,12.809,0,0,1700576729
1,48.655,3.83792,0,0,1700576729
1,77.8207,5.97833,0,0,1700576729
1,43.3982,14.7261,0,0,1700576729
1,62.8064,13.1217,0,0,1700576729
1,69.4723,13.724,0,0,1700576729
1,58.8538,8.09909,0,0,1700576729
1,71.6035,15.4877,0,0,1700576729
1,83.9287,14.0305,0,0,1700576729
1,61.5891,1.05769,0,0,1700576729
1,58.6277,1.91344,0,0,1700576729
1,70.0191,3.53139,0,0,1700576729
1,68.5894,6.93234,0,0,1700576729
1,62.6647,5.48909,0,0,1700576729
1,95.9204,29.2047,0,0,1700576729
1,62.6195,14.1632,0,0,1700576729
1,83.5026,0.516306,0,0,1700576729
1,82.3401,11.0425,0,0,1700576729
1,85.5137,8.29046,0,0,1700576729
1,102.511,7.73977,0,0,1700576729
1,64.0346,5.26139,0,0,1700576729
1,73.7634,0.883667,0,0,1700576729
1,67.2872,0.714621,0,0,1700576729
1,60.1979,1.81947,0,0,1700576729
1,96.0518,2.94573,0,0,1700576729
1,90.1067,10.1936,0,0,1700576729
1,81.7571,3.56324,0,0,1700576729
1,81.9096,21.1374,0,0,1700576729
1,65.393,0.258051,0,0,1700576729
1,65.0478,2.95369,0,0,1700576729
1,63.2807,2.41524,0,0,1700576729
1,72.3333,7.24391,0,0,1700576729
1,68.0633,13.7159,0,0,1700576729
1,78.7883,18.9705,0,0,1700576729
1,70.2007,2.57794,0,0,1700576729
1,78.1937,3.4103,0,0,1700576729
1,72.8179,30.675,0,0,1700576729
1,81.162,14.7071,0,0,1700576729
1,74.0395,2.52655,0,0,1700576729
1,59.7009,7.41189,0,0,1700576729
1,102.236,15.5954,0,0,1700576729
1,79.5992,11.3584,0,0,1700576729
1,78.299,6.77131,0,0,1700576729
1,63.1147,15.9275,0,0,1700576729
1,59.9223,20.7883,0,0,1700576729
1,105.297,0.27951,0,0,1700576729
1,73.7666,11.4956,0,0,1700576729
1,69.331,1.77764,0,0,1700576729
1,73.5814,12.8356,0,0,1700576729
1,56.4968,20.7184,0,0,1700576729
1,79.892,7.7375,0,0,1700576729
1,80.3705,13.562,0,0,1700576729
1,57.624,8.68794,0,0,1700576729
1,79.6491,0.0827458,0,0,1700576729
1,69.1013,27.5751,0,0,1700576729
1,74.3033,13.0486,0,0,1700576729
1,64.5691,8.56065,0,0,1700576729
1,66.953,14.4519,0,0,1700576729
1,69.309,12.3718,0,0,1700576729
1,72.1296,3.16123,0,0,1700576729
1,75.7617,2.68986,0,0,1700576729
1,79.6144,8.95498,0,0,1700576729
1,78.7303,1.93621,0,0,1700576729
1,71.4449,11.6906,0,0,1700576729
1,58.2158,6.93283,0,0,1700576729
1,66.6096,10.433,0,0,1700576729
1,68.2553,13.7937,0,0,1700576729
1,80.4727,5.17438,0,0,1700576729
1,67.7152,10.0672,0,0,1700576729
1,72.6474,2.04531,0,0,1700576729
1,60.5893,1.27367,0,0,1700576729
1,62.3328,6.24496,0,0,1700576729
1,71.655,5.42569,0,0,1700576729
1,86.241,3.25005,0,0,1700576729
1,70.4124,12.3776,0,0,1700576729
1,83.4951,4.49073,0,0,1700576729
1,83.8982,1.58315,0,0,1700576729
1,59.9009,11.8714,0,0,1700576729
1,99.1154,10.9995,0,0,1700576729
1,81.7325,4.67321,0,0,1700576729
1,68.7171,5.23604,0,0,1700576729
1,72.5449,0.271883,0,0,1700576729
1,84.8335,17.2111,0,0,1700576729
1,80.612,3.87757,0,0,1700576729
1,81.1204,20.2574,0,0,1700576729
1,61.5271,11.0996,0,0,1700576729
1,66.0725,47.5598,0,0,1700576729
1,72.6299,0.611744,0,0,1700576729
1,78.5275,5.04851,0,0,1700576729
1,66.9849,12.4998,0,0,1700576729
1,68.0184,6.09892,0,0,1700576729
1,74.3108,7.71026,0,0,1700576729
1,88.7952,6.2828,0,0,1700576729
1,73.6223,4.10987,0,0,1700576729
1,69.4983,18.2955,0,0,1700576729
1,86.8456,10.1444,0,0,1700576729
1,78.3631,5.43998,0,0,1700576729
1,73.2493,3.53647,0,0,1700576729
1,86.3831,8.90112,0,0,1700576729
1,78.2363,5.16691,0,0,1700576729
1,68.5671,17.0789,0,0,1700576729
1,94.9489,22.558,0,0,1700576729
1,63.4164,8.44866,0,0,1700576729
1,68.167,26.7853,0,0,1700576729
1,91.0624,8.90169,0,0,1700576729
1,70.0706,12.7099,0,0,1700576729
1,61.8899,1.56818,0,0,1700576729
1,68.381,16.5167,0,0,1700576729
1,99.7734,8.30063,0,0,1700576729
1,84.4419,8.96912,0,0,1700576729
1,67.4087,1.96204,0,0,1700576729
1,92.4156,12.7315,0,0,1700576729
1,71.14,4.84851,0,0,1700576729
1,78.5874,16.1354,0,0,1700576729
1,84.5706,3.71035,0,0,1700576729
1,82.6618,0.418516,0,0,1700576729
1,80.1157,3.53721,0,0,1700576729
1,69.207,1.91866,0,0,1700576729
1,105.636,4.72477,0,0,1700576729
1,74.6833,11.2934,0,0,1700576729
1,79.7713,16.8505,0,0,1700576729
1,58.6206,5.73791,0,0,1700576729
1,77.5469,1.03929,0,0,1700576729
1,78.1408,1.68537,0,0,1700576729
1,58.7938,18.4665,0,0,1700576729
1,56.2565,4.76096,0,0,1700576729
1,82.9039,0.441397,0,0,1700576729
1,76.146,9.74775,0,0,1700576729
1,87.1613,18.8621,0,0,1700576729
1,80.3982,8.12498,0,0,1700576729
1,97.5938,16.0837,0,0,1700576729
1,94.8054,9.54956,0,0,1700576729
1,46.4932,16.9734,0,0,1700576729
1,69.9823,23.7287,0,0,1700576729
1,59.7225,7.71236,0,0,1700576729
1,60.621,12.2133,0,0,1700576729
1,51.8736,4.53779,0,0,1700576729
1,92.9096,5.79985,0,0,1700576729
1,76.7492,19.2662,0,0,1700576729
1,83.5672,1.78794,0,0,1700576729
1,83.4606,19.1913,0,0,1700576729
1,79.8597,15.9774,0,0,1700576729
1,68.7767,2.18411,0,0,1700576729
1,74.4769,9.34242,0,0,1700576729
1,98.2607,14.3622,0,0,1700576729
1,84.9474,11.2652,0,0,1700576729
1,74.5221,11.5757,0,0,1700576729
1,93.4725,9.84014,0,0,1700576729
1,94.443,15.526,0,0,1700576729
1,82.7745,7.49443,0,0,1700576729
1,67.7759,0.0973138,0,0,1700576729
1,85.1855,21.23,0,0,1700576729
1,87.2159,3.65833,0,0,1700576729
1,74.7999,13.1429,0,0,1700576729
1,89.6575,5.91216,0,0,1700576729
1,60.7283,1.08805,0,0,1700576729
1,69.809,6.68882,0,0,1700576729
1,76.0806,2.51628,0,0,1700576729
1,54.6978,8.22341,0,0,1700576729
1,60.1232,7.71545,0,0,1700576729
1,74.35,0.204709,0,0,1700576729
1,77.2863,16.1794,0,0,1700576729
1,76.0788,22.5216,0,0,1700576729
1,66.2915,2.4268,0,0,1700576729
1,53.0052,5.74584,0,0,1700576729
1,91.3824,1.18113,0,0,1700576729
1,67.3536,13.9322,0,0,1700576729
1,94.3839,8.53683,0,0,1700576729
1,78.625,2.44782,0,0,1700576729
1,81.7538,11.3587,0,0,1700576729
1,78.2811,9.62999,0,0,1700576729
1,77.4307,15.8787,0,0,1700576729
1,84.3495,12.0594,0,0,1700576729
1,63.1767,8.3599,0,0,1700576729
1,80.5193,5.091,0,0,1700576729
1,78.0949,7.36954,0,0,1700576729
1,79.1542,13.119,0,0,1700576729
1,80.7772,3.32933,0,0,1700576729
1,61.6522,12.0907,0,0,1700576729
1,66.9256,16.7384,0,0,1700576729
1,78.7059,14.7914,0,0,1700576729
1,85.2644,14.6254,0,0,1700576729
1,77.5705,13.8758,0,0,1700576729
1,72.5323,18.7108,0,0,1700576729
1,86.5054,5.50512,0,0,1700576729
1,85.5186,12.6637,0,0,1700576729
1,59.2021,12.2573,0,0,1700576729
1,61.938,19.084,0,0,1700576729
1,65.5763,12.3619,0,0,1700576729
1,82.8181,4.15493,0,0,1700576729
1,63.1503,4.42847,0,0,1700576729
1,68.6155,19.3546,0,0,1700576729
1,81.2582,2.41764,0,0,1700576729
1,65.359,13.7764,0,0,1700576729
1,75.4248,5.00004,0,0,1700576729
1,78.0349,7.534,0,0,1700576729
1,61.9489,3.38879,0,0,1700576729
1,70.9681,1.98053,0,0,1700576729
1,95.1864,12.056,0,0,1700576729
1,76.1681,16.7051,0,0,1700576729
1,73.0099,18.634,0,0,1700576729
1,78.4765,15.1697,0,0,1700576729
1,76.5393,6.57266,0,0,1700576729
1,61.9197,1.0291,0,0,1700576729
1,80.5792,15.1346,0,0,1700576729
1,68.1299,29.8024,0,0,1700576729
1,90.3684,7.91247,0,0,1700576729
1,53.3434,17.1999,0,0,1700576729
1,73.3547,5.26167,0,0,1700576729
1,92.3201,8.71182,0,0,1700576729
1,63.2341,7.88177,0,0,1700576729
1,89.2368,9.30513,0,0,1700576729
1,59.1593,11.7908,0,0,1700576729
1,91.8542,8.79566,0,0,1700576729
1,66.2849,9.27043,0,0,1700576729
1,64.8886,0.71514,0,0,1700576729
1,82.5717,4.16315,0,0,1700576729
1,77.7256,2.34149,0,0,1700576729
1,65.6696,4.50504,0,0,1700576729
