Sample,EIMMagnitude,EIMPhase,JointAngle,Mass,Time
1,7.00356,35.4765,0,0,1699454613
1,11.642,34.338,0,0,1699454613
1,16.6451,30.3305,0,0,1699454613
1,19.7373,26.2,0,0,1699454613
1,21.4166,23.3293,0,0,1699454613
1,22.9165,21.2765,0,0,1699454613
1,24.5962,19.613,0,0,1699454613
1,26.2133,18.2809,0,0,1699454613
1,27.1978,17.2631,0,0,1699454613
1,27.3677,16.3787,0,0,1699454613
1,27.3105,15.3704,0,0,1699454613
1,27.6323,14.4154,0,0,1699454613
1,28.3334,13.7751,0,0,1699454613
1,28.8987,13.2951,0,0,1699454613
1,29.0655,12.8797,0,0,1699454613
1,29.0723,12.5611,0,0,1699454613
1,29.1393,12.1983,0,0,1699454613
1,29.2248,11.7752,0,0,1699454613
1,29.1809,11.4118,0,0,1699454613
1,29.0953,11.0892,0,0,1699454613
1,29.0951,10.8757,0,0,1699454613
1,29.0849,10.8759,0,0,1699454613
1,29.0776,10.8961,0,0,1699454613
1,29.1202,10.7781,0,0,1699454613
1,29.0813,10.6579,0,0,1699454613
1,28.9635,10.734,0,0,1699454613
1,28.8838,11.1069,0,0,1699454613
1,28.8461,11.7601,0,0,1699454613
1,28.7868,12.5486,0,0,1699454613
1,28.6249,13.1103,0,0,1699454613
1,28.5258,13.2929,0,0,1699454613
1,28.7378,13.3759,0,0,1699454613
1,29.045,13.518,0,0,1699454613
1,29.1749,13.6507,0,0,1699454613
1,29.2126,13.6672,0,0,1699454613
1,29.284,13.5462,0,0,1699454613
1,29.3811,13.4055,0,0,1699454613
1,29.4095,13.3097,0,0,1699454613
1,29.3507,13.2418,0,0,1699454613
1,29.2895,13.1947,0,0,1699454613
1,29.2515,13.2563,0,0,1699454613
1,29.2318,13.4364,0,0,1699454613
1,29.2314,13.5316,0,0,1699454613
1,29.2038,13.4728,0,0,1699454613
1,29.1292,13.3845,0,0,1699454613
1,29.0766,13.3731,0,0,1699454613
1,29.0701,13.442,0,0,1699454613
1,29.0525,13.4988,0,0,1699454613
1,29.0154,13.5103,0,0,1699454613
1,28.9665,13.484,0,0,1699454613
1,28.8949,13.4072,0,0,1699454613
1,28.8179,13.3094,0,0,1699454613
1,28.7417,13.1941,0,0,1699454613
1,28.6581,13.0649,0,0,1699454613
1,28.5833,12.9972,0,0,1699454613
1,28.5451,13.002,0,0,1699454613
1,28.5547,12.9766,0,0,1699454613
1,28.5916,12.863,0,0,1699454613
1,28.6265,12.6922,0,0,1699454613
1,28.6484,12.5489,0,0,1699454613
1,28.6341,12.5286,0,0,1699454613
1,28.5729,12.5901,0,0,1699454613
1,28.5347,12.5885,0,0,1699454613
1,28.5409,12.5212,0,0,1699454613
1,28.5056,12.5343,0,0,1699454613
1,28.4037,12.6855,0,0,1699454613
1,28.2821,12.86,0,0,1699454613
1,28.2016,12.9656,0,0,1699454613
1,28.1915,13.0487,0,0,1699454613
1,28.1947,13.1241,0,0,1699454613
1,28.1753,13.1402,0,0,1699454613
1,28.1679,13.1129,0,0,1699454613
1,28.1978,13.0962,0,0,1699454613
1,28.2502,13.1109,0,0,1699454613
1,28.2846,13.1353,0,0,1699454613
1,28.2861,13.1196,0,0,1699454613
1,28.2677,13.0612,0,0,1699454613
1,28.2272,13.0389,0,0,1699454613
1,28.1673,13.0712,0,0,1699454613
1,28.1131,13.0585,0,0,1699454613
1,28.0957,12.9821,0,0,1699454613
1,28.1182,12.9315,0,0,1699454613
1,28.1384,12.9299,0,0,1699454613
1,28.1322,12.9284,0,0,1699454613
1,28.1141,12.9071,0,0,1699454613
1,28.1005,12.8979,0,0,1699454613
1,28.1089,12.9002,0,0,1699454613
1,28.1478,12.8672,0,0,1699454613
1,28.2128,12.7949,0,0,1699454613
1,28.2847,12.7104,0,0,1699454613
1,28.3205,12.6539,0,0,1699454613
1,28.3045,12.662,0,0,1699454613
1,28.2898,12.6807,0,0,1699454613
1,28.3177,12.6492,0,0,1699454613
1,28.3596,12.6146,0,0,1699454613
1,28.3697,12.6067,0,0,1699454613
1,28.3314,12.6161,0,0,1699454613
1,28.294,12.6697,0,0,1699454613
1,28.3215,12.736,0,0,1699454613
1,28.3806,12.769,0,0,1699454613
1,28.4055,12.9186,0,0,1699454613
1,28.4161,12.9499,0,0,1699454613
1,28.459,12.9807,0,0,1699454613
1,28.5666,13.0855,0,0,1699454613
1,28.753,13.0842,0,0,1699454613
1,28.9188,13.1257,0,0,1699454613
1,28.9676,13.1489,0,0,1699454613
1,28.9778,13.1369,0,0,1699454613
1,29.0234,13.1513,0,0,1699454613
1,29.0742,13.2108,0,0,1699454613
1,29.1107,13.2624,0,0,1699454613
1,29.1161,13.2527,0,0,1699454613
1,29.0754,13.1932,0,0,1699454613
1,29.0158,13.1329,0,0,1699454613
1,28.9642,13.0957,0,0,1699454613
1,28.9312,13.0602,0,0,1699454613
1,28.9218,13.003,0,0,1699454613
1,28.9123,12.9292,0,0,1699454613
1,28.8833,12.8552,0,0,1699454613
1,28.8598,12.8043,0,0,1699454613
1,28.8558,12.7787,0,0,1699454613
1,28.8542,12.7678,0,0,1699454613
1,28.8543,12.7679,0,0,1699454613
1,28.8547,12.7522,0,0,1699454613
1,28.841,12.7085,0,0,1699454613
1,28.8155,12.6704,0,0,1699454613
1,28.7967,12.6511,0,0,1699454613
1,28.7993,12.6256,0,0,1699454613
1,28.8128,12.5993,0,0,1699454613
1,28.8164,12.5902,0,0,1699454613
1,28.8107,12.5859,0,0,1699454613
1,28.7967,12.5798,0,0,1699454613
1,28.7714,12.5681,0,0,1699454613
1,28.7368,12.5453,0,0,1699454613
1,28.6938,12.521,0,0,1699454613
1,28.6618,12.4968,0,0,1699454613
1,28.6458,12.4657,0,0,1699454613
1,28.6264,12.43,0,0,1699454613
1,28.5991,12.4139,0,0,1699454613
1,28.5571,12.4267,0,0,1699454613
1,28.5121,12.4283,0,0,1699454613
