Sample,EIMMagnitude,EIMPhase,JointAngle,Mass,Time
1,7.00356,35.4765,0,0,1699454613
1,16.2805,33.1996,0,0,1699454613
1,26.6511,22.3154,0,0,1699454613
1,29.0141,13.8086,0,0,1699454613
1,28.1338,11.8467,0,0,1699454613
1,30.4162,11.0125,0,0,1699454613
1,34.6739,9.63153,0,0,1699454613
1,37.5332,8.9561,0,0,1699454613
1,35.0737,9.1214,0,0,1699454613
1,28.8972,8.41859,0,0,1699454613
1,26.7386,5.2878,0,0,1699454613
1,31.1719,3.90983,0,0,1699454613
1,36.7467,6.09234,0,0,1699454613
1,36.2478,7.05437,0,0,1699454613
1,31.3996,7.06421,0,0,1699454613
1,29.1753,7.78204,0,0,1699454613
1,30.2111,6.39408,0,0,1699454613
1,30.6776,4.58154,0,0,1699454613
1,28.3914,4.87099,0,0,1699454613
1,27.4687,4.96068,0,0,1699454613
1,29.0908,6.60462,0,0,1699454613
1,28.8699,10.8815,0,0,1699454613
1,28.9188,11.3404,0,0,1699454613
1,30.0984,8.06333,0,0,1699454613
1,28.149,7.77339,0,0,1699454613
1,26.0192,12.6366,0,0,1699454613
1,26.8106,20.8011,0,0,1699454613
1,27.8285,29.3969,0,0,1699454613
1,27.1248,34.6263,0,0,1699454613
1,23.9295,29.4013,0,0,1699454613
1,25.5545,18.7706,0,0,1699454613
1,35.3102,15.9484,0,0,1699454613
1,38.875,18.0648,0,0,1699454613
1,33.4619,18.0294,0,0,1699454613
1,30.495,14.2276,0,0,1699454613
1,31.7809,9.31287,0,0,1699454613
1,32.8784,8.33793,0,0,1699454613
1,30.4584,9.76556,0,0,1699454613
1,27.1193,10.6616,0,0,1699454613
1,26.9027,11.3579,0,0,1699454613
1,27.7282,15.7217,0,0,1699454613
1,28.4264,20.8213,0,0,1699454613
1,29.2117,17.5306,0,0,1699454613
1,28.0171,10.9408,0,0,1699454613
1,25.8506,9.5026,0,0,1699454613
1,26.7063,12.8612,0,0,1699454613
1,28.7734,16.6104,0,0,1699454613
1,28.2252,16.1671,0,0,1699454613
1,27.2343,14.0623,0,0,1699454613
1,26.57,12.1945,0,0,1699454613
1,25.3167,9.56793,0,0,1699454613
1,24.8862,8.32064,0,0,1699454613
1,24.7833,7.20101,0,0,1699454613
1,24.2234,6.21435,0,0,1699454613
1,24.5443,9.34292,0,0,1699454613
1,26.4443,13.2639,0,0,1699454613
1,29.0944,11.5546,0,0,1699454613
1,30.6965,6.39041,0,0,1699454613
1,30.6506,2.78563,0,0,1699454613
1,29.9374,4.09548,0,0,1699454613
1,27.7794,11.3095,0,0,1699454613
1,24.8391,16.3429,0,0,1699454613
1,26.1658,12.4888,0,0,1699454613
1,28.9324,8.2799,0,0,1699454613
1,26.2429,13.3717,0,0,1699454613
1,21.7817,22.5126,0,0,1699454613
1,20.2548,24.3779,0,0,1699454613
1,22.8136,20.041,0,0,1699454613
1,27.5007,18.7027,0,0,1699454613
1,28.4148,18.3274,0,0,1699454613
1,26.8183,14.2605,0,0,1699454613
1,27.6454,11.1772,0,0,1699454613
1,30.3461,11.8976,0,0,1699454613
1,32.0759,14.1775,0,0,1699454613
1,30.8301,14.9473,0,0,1699454613
1,28.4031,11.9368,0,0,1699454613
1,26.8663,8.62343,0,0,1699454613
1,25.1106,11.3214,0,0,1699454613
1,23.4969,15.5902,0,0,1699454613
1,23.8261,12.0578,0,0,1699454613
1,26.7055,6.87018,0,0,1699454613
1,29.9428,8.83032,0,0,1699454613
1,29.791,12.805,0,0,1699454613
1,27.6178,12.8019,0,0,1699454613
1,26.5932,11.116,0,0,1699454613
1,26.9445,12.1196,0,0,1699454613
1,28.8288,13.0981,0,0,1699454613
1,31.536,9.99515,0,0,1699454613
1,33.9358,6.42996,0,0,1699454613
1,34.6814,5.18777,0,0,1699454613
1,31.5393,7.57435,0,0,1699454613
1,26.848,13.3981,0,0,1699454613
1,26.9418,14.3999,0,0,1699454613
1,30.9095,9.72244,0,0,1699454613
1,32.2974,9.35912,0,0,1699454613
1,29.3321,11.8547,0,0,1699454613
1,24.65,13.5154,0,0,1699454613
1,24.6669,17.8735,0,0,1699454613
1,31.0213,19.2299,0,0,1699454613
1,34.2269,16.0396,0,0,1699454613
1,30.9001,27.878,0,0,1699454613
1,29.4904,16.1156,0,0,1699454613
1,32.8336,16.1156,0,0,1699454613
1,39.6459,23.8862,0,0,1699454613
1,48.1427,12.9425,0,0,1699454613
1,46.3209,17.4879,0,0,1699454613
1,34.1455,15.6048,0,0,1699454613
1,30.0665,11.8533,0,0,1699454613
1,33.9434,14.7026,0,0,1699454613
1,34.6188,19.7034,0,0,1699454613
1,33.127,18.9338,0,0,1699454613
1,29.7088,12.178,0,0,1699454613
1,24.5165,6.53461,0,0,1699454613
1,22.2888,6.30906,0,0,1699454613
1,23.0813,8.86221,0,0,1699454613
1,25.1321,8.97711,0,0,1699454613
1,27.8325,6.36001,0,0,1699454613
1,27.7955,4.29973,0,0,1699454613
1,25.467,4.12865,0,0,1699454613
1,26.0638,6.74528,0,0,1699454613
1,28.3782,9.70077,0,0,1699454613
1,28.6563,11.4576,0,0,1699454613
1,28.8645,12.7761,0,0,1699454613
1,28.9097,10.8237,0,0,1699454613
1,27.1356,7.28773,0,0,1699454613
1,25.6361,7.90231,0,0,1699454613
1,26.4214,10.2163,0,0,1699454613
1,29.1251,9.38706,0,0,1699454613
1,30.5524,9.23622,0,0,1699454613
1,29.275,11.4221,0,0,1699454613
1,28.0679,12.0304,0,0,1699454613
1,26.9694,11.7786,0,0,1699454613
1,25.432,11.0167,0,0,1699454613
1,24.1277,9.50989,0,0,1699454613
1,22.9337,9.26709,0,0,1699454613
1,24.3412,9.23976,0,0,1699454613
1,26.468,8.22694,0,0,1699454613
1,25.9698,7.53641,0,0,1699454613
1,24.8332,10.1931,0,0,1699454613
1,22.7138,14.2093,0,0,1699454613
1,22.2198,12.6552,0,0,1699454613
1,24.1776,9.26501,0,0,1699454613
1,21.4975,11.8789,0,0,1699454613
1,17.664,15.1071,0,0,1699454613
1,20.5554,13.9655,0,0,1699454613
1,26.1913,15.2661,0,0,1699454613
1,28.2178,20.0857,0,0,1699454613
1,26.4309,19.4496,0,0,1699454613
1,24.4406,12.64,0,0,1699454613
1,24.7568,7.34279,0,0,1699454613
1,26.1703,6.43109,0,0,1699454613
1,26.8817,8.72859,0,0,1699454613
1,26.3054,10.939,0,0,1699454613
1,24.8309,8.96931,0,0,1699454613
1,24.9116,6.5556,0,0,1699454613
1,27.469,8.57998,0,0,1699454613
1,29.5554,10.6734,0,0,1699454613
1,29.4856,9.49938,0,0,1699454613
1,28.6071,8.36805,0,0,1699454613
1,28.4307,9.04347,0,0,1699454613
1,28.7485,8.81454,0,0,1699454613
1,27.6071,7.71955,0,0,1699454613
1,25.9767,10.8286,0,0,1699454613
1,26.6894,15.8778,0,0,1699454613
1,28.1423,15.3057,0,0,1699454613
1,28.5459,11.4979,0,0,1699454613
1,31.2208,11.7545,0,0,1699454613
1,36.2643,14.297,0,0,1699454613
1,38.1855,17.7597,0,0,1699454613
1,36.5622,23.0668,0,0,1699454613
1,32.1772,22.7185,0,0,1699454613
1,24.6435,18.9317,0,0,1699454613
1,21.2394,19.8526,0,0,1699454613
1,27.4738,18.8786,0,0,1699454613
1,36.047,13.6482,0,0,1699454613
1,37.9085,13.3047,0,0,1699454613
1,36.3669,18.0644,0,0,1699454613
1,36.8283,17.3352,0,0,1699454613
1,35.4396,9.09218,0,0,1699454613
1,32.6465,4.45241,0,0,1699454613
1,30.7734,8.1894,0,0,1699454613
1,25.3867,16.4588,0,0,1699454613
1,22.0215,23.3841,0,0,1699454613
1,27.1829,23.6655,0,0,1699454613
1,30.8283,20.2543,0,0,1699454613
1,27.2932,15.9019,0,0,1699454613
1,23.4632,10.1708,0,0,1699454613
1,24.9635,7.69865,0,0,1699454613
1,31.3036,9.26224,0,0,1699454613
1,35.349,11.5728,0,0,1699454613
1,32.5708,11.499,0,0,1699454613
1,28.5982,7.7724,0,0,1699454613
1,27.8038,6.22226,0,0,1699454613
1,26.7558,9.49272,0,0,1699454613
1,25.0629,11.9849,0,0,1699454613
1,27.0103,12.0174,0,0,1699454613
1,30.4697,15.087,0,0,1699454613
1,30.2207,20.0771,0,0,1699454613
1,29.5557,18.9606,0,0,1699454613
1,32.0913,13.3304,0,0,1699454613
1,32.2691,8.90864,0,0,1699454613
1,32.0004,6.95643,0,0,1699454613
1,36.8816,9.5457,0,0,1699454613
1,38.9468,12.6296,0,0,1699454613
1,34.7008,10.581,0,0,1699454613
1,29.5015,7.4076,0,0,1699454613
1,25.1862,5.43623,0,0,1699454613
1,23.5405,3.93409,0,0,1699454613
1,23.9371,5.64872,0,0,1699454613
1,24.4622,9.18572,0,0,1699454613
1,25.23,15.0539,0,0,1699454613
1,26.9906,27.0071,0,0,1699454613
1,29.6697,37.7687,0,0,1699454613
1,31.8292,38.325,0,0,1699454613
1,33.7812,28.9149,0,0,1699454613
1,31.6586,16.1157,0,0,1699454613
1,24.6557,8.80034,0,0,1699454613
1,23.5952,6.83424,0,0,1699454613
1,30.4301,5.98932,0,0,1699454613
1,34.8699,8.11254,0,0,1699454613
1,35.3929,13.8037,0,0,1699454613
1,35.2557,18.4154,0,0,1699454613
1,31.6913,17.1363,0,0,1699454613
1,26.7429,12.2157,0,0,1699454613
1,25.5953,8.24161,0,0,1699454613
1,26.7319,6.03781,0,0,1699454613
1,27.7489,7.74121,0,0,1699454613
1,27.783,11.813,0,0,1699454613
1,27.784,13.7068,0,0,1699454613
1,29.0872,14.5764,0,0,1699454613
1,30.4951,13.9581,0,0,1699454613
1,31.3157,11.195,0,0,1699454613
1,30.8348,11.9025,0,0,1699454613
1,29.2889,15.6445,0,0,1699454613
1,27.8828,17.5276,0,0,1699454613
1,23.3182,21.0939,0,0,1699454613
1,16.7987,24.6026,0,0,1699454613
1,16.4294,21.5382,0,0,1699454613
1,19.4296,22.2046,0,0,1699454613
1,20.7841,29.2276,0,0,1699454613
1,23.6726,25.3881,0,0,1699454613
1,27.4763,13.9026,0,0,1699454613
1,30.1143,10.1674,0,0,1699454613
1,30.4663,11.4999,0,0,1699454613
1,28.1054,10.8591,0,0,1699454613
1,26.8795,8.52275,0,0,1699454613
1,27.2228,9.20448,0,0,1699454613
1,26.6329,12.2197,0,0,1699454613
1,26.3419,12.607,0,0,1699454613
1,26.8563,12.7991,0,0,1699454613
