Sample,EIMMagnitude,EIMPhase,JointAngle,Mass,Time
1,42.968,45.2314,0,0,1699454613
1,43.0053,13.6748,0,0,1699454613
1,42.0467,16.3567,0,0,1699454613
1,31.4759,20.7723,0,0,1699454613
1,55.3697,9.69268,0,0,1699454613
1,42.7733,17.2163,0,0,1699454613
1,67.7329,7.81744,0,0,1699454613
1,39.5239,16.8576,0,0,1699454613
1,34.2191,12.226,0,0,1699454613
1,38.5041,0.890175,0,0,1699454613
1,45.6409,3.68811,0,0,1699454613
1,66.9266,17.9495,0,0,1699454613
1,41.5911,3.68339,0,0,1699454613
1,40.7459,11.6209,0,0,1699454613
1,42.0488,15.9903,0,0,1699454613
1,41.2552,2.23937,0,0,1699454613
1,52.1531,6.28914,0,0,1699454613
1,26.4782,10.1105,0,0,1699454613
1,45.0393,4.05158,0,0,1699454613
1,44.6775,7.54983,0,0,1699454613
1,35.1676,29.5438,0,0,1699454613
1,43.0356,8.66202,0,0,1699454613
1,48.7477,7.02414,0,0,1699454613
1,31.66,14.4132,0,0,1699454613
1,35.3589,15.2323,0,0,1699454613
1,45.0934,47.048,0,0,1699454613
1,31.6874,35.1418,0,0,1699454613
1,50.0781,71.8536,0,0,1699454613
1,17.9129,25.7227,0,0,1699454613
1,36.0203,6.96333,0,0,1699454613
1,76.8806,41.6816,0,0,1699454613
1,45.1965,9.65447,0,0,1699454613
1,39.9636,44.1259,0,0,1699454613
1,46.8156,1.85899,0,0,1699454613
1,40.6962,14.3301,0,0,1699454613
1,58.1164,12.285,0,0,1699454613
1,30.4234,13.1737,0,0,1699454613
1,39.6367,19.9977,0,0,1699454613
1,39.0847,9.45726,0,0,1699454613
1,39.0164,27.2045,0,0,1699454613
1,40.8185,47.9231,0,0,1699454613
1,44.0772,2.72374,0,0,1699454613
1,38.0868,19.9475,0,0,1699454613
1,30.9654,7.66038,0,0,1699454613
1,41.9342,22.3839,0,0,1699454613
1,46.2018,35.4607,0,0,1699454613
1,31.7703,8.17153,0,0,1699454613
1,44.4375,30.1012,0,0,1699454613
1,34.2899,9.25138,0,0,1699454613
1,33.9442,12.5651,0,0,1699454613
1,38.0179,12.6834,0,0,1699454613
1,32.4581,9.58831,0,0,1699454613
1,36.0057,2.50839,0,0,1699454613
1,31.5808,21.172,0,0,1699454613
1,43.285,25.2336,0,0,1699454613
1,39.6091,9.50488,0,0,1699454613
1,50.0731,5.93574,0,0,1699454613
1,36.3575,0.797714,0,0,1699454613
1,49.0388,1.83434,0,0,1699454613
1,33.6523,32.0045,0,0,1699454613
1,31.2351,26.2121,0,0,1699454613
1,37.8882,9.92742,0,0,1699454613
1,55.6637,1.41506,0,0,1699454613
1,17.4225,32.8707,0,0,1699454613
1,40.6904,38.7565,0,0,1699454613
1,17.0157,39.8599,0,0,1699454613
1,39.4309,8.73764,0,0,1699454613
1,48.3664,42.3713,0,0,1699454613
1,32.5267,19.0024,0,0,1699454613
1,40.5052,15.9019,0,0,1699454613
1,36.7833,14.4086,0,0,1699454613
1,49.3841,16.8586,0,0,1699454613
1,45.5186,25.1883,0,0,1699454613
1,42.9539,20.5424,0,0,1699454613
1,35.288,15.8907,0,0,1699454613
