Sample,EIMMagnitude,EIMPhase,JointAngle,Mass,Time
1,32.5755,22.1671,0,0,1699454613
1,24.0125,22.2391,0,0,1699454613
1,24.0628,20.8013,0,0,1699454613
1,25.0152,19.0269,0,0,1699454613
1,25.7322,17.6055,0,0,1699454613
1,26.3474,17.2193,0,0,1699454613
1,26.8475,17.4701,0,0,1699454613
1,26.9705,17.4695,0,0,1699454613
1,26.7335,17.037,0,0,1699454613
1,26.5004,16.2083,0,0,1699454613
1,26.5286,15.21,0,0,1699454613
1,26.7764,14.6354,0,0,1699454613
1,26.9723,14.7131,0,0,1699454613
1,27.2703,15.18,0,0,1699454613
1,28.0307,15.7141,0,0,1699454613
1,28.7781,15.9507,0,0,1699454613
1,29.0077,16.0926,0,0,1699454613
1,28.999,16.7158,0,0,1699454613
1,29.27,17.3943,0,0,1699454613
1,30.0389,17.45,0,0,1699454613
1,30.7105,17.3123,0,0,1699454613
1,30.7097,17.5223,0,0,1699454613
1,30.6301,17.755,0,0,1699454613
1,31.0844,17.6437,0,0,1699454613
1,31.6688,17.7486,0,0,1699454613
1,32.4181,17.7304,0,0,1699454613
1,32.424,17.7136,0,0,1699454613
1,32.4294,17.9842,0,0,1699454613
1,32.7987,17.775,0,0,1699454613
1,32.6558,17.4622,0,0,1699454613
1,32.4135,17.0679,0,0,1699454613
1,32.0833,16.7271,0,0,1699454613
1,31.7428,16.523,0,0,1699454613
1,31.4982,16.3839,0,0,1699454613
1,31.3592,16.2405,0,0,1699454613
1,31.2543,16.0141,0,0,1699454613
1,31.1557,15.7001,0,0,1699454613
1,31.0575,15.4075,0,0,1699454613
1,30.9592,15.1864,0,0,1699454613
1,30.8802,15.0211,0,0,1699454613
1,30.8149,14.8954,0,0,1699454613
1,30.7341,14.825,0,0,1699454613
1,30.6417,14.8192,0,0,1699454613
1,30.5476,14.7762,0,0,1699454613
1,30.4306,14.615,0,0,1699454613
1,30.2858,14.392,0,0,1699454613
1,30.1554,14.2419,0,0,1699454613
1,30.0814,14.2629,0,0,1699454613
1,30.0363,14.3562,0,0,1699454613
1,29.9688,14.3525,0,0,1699454613
1,29.8965,14.267,0,0,1699454613
1,30.126,14.293,0,0,1699454613
1,30.1723,14.5109,0,0,1699454613
1,30.2168,14.7735,0,0,1699454613
1,30.6023,15.038,0,0,1699454613
1,30.539,15.3678,0,0,1699454613
1,30.3544,15.6929,0,0,1699454613
1,30.0998,15.9406,0,0,1699454613
1,29.8731,16.0891,0,0,1699454613
1,29.7179,16.0842,0,0,1699454613
1,29.57,15.9363,0,0,1699454613
1,29.3711,15.7585,0,0,1699454613
1,29.1222,15.6456,0,0,1699454613
1,28.8677,15.5914,0,0,1699454613
1,28.6215,15.5139,0,0,1699454613
1,28.4024,15.381,0,0,1699454613
1,28.2528,15.2497,0,0,1699454613
1,28.1828,15.1553,0,0,1699454613
1,28.1613,15.0794,0,0,1699454613
