Sample,EIMMagnitude,EIMPhase,JointAngle,Mass,Time
1,32.5755,22.1671,0,0,1699454613
1,15.4495,22.3112,0,0,1699454613
1,24.1633,17.9255,0,0,1699454613
1,27.8724,13.7036,0,0,1699454613
1,28.6005,11.9199,0,0,1699454613
1,29.4233,15.2884,0,0,1699454613
1,29.8479,18.9747,0,0,1699454613
1,27.8319,17.4652,0,0,1699454613
1,24.8367,13.5773,0,0,1699454613
1,24.4033,8.75028,0,0,1699454613
1,26.8102,5.22631,0,0,1699454613
1,29.5018,8.31492,0,0,1699454613
1,29.3236,15.6455,0,0,1699454613
1,31.1442,21.2505,0,0,1699454613
1,38.676,23.1905,0,0,1699454613
1,39.9901,19.5004,0,0,1699454613
1,32.6808,18.3624,0,0,1699454613
1,28.8512,27.3109,0,0,1699454613
1,34.1479,29.6069,0,0,1699454613
1,44.6489,18.509,0,0,1699454613
1,44.142,14.558,0,0,1699454613
1,30.6915,21.9309,0,0,1699454613
1,28.8798,22.8745,0,0,1699454613
1,41.5346,15.0857,0,0,1699454613
1,45.6932,20.2653,0,0,1699454613
1,51.1513,17.2755,0,0,1699454613
1,32.5755,17.2755,0,0,1699454613
1,32.5755,25.2909,0,0,1699454613
1,43.1414,11.9187,0,0,1699454613
1,28.5111,8.39179,0,0,1699454613
1,25.1435,5.23767,0,0,1699454613
1,21.8473,6.16197,0,0,1699454613
1,20.8473,9.99242,0,0,1699454613
1,23.4277,11.792,0,0,1699454613
1,26.63,11.3667,0,0,1699454613
1,27.5855,8.08936,0,0,1699454613
1,27.605,4.39709,0,0,1699454613
1,27.4228,4.57953,0,0,1699454613
1,27.225,6.78523,0,0,1699454613
1,27.7994,8.57486,0,0,1699454613
1,28.2023,9.86625,0,0,1699454613
1,27.423,11.9414,0,0,1699454613
1,26.759,14.5718,0,0,1699454613
1,26.5005,12.9303,0,0,1699454613
1,25.2843,7.52215,0,0,1699454613
1,23.7706,4.35597,0,0,1699454613
1,24.1571,7.33482,0,0,1699454613
1,26.604,15.2504,0,0,1699454613
1,27.8698,18.8381,0,0,1699454613
1,26.6636,14.1707,0,0,1699454613
1,26.2811,9.99195,0,0,1699454613
1,41.8314,15.6179,0,0,1699454613
1,32.5755,25.8416,0,0,1699454613
1,32.5755,28.6891,0,0,1699454613
1,51.4232,29.3255,0,0,1699454613
1,27.055,33.5064,0,0,1699454613
1,20.015,33.8943,0,0,1699454613
1,15.5918,30.0647,0,0,1699454613
1,16.7249,24.699,0,0,1699454613
1,20.5598,15.7941,0,0,1699454613
1,20.694,7.06202,0,0,1699454613
1,17.2414,4.91267,0,0,1699454613
1,13.6871,8.64485,0,0,1699454613
1,12.8379,12.1789,0,0,1699454613
1,12.8625,10.5558,0,0,1699454613
1,14.1576,6.74206,0,0,1699454613
1,18.3794,6.58012,0,0,1699454613
1,23.4924,8.83394,0,0,1699454613
1,26.7042,9.9163,0,0,1699454613
1,27.0208,7.70549,0,0,1699454613
1,25.7797,4.28056,0,0,1699454613
1,24.6106,6.03997,0,0,1699454613
1,25.2177,11.4793,0,0,1699454613
1,26.5825,12.1577,0,0,1699454613
1,26.6221,8.41125,0,0,1699454613
1,27.0577,5.6593,0,0,1699454613
1,27.2194,5.15078,0,0,1699454613
1,24.7041,7.68625,0,0,1699454613
1,22.3807,11.2174,0,0,1699454613
1,23.0723,11.9912,0,0,1699454613
1,24.8162,11.8421,0,0,1699454613
1,26.1921,11.2823,0,0,1699454613
1,27.4037,13.6905,0,0,1699454613
1,26.8689,21.7834,0,0,1699454613
1,24.7901,24.0074,0,0,1699454613
1,23.5737,20.0784,0,0,1699454613
1,23.3858,23.1739,0,0,1699454613
1,21.8784,27.0389,0,0,1699454613
1,21.6895,21.0502,0,0,1699454613
1,27.5405,13.8086,0,0,1699454613
1,33.0136,12.725,0,0,1699454613
1,38.7545,17.3766,0,0,1699454613
1,47.6581,27.2489,0,0,1699454613
1,45.3512,30.6208,0,0,1699454613
1,34.6416,22.1495,0,0,1699454613
1,29.5286,14.5145,0,0,1699454613
1,26.8555,13.1987,0,0,1699454613
1,23.311,13.9515,0,0,1699454613
1,20.7897,13.0403,0,0,1699454613
1,22.5996,11.3626,0,0,1699454613
1,26.3541,9.72783,0,0,1699454613
1,26.5797,6.42787,0,0,1699454613
1,26.3328,4.09844,0,0,1699454613
1,27.589,4.70822,0,0,1699454613
1,28.7239,6.46232,0,0,1699454613
1,29.4254,8.43344,0,0,1699454613
1,29.9223,10.4216,0,0,1699454613
1,31.8936,13.8177,0,0,1699454613
1,34.2805,17.987,0,0,1699454613
1,34.0527,18.2205,0,0,1699454613
1,31.7084,17.1492,0,0,1699454613
1,29.1216,20.0059,0,0,1699454613
1,28.2003,20.1939,0,0,1699454613
1,29.3838,13.3382,0,0,1699454613
1,29.65,6.32881,0,0,1699454613
1,29.0758,3.50777,0,0,1699454613
1,28.6221,7.74016,0,0,1699454613
1,28.1655,18.6084,0,0,1699454613
1,30.8047,37.7438,0,0,1699454613
1,33.6474,17.2755,0,0,1699454613
1,36.6318,17.2755,0,0,1699454613
1,43.3253,29.1458,0,0,1699454613
1,41.6095,20.2859,0,0,1699454613
1,32.3287,21.6899,0,0,1699454613
