Sample,EIMMagnitude,EIMPhase,JointAngle,Mass,Time
1,16.7719,29.3822,0,0,1699454613
1,19.1869,28.3865,0,0,1699454613
1,22.2768,27.4605,0,0,1699454613
1,24.5903,26.1222,0,0,1699454613
1,25.8343,23.7945,0,0,1699454613
1,26.5971,21.1938,0,0,1699454613
1,27.2765,19.2235,0,0,1699454613
1,27.9043,17.9496,0,0,1699454613
1,28.3238,17.098,0,0,1699454613
1,28.5016,16.4487,0,0,1699454613
1,28.5732,15.886,0,0,1699454613
1,28.7355,15.6003,0,0,1699454613
1,29.0507,16.5407,0,0,1699454613
1,29.2996,16.3511,0,0,1699454613
1,29.4433,16.1867,0,0,1699454613
1,29.8248,17.1813,0,0,1699454613
1,30.3105,17.5666,0,0,1699454613
1,30.4573,17.8867,0,0,1699454613
1,30.4466,17.913,0,0,1699454613
1,30.416,17.856,0,0,1699454613
1,30.1244,17.9235,0,0,1699454613
1,29.7194,17.9234,0,0,1699454613
1,29.4806,17.8082,0,0,1699454613
1,29.347,18.0226,0,0,1699454613
1,29.2424,17.8571,0,0,1699454613
1,29.2283,17.7044,0,0,1699454613
1,29.2757,17.5827,0,0,1699454613
1,29.4028,17.2784,0,0,1699454613
1,29.6767,17.3932,0,0,1699454613
1,29.8986,17.5496,0,0,1699454613
1,29.9535,17.4193,0,0,1699454613
1,29.9814,17.158,0,0,1699454613
1,30.0197,16.9308,0,0,1699454613
1,30.0676,16.7173,0,0,1699454613
1,30.1834,16.5025,0,0,1699454613
1,30.3662,16.3172,0,0,1699454613
1,30.5077,16.1667,0,0,1699454613
1,30.5429,16.0333,0,0,1699454613
1,30.5544,15.8762,0,0,1699454613
1,30.5938,15.6354,0,0,1699454613
1,30.6246,15.3425,0,0,1699454613
1,30.665,15.0904,0,0,1699454613
1,30.7781,14.8911,0,0,1699454613
1,30.9439,14.722,0,0,1699454613
1,31.0575,14.5908,0,0,1699454613
1,31.0708,14.5022,0,0,1699454613
1,31.0777,14.4341,0,0,1699454613
1,31.1665,14.3542,0,0,1699454613
1,31.2856,14.2619,0,0,1699454613
1,31.3571,14.1483,0,0,1699454613
1,31.3776,14.009,0,0,1699454613
1,31.3751,13.9142,0,0,1699454613
1,31.3756,13.9189,0,0,1699454613
1,31.361,14.0613,0,0,1699454613
1,31.3907,14.329,0,0,1699454613
1,31.6055,14.5224,0,0,1699454613
1,31.8464,14.5474,0,0,1699454613
1,31.8384,14.5339,0,0,1699454613
1,31.6737,14.4818,0,0,1699454613
1,31.5521,14.367,0,0,1699454613
1,31.5207,14.301,0,0,1699454613
1,31.5624,14.2652,0,0,1699454613
1,31.6244,14.1549,0,0,1699454613
1,31.6691,13.9994,0,0,1699454613
1,31.6759,13.8716,0,0,1699454613
1,31.6415,13.7623,0,0,1699454613
1,31.6053,13.6367,0,0,1699454613
1,31.5829,13.5113,0,0,1699454613
1,31.548,13.4102,0,0,1699454613
1,31.5027,13.3079,0,0,1699454613
1,31.4757,13.1885,0,0,1699454613
1,31.4805,13.0997,0,0,1699454613
1,31.5126,13.0587,0,0,1699454613
1,31.5493,13.0325,0,0,1699454613
1,31.5667,13.029,0,0,1699454613
1,31.5704,13.0277,0,0,1699454613
1,31.5732,12.9909,0,0,1699454613
1,31.5798,12.9687,0,0,1699454613
1,31.5648,13.0165,0,0,1699454613
1,31.506,13.1431,0,0,1699454613
1,31.4582,13.3181,0,0,1699454613
1,31.4602,13.4659,0,0,1699454613
1,31.4708,13.5934,0,0,1699454613
1,31.4484,13.7572,0,0,1699454613
1,31.3809,13.8663,0,0,1699454613
1,31.3058,13.8329,0,0,1699454613
1,31.2763,13.7587,0,0,1699454613
1,31.2757,13.7438,0,0,1699454613
1,31.2718,13.7442,0,0,1699454613
1,31.2701,13.6826,0,0,1699454613
1,31.2739,13.6093,0,0,1699454613
1,31.2775,13.627,0,0,1699454613
1,31.2757,13.7112,0,0,1699454613
1,31.2659,13.8031,0,0,1699454613
1,31.2402,13.8857,0,0,1699454613
1,31.1969,13.9152,0,0,1699454613
1,31.1559,13.8813,0,0,1699454613
1,31.1362,13.8466,0,0,1699454613
1,31.137,13.8366,0,0,1699454613
1,31.1353,13.8077,0,0,1699454613
1,31.1168,13.7477,0,0,1699454613
1,31.1014,13.6908,0,0,1699454613
1,31.0928,13.6499,0,0,1699454613
1,31.0766,13.6109,0,0,1699454613
1,31.0803,13.5644,0,0,1699454613
1,31.1235,13.5239,0,0,1699454613
1,31.1587,13.4931,0,0,1699454613
1,31.1565,13.445,0,0,1699454613
1,31.1491,13.3768,0,0,1699454613
1,31.151,13.3236,0,0,1699454613
1,31.1487,13.3133,0,0,1699454613
1,31.1513,13.3255,0,0,1699454613
1,31.1664,13.3073,0,0,1699454613
1,31.1835,13.2493,0,0,1699454613
1,31.202,13.1816,0,0,1699454613
1,31.2227,13.1207,0,0,1699454613
1,31.2418,13.0809,0,0,1699454613
1,31.2586,13.0782,0,0,1699454613
1,31.2808,13.1014,0,0,1699454613
1,31.3187,13.1026,0,0,1699454613
1,31.378,13.0584,0,0,1699454613
1,31.4642,13.0058,0,0,1699454613
1,31.576,12.9825,0,0,1699454613
1,31.701,12.982,0,0,1699454613
1,31.8035,13.012,0,0,1699454613
1,31.8478,13.1105,0,0,1699454613
1,31.8422,13.2389,0,0,1699454613
1,31.8234,13.3111,0,0,1699454613
1,31.8322,13.3119,0,0,1699454613
1,31.8924,13.2774,0,0,1699454613
1,31.9687,13.2491,0,0,1699454613
1,31.9963,13.2466,0,0,1699454613
1,31.9653,13.247,0,0,1699454613
1,31.928,13.2243,0,0,1699454613
1,31.9201,13.19,0,0,1699454613
1,31.9276,13.16,0,0,1699454613
1,31.9371,13.1314,0,0,1699454613
1,31.9549,13.1041,0,0,1699454613
1,31.9677,13.0782,0,0,1699454613
1,31.9647,13.0457,0,0,1699454613
1,31.9692,12.9939,0,0,1699454613
1,31.9886,12.9295,0,0,1699454613
1,32.0031,12.8747,0,0,1699454613
1,32.0098,12.8214,0,0,1699454613
1,32.0178,12.7551,0,0,1699454613
1,32.0315,12.6989,0,0,1699454613
1,32.0514,12.6683,0,0,1699454613
1,32.062,12.6392,0,0,1699454613
1,32.0589,12.5973,0,0,1699454613
1,32.0697,12.5585,0,0,1699454613
1,32.1089,12.5344,0,0,1699454613
1,32.189,12.528,0,0,1699454613
1,32.311,12.5325,0,0,1699454613
1,32.4109,12.5262,0,0,1699454613
1,32.4639,12.515,0,0,1699454613
1,32.5039,12.5142,0,0,1699454613
1,32.5189,12.5008,0,0,1699454613
1,32.5119,12.464,0,0,1699454613
1,32.5192,12.4547,0,0,1699454613
1,32.5468,12.5046,0,0,1699454613
1,32.5843,12.5695,0,0,1699454613
1,32.6085,12.6202,0,0,1699454613
1,32.6174,12.7379,0,0,1699454613
1,32.6276,12.7449,0,0,1699454613
1,32.6205,12.7519,0,0,1699454613
1,32.5929,12.8191,0,0,1699454613
1,32.57,12.7927,0,0,1699454613
1,32.5496,12.7493,0,0,1699454613
1,32.5267,12.715,0,0,1699454613
1,32.5131,12.7246,0,0,1699454613
1,32.5113,12.7526,0,0,1699454613
1,32.5174,12.747,0,0,1699454613
1,32.5304,12.7183,0,0,1699454613
1,32.5446,12.6934,0,0,1699454613
1,32.5586,12.6594,0,0,1699454613
1,32.5755,12.6082,0,0,1699454613
1,32.5856,12.5642,0,0,1699454613
1,32.5835,12.5518,0,0,1699454613
1,32.5861,12.5499,0,0,1699454613
1,32.6094,12.5219,0,0,1699454613
1,32.6444,12.4744,0,0,1699454613
1,32.6696,12.43,0,0,1699454613
1,32.679,12.3927,0,0,1699454613
1,32.6925,12.3604,0,0,1699454613
1,32.7383,12.3437,0,0,1699454613
1,32.8089,12.3536,0,0,1699454613
1,32.8616,12.3768,0,0,1699454613
1,32.8688,12.3886,0,0,1699454613
1,32.8417,12.383,0,0,1699454613
1,32.8117,12.379,0,0,1699454613
1,32.796,12.4202,0,0,1699454613
