Sample,EIMMagnitude,EIMPhase,JointAngle,Mass,Time
1,16.7719,29.3822,0,0,1699454613
1,21.6019,27.3907,0,0,1699454613
1,28.4566,25.6085,0,0,1699454613
1,31.5308,22.1076,0,0,1699454613
1,30.8104,14.4837,0,0,1699454613
1,30.4112,8.19014,0,0,1699454613
1,31.3527,7.4018,0,0,1699454613
1,32.2987,9.0319,0,0,1699454613
1,31.6804,10.2859,0,0,1699454613
1,30.1009,10.6042,0,0,1699454613
1,29.2899,10.259,0,0,1699454613
1,30.5202,12.4578,0,0,1699454613
1,32.8335,27.8256,0,0,1699454613
1,32.535,13.8861,0,0,1699454613
1,31.4549,13.8861,0,0,1699454613
1,35.5481,32.1,0,0,1699454613
1,38.0807,23.7318,0,0,1699454613
1,32.953,23.3276,0,0,1699454613
1,30.2547,18.387,0,0,1699454613
1,29.8338,16.7723,0,0,1699454613
1,24.2941,19.2738,0,0,1699454613
1,21.2133,17.9213,0,0,1699454613
1,24.2269,15.2736,0,0,1699454613
1,26.2736,22.9538,0,0,1699454613
1,26.7332,13.8861,0,0,1699454613
1,28.8744,13.8861,0,0,1699454613
1,30.5088,14.4184,0,0,1699454613
1,32.8345,9.0637,0,0,1699454613
1,37.3456,20.6057,0,0,1699454613
1,36.3342,22.0872,0,0,1699454613
1,31.6013,13.5076,0,0,1699454613
1,30.845,9.06003,0,0,1699454613
1,31.2457,9.65831,0,0,1699454613
1,31.6477,9.67212,0,0,1699454613
1,34.1203,9.20052,0,0,1699454613
1,36.7644,9.83005,0,0,1699454613
1,35.6012,10.7506,0,0,1699454613
1,31.8471,11.0966,0,0,1699454613
1,30.991,9.90774,0,0,1699454613
1,32.1304,6.24322,0,0,1699454613
1,31.8569,3.6279,0,0,1699454613
1,32.3205,4.75265,0,0,1699454613
1,35.531,6.51878,0,0,1699454613
1,38.0711,7.45204,0,0,1699454613
1,36.0564,8.81938,0,0,1699454613
1,31.6681,10.5153,0,0,1699454613
1,31.3974,11.3012,0,0,1699454613
1,35.3386,10.6,0,0,1699454613
1,37.0024,9.82839,0,0,1699454613
1,34.8614,8.58384,0,0,1699454613
1,32.3994,7.04265,0,0,1699454613
1,31.2508,9.07989,0,0,1699454613
1,31.4,14.1621,0,0,1699454613
1,30.5858,21.6116,0,0,1699454613
1,32.9958,28.7834,0,0,1699454613
1,43.4227,25.1573,0,0,1699454613
1,45.3352,15.9496,0,0,1699454613
1,31.3818,13.7634,0,0,1699454613
1,22.1215,11.4617,0,0,1699454613
1,24.3776,7.59248,0,0,1699454613
1,29.635,10.3409,0,0,1699454613
1,34.1053,12.0849,0,0,1699454613
1,35.4715,7.31159,0,0,1699454613
1,34.4839,4.20213,0,0,1699454613
1,32.109,5.69272,0,0,1699454613
1,29.4047,6.65698,0,0,1699454613
1,29.2198,5.34926,0,0,1699454613
1,30.0786,5.11123,0,0,1699454613
1,29.1787,6.5373,0,0,1699454613
