Sample,EIMMagnitude,EIMPhase,JointAngle,Mass,Time
1,45.027,35.4161,0,0,1699454613
1,45.027,35.4161,0,0,1699454613
1,45.027,35.4161,0,0,1699454613
1,42.8258,3.67135,0,0,1699454613
1,41.239,11.6083,0,0,1699454613
1,47.8762,11.1439,0,0,1699454613
1,45.7897,12.2337,0,0,1699454613
1,44.6011,20.6335,0,0,1699454613
1,40.6585,7.30176,0,0,1699454613
1,40.158,24.193,0,0,1699454613
1,45.3116,1.5292,0,0,1699454613
1,49.3482,56.2589,0,0,1699454613
1,48.7336,116.795,0,0,1699454613
1,30.2389,49.877,0,0,1699454613
1,70.0899,18.022,0,0,1699454613
1,53.8209,42.2397,0,0,1699454613
1,31.5264,38.2472,0,0,1699454613
1,47.3872,6.40708,0,0,1699454613
1,52.413,31.9941,0,0,1699454613
1,8.89038,36.2917,0,0,1699454613
1,43.9558,8.55128,0,0,1699454613
1,29.3451,36.4974,0,0,1699454613
1,46.5919,2.0898,0,0,1699454613
1,26.6216,134.335,0,0,1699454613
1,54.3248,4.86473,0,0,1699454613
1,38.3102,0.52144,0,0,1699454613
1,42.2874,10.5918,0,0,1699454613
1,75.733,63.6242,0,0,1699454613
1,32.501,11.9251,0,0,1699454613
1,45.893,14.4638,0,0,1699454613
1,47.0292,9.68549,0,0,1699454613
1,39.3147,18.3719,0,0,1699454613
1,49.641,11.0634,0,0,1699454613
1,45.3406,11.963,0,0,1699454613
1,62.9769,16.777,0,0,1699454613
1,43.0897,14.3802,0,0,1699454613
1,41.0137,16.6655,0,0,1699454613
1,45.8157,16.034,0,0,1699454613
1,48.1838,0.34159,0,0,1699454613
1,41.9745,4.98932,0,0,1699454613
1,45.3668,8.79671,0,0,1699454613
1,56.4088,12.2795,0,0,1699454613
1,56.1555,5.97953,0,0,1699454613
1,49.4983,20.8178,0,0,1699454613
1,36.2268,7.58565,0,0,1699454613
1,45.8971,28.0864,0,0,1699454613
1,60.076,0.734028,0,0,1699454613
1,47.4746,26.2032,0,0,1699454613
1,51.7299,2.61462,0,0,1699454613
1,38.1159,10.593,0,0,1699454613
1,50.6677,13.6322,0,0,1699454613
1,36.7199,27.6816,0,0,1699454613
1,56.0825,26.3316,0,0,1699454613
1,18.6098,69.15,0,0,1699454613
1,112.417,13.6677,0,0,1699454613
1,44.3929,11.667,0,0,1699454613
1,27.7235,34.4607,0,0,1699454613
1,26.2712,4.72588,0,0,1699454613
1,44.1264,1.38815,0,0,1699454613
1,37.9347,32.2625,0,0,1699454613
1,63.8456,12.039,0,0,1699454613
1,38.1003,3.64304,0,0,1699454613
1,59.034,3.32857,0,0,1699454613
1,36.1972,14.3897,0,0,1699454613
1,41.0448,7.9469,0,0,1699454613
1,42.6193,5.49187,0,0,1699454613
1,44.6011,5.8968,0,0,1699454613
1,38.916,15.6867,0,0,1699454613
1,38.1506,4.19893,0,0,1699454613
1,46.0998,5.51987,0,0,1699454613
1,44.2652,9.74163,0,0,1699454613
1,51.9929,26.8011,0,0,1699454613
1,49.1664,0.197076,0,0,1699454613
1,41.1137,35.1949,0,0,1699454613
1,49.9935,11.9321,0,0,1699454613
1,39.1681,5.97417,0,0,1699454613
1,52.1112,25.9774,0,0,1699454613
1,40.4887,20.1036,0,0,1699454613
1,28.6257,45.7869,0,0,1699454613
1,44.9429,39.066,0,0,1699454613
1,52.2033,36.0641,0,0,1699454613
1,39.4705,17.8298,0,0,1699454613
1,47.192,71.1946,0,0,1699454613
1,23.9885,8.27739,0,0,1699454613
1,38.7239,6.23082,0,0,1699454613
1,47.0644,8.90211,0,0,1699454613
1,45.1936,29.6298,0,0,1699454613
1,39.2736,19.705,0,0,1699454613
1,50.4422,0.295983,0,0,1699454613
1,38.9922,3.26304,0,0,1699454613
1,51.4193,47.9891,0,0,1699454613
1,37.1528,19.5027,0,0,1699454613
1,48.4715,38.4233,0,0,1699454613
1,36.2797,31.562,0,0,1699454613
1,36.1312,16.9753,0,0,1699454613
1,41.4356,5.8762,0,0,1699454613
1,40.1028,19.9479,0,0,1699454613
1,50.9068,24.2987,0,0,1699454613
1,40.1316,7.85518,0,0,1699454613
1,38.6059,8.01237,0,0,1699454613
1,44.7352,15.5686,0,0,1699454613
1,45.3175,11.6469,0,0,1699454613
1,34.5641,18.0065,0,0,1699454613
1,49.2197,4.59481,0,0,1699454613
1,60.1912,19.3974,0,0,1699454613
1,42.6375,15.1699,0,0,1699454613
1,38.7293,8.22178,0,0,1699454613
1,46.1862,4.62396,0,0,1699454613
1,47.2115,14.2161,0,0,1699454613
1,37.4089,20.5495,0,0,1699454613
1,50.4148,29.2699,0,0,1699454613
1,46.1292,3.58699,0,0,1699454613
1,46.3376,8.89676,0,0,1699454613
1,47.9401,8.91348,0,0,1699454613
1,49.2055,5.10542,0,0,1699454613
1,43.9648,18.2845,0,0,1699454613
1,52.239,16.9243,0,0,1699454613
1,39.5293,34.1442,0,0,1699454613
1,65.1964,8.75097,0,0,1699454613
1,40.5869,5.11875,0,0,1699454613
1,79.9052,11.6721,0,0,1699454613
1,49.0984,16.1926,0,0,1699454613
1,85.8306,26.2591,0,0,1699454613
1,49.7484,8.07898,0,0,1699454613
1,50.3318,69.7869,0,0,1699454613
1,37.8224,29.293,0,0,1699454613
1,39.365,29.7836,0,0,1699454613
1,51.7827,7.83441,0,0,1699454613
1,62.7573,10.1333,0,0,1699454613
1,67.323,16.0039,0,0,1699454613
1,34.4722,22.3715,0,0,1699454613
1,36.2264,21.526,0,0,1699454613
1,36.3563,3.6475,0,0,1699454613
1,53.695,17.7707,0,0,1699454613
1,44.1465,11.5284,0,0,1699454613
1,44.4654,12.2174,0,0,1699454613
1,57.1765,15.6741,0,0,1699454613
1,41.8123,11.2756,0,0,1699454613
1,41.6856,14.8187,0,0,1699454613
1,50.0885,2.88642,0,0,1699454613
1,52.9231,0.9226,0,0,1699454613
1,43.8059,16.9108,0,0,1699454613
1,46.5281,1.74674,0,0,1699454613
1,50.1439,2.46022,0,0,1699454613
1,42.8732,6.5076,0,0,1699454613
1,60.2907,22.6364,0,0,1699454613
1,37.6046,3.71621,0,0,1699454613
1,45.3327,9.5255,0,0,1699454613
1,49.1638,9.87288,0,0,1699454613
1,61.1306,15.14,0,0,1699454613
1,55.2572,16.6448,0,0,1699454613
1,103.863,25.9594,0,0,1699454613
1,39.818,7.38944,0,0,1699454613
1,55.9553,14.6252,0,0,1699454613
1,68.4836,29.8534,0,0,1699454613
1,27.3698,0.614829,0,0,1699454613
1,51.9789,12.1691,0,0,1699454613
1,49.375,7.23789,0,0,1699454613
1,51.4347,65.061,0,0,1699454613
1,64.5416,4.08637,0,0,1699454613
1,41.2817,46.2004,0,0,1699454613
1,45.727,19.3758,0,0,1699454613
1,60.3637,158.509,0,0,1699454613
1,30.2928,21.1061,0,0,1699454613
1,39.6599,11.2931,0,0,1699454613
1,47.3898,13.2498,0,0,1699454613
1,35.5329,0.783283,0,0,1699454613
1,42.4717,8.81496,0,0,1699454613
1,43.8503,36.1757,0,0,1699454613
1,48.541,27.4808,0,0,1699454613
1,46.1754,0.0603608,0,0,1699454613
1,52.9733,14.5503,0,0,1699454613
1,48.7145,16.6418,0,0,1699454613
1,46.2786,2.04625,0,0,1699454613
1,59.0134,5.8623,0,0,1699454613
1,39.2499,0.979572,0,0,1699454613
1,49.0672,31.5193,0,0,1699454613
1,41.5804,14.5817,0,0,1699454613
1,63.7997,0.0902191,0,0,1699454613
1,52.2875,9.18154,0,0,1699454613
1,52.7531,2.04575,0,0,1699454613
1,43.7453,16.1059,0,0,1699454613
1,48.4941,0.0971643,0,0,1699454613
1,69.3371,22.4608,0,0,1699454613
1,70.0471,21.2382,0,0,1699454613
1,54.8293,29.9806,0,0,1699454613
1,40.7068,13.7015,0,0,1699454613
1,31.6422,13.7059,0,0,1699454613
1,42.7663,15.9132,0,0,1699454613
1,43.9373,29.2366,0,0,1699454613
1,46.9469,79.7908,0,0,1699454613
1,35.614,10.0544,0,0,1699454613
1,44.8044,42.5778,0,0,1699454613
1,54.7742,24.2146,0,0,1699454613
1,41.829,23.7453,0,0,1699454613
1,43.706,13.6413,0,0,1699454613
1,35.8923,2.37974,0,0,1699454613
1,48.5708,0.833139,0,0,1699454613
1,56.1261,0.746721,0,0,1699454613
1,56.8386,19.574,0,0,1699454613
1,59.643,11.0839,0,0,1699454613
1,47.7354,8.59543,0,0,1699454613
1,55.2706,11.9047,0,0,1699454613
1,50.9219,3.94954,0,0,1699454613
1,96.7527,28.5346,0,0,1699454613
1,51.4085,21.4859,0,0,1699454613
1,79.288,16.6731,0,0,1699454613
1,24.3372,51.0315,0,0,1699454613
1,40.4955,15.6735,0,0,1699454613
1,43.4644,2.96405,0,0,1699454613
1,44.0559,12.6586,0,0,1699454613
1,41.8161,15.6935,0,0,1699454613
1,29.9759,2.78782,0,0,1699454613
1,37.8289,11.8005,0,0,1699454613
1,47.6864,5.02733,0,0,1699454613
1,48.0658,3.6302,0,0,1699454613
1,58.8259,4.64905,0,0,1699454613
1,51.6105,9.76134,0,0,1699454613
1,51.2474,13.4624,0,0,1699454613
1,71.827,145.985,0,0,1699454613
1,26.1984,70.6687,0,0,1699454613
1,35.992,84.5935,0,0,1699454613
1,33.8926,163.812,0,0,1699454613
1,53.8089,20.0001,0,0,1699454613
1,82.4383,23.4223,0,0,1699454613
1,48.4384,175.789,0,0,1699454613
1,63.4177,7.03799,0,0,1699454613
1,69.6588,10.4854,0,0,1699454613
1,38.1908,19.2135,0,0,1699454613
1,45.4742,10.7025,0,0,1699454613
1,50.0545,8.07192,0,0,1699454613
1,48.9229,1.14566,0,0,1699454613
1,42.5823,33.8248,0,0,1699454613
1,50.4524,15.9365,0,0,1699454613
1,51.6297,6.17105,0,0,1699454613
1,50.0502,14.6069,0,0,1699454613
1,47.3429,0.106345,0,0,1699454613
1,46.528,4.17763,0,0,1699454613
1,45.4236,16.7349,0,0,1699454613
1,65.8299,12.9279,0,0,1699454613
1,45.0039,12.1213,0,0,1699454613
1,47.3603,14.4633,0,0,1699454613
1,48.0776,1.85392,0,0,1699454613
1,53.6404,11.6271,0,0,1699454613
1,52.2042,25.4847,0,0,1699454613
1,44.5599,10.0334,0,0,1699454613
1,44.592,55.1371,0,0,1699454613
1,44.4473,26.6563,0,0,1699454613
1,88.9897,10.8722,0,0,1699454613
1,19.5003,32.3402,0,0,1699454613
1,70.2442,19.3295,0,0,1699454613
1,43.182,22.9563,0,0,1699454613
1,34.2472,87.5726,0,0,1699454613
1,64.9099,52.3705,0,0,1699454613
1,52.987,8.7069,0,0,1699454613
1,43.299,25.4805,0,0,1699454613
1,37.3127,75.0502,0,0,1699454613
1,56.0997,21.6523,0,0,1699454613
1,40.8601,21.627,0,0,1699454613
1,86.0456,6.06505,0,0,1699454613
1,49.2372,2.12409,0,0,1699454613
1,51.2967,4.74744,0,0,1699454613
1,40.5989,4.12688,0,0,1699454613
1,40.138,4.86867,0,0,1699454613
1,54.4514,1.52217,0,0,1699454613
1,50.1359,2.55447,0,0,1699454613
1,44.4541,9.81754,0,0,1699454613
1,55.5929,7.10671,0,0,1699454613
1,45.2006,10.5142,0,0,1699454613
1,53.3288,6.83492,0,0,1699454613
1,51.2119,5.51954,0,0,1699454613
1,48.7477,4.76325,0,0,1699454613
1,44.318,1.47113,0,0,1699454613
1,41.1094,26.2971,0,0,1699454613
1,54.0237,4.00265,0,0,1699454613
1,44.7174,6.42247,0,0,1699454613
1,42.3658,12.3164,0,0,1699454613
1,48.2418,41.0573,0,0,1699454613
1,31.2758,12.9385,0,0,1699454613
1,51.6593,22.7323,0,0,1699454613
1,181.016,4.34672,0,0,1699454613
1,35.5991,15.602,0,0,1699454613
1,29.7676,14.0539,0,0,1699454613
1,35.9501,32.2802,0,0,1699454613
1,53.7352,18.3163,0,0,1699454613
1,53.0754,6.03926,0,0,1699454613
1,35.9362,17.8279,0,0,1699454613
1,90.452,135.501,0,0,1699454613
1,49.4746,17.8371,0,0,1699454613
1,34.2677,30.1555,0,0,1699454613
1,49.1232,26.7414,0,0,1699454613
1,151.434,26.5369,0,0,1699454613
1,39.3534,11.2684,0,0,1699454613
1,49.6328,18.9397,0,0,1699454613
1,70.8978,8.04232,0,0,1699454613
1,56.403,0.668313,0,0,1699454613
1,55.8237,15.8049,0,0,1699454613
1,61.2793,12.6508,0,0,1699454613
1,52.8758,13.969,0,0,1699454613
1,51.0409,14.2016,0,0,1699454613
1,54.5534,8.63491,0,0,1699454613
1,61.0075,25.4381,0,0,1699454613
1,48.9594,20.1486,0,0,1699454613
1,42.8108,9.90107,0,0,1699454613
1,55.069,9.53758,0,0,1699454613
1,60.1038,2.99949,0,0,1699454613
1,43.2466,9.4074,0,0,1699454613
1,51.5648,9.36825,0,0,1699454613
1,51.5207,14.4005,0,0,1699454613
1,68.7171,16.2096,0,0,1699454613
1,43.7327,10.1916,0,0,1699454613
1,77.1235,8.59455,0,0,1699454613
1,39.8394,12.2545,0,0,1699454613
1,52.4811,86.434,0,0,1699454613
1,23.6444,78.3818,0,0,1699454613
1,49.1313,7.25169,0,0,1699454613
1,45.0823,2.07913,0,0,1699454613
1,35.8941,15.4838,0,0,1699454613
1,60.1115,24.9596,0,0,1699454613
1,95.1606,11.0353,0,0,1699454613
1,74.4312,13.407,0,0,1699454613
1,44.7978,15.4095,0,0,1699454613
1,62.1557,12.5872,0,0,1699454613
1,28.134,3.62428,0,0,1699454613
1,63.51,0.0956742,0,0,1699454613
1,68.9525,0.16733,0,0,1699454613
1,65.0085,5.85276,0,0,1699454613
1,53.211,7.75492,0,0,1699454613
1,54.9323,6.26542,0,0,1699454613
1,45.3658,11.9546,0,0,1699454613
