Sample,EIMMagnitude,EIMPhase,JointAngle,Mass,Time
1,70.2831,19.147,0,0,1699875690
1,70.2831,19.147,0,0,1699875690
1,70.2831,19.147,0,0,1699875690
1,81.4188,9.41923,0,0,1699875690
1,62.1005,14.5138,0,0,1699875690
1,57.8478,36.4765,0,0,1699875690
1,44.7543,14.874,0,0,1699875690
1,129.104,14.1071,0,0,1699875690
1,74.7009,7.12004,0,0,1699875690
1,62.4306,28.1538,0,0,1699875690
1,92.0815,4.17988,0,0,1699875690
1,34.2596,37.2257,0,0,1699875690
1,82.8358,18.1895,0,0,1699875690
1,90.2048,4.32095,0,0,1699875690
1,81.9483,32.7506,0,0,1699875690
1,45.1075,22.3542,0,0,1699875690
1,65.4905,24.9588,0,0,1699875690
1,60.9542,12.3341,0,0,1699875690
1,80.6472,25.866,0,0,1699875690
1,74.6809,10.6262,0,0,1699875690
1,63.7539,8.30024,0,0,1699875690
1,79.4433,16.062,0,0,1699875690
1,76.1653,24.6334,0,0,1699875690
1,66.9626,6.68416,0,0,1699875690
1,62.6379,2.3226,0,0,1699875690
1,71.8728,20.4556,0,0,1699875690
1,95.9468,11.0397,0,0,1699875690
1,57.5046,1.26981,0,0,1699875690
1,63.9459,0.443027,0,0,1699875690
1,73.8968,12.2692,0,0,1699875690
1,76.4275,21.4525,0,0,1699875690
1,66.0914,14.0867,0,0,1699875690
1,59.7309,11.5087,0,0,1699875690
1,62.8072,19.5828,0,0,1699875690
1,81.5468,7.74928,0,0,1699875690
1,37.9487,4.32584,0,0,1699875690
1,65.0145,3.53206,0,0,1699875690
1,79.8878,18.9495,0,0,1699875690
1,86.4662,5.60786,0,0,1699875690
1,86.895,25.4077,0,0,1699875690
1,77.9593,3.31507,0,0,1699875690
1,44.9586,78.593,0,0,1699875690
1,80.1122,10.7147,0,0,1699875690
1,65.4783,17.3643,0,0,1699875690
1,70.8448,16.5842,0,0,1699875690
1,83.1352,3.68994,0,0,1699875690
1,141.325,35.2053,0,0,1699875690
1,68.2138,7.0556,0,0,1699875690
1,80.8001,6.88106,0,0,1699875690
1,78.4765,29.2617,0,0,1699875690
1,88.8386,0.0307531,0,0,1699875690
1,71.5492,13.5881,0,0,1699875690
1,66.1074,3.78954,0,0,1699875690
1,70.2747,18.4197,0,0,1699875690
1,89.1751,22.0376,0,0,1699875690
1,63.6306,10.7205,0,0,1699875690
1,83.1797,2.39228,0,0,1699875690
1,85.9055,6.17714,0,0,1699875690
1,56.0822,0.101572,0,0,1699875690
1,66.026,3.98599,0,0,1699875690
1,75.7382,3.08018,0,0,1699875690
1,79.8766,3.91876,0,0,1699875690
1,50.9912,20.2478,0,0,1699875690
1,73.7794,11.6317,0,0,1699875690
1,68.5562,20.3854,0,0,1699875690
1,89.7431,19.655,0,0,1699875690
1,77.9268,1.03176,0,0,1699875690
1,90.1627,6.09157,0,0,1699875690
1,89.4581,15.3199,0,0,1699875690
1,75.3307,35.5663,0,0,1699875690
1,41.0251,10.3982,0,0,1699875690
1,68.2918,8.58189,0,0,1699875690
1,67.6036,18.4621,0,0,1699875690
1,54.2022,27.0289,0,0,1699875690
1,68.3202,4.60611,0,0,1699875690
1,60.0964,0.547451,0,0,1699875690
1,74.0148,16.6775,0,0,1699875690
1,64.2116,4.91906,0,0,1699875690
1,79.7401,4.14099,0,0,1699875690
1,67.8432,4.44917,0,0,1699875690
1,66.7826,10.3617,0,0,1699875690
1,73.017,1.6144,0,0,1699875690
1,81.3101,3.24963,0,0,1699875690
1,81.8604,10.7402,0,0,1699875690
1,73.0797,18.3749,0,0,1699875690
1,88.3664,0.500785,0,0,1699875690
1,59.2524,0.787659,0,0,1699875690
1,91.409,1.67385,0,0,1699875690
1,86.0798,11.8414,0,0,1699875690
1,81.9867,7.37308,0,0,1699875690
1,48.516,1.69677,0,0,1699875690
1,82.9041,7.34411,0,0,1699875690
1,73.8971,2.33334,0,0,1699875690
1,78.4119,7.70543,0,0,1699875690
1,58.1681,10.4908,0,0,1699875690
1,97.5677,5.45448,0,0,1699875690
1,70.15,30.9126,0,0,1699875690
1,86.4257,16.6121,0,0,1699875690
1,54.2699,32.288,0,0,1699875690
1,60.3276,4.70138,0,0,1699875690
1,74.42,6.25409,0,0,1699875690
1,95.8709,13.1494,0,0,1699875690
1,62.5848,1.32177,0,0,1699875690
1,68.2448,12.2434,0,0,1699875690
1,80.9661,1.95586,0,0,1699875690
1,78.8425,5.11951,0,0,1699875690
1,91.6316,27.3585,0,0,1699875690
1,73.8419,4.91467,0,0,1699875690
1,98.6076,0.221615,0,0,1699875690
1,75.1284,2.9925,0,0,1699875690
1,78.3045,7.68197,0,0,1699875690
1,72.5125,8.22603,0,0,1699875690
1,53.3589,1.07394,0,0,1699875690
1,74.2077,1.81275,0,0,1699875690
1,57.5054,21.2196,0,0,1699875690
1,83.3244,15.0058,0,0,1699875690
1,58.7561,5.4161,0,0,1699875690
1,66.6327,2.03706,0,0,1699875690
1,67.1855,9.60446,0,0,1699875690
1,97.9319,6.76465,0,0,1699875690
1,88.2292,37.2073,0,0,1699875690
1,70.5222,14.8098,0,0,1699875690
1,61.2901,1.49576,0,0,1699875690
1,61.0213,13.9623,0,0,1699875690
1,81.5666,3.59701,0,0,1699875690
1,67.4395,22.8688,0,0,1699875690
1,310.047,24.7298,0,0,1699875690
1,60.8482,5.5931,0,0,1699875690
1,71.6286,19.5636,0,0,1699875690
1,65.9107,14.6429,0,0,1699875690
1,35.8814,27.2768,0,0,1699875690
1,41.9612,86.7587,0,0,1699875690
1,53.7327,46.535,0,0,1699875690
1,63.5507,18.9668,0,0,1699875690
