Sample,EIMMagnitude,EIMPhase,JointAngle,Mass,Time
1,14.9488,26.0605,0,0,1699454613
1,17.8788,22.7492,0,0,1699454613
1,20.2609,19.0935,0,0,1699454613
1,21.4446,16.2935,0,0,1699454613
1,22.4483,14.6893,0,0,1699454613
1,23.8824,14.2622,0,0,1699454613
1,24.8454,14.891,0,0,1699454613
1,24.9927,15.5606,0,0,1699454613
1,25.1367,15.287,0,0,1699454613
1,25.6561,14.604,0,0,1699454613
1,26.0741,14.4331,0,0,1699454613
1,26.0499,14.671,0,0,1699454613
1,25.8775,14.8191,0,0,1699454613
1,25.949,14.7549,0,0,1699454613
1,26.2483,14.5628,0,0,1699454613
1,26.5985,14.2481,0,0,1699454613
1,26.9173,13.7639,0,0,1699454613
1,27.1469,13.2603,0,0,1699454613
1,27.2388,12.9985,0,0,1699454613
1,27.2359,12.8925,0,0,1699454613
1,27.3463,12.8563,0,0,1699454613
1,27.5675,13.0643,0,0,1699454613
1,27.8622,13.427,0,0,1699454613
1,28.5288,13.6628,0,0,1699454613
1,29.2702,13.7596,0,0,1699454613
1,29.5639,13.987,0,0,1699454613
1,29.7187,14.3757,0,0,1699454613
1,29.9121,14.6262,0,0,1699454613
1,29.9055,14.6682,0,0,1699454613
1,29.7278,14.6993,0,0,1699454613
1,29.4601,14.8541,0,0,1699454613
1,29.134,14.9652,0,0,1699454613
1,28.8569,14.8189,0,0,1699454613
1,28.7013,14.5647,0,0,1699454613
1,28.6738,14.3505,0,0,1699454613
1,28.7,14.1217,0,0,1699454613
1,28.656,13.9056,0,0,1699454613
1,28.5352,13.7759,0,0,1699454613
1,28.422,13.7046,0,0,1699454613
1,28.3457,13.6424,0,0,1699454613
1,28.3018,13.5863,0,0,1699454613
1,28.2512,13.5271,0,0,1699454613
1,28.1489,13.4511,0,0,1699454613
1,28.0597,13.3681,0,0,1699454613
1,28.0458,13.268,0,0,1699454613
1,28.0529,13.1267,0,0,1699454613
1,28.0347,12.9639,0,0,1699454613
1,27.9973,12.8172,0,0,1699454613
1,27.945,12.7051,0,0,1699454613
1,27.9113,12.6442,0,0,1699454613
1,27.9173,12.6269,0,0,1699454613
1,27.9297,12.6185,0,0,1699454613
1,28.031,12.6101,0,0,1699454613
1,28.2917,12.5849,0,0,1699454613
1,28.4986,12.56,0,0,1699454613
1,28.4516,12.6072,0,0,1699454613
1,28.2284,12.7565,0,0,1699454613
1,28.0567,12.977,0,0,1699454613
1,28.0526,13.1376,0,0,1699454613
1,28.0563,13.1233,0,0,1699454613
1,27.9691,12.9859,0,0,1699454613
1,27.9115,12.8495,0,0,1699454613
1,27.8841,12.8101,0,0,1699454613
1,27.8005,12.8316,0,0,1699454613
1,27.6972,12.8056,0,0,1699454613
1,27.6364,12.7511,0,0,1699454613
1,27.6038,12.7372,0,0,1699454613
1,27.5866,12.7498,0,0,1699454613
1,27.6191,12.7581,0,0,1699454613
1,27.6834,12.762,0,0,1699454613
1,27.7094,12.771,0,0,1699454613
1,27.6814,12.7775,0,0,1699454613
1,27.636,12.7426,0,0,1699454613
1,27.6188,12.6659,0,0,1699454613
1,27.7303,12.5819,0,0,1699454613
1,28.02,12.6125,0,0,1699454613
1,28.3297,12.8614,0,0,1699454613
1,28.4955,13.1392,0,0,1699454613
1,28.5649,13.2651,0,0,1699454613
1,28.6499,13.281,0,0,1699454613
1,28.7372,13.2182,0,0,1699454613
1,28.7726,13.1277,0,0,1699454613
