Sample,EIMMagnitude,EIMPhase,JointAngle,Mass,Time
1,14.9488,26.0605,0,0,1699454613
1,20.8088,19.4378,0,0,1699454613
1,25.025,11.7823,0,0,1699454613
1,24.9957,7.89359,0,0,1699454613
1,26.4632,8.27211,0,0,1699454613
1,31.053,12.127,0,0,1699454613
1,30.6233,18.6638,0,0,1699454613
1,26.0242,20.2481,0,0,1699454613
1,26.2887,13.0977,0,0,1699454613
1,30.3305,8.45715,0,0,1699454613
1,30.2537,12.7246,0,0,1699454613
1,25.784,17.2873,0,0,1699454613
1,23.8086,16.5961,0,0,1699454613
1,26.8781,13.9211,0,0,1699454613
1,30.4387,11.873,0,0,1699454613
1,31.8509,9.5279,0,0,1699454613
1,32.0181,6.01606,0,0,1699454613
1,31.0505,4.69867,0,0,1699454613
1,28.8931,8.28659,0,0,1699454613
1,27.1814,10.8796,0,0,1699454613
1,29.5535,12.132,0,0,1699454613
1,32.2132,17.4314,0,0,1699454613
1,34.346,21.4057,0,0,1699454613
1,43.8605,19.0863,0,0,1699454613
1,47.0638,16.0831,0,0,1699454613
1,36.9071,19.674,0,0,1699454613
1,33.7418,24.4797,0,0,1699454613
1,35.1337,21.3906,0,0,1699454613
1,29.7215,15.8455,0,0,1699454613
1,24.5758,15.6002,0,0,1699454613
1,21.4271,19.4977,0,0,1699454613
1,19.0269,18.4097,0,0,1699454613
1,19.9893,10.1384,0,0,1699454613
1,23.5649,6.17332,0,0,1699454613
1,27.739,7.06771,0,0,1699454613
1,29.6162,6.11497,0,0,1699454613
1,27.0727,6.12764,0,0,1699454613
1,24.0677,8.97432,0,0,1699454613
1,24.1192,10.9968,0,0,1699454613
1,25.3693,11.2146,0,0,1699454613
1,26.5448,11.342,0,0,1699454613
1,26.1775,11.1009,0,0,1699454613
1,23.8543,10.2581,0,0,1699454613
1,24.2205,9.80132,0,0,1699454613
1,27.4358,8.86368,0,0,1699454613
1,28.3718,6.76597,0,0,1699454613
1,27.2003,5.47684,0,0,1699454613
1,26.2386,5.92251,0,0,1699454613
1,25.4324,7.32629,0,0,1699454613
1,26.2591,9.65967,0,0,1699454613
1,28.219,11.7594,0,0,1699454613
1,28.5645,12.1912,0,0,1699454613
1,33.2984,12.1737,0,0,1699454613
1,42.1073,11.2493,0,0,1699454613
1,39.6705,11.2143,0,0,1699454613
1,25.8648,15.204,0,0,1699454613
1,15.7301,21.1185,0,0,1699454613
1,18.2705,25.5443,0,0,1699454613
1,27.8165,22.4493,0,0,1699454613
1,28.2708,12.2799,0,0,1699454613
1,22.743,4.74231,0,0,1699454613
1,24.3975,4.53329,0,0,1699454613
1,26.184,10.3679,0,0,1699454613
1,22.5338,14.1809,0,0,1699454613
1,21.0855,11.1424,0,0,1699454613
1,23.686,9.21113,0,0,1699454613
1,25.452,11.8174,0,0,1699454613
1,26.4336,13.5955,0,0,1699454613
1,29.8269,13.3251,0,0,1699454613
1,32.1223,13.0279,0,0,1699454613
1,29.5239,13.3984,0,0,1699454613
1,25.6999,13.2453,0,0,1699454613
1,24.3673,10.2249,0,0,1699454613
1,26.3624,7.06858,0,0,1699454613
1,35.9818,6.36899,0,0,1699454613
1,49.7457,14.9049,0,0,1699454613
1,51.8654,31.7756,0,0,1699454613
1,41.2621,34.5342,0,0,1699454613
1,33.9788,23.0824,0,0,1699454613
1,35.3631,14.5392,0,0,1699454613
1,35.7232,8.19558,0,0,1699454613
1,31.6382,5.79549,0,0,1699454613
1,30.3317,8.0528,0,0,1699454613
1,29.693,8.24319,0,0,1699454613
1,24.7263,7.45711,0,0,1699454613
1,20.6827,9.66521,0,0,1699454613
1,18.7024,13.9407,0,0,1699454613
1,18.663,16.6034,0,0,1699454613
1,25.1361,16.9727,0,0,1699454613
1,33.3961,17.8901,0,0,1699454613
1,33.7496,18.96,0,0,1699454613
1,28.0003,17.8116,0,0,1699454613
1,24.6447,18.3679,0,0,1699454613
1,24.7581,19.3967,0,0,1699454613
1,25.0567,13.2534,0,0,1699454613
1,26.7956,5.6335,0,0,1699454613
1,28.6497,6.50414,0,0,1699454613
1,27.6856,12.5677,0,0,1699454613
1,26.9811,14.7314,0,0,1699454613
1,28.5524,11.4665,0,0,1699454613
1,31.1348,10.1722,0,0,1699454613
1,33.8462,12.9618,0,0,1699454613
1,33.6879,14.8361,0,0,1699454613
