Sample,EIMMagnitude,EIMPhase,JointAngle,Mass,Time
1,41.4811,17.7603,0,0,1699454613
1,37.639,12.5089,0,0,1699454613
1,30.634,5.09566,0,0,1699454613
1,37.2834,18.6908,0,0,1699454613
1,58.5205,10.0688,0,0,1699454613
1,35.0658,45.889,0,0,1699454613
1,30.1174,25.5474,0,0,1699454613
1,40.7488,6.52645,0,0,1699454613
1,50.5194,6.21498,0,0,1699454613
1,40.8053,31.4168,0,0,1699454613
1,29.1524,25.154,0,0,1699454613
1,32.1007,20.8888,0,0,1699454613
1,45.2741,18.7952,0,0,1699454613
1,43.9542,13.8549,0,0,1699454613
1,45.9974,15.8794,0,0,1699454613
1,46.4454,0.371112,0,0,1699454613
1,42.3389,5.63416,0,0,1699454613
1,40.2181,18.9113,0,0,1699454613
1,33.9511,20.1467,0,0,1699454613
1,43.5288,1.31009,0,0,1699454613
1,62.397,53.5018,0,0,1699454613
1,15.0571,13.7102,0,0,1699454613
1,112.573,40.5499,0,0,1699454613
1,52.8981,0.413405,0,0,1699454613
1,25.1932,45.6494,0,0,1699454613
1,70.2079,43.9052,0,0,1699454613
1,43.9472,10.3177,0,0,1699454613
1,32.2791,34.0557,0,0,1699454613
1,37.9488,2.82674,0,0,1699454613
1,24.4165,55.6029,0,0,1699454613
1,24.0035,12.2422,0,0,1699454613
1,32.3967,3.79098,0,0,1699454613
1,33.3002,10.4644,0,0,1699454613
1,46.3544,14.8385,0,0,1699454613
1,43.6316,0.926067,0,0,1699454613
1,33.4135,11.5492,0,0,1699454613
1,29.8856,16.9425,0,0,1699454613
1,39.3471,15.707,0,0,1699454613
1,32.7741,15.4562,0,0,1699454613
1,41.7806,16.8398,0,0,1699454613
1,38.2979,16.1804,0,0,1699454613
1,24.6111,11.6245,0,0,1699454613
1,39.9609,16.1109,0,0,1699454613
1,42.6582,11.8829,0,0,1699454613
1,39.363,5.23294,0,0,1699454613
1,36.1942,9.20332,0,0,1699454613
1,39.3582,6.90625,0,0,1699454613
1,31.9496,13.626,0,0,1699454613
1,38.5561,12.3571,0,0,1699454613
1,46.953,24.7068,0,0,1699454613
1,32.2955,8.95913,0,0,1699454613
1,47.8612,24.9842,0,0,1699454613
1,89.5649,11.6277,0,0,1699454613
1,34.7916,9.26343,0,0,1699454613
1,30.317,38.8572,0,0,1699454613
1,8.14638,16.9886,0,0,1699454613
1,27.9509,62.6598,0,0,1699454613
1,67.6614,12.7305,0,0,1699454613
1,22.0443,12.5674,0,0,1699454613
1,24.5889,0.160364,0,0,1699454613
1,49.3276,2.87247,0,0,1699454613
1,33.5376,29.0792,0,0,1699454613
1,24.7137,21.8782,0,0,1699454613
1,31.3293,6.03928,0,0,1699454613
1,37.4411,13.3972,0,0,1699454613
1,37.9989,23.8952,0,0,1699454613
1,31.5463,16.523,0,0,1699454613
1,53.625,19.8341,0,0,1699454613
1,45.1546,18.2082,0,0,1699454613
1,37.3628,17.3357,0,0,1699454613
1,33.9179,25.4659,0,0,1699454613
1,32.6556,4.14466,0,0,1699454613
1,39.3715,9.96107,0,0,1699454613
1,49.0916,12.0302,0,0,1699454613
1,109.459,2.47703,0,0,1699454613
1,51.0218,113.694,0,0,1699454613
1,59.2757,2.11856,0,0,1699454613
1,27.602,43.4642,0,0,1699454613
1,73.4088,10.1524,0,0,1699454613
1,39.221,3.00327,0,0,1699454613
1,40.9044,9.37231,0,0,1699454613
1,44.6979,18.2188,0,0,1699454613
1,48.2965,5.99558,0,0,1699454613
1,17.8608,11.6307,0,0,1699454613
1,37.2558,13.3042,0,0,1699454613
1,20.9036,28.7469,0,0,1699454613
1,20.3648,20.6695,0,0,1699454613
1,49.964,27.1155,0,0,1699454613
1,53.4096,20.5633,0,0,1699454613
1,49.2956,39.1754,0,0,1699454613
1,25.5915,9.35906,0,0,1699454613
1,39.4837,35.9027,0,0,1699454613
1,34.9164,33.0679,0,0,1699454613
1,32.5935,4.96459,0,0,1699454613
1,42.1933,0.498043,0,0,1699454613
1,44.8442,13.7293,0,0,1699454613
1,31.9785,25.885,0,0,1699454613
1,41.5284,23.631,0,0,1699454613
1,40.7293,5.53627,0,0,1699454613
1,45.4973,16.5457,0,0,1699454613
1,53.1121,25.1111,0,0,1699454613
1,47.8905,17.0072,0,0,1699454613
1,34.3537,25.5363,0,0,1699454613
1,37.8048,22.5191,0,0,1699454613
1,38.2508,13.5554,0,0,1699454613
1,37.5839,2.31044,0,0,1699454613
1,28.5523,8.83902,0,0,1699454613
1,37.5317,7.20324,0,0,1699454613
1,40.5515,12.867,0,0,1699454613
1,37.5919,11.7275,0,0,1699454613
1,52.1568,19.8651,0,0,1699454613
1,27.1806,21.2003,0,0,1699454613
1,39.8139,24.2126,0,0,1699454613
1,41.2611,29.6005,0,0,1699454613
1,35.0613,8.20744,0,0,1699454613
1,29.3547,1.80831,0,0,1699454613
1,18.4387,0.508149,0,0,1699454613
1,32.2424,26.2055,0,0,1699454613
1,47.077,13.4986,0,0,1699454613
1,46.3007,44.8511,0,0,1699454613
1,53.0692,0.746093,0,0,1699454613
1,46.5531,21.3455,0,0,1699454613
1,21.873,42.915,0,0,1699454613
1,37.9759,10.0818,0,0,1699454613
1,36.0134,11.2853,0,0,1699454613
1,23.3329,13.4829,0,0,1699454613
1,35.1315,14.4088,0,0,1699454613
1,35.8348,27.5549,0,0,1699454613
1,38.4445,14.7952,0,0,1699454613
1,56.8529,41.9121,0,0,1699454613
1,43.3217,9.13893,0,0,1699454613
1,91.4708,10.927,0,0,1699454613
1,33.826,34.704,0,0,1699454613
1,122.001,17.7921,0,0,1699454613
1,29.3876,48.5626,0,0,1699454613
1,28.0858,36.1752,0,0,1699454613
1,50.6303,65.681,0,0,1699454613
1,12.3015,4.99107,0,0,1699454613
1,21.0864,14.327,0,0,1699454613
1,174.585,26.1306,0,0,1699454613
1,28.8212,29.3084,0,0,1699454613
1,22.6915,46.4739,0,0,1699454613
1,5.80681,28.377,0,0,1699454613
1,31.4125,20.0878,0,0,1699454613
1,47.4586,1.29997,0,0,1699454613
1,42.2773,23.7361,0,0,1699454613
1,28.3672,4.43188,0,0,1699454613
1,34.2201,0.835363,0,0,1699454613
1,33.912,20.1079,0,0,1699454613
1,36.6209,4.15258,0,0,1699454613
1,45.6024,20.7854,0,0,1699454613
1,25.5305,6.75315,0,0,1699454613
1,40.1052,66.6397,0,0,1699454613
1,21.5201,12.6648,0,0,1699454613
1,68.6179,20.7244,0,0,1699454613
1,45.5537,25.6118,0,0,1699454613
1,27.4703,46.1189,0,0,1699454613
1,51.0661,146.632,0,0,1699454613
1,130.357,19.939,0,0,1699454613
1,30.4349,4.78984,0,0,1699454613
1,36.257,60.5601,0,0,1699454613
1,47.7187,34.1558,0,0,1699454613
1,33.4029,0.781444,0,0,1699454613
1,38.6122,18.0201,0,0,1699454613
1,42.7545,4.02218,0,0,1699454613
1,36.1423,17.7882,0,0,1699454613
1,44.6146,13.7237,0,0,1699454613
1,38.8586,1.01339,0,0,1699454613
1,31.0962,14.761,0,0,1699454613
1,43.7996,24.9916,0,0,1699454613
1,40.5804,18.6426,0,0,1699454613
1,36.677,12.6459,0,0,1699454613
1,40.7127,13.9123,0,0,1699454613
1,41.3965,17.3074,0,0,1699454613
1,42.6295,13.6613,0,0,1699454613
1,37.8572,34.0496,0,0,1699454613
1,35.851,22.7831,0,0,1699454613
1,32.9966,2.47887,0,0,1699454613
1,36.1999,25.9031,0,0,1699454613
1,37.0086,27.988,0,0,1699454613
1,35.0375,27.6168,0,0,1699454613
1,30.9732,33.0728,0,0,1699454613
1,38.8793,6.51603,0,0,1699454613
1,42.8849,18.5807,0,0,1699454613
1,68.6675,42.0531,0,0,1699454613
1,39.1239,23.6184,0,0,1699454613
1,122.68,29.3109,0,0,1699454613
1,28.9127,17.2685,0,0,1699454613
1,41.4413,1.50529,0,0,1699454613
1,33.9926,22.6496,0,0,1699454613
1,32.5991,10.8526,0,0,1699454613
1,36.825,4.93492,0,0,1699454613
1,18.9525,0.0484475,0,0,1699454613
1,87.1819,22.9047,0,0,1699454613
1,30.5443,58.9741,0,0,1699454613
1,41.0432,16.7249,0,0,1699454613
1,18.7054,18.3136,0,0,1699454613
1,30.2103,18.9783,0,0,1699454613
1,20.7829,31.143,0,0,1699454613
1,19.247,40.0494,0,0,1699454613
1,71.974,31.2833,0,0,1699454613
1,46.1602,22.8753,0,0,1699454613
1,34.1331,48.6862,0,0,1699454613
1,46.7401,16.743,0,0,1699454613
1,32.081,24.2989,0,0,1699454613
1,28.852,26.2515,0,0,1699454613
1,18.4049,24.7935,0,0,1699454613
1,36.3308,25.4882,0,0,1699454613
1,43.5888,10.8859,0,0,1699454613
1,37.0347,17.5968,0,0,1699454613
1,40.7827,13.4161,0,0,1699454613
1,44.6005,21.508,0,0,1699454613
1,36.7681,14.0283,0,0,1699454613
1,28.9915,17.9509,0,0,1699454613
1,34.4288,4.02612,0,0,1699454613
1,47.6423,27.241,0,0,1699454613
1,36.0489,0.136783,0,0,1699454613
1,36.936,18.231,0,0,1699454613
1,45.0064,6.08012,0,0,1699454613
1,43.9938,28.2559,0,0,1699454613
1,34.7182,18.5803,0,0,1699454613
1,38.4405,9.33154,0,0,1699454613
1,53.6315,14.4011,0,0,1699454613
1,44.3522,9.12919,0,0,1699454613
1,44.6064,10.8097,0,0,1699454613
1,46.7481,28.2498,0,0,1699454613
1,28.8107,25.3447,0,0,1699454613
1,28.7468,17.4745,0,0,1699454613
1,28.5541,15.3191,0,0,1699454613
1,50.5299,19.2998,0,0,1699454613
1,52.2337,34.9143,0,0,1699454613
1,80.2161,14.1632,0,0,1699454613
1,66.204,2.16785,0,0,1699454613
1,51.7178,28.9502,0,0,1699454613
1,44.2154,19.4067,0,0,1699454613
1,43.8799,51.7942,0,0,1699454613
1,44.9208,19.0916,0,0,1699454613
1,27.9702,1.11664,0,0,1699454613
1,51.728,24.2745,0,0,1699454613
1,72.9659,63.0656,0,0,1699454613
1,21.0385,25.8562,0,0,1699454613
1,40.4982,20.6408,0,0,1699454613
1,66.2631,29.1738,0,0,1699454613
1,52.907,24.8755,0,0,1699454613
1,31.1292,22.8766,0,0,1699454613
1,46.2317,57.7826,0,0,1699454613
1,38.7676,25.5419,0,0,1699454613
1,44.8323,16.6742,0,0,1699454613
1,32.1145,9.20661,0,0,1699454613
1,44.875,3.8927,0,0,1699454613
1,38.5823,5.78094,0,0,1699454613
1,45.3967,15.5921,0,0,1699454613
1,41.4962,4.06361,0,0,1699454613
1,42.8381,7.43764,0,0,1699454613
1,39.0048,18.2595,0,0,1699454613
1,52.5471,18.666,0,0,1699454613
1,19.8598,56.3962,0,0,1699454613
1,79.1349,56.8434,0,0,1699454613
1,22.4925,15.3878,0,0,1699454613
1,41.1937,65.7847,0,0,1699454613
1,48.3438,9.07224,0,0,1699454613
1,39.1702,51.0325,0,0,1699454613
1,19.9354,29.9887,0,0,1699454613
1,34.8431,8.75966,0,0,1699454613
1,40.133,13.262,0,0,1699454613
1,31.068,14.3896,0,0,1699454613
1,33.7573,10.6643,0,0,1699454613
1,40.9648,29.6539,0,0,1699454613
1,39.5313,18.5111,0,0,1699454613
1,42.754,13.2067,0,0,1699454613
1,40.1822,39.4861,0,0,1699454613
1,49.0302,9.80713,0,0,1699454613
1,44.8623,4.22768,0,0,1699454613
1,46.8228,15.5922,0,0,1699454613
1,37.2414,20.8955,0,0,1699454613
1,35.7683,21.0118,0,0,1699454613
1,55.4494,35.7106,0,0,1699454613
1,33.6125,19.0571,0,0,1699454613
1,33.3606,22.3222,0,0,1699454613
1,36.0419,22.0024,0,0,1699454613
1,41.1437,0.905967,0,0,1699454613
1,44.1384,20.112,0,0,1699454613
1,32.247,22.712,0,0,1699454613
1,28.9277,5.96288,0,0,1699454613
1,37.4361,26.6612,0,0,1699454613
1,43.9556,23.9087,0,0,1699454613
1,39.7131,8.9815,0,0,1699454613
1,40.1776,15.3215,0,0,1699454613
