Sample,EIMMagnitude,EIMPhase,JointAngle,Mass,Time
1,14.2857,22.7539,0,0,1699454613
1,17.7838,21.4359,0,0,1699454613
1,20.6869,20.7088,0,0,1699454613
1,22.602,20.068,0,0,1699454613
1,23.495,18.9215,0,0,1699454613
1,23.88,17.6865,0,0,1699454613
1,24.1498,16.885,0,0,1699454613
1,24.2799,16.3139,0,0,1699454613
1,24.345,15.782,0,0,1699454613
1,24.4559,15.4059,0,0,1699454613
1,24.6416,15.108,0,0,1699454613
1,24.8435,14.884,0,0,1699454613
1,25.0117,14.8945,0,0,1699454613
1,25.2592,15.0067,0,0,1699454613
1,25.5633,15.0894,0,0,1699454613
1,25.7416,15.2135,0,0,1699454613
1,25.7692,15.3016,0,0,1699454613
1,25.7717,15.3221,0,0,1699454613
1,25.8393,15.313,0,0,1699454613
1,25.9421,15.0702,0,0,1699454613
1,26.0252,14.7162,0,0,1699454613
1,26.09,14.6811,0,0,1699454613
1,26.1361,14.7764,0,0,1699454613
1,26.1562,14.5824,0,0,1699454613
1,26.1934,14.2448,0,0,1699454613
1,26.2694,14.0735,0,0,1699454613
1,26.3451,14.0443,0,0,1699454613
1,26.4709,14.004,0,0,1699454613
1,26.6811,13.9112,0,0,1699454613
1,26.8284,13.8364,0,0,1699454613
1,26.8307,13.9286,0,0,1699454613
1,26.7778,14.1471,0,0,1699454613
1,26.7587,14.2702,0,0,1699454613
1,26.7996,14.2614,0,0,1699454613
1,26.8227,14.1599,0,0,1699454613
1,26.7677,13.974,0,0,1699454613
1,26.7434,13.78,0,0,1699454613
1,26.8072,13.6025,0,0,1699454613
1,26.8679,13.412,0,0,1699454613
1,26.909,13.2326,0,0,1699454613
1,27.0073,13.1091,0,0,1699454613
1,27.1633,13.0362,0,0,1699454613
1,27.256,13.0081,0,0,1699454613
1,27.1914,13.0342,0,0,1699454613
1,27.0497,13.101,0,0,1699454613
1,27.0118,13.2065,0,0,1699454613
1,27.1392,13.302,0,0,1699454613
1,27.2805,13.3302,0,0,1699454613
1,27.3172,13.3268,0,0,1699454613
1,27.3319,13.2948,0,0,1699454613
1,27.4053,13.2148,0,0,1699454613
1,27.4894,13.1337,0,0,1699454613
1,27.5029,13.0624,0,0,1699454613
1,27.4433,12.9998,0,0,1699454613
1,27.3778,12.9718,0,0,1699454613
1,27.3496,12.9445,0,0,1699454613
1,27.3447,12.8632,0,0,1699454613
1,27.34,12.7289,0,0,1699454613
1,27.3551,12.5745,0,0,1699454613
1,27.3846,12.4812,0,0,1699454613
1,27.3768,12.5224,0,0,1699454613
1,27.339,12.6242,0,0,1699454613
1,27.3003,12.6455,0,0,1699454613
1,27.2527,12.5732,0,0,1699454613
1,27.2126,12.4808,0,0,1699454613
1,27.2105,12.38,0,0,1699454613
1,27.2303,12.2589,0,0,1699454613
1,27.2395,12.1506,0,0,1699454613
1,27.2302,12.0699,0,0,1699454613
1,27.2164,11.9902,0,0,1699454613
1,27.2192,11.9196,0,0,1699454613
1,27.2256,11.8813,0,0,1699454613
1,27.2049,11.8489,0,0,1699454613
1,27.1685,11.8004,0,0,1699454613
1,27.1437,11.7412,0,0,1699454613
1,27.134,11.6843,0,0,1699454613
1,27.1259,11.6505,0,0,1699454613
1,27.1118,11.6234,0,0,1699454613
1,27.1015,11.5876,0,0,1699454613
1,27.1061,11.5555,0,0,1699454613
1,27.1408,11.5253,0,0,1699454613
1,27.2052,11.5132,0,0,1699454613
1,27.258,11.5166,0,0,1699454613
1,27.2781,11.5066,0,0,1699454613
1,27.2808,11.4927,0,0,1699454613
1,27.2807,11.4758,0,0,1699454613
1,27.2902,11.4487,0,0,1699454613
1,27.297,11.4293,0,0,1699454613
1,27.283,11.4236,0,0,1699454613
1,27.2685,11.423,0,0,1699454613
1,27.2784,11.4111,0,0,1699454613
1,27.3135,11.3828,0,0,1699454613
1,27.3571,11.3509,0,0,1699454613
1,27.3819,11.3202,0,0,1699454613
1,27.3763,11.2882,0,0,1699454613
1,27.3589,11.2474,0,0,1699454613
1,27.3392,11.2025,0,0,1699454613
1,27.3063,11.1593,0,0,1699454613
1,27.2566,11.1003,0,0,1699454613
1,27.2104,11.0241,0,0,1699454613
1,27.2012,10.9685,0,0,1699454613
1,27.2156,10.9664,0,0,1699454613
1,27.2078,10.9951,0,0,1699454613
1,27.1792,11.0122,0,0,1699454613
1,27.1528,11.0217,0,0,1699454613
1,27.1312,11.0371,0,0,1699454613
1,27.1121,11.04,0,0,1699454613
1,27.1017,11.0182,0,0,1699454613
1,27.1197,10.9736,0,0,1699454613
1,27.1629,10.9264,0,0,1699454613
1,27.1966,10.9105,0,0,1699454613
1,27.2145,10.9197,0,0,1699454613
1,27.2327,10.9289,0,0,1699454613
1,27.2408,10.9376,0,0,1699454613
1,27.2299,10.9432,0,0,1699454613
1,27.2092,10.9467,0,0,1699454613
1,27.1856,10.9459,0,0,1699454613
1,27.1774,10.9137,0,0,1699454613
1,27.1879,10.8481,0,0,1699454613
1,27.1908,10.798,0,0,1699454613
1,27.1821,10.8053,0,0,1699454613
1,27.1781,10.8528,0,0,1699454613
1,27.1762,10.8806,0,0,1699454613
1,27.1679,10.8696,0,0,1699454613
1,27.1565,10.8557,0,0,1699454613
1,27.1498,10.8411,0,0,1699454613
1,27.15,10.8145,0,0,1699454613
1,27.1569,10.8142,0,0,1699454613
1,27.171,10.8475,0,0,1699454613
1,27.1862,10.8593,0,0,1699454613
1,27.1898,10.8461,0,0,1699454613
1,27.1735,10.8472,0,0,1699454613
1,27.145,10.8511,0,0,1699454613
1,27.1255,10.8393,0,0,1699454613
1,27.1297,10.841,0,0,1699454613
1,27.1327,10.879,0,0,1699454613
1,27.093,10.942,0,0,1699454613
1,27.035,11.0092,0,0,1699454613
1,27.0616,11.0581,0,0,1699454613
1,27.2064,11.0847,0,0,1699454613
1,27.3374,11.117,0,0,1699454613
1,27.3565,11.1622,0,0,1699454613
1,27.3249,11.1824,0,0,1699454613
1,27.3036,11.1751,0,0,1699454613
1,27.2936,11.1771,0,0,1699454613
1,27.2941,11.1816,0,0,1699454613
1,27.302,11.1732,0,0,1699454613
1,27.307,11.1647,0,0,1699454613
1,27.301,11.1533,0,0,1699454613
1,27.2879,11.1346,0,0,1699454613
1,27.2854,11.1087,0,0,1699454613
1,27.2978,11.0692,0,0,1699454613
1,27.3163,11.0291,0,0,1699454613
1,27.3395,11.0118,0,0,1699454613
1,27.3576,11.0259,0,0,1699454613
1,27.3641,11.06,0,0,1699454613
1,27.3755,11.0812,0,0,1699454613
1,27.4033,11.07,0,0,1699454613
1,27.4341,11.0526,0,0,1699454613
1,27.4546,11.0531,0,0,1699454613
1,27.4692,11.0618,0,0,1699454613
1,27.4753,11.0785,0,0,1699454613
1,27.4698,11.1227,0,0,1699454613
1,27.4781,11.1886,0,0,1699454613
1,27.5145,11.2417,0,0,1699454613
1,27.5438,11.2934,0,0,1699454613
1,27.5384,11.3639,0,0,1699454613
1,27.533,11.3981,0,0,1699454613
1,27.5673,11.3698,0,0,1699454613
1,27.6196,11.3215,0,0,1699454613
1,27.6403,11.2733,0,0,1699454613
1,27.6138,11.2427,0,0,1699454613
1,27.5678,11.248,0,0,1699454613
1,27.5296,11.2589,0,0,1699454613
1,27.5056,11.2431,0,0,1699454613
1,27.4997,11.2064,0,0,1699454613
1,27.5048,11.1724,0,0,1699454613
1,27.5033,11.1552,0,0,1699454613
1,27.5024,11.1468,0,0,1699454613
1,27.5205,11.153,0,0,1699454613
1,27.5525,11.1907,0,0,1699454613
1,27.5906,11.2394,0,0,1699454613
1,27.6275,11.2702,0,0,1699454613
1,27.6442,11.2821,0,0,1699454613
1,27.6478,11.2772,0,0,1699454613
1,27.6573,11.2585,0,0,1699454613
1,27.6607,11.2413,0,0,1699454613
1,27.6559,11.2301,0,0,1699454613
1,27.6637,11.213,0,0,1699454613
1,27.6904,11.1804,0,0,1699454613
1,27.7227,11.1428,0,0,1699454613
1,27.7365,11.1244,0,0,1699454613
1,27.7258,11.1414,0,0,1699454613
1,27.7124,11.1865,0,0,1699454613
1,27.7077,11.2239,0,0,1699454613
1,27.7051,11.2413,0,0,1699454613
1,27.7081,11.2751,0,0,1699454613
1,27.7292,11.3381,0,0,1699454613
1,27.7499,11.407,0,0,1699454613
1,27.7475,11.4707,0,0,1699454613
1,27.7357,11.5557,0,0,1699454613
1,27.7214,11.5731,0,0,1699454613
1,27.6914,11.6722,0,0,1699454613
1,27.648,11.6814,0,0,1699454613
1,27.6102,11.6439,0,0,1699454613
1,27.5933,11.6101,0,0,1699454613
1,27.5986,11.588,0,0,1699454613
1,27.6125,11.5721,0,0,1699454613
1,27.6197,11.547,0,0,1699454613
1,27.6184,11.5195,0,0,1699454613
1,27.6135,11.509,0,0,1699454613
1,27.606,11.5009,0,0,1699454613
1,27.5918,11.484,0,0,1699454613
1,27.569,11.4728,0,0,1699454613
1,27.5496,11.4655,0,0,1699454613
1,27.5442,11.4497,0,0,1699454613
1,27.548,11.4266,0,0,1699454613
1,27.5569,11.404,0,0,1699454613
1,27.5642,11.3805,0,0,1699454613
1,27.5572,11.3526,0,0,1699454613
