Sample,EIMMagnitude,EIMPhase,JointAngle,Mass,Time
1,40.2316,16.2164,0,0,1699454613
1,36.1775,39.3709,0,0,1699454613
1,48.312,16.0264,0,0,1699454613
1,28.4242,23.8852,0,0,1699454613
1,40.9045,3.58972,0,0,1699454613
1,36.3833,31.859,0,0,1699454613
1,32.567,6.9588,0,0,1699454613
1,38.0513,20.061,0,0,1699454613
1,34.0703,17.5352,0,0,1699454613
1,40.038,16.9781,0,0,1699454613
1,40.3902,14.1114,0,0,1699454613
1,32.1704,29.9021,0,0,1699454613
1,48.8516,21.6134,0,0,1699454613
1,39.8694,18.6151,0,0,1699454613
1,40.5249,33.4441,0,0,1699454613
1,32.5554,16.325,0,0,1699454613
1,38.3718,21.9702,0,0,1699454613
1,39.5925,29.1255,0,0,1699454613
1,40.7995,2.97157,0,0,1699454613
1,37.2457,0.64682,0,0,1699454613
1,40.5586,45.3793,0,0,1699454613
1,37.4321,17.7356,0,0,1699454613
1,37.1019,2.68312,0,0,1699454613
1,37.9647,7.64657,0,0,1699454613
1,44.7436,20.496,0,0,1699454613
1,34.7843,24.0752,0,0,1699454613
1,44.8459,9.96274,0,0,1699454613
1,55.0765,23.8525,0,0,1699454613
1,35.7442,3.03114,0,0,1699454613
1,35.9555,41.3899,0,0,1699454613
1,34.8669,32.2178,0,0,1699454613
1,37.1608,14.7042,0,0,1699454613
1,44.6347,24.1982,0,0,1699454613
1,39.4789,9.64082,0,0,1699454613
1,24.381,5.64233,0,0,1699454613
1,45.3309,14.296,0,0,1699454613
1,44.7805,7.71979,0,0,1699454613
1,36.9907,8.33911,0,0,1699454613
1,40.4776,7.49512,0,0,1699454613
1,46.2959,15.4514,0,0,1699454613
1,53.8533,15.528,0,0,1699454613
1,40.4523,13.8159,0,0,1699454613
1,24.8559,30.5184,0,0,1699454613
1,27.0908,12.4714,0,0,1699454613
1,39.5193,39.1448,0,0,1699454613
1,62.2304,18.5035,0,0,1699454613
1,42.8928,16.0604,0,0,1699454613
1,30.8737,22.9963,0,0,1699454613
1,45.9826,13.9308,0,0,1699454613
1,44.801,6.52296,0,0,1699454613
1,49.7706,19.8836,0,0,1699454613
1,31.3807,9.03821,0,0,1699454613
1,32.0525,13.1228,0,0,1699454613
1,35.224,23.1416,0,0,1699454613
1,37.4588,12.553,0,0,1699454613
1,42.746,9.94789,0,0,1699454613
1,31.762,3.63759,0,0,1699454613
1,46.1631,4.21092,0,0,1699454613
1,43.8576,7.45087,0,0,1699454613
1,29.3879,39.9525,0,0,1699454613
1,39.3444,24.1878,0,0,1699454613
1,33.9509,14.7318,0,0,1699454613
1,33.6677,1.75208,0,0,1699454613
1,33.078,16.9837,0,0,1699454613
1,45.3267,3.58011,0,0,1699454613
1,38.6155,3.02704,0,0,1699454613
1,39.3312,11.2199,0,0,1699454613
1,36.9726,9.31743,0,0,1699454613
1,34.5221,10.1705,0,0,1699454613
1,44.1309,4.09501,0,0,1699454613
1,38.3696,26.7287,0,0,1699454613
1,32.533,1.68994,0,0,1699454613
1,34.9701,18.8573,0,0,1699454613
1,37.2429,5.15727,0,0,1699454613
1,38.1574,10.0741,0,0,1699454613
1,38.6863,19.2029,0,0,1699454613
1,33.3194,10.3918,0,0,1699454613
1,41.1902,9.60846,0,0,1699454613
1,36.3398,20.3013,0,0,1699454613
1,45.8503,2.52544,0,0,1699454613
1,51.7645,25.1749,0,0,1699454613
1,39.3198,16.0017,0,0,1699454613
1,39.5982,8.44518,0,0,1699454613
1,39.8498,22.2463,0,0,1699454613
1,34.7253,9.20255,0,0,1699454613
1,46.1118,11.4701,0,0,1699454613
1,36.8419,18.829,0,0,1699454613
1,33.2571,10.7231,0,0,1699454613
1,39.1107,23.7255,0,0,1699454613
1,40.8571,7.12232,0,0,1699454613
1,46.6866,14.1586,0,0,1699454613
1,44.6308,12.172,0,0,1699454613
1,41.5692,9.66948,0,0,1699454613
1,31.8602,16.2484,0,0,1699454613
1,39.7163,4.28976,0,0,1699454613
1,35.3891,12.2792,0,0,1699454613
1,32.0223,12.109,0,0,1699454613
1,31.7493,1.99511,0,0,1699454613
1,27.4532,5.70444,0,0,1699454613
1,47.0278,4.15051,0,0,1699454613
1,43.0817,29.4153,0,0,1699454613
1,28.4304,15.916,0,0,1699454613
1,37.9808,18.3723,0,0,1699454613
1,32.6399,12.5611,0,0,1699454613
1,36.9461,27.5023,0,0,1699454613
1,35.5155,5.36204,0,0,1699454613
1,34.8877,17.765,0,0,1699454613
1,46.5993,1.52374,0,0,1699454613
1,49.946,6.80485,0,0,1699454613
1,37.7618,22.2962,0,0,1699454613
1,41.0522,15.4234,0,0,1699454613
1,44.8826,15.8782,0,0,1699454613
1,36.9513,19.4724,0,0,1699454613
1,33.2628,13.8731,0,0,1699454613
1,39.3178,15.6737,0,0,1699454613
1,27.2388,20.5498,0,0,1699454613
1,44.4507,1.02297,0,0,1699454613
1,43.0659,0.864141,0,0,1699454613
1,33.476,8.49289,0,0,1699454613
1,38.3756,25.5567,0,0,1699454613
1,37.9886,29.7018,0,0,1699454613
1,40.5817,14.7781,0,0,1699454613
1,31.9293,3.3192,0,0,1699454613
1,41.1576,23.3419,0,0,1699454613
1,32.4191,8.95244,0,0,1699454613
1,45.9816,2.77805,0,0,1699454613
1,32.3029,25.439,0,0,1699454613
1,50.9543,28.6059,0,0,1699454613
1,33.1987,7.3491,0,0,1699454613
1,46.3199,7.41419,0,0,1699454613
1,24.4878,29.9142,0,0,1699454613
1,38.7057,5.94408,0,0,1699454613
1,29.3523,14.2982,0,0,1699454613
1,49.6791,14.0978,0,0,1699454613
1,38.6898,34.3858,0,0,1699454613
1,18.8415,22.1126,0,0,1699454613
1,23.8303,38.0522,0,0,1699454613
1,49.1497,14.826,0,0,1699454613
1,110.062,21.5628,0,0,1699454613
1,37.7492,20.2142,0,0,1699454613
1,27.3432,37.2817,0,0,1699454613
1,34.3215,5.51652,0,0,1699454613
1,36.3143,11.1329,0,0,1699454613
1,36.2021,26.8945,0,0,1699454613
1,41.5634,10.997,0,0,1699454613
1,41.209,9.82699,0,0,1699454613
1,38.6158,22.9708,0,0,1699454613
1,37.3652,3.65409,0,0,1699454613
1,30.8777,17.7091,0,0,1699454613
1,43.8835,7.55477,0,0,1699454613
1,43.751,2.82346,0,0,1699454613
1,37.7665,8.80447,0,0,1699454613
1,53.3594,13.4784,0,0,1699454613
1,33.8658,25.1074,0,0,1699454613
1,42.8944,25.4957,0,0,1699454613
1,38.0962,20.5598,0,0,1699454613
1,54.12,0.489797,0,0,1699454613
1,41.1921,16.6294,0,0,1699454613
1,43.0394,21.8645,0,0,1699454613
1,41.7254,10.8715,0,0,1699454613
1,42.7886,26.3366,0,0,1699454613
1,26.8952,22.7589,0,0,1699454613
1,50.5362,49.1998,0,0,1699454613
1,51.8665,7.48948,0,0,1699454613
1,46.5124,33.6987,0,0,1699454613
1,22.4142,51.1987,0,0,1699454613
1,43.327,1.07141,0,0,1699454613
1,57.9841,4.06815,0,0,1699454613
1,52.5593,7.52772,0,0,1699454613
1,39.4853,0.0478239,0,0,1699454613
1,19.7997,8.10551,0,0,1699454613
1,31.2338,35.7124,0,0,1699454613
1,30.1391,7.16058,0,0,1699454613
1,33.7949,12.9587,0,0,1699454613
1,41.7752,0.0899727,0,0,1699454613
1,43.5812,7.90075,0,0,1699454613
1,32.8399,21.5513,0,0,1699454613
1,38.2291,4.00792,0,0,1699454613
1,53.1208,24.7972,0,0,1699454613
1,42.6716,30.9919,0,0,1699454613
1,52.7429,32.9707,0,0,1699454613
1,51.8673,11.5542,0,0,1699454613
1,33.9978,26.7142,0,0,1699454613
1,38.1622,5.06224,0,0,1699454613
1,52.4454,11.0396,0,0,1699454613
1,28.6766,13.1177,0,0,1699454613
1,39.6409,13.8597,0,0,1699454613
1,45.8116,11.9265,0,0,1699454613
1,46.0028,0.428762,0,0,1699454613
1,56.3502,5.98226,0,0,1699454613
1,32.1502,13.9,0,0,1699454613
1,33.4553,26.1068,0,0,1699454613
1,37.8177,37.4919,0,0,1699454613
1,39.1397,21.6691,0,0,1699454613
1,40.0633,6.7428,0,0,1699454613
1,33.4552,42.4471,0,0,1699454613
1,61.1361,33.7705,0,0,1699454613
1,38.4527,34.9655,0,0,1699454613
1,29.9693,35.4836,0,0,1699454613
1,42.5103,29.1788,0,0,1699454613
1,32.2494,93.991,0,0,1699454613
1,28.2477,16.0412,0,0,1699454613
1,21.4343,1.90506,0,0,1699454613
1,32.3705,4.63992,0,0,1699454613
1,35.9726,9.17526,0,0,1699454613
1,47.488,9.81965,0,0,1699454613
1,43.1521,18.308,0,0,1699454613
1,38.4365,0.772594,0,0,1699454613
1,38.3408,4.78683,0,0,1699454613
1,36.9212,29.7721,0,0,1699454613
1,37.5022,1.70255,0,0,1699454613
1,34.0165,12.1932,0,0,1699454613
1,27.7093,17.6532,0,0,1699454613
1,34.9159,12.1763,0,0,1699454613
1,43.4284,11.0323,0,0,1699454613
1,37.0877,4.14649,0,0,1699454613
1,45.6301,15.0362,0,0,1699454613
1,43.1215,5.42365,0,0,1699454613
1,28.0213,5.54695,0,0,1699454613
1,36.2896,11.4247,0,0,1699454613
1,39.8876,12.5999,0,0,1699454613
1,49.6704,16.6915,0,0,1699454613
1,39.1146,43.2712,0,0,1699454613
1,24.1402,0.968269,0,0,1699454613
1,37.3623,13.8175,0,0,1699454613
1,43.1798,19.3029,0,0,1699454613
1,32.4577,18.8212,0,0,1699454613
1,34.37,3.22985,0,0,1699454613
1,36.7087,27.6847,0,0,1699454613
1,38.6179,8.15117,0,0,1699454613
1,45.9556,4.92782,0,0,1699454613
1,31.9524,37.9323,0,0,1699454613
1,31.4678,20.1278,0,0,1699454613
1,31.1352,16.3803,0,0,1699454613
1,44.2802,37.3178,0,0,1699454613
1,27.0213,20.0119,0,0,1699454613
1,61.2463,15.3581,0,0,1699454613
1,48.7063,29.545,0,0,1699454613
1,38.6646,26.3458,0,0,1699454613
1,35.5421,14.0833,0,0,1699454613
1,40.9995,29.541,0,0,1699454613
1,44.8691,22.5225,0,0,1699454613
1,33.1342,14.4692,0,0,1699454613
1,37.7924,15.7476,0,0,1699454613
1,42.7052,11.5451,0,0,1699454613
1,35.0337,1.46488,0,0,1699454613
1,33.8965,0.528887,0,0,1699454613
1,52.1585,9.51374,0,0,1699454613
1,33.2651,11.8886,0,0,1699454613
1,45.5046,13.7106,0,0,1699454613
1,38.6748,5.30919,0,0,1699454613
1,34.4899,21.8206,0,0,1699454613
1,46.9309,16.3937,0,0,1699454613
1,31.9992,27.6519,0,0,1699454613
1,37.27,10.087,0,0,1699454613
1,37.9963,14.9988,0,0,1699454613
1,44.658,29.4346,0,0,1699454613
1,25.5813,24.5626,0,0,1699454613
1,35.8431,10.157,0,0,1699454613
1,44.8468,8.88321,0,0,1699454613
1,25.2364,1.12069,0,0,1699454613
1,52.7617,12.4126,0,0,1699454613
1,31.2732,23.9234,0,0,1699454613
1,29.8616,33.975,0,0,1699454613
1,36.4632,15.2469,0,0,1699454613
