Sample,EIMMagnitude,EIMPhase,JointAngle,Mass,Time
1,24.4904,113.152,0,0,1699875690
1,95.6084,11.112,0,0,1699875690
1,53.9797,29.2556,0,0,1699875690
1,29.6882,11.636,0,0,1699875690
1,60.6092,17.9946,0,0,1699875690
1,38.4946,10.2368,0,0,1699875690
1,39.9856,23.6682,0,0,1699875690
1,83.5545,9.50688,0,0,1699875690
1,47.0877,44.7397,0,0,1699875690
1,48.3901,19.1922,0,0,1699875690
1,54.7285,26.5203,0,0,1699875690
1,48.887,17.5407,0,0,1699875690
1,33.4109,12.4724,0,0,1699875690
1,49.8229,10.14,0,0,1699875690
1,42.8502,10.9557,0,0,1699875690
1,58.4284,1.05559,0,0,1699875690
1,63.6974,3.46374,0,0,1699875690
1,56.326,0.39458,0,0,1699875690
1,46.2246,20.7482,0,0,1699875690
1,63.4813,60.8641,0,0,1699875690
1,48.9947,2.0319,0,0,1699875690
1,69.5662,29.3284,0,0,1699875690
1,45.597,60.0816,0,0,1699875690
1,90.1596,8.57192,0,0,1699875690
1,179.37,10.033,0,0,1699875690
1,79.7493,4.81438,0,0,1699875690
1,100.232,107.408,0,0,1699875690
1,102.588,22.6093,0,0,1699875690
1,38.0282,22.056,0,0,1699875690
1,37.8701,70.9282,0,0,1699875690
1,40.4326,18.804,0,0,1699875690
1,54.3644,27.0741,0,0,1699875690
1,30.8768,8.23572,0,0,1699875690
1,51.9162,41.4254,0,0,1699875690
1,48.6832,6.32588,0,0,1699875690
1,58.5596,69.0814,0,0,1699875690
1,50.4084,1.28883,0,0,1699875690
1,21.1591,18.7874,0,0,1699875690
1,43.8816,8.61648,0,0,1699875690
1,11.4412,56.6258,0,0,1699875690
1,54.0012,32.0511,0,0,1699875690
1,21.6132,44.4907,0,0,1699875690
1,118.451,52.4916,0,0,1699875690
1,55.9712,19.8758,0,0,1699875690
1,61.5922,122.128,0,0,1699875690
1,35.7192,6.65412,0,0,1699875690
1,45.4528,1.20476,0,0,1699875690
1,74.3014,23.7548,0,0,1699875690
1,40.8395,6.59013,0,0,1699875690
1,66.8958,11.7057,0,0,1699875690
1,34.8105,12.9218,0,0,1699875690
1,65.8387,15.1266,0,0,1699875690
1,37.7956,13.7185,0,0,1699875690
1,32.9322,14.5722,0,0,1699875690
1,68.4429,15.3328,0,0,1699875690
1,71.1502,2.565,0,0,1699875690
1,38.983,0.229191,0,0,1699875690
1,29.1647,9.80311,0,0,1699875690
1,66.2513,9.31897,0,0,1699875690
1,82.1839,16.6185,0,0,1699875690
1,55.3028,12.0985,0,0,1699875690
1,78.3998,15.215,0,0,1699875690
1,97.131,9.69668,0,0,1699875690
1,61.1418,13.0476,0,0,1699875690
1,46.6167,65.8177,0,0,1699875690
1,15.2485,23.9835,0,0,1699875690
1,83.629,82.7606,0,0,1699875690
1,12.5858,15.3592,0,0,1699875690
1,47.2987,45.4011,0,0,1699875690
1,65.7379,14.7262,0,0,1699875690
1,130.094,42.9477,0,0,1699875690
1,181.47,7.85231,0,0,1699875690
1,21.8156,1.15187,0,0,1699875690
1,58.8319,49.983,0,0,1699875690
1,51.809,7.15357,0,0,1699875690
1,54.2059,1.40056,0,0,1699875690
1,46.2264,37.2859,0,0,1699875690
1,46.6238,16.4433,0,0,1699875690
1,40.2363,27.0067,0,0,1699875690
1,54.2212,56.9919,0,0,1699875690
1,54.2329,21.0888,0,0,1699875690
1,101.185,4.31813,0,0,1699875690
1,65.7908,16.2862,0,0,1699875690
1,54.0454,14.303,0,0,1699875690
1,60.5778,20.5856,0,0,1699875690
1,63.3108,3.53903,0,0,1699875690
1,68.9045,23.134,0,0,1699875690
1,54.0888,14.1774,0,0,1699875690
1,51.4001,9.30369,0,0,1699875690
1,50.8304,13.8796,0,0,1699875690
1,58.7654,3.62215,0,0,1699875690
1,46.1056,1.39913,0,0,1699875690
1,53.9892,28.831,0,0,1699875690
1,53.6173,17.2911,0,0,1699875690
1,55.9808,7.89871,0,0,1699875690
1,53.149,22.3676,0,0,1699875690
1,84.273,2.34876,0,0,1699875690
1,109.993,94.0859,0,0,1699875690
1,34.7995,19.4435,0,0,1699875690
1,49.4678,48.4747,0,0,1699875690
1,65.1667,18.0885,0,0,1699875690
1,69.636,17.5767,0,0,1699875690
1,56.5872,1.23061,0,0,1699875690
1,24.2937,4.70055,0,0,1699875690
1,67.3047,26.6416,0,0,1699875690
1,92.6423,15.4615,0,0,1699875690
1,58.5925,85.06,0,0,1699875690
1,70.7909,12.1978,0,0,1699875690
1,44.1636,39.0038,0,0,1699875690
1,52.1858,26.0571,0,0,1699875690
1,35.5279,18.9187,0,0,1699875690
1,27.5549,20.3032,0,0,1699875690
1,52.7235,10.6771,0,0,1699875690
1,53.8192,17.2578,0,0,1699875690
1,69.9665,18.3361,0,0,1699875690
1,39.2119,11.1416,0,0,1699875690
1,36.1513,46.2117,0,0,1699875690
1,19.5781,14.8281,0,0,1699875690
1,42.0419,30.2439,0,0,1699875690
1,44.1408,18.272,0,0,1699875690
1,43.96,12.4951,0,0,1699875690
1,40.61,28.3427,0,0,1699875690
1,58.1774,14.9574,0,0,1699875690
1,40.2984,4.92703,0,0,1699875690
1,57.0121,11.6374,0,0,1699875690
1,59.4316,14.9551,0,0,1699875690
1,58.5498,28.0371,0,0,1699875690
1,27.3455,44.2279,0,0,1699875690
1,80.5647,63.0744,0,0,1699875690
1,33.789,13.7009,0,0,1699875690
1,158.037,18.8744,0,0,1699875690
1,68.2358,63.5253,0,0,1699875690
1,54.4537,18.9583,0,0,1699875690
1,58.2587,5.26243,0,0,1699875690
1,23.3851,10.1319,0,0,1699875690
1,41.8715,6.1693,0,0,1699875690
1,63.578,8.01356,0,0,1699875690
1,39.5253,6.85367,0,0,1699875690
1,30.0063,67.4537,0,0,1699875690
1,36.4338,27.5858,0,0,1699875690
1,107.515,13.4888,0,0,1699875690
1,42.464,22.9746,0,0,1699875690
1,15.0243,111.237,0,0,1699875690
1,151.536,5.95043,0,0,1699875690
1,49.255,138.465,0,0,1699875690
1,58.4136,15.4259,0,0,1699875690
1,361.644,85.5444,0,0,1699875690
1,44.1599,2.1601,0,0,1699875690
1,31.4388,4.92656,0,0,1699875690
1,42.1738,32.0987,0,0,1699875690
1,91.631,81.5454,0,0,1699875690
1,49.6596,29.1771,0,0,1699875690
1,262.746,45.1355,0,0,1699875690
1,32.3176,0.269205,0,0,1699875690
1,51.9938,4.11995,0,0,1699875690
1,44.3477,11.3699,0,0,1699875690
1,62.0509,44.4293,0,0,1699875690
1,48.775,13.0172,0,0,1699875690
1,52.2451,7.24231,0,0,1699875690
1,38.5871,17.3452,0,0,1699875690
1,73.3997,4.29014,0,0,1699875690
