Sample,EIMMagnitude,EIMPhase,JointAngle,Mass,Time
1,13.0333,22.9471,0,0,1699454613
1,16.6108,20.8282,0,0,1699454613
1,19.8357,18.2012,0,0,1699454613
1,21.883,15.8511,0,0,1699454613
1,23.089,14.1167,0,0,1699454613
1,23.9587,13.1116,0,0,1699454613
1,24.5909,12.802,0,0,1699454613
1,24.8035,12.6076,0,0,1699454613
1,24.6974,12.1324,0,0,1699454613
1,24.5837,11.6154,0,0,1699454613
1,24.6083,11.1835,0,0,1699454613
1,24.9273,10.889,0,0,1699454613
1,25.4868,11.0795,0,0,1699454613
1,25.8687,11.6164,0,0,1699454613
1,25.951,11.8619,0,0,1699454613
1,25.9482,11.786,0,0,1699454613
1,25.9479,11.8247,0,0,1699454613
1,25.9521,12.0823,0,0,1699454613
1,25.922,12.3935,0,0,1699454613
1,25.7933,12.5417,0,0,1699454613
1,25.638,12.4929,0,0,1699454613
1,25.5597,12.5626,0,0,1699454613
1,25.474,12.8805,0,0,1699454613
1,25.2914,13.2294,0,0,1699454613
1,25.1558,13.5033,0,0,1699454613
1,25.2787,13.6683,0,0,1699454613
1,25.6664,13.809,0,0,1699454613
1,25.9709,14.0918,0,0,1699454613
1,25.9465,14.3868,0,0,1699454613
1,25.8662,14.6292,0,0,1699454613
1,25.9957,14.9383,0,0,1699454613
1,26.2352,15.1537,0,0,1699454613
1,26.4055,15.0831,0,0,1699454613
1,26.4979,14.8627,0,0,1699454613
1,26.6103,14.7275,0,0,1699454613
1,26.7201,14.7422,0,0,1699454613
1,26.7479,14.8136,0,0,1699454613
1,26.7329,14.8164,0,0,1699454613
1,26.738,14.6841,0,0,1699454613
1,26.7608,14.4852,0,0,1699454613
1,26.8064,14.3415,0,0,1699454613
1,26.9754,14.2489,0,0,1699454613
1,27.3126,14.1419,0,0,1699454613
1,27.6164,14.0032,0,0,1699454613
1,27.7162,13.8506,0,0,1699454613
1,27.6982,13.7754,0,0,1699454613
1,27.6686,13.8162,0,0,1699454613
1,27.6303,13.8311,0,0,1699454613
1,27.5356,13.7319,0,0,1699454613
1,27.3907,13.6368,0,0,1699454613
1,27.2985,13.6663,0,0,1699454613
1,27.2937,13.7589,0,0,1699454613
1,27.2852,13.7615,0,0,1699454613
1,27.2156,13.6299,0,0,1699454613
1,27.131,13.4737,0,0,1699454613
1,27.0727,13.4601,0,0,1699454613
1,27.0334,13.6227,0,0,1699454613
1,26.9988,13.8224,0,0,1699454613
1,26.953,13.9882,0,0,1699454613
1,26.9127,14.1218,0,0,1699454613
1,26.8968,14.1629,0,0,1699454613
1,26.8614,14.0959,0,0,1699454613
1,26.8267,13.98,0,0,1699454613
1,26.8961,13.8781,0,0,1699454613
1,27.0447,13.8425,0,0,1699454613
1,27.1514,13.875,0,0,1699454613
1,27.201,13.9405,0,0,1699454613
1,27.2361,14.0026,0,0,1699454613
1,27.261,14.014,0,0,1699454613
1,27.2814,13.9636,0,0,1699454613
1,27.3035,13.8921,0,0,1699454613
1,27.3315,13.8605,0,0,1699454613
1,27.3754,13.8923,0,0,1699454613
1,27.4091,13.9131,0,0,1699454613
1,27.4042,13.8666,0,0,1699454613
1,27.3608,13.7804,0,0,1699454613
1,27.3003,13.7064,0,0,1699454613
1,27.271,13.7133,0,0,1699454613
1,27.2831,13.7704,0,0,1699454613
1,27.3075,13.7789,0,0,1699454613
1,27.3299,13.7371,0,0,1699454613
1,27.3677,13.6693,0,0,1699454613
1,27.4552,13.5975,0,0,1699454613
1,27.5467,13.5506,0,0,1699454613
1,27.5735,13.4959,0,0,1699454613
1,27.6096,13.4279,0,0,1699454613
1,27.7182,13.3809,0,0,1699454613
1,27.7987,13.3243,0,0,1699454613
1,27.7782,13.2193,0,0,1699454613
1,27.7135,13.109,0,0,1699454613
1,27.6552,13.048,0,0,1699454613
1,27.6057,13.001,0,0,1699454613
1,27.6004,12.9475,0,0,1699454613
1,27.6477,12.9556,0,0,1699454613
1,27.6672,13.0399,0,0,1699454613
1,27.6261,13.1264,0,0,1699454613
1,27.5716,13.1658,0,0,1699454613
1,27.5265,13.1818,0,0,1699454613
1,27.4848,13.2001,0,0,1699454613
1,27.4488,13.2028,0,0,1699454613
1,27.4179,13.1809,0,0,1699454613
1,27.3785,13.154,0,0,1699454613
1,27.3456,13.1403,0,0,1699454613
1,27.3396,13.1291,0,0,1699454613
1,27.3412,13.0946,0,0,1699454613
1,27.3361,13.0499,0,0,1699454613
1,27.3325,13.0362,0,0,1699454613
1,27.3371,13.0486,0,0,1699454613
1,27.3485,13.0488,0,0,1699454613
1,27.3569,13.0429,0,0,1699454613
1,27.3544,13.044,0,0,1699454613
1,27.3406,13.0315,0,0,1699454613
1,27.3153,13.0165,0,0,1699454613
1,27.2778,13.014,0,0,1699454613
1,27.2455,13.0078,0,0,1699454613
1,27.2359,13.0012,0,0,1699454613
1,27.2513,12.9966,0,0,1699454613
1,27.3585,12.9817,0,0,1699454613
1,27.5685,12.9811,0,0,1699454613
1,27.718,13.0263,0,0,1699454613
1,27.7388,13.0752,0,0,1699454613
1,27.714,13.0572,0,0,1699454613
1,27.6629,13.0006,0,0,1699454613
1,27.5739,12.974,0,0,1699454613
1,27.5018,12.9973,0,0,1699454613
1,27.4936,13.0777,0,0,1699454613
1,27.5101,13.1573,0,0,1699454613
1,27.5134,13.1746,0,0,1699454613
1,27.5255,13.1666,0,0,1699454613
1,27.5509,13.1551,0,0,1699454613
1,27.565,13.1381,0,0,1699454613
1,27.5516,13.1302,0,0,1699454613
1,27.5169,13.1067,0,0,1699454613
1,27.4885,13.046,0,0,1699454613
1,27.4885,12.9762,0,0,1699454613
1,27.5127,12.9446,0,0,1699454613
1,27.5406,12.9586,0,0,1699454613
1,27.5541,12.9647,0,0,1699454613
1,27.5469,12.9409,0,0,1699454613
1,27.5273,12.9212,0,0,1699454613
1,27.5048,12.9036,0,0,1699454613
1,27.4799,12.8737,0,0,1699454613
1,27.4537,12.854,0,0,1699454613
1,27.4358,12.8421,0,0,1699454613
1,27.4255,12.8086,0,0,1699454613
1,27.4347,12.7586,0,0,1699454613
1,27.479,12.7096,0,0,1699454613
