Sample,EIMMagnitude,EIMPhase,JointAngle,Mass,Time
1,13.0333,22.9471,0,0,1699454613
1,20.1884,18.7093,0,0,1699454613
1,26.2853,12.9472,0,0,1699454613
1,28.0252,8.80091,0,0,1699454613
1,27.9129,7.1792,0,0,1699454613
1,28.3071,8.086,0,0,1699454613
1,28.3839,10.9445,0,0,1699454613
1,26.2918,11.2464,0,0,1699454613
1,23.849,8.33085,0,0,1699454613
1,23.56,6.962,0,0,1699454613
1,24.854,6.86549,0,0,1699454613
1,28.4366,7.64951,0,0,1699454613
1,32.2002,13.3643,0,0,1699454613
1,30.8341,18.5963,0,0,1699454613
1,27.1031,15.2995,0,0,1699454613
1,25.9069,10.6469,0,0,1699454613
1,25.9426,12.4437,0,0,1699454613
1,26.0234,16.4628,0,0,1699454613
1,25.3796,17.9946,0,0,1699454613
1,23.3492,15.3574,0,0,1699454613
1,22.531,11.5159,0,0,1699454613
1,23.9161,14.0273,0,0,1699454613
1,23.5874,19.874,0,0,1699454613
1,21.0924,21.2543,0,0,1699454613
1,21.9014,20.0766,0,0,1699454613
1,28.3503,17.7925,0,0,1699454613
1,35.7469,17.4679,0,0,1699454613
1,34.1921,21.7273,0,0,1699454613
1,25.2656,22.6483,0,0,1699454613
1,23.5369,21.6576,0,0,1699454613
1,29.8792,24.2103,0,0,1699454613
1,33.6604,21.8328,0,0,1699454613
1,31.854,12.8243,0,0,1699454613
1,29.5496,7.58848,0,0,1699454613
1,30.4303,10.1325,0,0,1699454613
1,30.5631,15.2554,0,0,1699454613
1,27.75,17.3832,0,0,1699454613
1,26.1761,14.9195,0,0,1699454613
1,26.9341,9.65851,0,0,1699454613
1,27.6493,6.72521,0,0,1699454613
1,28.628,8.59743,0,0,1699454613
1,33.9044,10.4521,0,0,1699454613
1,41.4781,9.64637,0,0,1699454613
1,40.6771,8.03817,0,0,1699454613
1,32.1108,7.13617,0,0,1699454613
1,26.8861,10.3938,0,0,1699454613
1,26.3081,15.691,0,0,1699454613
1,25.8272,14.5307,0,0,1699454613
1,22.9917,8.97323,0,0,1699454613
1,20.2894,8.97621,0,0,1699454613
1,22.6923,15.1389,0,0,1699454613
1,27.0467,18.4823,0,0,1699454613
1,26.8449,13.898,0,0,1699454613
1,23.5256,6.65572,0,0,1699454613
1,22.5636,5.0383,0,0,1699454613
1,23.8668,12.7087,0,0,1699454613
1,24.8317,22.7313,0,0,1699454613
1,25.0274,25.2063,0,0,1699454613
1,24.2956,23.6006,0,0,1699454613
1,24.5332,22.0054,0,0,1699454613
1,25.9404,16.6296,0,0,1699454613
1,24.7066,10.0072,0,0,1699454613
1,24.6762,6.79648,0,0,1699454613
1,31.2641,7.46036,0,0,1699454613
1,36.5538,11.5637,0,0,1699454613
1,34.0901,15.9835,0,0,1699454613
1,30.4755,18.2692,0,0,1699454613
1,29.5877,18.1627,0,0,1699454613
1,28.9517,14.7874,0,0,1699454613
1,28.6872,10.4824,0,0,1699454613
1,28.8516,8.89288,0,0,1699454613
1,29.3238,11.6105,0,0,1699454613
1,30.5344,16.1866,0,0,1699454613
1,29.8694,15.431,0,0,1699454613
1,27.0426,10.4269,0,0,1699454613
1,24.1004,7.312,0,0,1699454613
1,22.7092,8.08688,0,0,1699454613
1,25.0136,14.238,0,0,1699454613
1,28.2236,18.2306,0,0,1699454613
1,29.2333,14.449,0,0,1699454613
1,29.1219,10.3895,0,0,1699454613
1,30.4356,8.17684,0,0,1699454613
1,34.6306,7.71272,0,0,1699454613
1,35.1377,9.65842,0,0,1699454613
1,29.8227,8.89783,0,0,1699454613
1,30.6782,7.65217,0,0,1699454613
1,37.0598,9.3349,0,0,1699454613
1,34.8025,8.40065,0,0,1699454613
1,25.9771,3.98515,0,0,1699454613
1,21.9553,3.28523,0,0,1699454613
1,22.4023,7.56465,0,0,1699454613
1,23.1034,8.71634,0,0,1699454613
1,27.1089,8.02891,0,0,1699454613
1,32.0477,13.7114,0,0,1699454613
1,29.4991,20.9619,0,0,1699454613
1,23.7279,21.3458,0,0,1699454613
1,22.3371,16.9431,0,0,1699454613
1,23.155,14.7355,0,0,1699454613
1,23.3942,14.9982,0,0,1699454613
1,23.8893,13.4634,0,0,1699454613
1,24.3291,10.99,0,0,1699454613
1,23.3995,10.4427,0,0,1699454613
1,23.9891,11.7393,0,0,1699454613
1,26.7147,11.9771,0,0,1699454613
1,27.5061,9.51076,0,0,1699454613
1,26.8065,8.3555,0,0,1699454613
1,26.9516,11.5832,0,0,1699454613
1,27.8316,14.3771,0,0,1699454613
1,28.5795,13.0645,0,0,1699454613
1,28.2645,12.4037,0,0,1699454613
1,27.0859,13.1603,0,0,1699454613
1,25.802,11.6515,0,0,1699454613
1,24.4845,11.3376,0,0,1699454613
1,23.042,12.7286,0,0,1699454613
1,23.5666,12.2953,0,0,1699454613
1,26.1306,12.2419,0,0,1699454613
1,29.0354,12.4627,0,0,1699454613
1,39.9007,11.2433,0,0,1699454613
1,52.3441,12.9063,0,0,1699454613
1,45.5139,18.4039,0,0,1699454613
1,30.2296,18.9499,0,0,1699454613
1,24.7218,10.8707,0,0,1699454613
1,21.4298,6.10346,0,0,1699454613
1,16.6186,9.7053,0,0,1699454613
1,18.5598,15.8812,0,0,1699454613
1,26.473,23.1242,0,0,1699454613
1,29.5851,23.1869,0,0,1699454613
1,27.9429,15.3707,0,0,1699454613
1,29.0713,12.1454,0,0,1699454613
1,30.8259,11.6795,0,0,1699454613
1,29.3988,10.9208,0,0,1699454613
1,25.7893,12.0913,0,0,1699454613
1,22.9414,10.0054,0,0,1699454613
1,23.7159,4.97824,0,0,1699454613
1,27.4863,3.61686,0,0,1699454613
1,30.7771,8.67865,0,0,1699454613
1,31.3378,14.8744,0,0,1699454613
1,29.3973,13.7997,0,0,1699454613
1,26.5633,9.65694,0,0,1699454613
1,24.7968,10.1821,0,0,1699454613
1,24.3569,10.4345,0,0,1699454613
1,23.9653,8.65785,0,0,1699454613
1,23.7316,10.0529,0,0,1699454613
1,24.8836,11.1379,0,0,1699454613
1,25.9437,7.99157,0,0,1699454613
1,28.7667,5.50746,0,0,1699454613
1,33.9497,5.54995,0,0,1699454613
1,32.0382,6.11878,0,0,1699454613
1,36.68,7.57049,0,0,1699454613
1,57.8757,8.31874,0,0,1699454613
1,59.0952,8.48448,0,0,1699454613
1,39.453,9.67164,0,0,1699454613
1,34.0899,10.3668,0,0,1699454613
1,34.3599,10.7542,0,0,1699454613
1,28.493,11.7905,0,0,1699454613
1,24.8424,15.1939,0,0,1699454613
1,22.1704,22.6474,0,0,1699454613
1,19.262,27.0788,0,0,1699454613
1,19.6108,21.5448,0,0,1699454613
1,23.3963,13.1829,0,0,1699454613
1,26.6435,10.3048,0,0,1699454613
1,27.4207,9.54712,0,0,1699454613
1,28.1221,7.63581,0,0,1699454613
1,28.6407,7.61333,0,0,1699454613
1,27.6298,8.59824,0,0,1699454613
1,26.1343,7.2696,0,0,1699454613
1,24.5661,7.41297,0,0,1699454613
1,23.5665,10.3546,0,0,1699454613
1,24.5495,10.559,0,0,1699454613
1,26.513,8.62393,0,0,1699454613
1,27.3498,7.98124,0,0,1699454613
1,28.3149,8.46897,0,0,1699454613
1,30.572,9.43397,0,0,1699454613
1,30.9935,9.49886,0,0,1699454613
1,29.4519,8.37192,0,0,1699454613
1,28.3533,7.78076,0,0,1699454613
1,25.4981,8.68007,0,0,1699454613
1,22.0493,11.6132,0,0,1699454613
1,22.5043,16.9382,0,0,1699454613
1,24.5286,19.7349,0,0,1699454613
1,26.6266,17.8383,0,0,1699454613
1,29.0417,24.3308,0,0,1699454613
1,29.7692,15.6113,0,0,1699454613
1,45.1012,29.3335,0,0,1699454613
1,31.9623,13.1025,0,0,1699454613
1,31.9623,9.59207,0,0,1699454613
1,36.9609,13.7029,0,0,1699454613
1,22.6052,13.0674,0,0,1699454613
1,23.8856,7.5414,0,0,1699454613
1,21.56,7.07369,0,0,1699454613
1,23.3076,15.396,0,0,1699454613
1,31.3107,20.8857,0,0,1699454613
1,34.5209,18.3704,0,0,1699454613
1,33.0112,26.4681,0,0,1699454613
1,31.6101,15.6113,0,0,1699454613
1,29.9868,15.6113,0,0,1699454613
1,29.8037,31.214,0,0,1699454613
1,28.6842,10.5699,0,0,1699454613
1,26.4221,8.09469,0,0,1699454613
1,28.1097,7.77952,0,0,1699454613
1,30.9518,7.49056,0,0,1699454613
1,29.5778,14.5894,0,0,1699454613
1,23.2717,26.7796,0,0,1699454613
1,17.107,33.426,0,0,1699454613
1,18.3909,28.4762,0,0,1699454613
1,24.1806,17.4239,0,0,1699454613
1,30.9876,9.82089,0,0,1699454613
1,38.293,7.60328,0,0,1699454613
1,38.5558,7.31949,0,0,1699454613
1,32.5033,7.27542,0,0,1699454613
1,28.3806,7.65666,0,0,1699454613
1,27.9245,7.40021,0,0,1699454613
1,29.6773,6.34986,0,0,1699454613
1,31.2616,7.13999,0,0,1699454613
1,31.4403,11.1931,0,0,1699454613
1,28.9959,15.0517,0,0,1699454613
1,24.1934,14.9148,0,0,1699454613
1,22.5574,11.8238,0,0,1699454613
1,25.7883,9.1575,0,0,1699454613
1,28.967,8.45644,0,0,1699454613
1,30.1623,7.39929,0,0,1699454613
1,30.8094,5.13845,0,0,1699454613
1,30.0321,5.49022,0,0,1699454613
1,29.2832,8.78367,0,0,1699454613
1,30.3339,10.4934,0,0,1699454613
1,29.9241,13.4235,0,0,1699454613
1,25.4786,28.6988,0,0,1699454613
1,20.5076,15.6113,0,0,1699454613
1,20.5044,35.5568,0,0,1699454613
1,25.7218,15.2256,0,0,1699454613
1,33.5409,11.2458,0,0,1699454613
1,37.8804,18.0346,0,0,1699454613
1,35.0936,16.9878,0,0,1699454613
1,34.1024,12.4334,0,0,1699454613
1,36.1113,18.3576,0,0,1699454613
1,32.1287,28.13,0,0,1699454613
1,29.8979,34.3675,0,0,1699454613
1,34.5107,15.6113,0,0,1699454613
1,31.8785,15.6113,0,0,1699454613
1,23.3465,24.4853,0,0,1699454613
1,21.5677,14.7012,0,0,1699454613
1,23.6266,8.01251,0,0,1699454613
1,26.6331,5.6679,0,0,1699454613
1,30.529,8.39264,0,0,1699454613
1,30.4222,10.7756,0,0,1699454613
1,27.5257,11.2213,0,0,1699454613
1,25.8809,12.8881,0,0,1699454613
1,25.385,14.5873,0,0,1699454613
1,24.9161,12.5929,0,0,1699454613
1,24.5192,10.3044,0,0,1699454613
1,25.6915,10.4521,0,0,1699454613
1,26.3813,8.92326,0,0,1699454613
1,25.6595,8.02166,0,0,1699454613
1,26.3367,10.5371,0,0,1699454613
1,25.876,11.2861,0,0,1699454613
1,24.1461,9.56555,0,0,1699454613
1,24.3573,8.10887,0,0,1699454613
1,24.8657,7.62316,0,0,1699454613
1,25.2597,8.27036,0,0,1699454613
1,25.8675,7.65525,0,0,1699454613
1,26.4286,5.1779,0,0,1699454613
1,27.3219,5.99433,0,0,1699454613
1,28.3244,13.1731,0,0,1699454613
1,30.2369,18.6803,0,0,1699454613
1,30.5078,22.4427,0,0,1699454613
1,25.5042,15.6113,0,0,1699454613
1,17.688,15.6113,0,0,1699454613
1,12.2589,31.9308,0,0,1699454613
1,13.4208,18.7689,0,0,1699454613
1,19.7888,21.9171,0,0,1699454613
1,26.3235,19.5833,0,0,1699454613
1,29.5003,13.4966,0,0,1699454613
1,27.7037,20.5674,0,0,1699454613
1,27.1224,27.5329,0,0,1699454613
1,30.6295,23.356,0,0,1699454613
1,31.7857,18.9659,0,0,1699454613
1,30.8264,16.2965,0,0,1699454613
1,30.037,12.8826,0,0,1699454613
1,39.0497,13.5223,0,0,1699454613
1,58.7023,17.6238,0,0,1699454613
1,59.137,17.5618,0,0,1699454613
1,39.0712,13.3341,0,0,1699454613
1,28.6225,11.9104,0,0,1699454613
1,28.5265,10.8384,0,0,1699454613
1,27.5972,7.50901,0,0,1699454613
1,26.4033,6.67262,0,0,1699454613
1,25.5406,7.13715,0,0,1699454613
1,24.5957,6.51169,0,0,1699454613
1,23.2521,7.6391,0,0,1699454613
1,21.8772,11.3639,0,0,1699454613
1,22.8081,14.2472,0,0,1699454613
1,26.7387,14.1375,0,0,1699454613
1,30.2204,13.3385,0,0,1699454613
1,30.1255,13.3902,0,0,1699454613
1,27.4578,12.4947,0,0,1699454613
1,27.2899,13.2716,0,0,1699454613
1,30.3443,17.4205,0,0,1699454613
1,28.7231,17.3871,0,0,1699454613
1,23.6556,14.1989,0,0,1699454613
1,24.7648,18.9651,0,0,1699454613
1,29.7095,26.9126,0,0,1699454613
1,31.1077,24.4099,0,0,1699454613
1,27.0217,13.2082,0,0,1699454613
1,24.9833,4.87469,0,0,1699454613
1,31.1734,7.27734,0,0,1699454613
1,41.2234,17.9178,0,0,1699454613
1,51.1347,24.0331,0,0,1699454613
1,51.4856,19.0465,0,0,1699454613
1,39.5103,9.63157,0,0,1699454613
1,29.1849,5.52125,0,0,1699454613
1,25.7158,7.97192,0,0,1699454613
1,24.4546,8.22956,0,0,1699454613
1,23.9854,5.24316,0,0,1699454613
1,25.6555,6.29797,0,0,1699454613
1,27.4836,9.59158,0,0,1699454613
1,26.3563,9.71156,0,0,1699454613
1,25.9728,8.64716,0,0,1699454613
1,28.1175,10.7655,0,0,1699454613
1,28.102,14.0372,0,0,1699454613
1,25.937,13.4323,0,0,1699454613
1,25.1156,11.2822,0,0,1699454613
1,25.3993,11.2524,0,0,1699454613
1,26.8725,9.52131,0,0,1699454613
1,29.2524,5.57641,0,0,1699454613
1,30.9533,4.90046,0,0,1699454613
1,30.6684,10.6604,0,0,1699454613
1,35.4692,19.9562,0,0,1699454613
1,48.0726,22.2998,0,0,1699454613
1,49.0775,14.332,0,0,1699454613
1,35.0901,13.0844,0,0,1699454613
1,26.7023,23.8739,0,0,1699454613
