Sample,EIMMagnitude,EIMPhase,JointAngle,Mass,Time
1,50.0657,41.0136,0,0,1699875690
1,50.0657,37.6001,0,0,1699875690
1,52.0026,29.0718,0,0,1699875690
1,42.3168,1.67398,0,0,1699875690
1,69.1976,35.8235,0,0,1699875690
1,36.5031,14.076,0,0,1699875690
1,59.28,4.28827,0,0,1699875690
1,43.0061,2.05639,0,0,1699875690
1,47.0483,33.6219,0,0,1699875690
1,33.4711,13.5217,0,0,1699875690
1,74.7293,9.00684,0,0,1699875690
1,37.9156,12.9761,0,0,1699875690
1,36.6705,12.3512,0,0,1699875690
1,48.5604,6.71243,0,0,1699875690
1,60.7489,7.13705,0,0,1699875690
1,90.5949,9.5546,0,0,1699875690
1,63.4873,29.2124,0,0,1699875690
1,68.7406,17.4374,0,0,1699875690
1,63.0149,10.2942,0,0,1699875690
1,64.5697,25.1467,0,0,1699875690
1,51.6274,4.0524,0,0,1699875690
1,59.1975,42.8891,0,0,1699875690
1,51.0011,15.4769,0,0,1699875690
1,28.5453,133.294,0,0,1699875690
1,43.5875,28.2103,0,0,1699875690
1,73.3192,4.63982,0,0,1699875690
1,50.0372,12.2502,0,0,1699875690
1,35.9577,17.9593,0,0,1699875690
1,19.0769,10.4714,0,0,1699875690
1,56.3056,122.417,0,0,1699875690
1,35.0882,65.8897,0,0,1699875690
1,50.8414,21.3933,0,0,1699875690
1,81.6686,23.2701,0,0,1699875690
1,31.0906,19.5639,0,0,1699875690
1,59.0457,30.625,0,0,1699875690
1,66.5467,27.6366,0,0,1699875690
1,77.9332,5.67383,0,0,1699875690
1,49.6507,8.00462,0,0,1699875690
1,60.459,0.804558,0,0,1699875690
1,45.4257,37.1936,0,0,1699875690
1,52.7777,9.05702,0,0,1699875690
1,60.1696,21.9165,0,0,1699875690
1,49.5352,45.6822,0,0,1699875690
1,91.8744,0.62819,0,0,1699875690
1,20.5755,14.9506,0,0,1699875690
1,32.8354,24.6705,0,0,1699875690
1,59.0642,19.6688,0,0,1699875690
1,55.2011,6.71507,0,0,1699875690
1,39.7803,14.4529,0,0,1699875690
1,52.7076,13.9336,0,0,1699875690
1,32.7539,3.70056,0,0,1699875690
1,28.3196,27.0382,0,0,1699875690
1,67.0844,12.674,0,0,1699875690
1,45.4372,17.4773,0,0,1699875690
1,50.7495,73.9944,0,0,1699875690
1,40.0732,16.3391,0,0,1699875690
1,125.961,3.2127,0,0,1699875690
1,34.8553,11.5553,0,0,1699875690
1,51.4918,42.9015,0,0,1699875690
1,54.1511,36.4918,0,0,1699875690
1,131.389,34.9356,0,0,1699875690
1,53.4416,30.3245,0,0,1699875690
1,38.1431,16.5946,0,0,1699875690
1,58.0547,36.6061,0,0,1699875690
1,189.23,31.1392,0,0,1699875690
1,58.6612,1.65607,0,0,1699875690
1,47.8254,20.0884,0,0,1699875690
1,53.352,6.1237,0,0,1699875690
1,29.6585,17.2933,0,0,1699875690
1,53.4882,11.4885,0,0,1699875690
1,52.3518,23.8219,0,0,1699875690
1,87.5052,5.38394,0,0,1699875690
1,29.9946,11.8082,0,0,1699875690
1,57.4278,4.50709,0,0,1699875690
1,75.4601,69.6872,0,0,1699875690
1,96.0594,32.1513,0,0,1699875690
1,31.2956,4.31697,0,0,1699875690
1,67.9665,3.39673,0,0,1699875690
1,34.1635,6.40066,0,0,1699875690
1,41.5852,22.3682,0,0,1699875690
1,30.5418,52.5433,0,0,1699875690
1,38.1268,7.99613,0,0,1699875690
1,43.4415,0.0594623,0,0,1699875690
1,53.3118,6.57234,0,0,1699875690
1,46.5162,18.2276,0,0,1699875690
1,41.0275,34.7866,0,0,1699875690
1,55.3049,45.8429,0,0,1699875690
1,34.507,5.11425,0,0,1699875690
1,54.5714,56.0689,0,0,1699875690
1,56.1308,29.3231,0,0,1699875690
1,43.2479,71.0114,0,0,1699875690
1,70.9545,25.3854,0,0,1699875690
1,39.4936,21.9481,0,0,1699875690
1,38.7763,40.7253,0,0,1699875690
1,40.1112,12.9013,0,0,1699875690
1,81.4536,20.3292,0,0,1699875690
1,25.4801,33.8566,0,0,1699875690
1,69.202,8.99433,0,0,1699875690
1,69.1305,4.50513,0,0,1699875690
1,50.6623,23.5055,0,0,1699875690
1,38.1359,19.1163,0,0,1699875690
1,77.0722,10.5541,0,0,1699875690
1,31.1083,0.318363,0,0,1699875690
1,18.1066,109.295,0,0,1699875690
1,164.042,9.62432,0,0,1699875690
1,149.128,179.367,0,0,1699875690
1,63.1557,7.85268,0,0,1699875690
1,88.9197,35.2874,0,0,1699875690
1,188.822,50.0726,0,0,1699875690
1,104.431,127.178,0,0,1699875690
1,28.4052,24.303,0,0,1699875690
1,48.0466,38.6116,0,0,1699875690
1,198.162,9.68902,0,0,1699875690
1,68.4709,15.4982,0,0,1699875690
