Sample,EIMMagnitude,EIMPhase,JointAngle,Mass,Time
1,8.83944,22.5398,0,0,1699454613
1,14.3991,20.8618,0,0,1699454613
1,19.4882,18.9731,0,0,1699454613
1,22.5223,20.6739,0,0,1699454613
1,23.8509,19.5705,0,0,1699454613
1,24.303,18.8349,0,0,1699454613
1,24.3867,20.5698,0,0,1699454613
1,24.5129,20.601,0,0,1699454613
1,24.862,19.7293,0,0,1699454613
1,25.3791,18.4913,0,0,1699454613
1,26.1456,17.5727,0,0,1699454613
1,27.5513,17.3647,0,0,1699454613
1,29.2362,17.4682,0,0,1699454613
1,30.1376,17.5587,0,0,1699454613
1,30.2819,17.6797,0,0,1699454613
1,30.352,17.6273,0,0,1699454613
1,30.3514,17.2703,0,0,1699454613
1,30.1555,16.7248,0,0,1699454613
1,29.8663,16.3366,0,0,1699454613
1,29.4815,16.4594,0,0,1699454613
1,29.0806,16.8205,0,0,1699454613
1,28.7936,17.1651,0,0,1699454613
1,28.4949,17.6154,0,0,1699454613
1,28.0764,18.0264,0,0,1699454613
1,27.6821,18.2119,0,0,1699454613
1,27.4266,18.218,0,0,1699454613
1,27.2905,18.1296,0,0,1699454613
1,27.2254,17.9821,0,0,1699454613
1,27.2103,17.8863,0,0,1699454613
1,27.2456,18.0568,0,0,1699454613
1,27.2671,18.4395,0,0,1699454613
1,27.2463,18.7677,0,0,1699454613
1,27.2474,18.8866,0,0,1699454613
1,27.2631,18.7293,0,0,1699454613
1,27.2525,18.373,0,0,1699454613
1,27.2283,18.2011,0,0,1699454613
1,27.2035,18.4431,0,0,1699454613
1,27.1735,18.686,0,0,1699454613
1,27.1365,18.5689,0,0,1699454613
1,27.1245,18.2731,0,0,1699454613
1,27.1719,17.977,0,0,1699454613
1,27.2662,17.6809,0,0,1699454613
1,27.3317,17.4212,0,0,1699454613
1,27.2735,17.2413,0,0,1699454613
1,27.0851,17.1573,0,0,1699454613
1,26.8821,17.1837,0,0,1699454613
1,26.7936,17.282,0,0,1699454613
1,26.8019,17.3276,0,0,1699454613
1,26.7483,17.2427,0,0,1699454613
1,26.5823,17.0627,0,0,1699454613
1,26.4443,16.8639,0,0,1699454613
1,26.4393,16.7332,0,0,1699454613
1,26.513,16.6787,0,0,1699454613
1,26.5809,16.598,0,0,1699454613
1,26.6346,16.4482,0,0,1699454613
1,26.6816,16.2907,0,0,1699454613
1,26.6953,16.1558,0,0,1699454613
1,26.6507,16.0065,0,0,1699454613
1,26.5816,15.8298,0,0,1699454613
1,26.5555,15.6539,0,0,1699454613
1,26.5815,15.4983,0,0,1699454613
1,26.623,15.377,0,0,1699454613
1,26.6499,15.2772,0,0,1699454613
1,26.6394,15.2077,0,0,1699454613
1,26.5997,15.221,0,0,1699454613
1,26.5715,15.2725,0,0,1699454613
1,26.5748,15.2687,0,0,1699454613
1,26.5772,15.2154,0,0,1699454613
1,26.5545,15.1621,0,0,1699454613
1,26.5327,15.1107,0,0,1699454613
1,26.5357,15.0459,0,0,1699454613
1,26.5758,14.9985,0,0,1699454613
1,26.6539,15.0021,0,0,1699454613
1,26.7146,15.0259,0,0,1699454613
1,26.7091,15.032,0,0,1699454613
1,26.6774,15.0282,0,0,1699454613
1,26.671,15.0135,0,0,1699454613
1,26.6864,14.9689,0,0,1699454613
1,26.698,14.8947,0,0,1699454613
1,26.6868,14.8103,0,0,1699454613
1,26.6615,14.7398,0,0,1699454613
1,26.6528,14.7165,0,0,1699454613
1,26.6554,14.7522,0,0,1699454613
1,26.6366,14.7757,0,0,1699454613
1,26.6039,14.7521,0,0,1699454613
1,26.5752,14.7484,0,0,1699454613
1,26.561,14.752,0,0,1699454613
1,26.5811,14.6992,0,0,1699454613
1,26.6051,14.6197,0,0,1699454613
1,26.5918,14.5652,0,0,1699454613
1,26.5725,14.5346,0,0,1699454613
1,26.5666,14.503,0,0,1699454613
1,26.5479,14.456,0,0,1699454613
1,26.5276,14.4012,0,0,1699454613
1,26.529,14.3395,0,0,1699454613
1,26.5459,14.2779,0,0,1699454613
1,26.5679,14.2508,0,0,1699454613
1,26.5767,14.2474,0,0,1699454613
1,26.574,14.2139,0,0,1699454613
1,26.5885,14.1419,0,0,1699454613
1,26.6111,14.0628,0,0,1699454613
1,26.6206,13.9921,0,0,1699454613
1,26.6304,13.93,0,0,1699454613
1,26.6508,13.8968,0,0,1699454613
1,26.6767,13.9044,0,0,1699454613
1,26.704,13.9115,0,0,1699454613
1,26.728,13.8708,0,0,1699454613
1,26.7532,13.7879,0,0,1699454613
