Sample,EIMMagnitude,EIMPhase,JointAngle,Mass,Time
1,21.0322,29.7128,0,0,1699454613
1,21.1598,23.8187,0,0,1699454613
1,23.0157,19.555,0,0,1699454613
1,24.3872,17.2591,0,0,1699454613
1,24.8324,16.0378,0,0,1699454613
1,25.1786,15.0039,0,0,1699454613
1,25.4454,13.8361,0,0,1699454613
1,25.2851,12.7488,0,0,1699454613
1,24.8884,12.0388,0,0,1699454613
1,24.6068,12.306,0,0,1699454613
1,25.8571,13.5671,0,0,1699454613
1,26.3183,14.482,0,0,1699454613
1,26.7086,14.3031,0,0,1699454613
1,27.7785,13.5807,0,0,1699454613
1,27.7615,12.8662,0,0,1699454613
1,27.7977,12.473,0,0,1699454613
1,27.8466,12.4682,0,0,1699454613
1,27.7582,12.5932,0,0,1699454613
1,27.5071,12.64,0,0,1699454613
1,27.3777,12.5805,0,0,1699454613
1,27.4953,12.4409,0,0,1699454613
1,27.5947,12.3032,0,0,1699454613
1,27.4636,12.397,0,0,1699454613
1,27.1517,12.8582,0,0,1699454613
1,26.8642,13.5037,0,0,1699454613
1,26.7032,14.0129,0,0,1699454613
1,26.7021,14.2013,0,0,1699454613
1,26.8552,14.4484,0,0,1699454613
1,26.9374,14.5507,0,0,1699454613
1,26.8505,14.6461,0,0,1699454613
1,26.7096,14.7354,0,0,1699454613
1,26.5971,14.964,0,0,1699454613
1,26.6001,15.1237,0,0,1699454613
1,26.6979,15.6859,0,0,1699454613
1,26.8308,15.7353,0,0,1699454613
1,26.9559,15.7819,0,0,1699454613
1,27.0011,15.826,0,0,1699454613
1,27.0402,15.8678,0,0,1699454613
1,27.1074,16.3236,0,0,1699454613
1,27.0833,16.6886,0,0,1699454613
1,27.0026,16.8615,0,0,1699454613
1,26.9857,16.8406,0,0,1699454613
1,26.9854,16.8235,0,0,1699454613
1,26.9324,16.7847,0,0,1699454613
1,26.8585,16.6727,0,0,1699454613
1,26.8102,16.6206,0,0,1699454613
1,26.7796,16.6806,0,0,1699454613
1,26.7084,16.6906,0,0,1699454613
1,26.6104,16.5584,0,0,1699454613
1,26.5375,16.3943,0,0,1699454613
1,26.4787,16.3251,0,0,1699454613
1,26.6352,16.4213,0,0,1699454613
1,27.1439,16.8464,0,0,1699454613
1,27.5939,16.8569,0,0,1699454613
1,27.6577,16.8671,0,0,1699454613
1,27.4688,16.8768,0,0,1699454613
1,27.2465,16.8863,0,0,1699454613
1,27.1424,17.0486,0,0,1699454613
1,27.1259,17.1144,0,0,1699454613
1,27.0664,17.2865,0,0,1699454613
1,26.9466,17.6252,0,0,1699454613
1,26.82,17.6218,0,0,1699454613
1,26.7838,17.8732,0,0,1699454613
1,26.8835,18.025,0,0,1699454613
1,27.007,18.3041,0,0,1699454613
1,27.0367,18.2906,0,0,1699454613
1,26.9838,18.5847,0,0,1699454613
1,26.9354,18.8225,0,0,1699454613
1,26.9615,18.9131,0,0,1699454613
1,27.0458,18.8604,0,0,1699454613
1,27.1197,18.8377,0,0,1699454613
1,27.1776,18.8175,0,0,1699454613
1,27.2486,18.696,0,0,1699454613
1,27.2979,18.5738,0,0,1699454613
1,27.285,18.5915,0,0,1699454613
1,27.2769,18.8036,0,0,1699454613
1,27.3691,18.7856,0,0,1699454613
1,27.4946,18.768,0,0,1699454613
1,27.5411,18.7509,0,0,1699454613
1,27.5286,18.8246,0,0,1699454613
1,27.5257,18.8242,0,0,1699454613
1,27.5768,18.8907,0,0,1699454613
1,27.648,18.9904,0,0,1699454613
1,27.7124,19.008,0,0,1699454613
1,27.8554,18.9771,0,0,1699454613
1,28.0771,19.0441,0,0,1699454613
1,28.2059,19.1899,0,0,1699454613
1,28.1859,19.3225,0,0,1699454613
1,28.1529,19.4318,0,0,1699454613
1,28.1523,19.5115,0,0,1699454613
1,28.1185,19.5249,0,0,1699454613
1,28.0517,19.4468,0,0,1699454613
1,27.9817,19.3037,0,0,1699454613
1,27.9124,19.178,0,0,1699454613
1,27.8366,19.1291,0,0,1699454613
1,27.7333,19.1418,0,0,1699454613
1,27.6291,19.201,0,0,1699454613
1,27.5792,19.282,0,0,1699454613
1,27.5593,19.3198,0,0,1699454613
1,27.5158,19.3986,0,0,1699454613
1,27.4359,19.379,0,0,1699454613
1,27.36,19.5743,0,0,1699454613
1,27.3388,19.5428,0,0,1699454613
1,27.3462,19.466,0,0,1699454613
1,27.3321,19.5224,0,0,1699454613
1,27.2923,19.5975,0,0,1699454613
1,27.2558,19.5723,0,0,1699454613
1,27.2423,19.5063,0,0,1699454613
1,27.2341,19.4401,0,0,1699454613
1,27.2027,19.3898,0,0,1699454613
1,27.1544,19.4353,0,0,1699454613
1,27.1242,19.5622,0,0,1699454613
1,27.129,19.6681,0,0,1699454613
1,27.1631,19.7013,0,0,1699454613
1,27.2077,19.6921,0,0,1699454613
1,27.2428,19.7067,0,0,1699454613
1,27.2762,19.7316,0,0,1699454613
1,27.3202,19.6894,0,0,1699454613
1,27.3554,19.5815,0,0,1699454613
1,27.3632,19.4689,0,0,1699454613
1,27.3638,19.3963,0,0,1699454613
1,27.3658,19.3939,0,0,1699454613
1,27.3434,19.4503,0,0,1699454613
1,27.299,19.5287,0,0,1699454613
1,27.2513,19.6017,0,0,1699454613
1,27.2006,19.6289,0,0,1699454613
1,27.1522,19.5965,0,0,1699454613
1,27.117,19.529,0,0,1699454613
1,27.0992,19.4473,0,0,1699454613
1,27.0922,19.3679,0,0,1699454613
1,27.1081,19.2917,0,0,1699454613
1,27.1716,19.2406,0,0,1699454613
1,27.4182,19.2445,0,0,1699454613
1,27.4479,19.252,0,0,1699454613
1,27.4771,19.2038,0,0,1699454613
1,27.6019,19.1252,0,0,1699454613
1,27.6352,19.0627,0,0,1699454613
1,27.8309,19.017,0,0,1699454613
1,28.0018,18.9588,0,0,1699454613
1,28.0169,18.8829,0,0,1699454613
1,27.9778,18.819,0,0,1699454613
1,27.937,18.8055,0,0,1699454613
1,27.8851,18.8957,0,0,1699454613
1,27.867,18.8854,0,0,1699454613
1,27.9012,19.0166,0,0,1699454613
1,27.9064,19.1282,0,0,1699454613
1,27.831,19.1166,0,0,1699454613
1,27.7424,19.1051,0,0,1699454613
1,27.6952,19.0937,0,0,1699454613
1,27.6648,19.2061,0,0,1699454613
1,27.6104,19.2666,0,0,1699454613
1,27.5375,19.3086,0,0,1699454613
1,27.4881,19.314,0,0,1699454613
1,27.4749,19.2905,0,0,1699454613
1,27.4747,19.2859,0,0,1699454613
1,27.4569,19.2929,0,0,1699454613
1,27.4176,19.355,0,0,1699454613
1,27.3814,19.3427,0,0,1699454613
1,27.3513,19.3306,0,0,1699454613
1,27.3306,19.3307,0,0,1699454613
1,27.3264,19.2626,0,0,1699454613
1,27.3039,19.2055,0,0,1699454613
1,27.2509,19.1583,0,0,1699454613
1,27.2073,19.1398,0,0,1699454613
1,27.1871,19.1569,0,0,1699454613
1,27.1718,19.1655,0,0,1699454613
1,27.2502,19.1335,0,0,1699454613
1,27.2749,19.0803,0,0,1699454613
1,27.2993,19.0451,0,0,1699454613
1,27.4022,19.0604,0,0,1699454613
1,27.4569,19.1088,0,0,1699454613
1,27.4917,19.1709,0,0,1699454613
1,27.4686,19.2585,0,0,1699454613
1,27.4242,19.3127,0,0,1699454613
1,27.3942,19.2781,0,0,1699454613
1,27.3757,19.2165,0,0,1699454613
1,27.3646,19.1823,0,0,1699454613
1,27.3738,19.1542,0,0,1699454613
1,27.4059,19.122,0,0,1699454613
