Sample,EIMMagnitude,EIMPhase,JointAngle,Mass,Time
1,21.4288,13.082,0,0,1699455539
1,24.2538,24.7638,0,0,1699455539
1,29.9061,20.5136,0,0,1699455539
1,32.9631,20.3391,0,0,1699455539
1,34.7007,16.8761,0,0,1699455539
1,34.8012,11.5223,0,0,1699455539
1,30.0614,7.91333,0,0,1699455539
1,26.489,5.3489,0,0,1699455539
1,27.6268,5.69124,0,0,1699455539
1,29.0183,8.92075,0,0,1699455539
1,28.3657,14.351,0,0,1699455539
1,27.7481,19.8585,0,0,1699455539
1,28.8882,18.3977,0,0,1699455539
1,27.7797,14.0083,0,0,1699455539
1,22.8746,13.5686,0,0,1699455539
1,21.5588,12.7954,0,0,1699455539
1,25.5257,11.9454,0,0,1699455539
1,28.1221,11.7398,0,0,1699455539
1,28.1129,8.25721,0,0,1699455539
1,29.4583,5.28006,0,0,1699455539
1,39.4823,5.84051,0,0,1699455539
1,56.2685,9.56371,0,0,1699455539
1,58.3864,17.1015,0,0,1699455539
1,41.7043,21.3156,0,0,1699455539
1,28.1588,17.6899,0,0,1699455539
1,28.3154,15.2162,0,0,1699455539
1,35.6614,18.4969,0,0,1699455539
1,39.4404,20.4014,0,0,1699455539
1,37.8316,17.5981,0,0,1699455539
1,34.7092,19.7311,0,0,1699455539
1,29.9894,13.082,0,0,1699455539
1,28.0525,13.082,0,0,1699455539
1,29.5822,13.082,0,0,1699455539
1,32.4742,19.3869,0,0,1699455539
1,38.1755,5.96039,0,0,1699455539
1,39.0208,8.68143,0,0,1699455539
1,31.5618,20.4871,0,0,1699455539
1,25.1659,27.4525,0,0,1699455539
1,28.0123,19.4942,0,0,1699455539
1,37.2991,8.36097,0,0,1699455539
1,40.6776,5.13131,0,0,1699455539
1,37.0976,5.842,0,0,1699455539
1,34.8046,9.70345,0,0,1699455539
1,32.535,16.6677,0,0,1699455539
1,29.3316,18.6552,0,0,1699455539
1,27.5914,20.6296,0,0,1699455539
1,23.7832,28.2288,0,0,1699455539
1,25.6139,25.6176,0,0,1699455539
1,38.2703,12.2768,0,0,1699455539
1,41.3416,5.43155,0,0,1699455539
1,31.2583,6.68979,0,0,1699455539
1,25.5746,13.5335,0,0,1699455539
1,24.8715,27.8961,0,0,1699455539
1,23.2144,13.082,0,0,1699455539
1,29.6241,13.082,0,0,1699455539
1,45.8674,23.5477,0,0,1699455539
1,47.3941,22.0565,0,0,1699455539
1,33.0529,23.0558,0,0,1699455539
1,29.0392,19.5534,0,0,1699455539
1,32.3357,14.3324,0,0,1699455539
1,30.6555,23.2131,0,0,1699455539
1,31.0949,13.082,0,0,1699455539
1,34.7802,13.082,0,0,1699455539
1,32.2448,23.3876,0,0,1699455539
1,25.9592,12.4845,0,0,1699455539
1,25.1437,7.79874,0,0,1699455539
1,27.7622,4.52505,0,0,1699455539
1,29.9448,8.85946,0,0,1699455539
1,44.3666,16.1979,0,0,1699455539
1,69.5495,14.7101,0,0,1699455539
1,69.5195,8.59379,0,0,1699455539
1,43.5765,5.88393,0,0,1699455539
1,37.7845,5.0457,0,0,1699455539
1,55.1367,5.32524,0,0,1699455539
1,55.9955,5.16218,0,0,1699455539
1,40.9414,9.88051,0,0,1699455539
1,33.9897,27.2625,0,0,1699455539
1,28.637,13.082,0,0,1699455539
1,20.6091,29.7906,0,0,1699455539
1,18.8976,14.566,0,0,1699455539
1,23.9541,8.19694,0,0,1699455539
1,32.6875,7.66607,0,0,1699455539
1,36.0623,11.4071,0,0,1699455539
1,32.4287,17.3228,0,0,1699455539
1,31.0312,18.1665,0,0,1699455539
1,29.8899,13.3387,0,0,1699455539
1,25.1521,9.83312,0,0,1699455539
1,21.7102,9.78495,0,0,1699455539
1,19.6933,10.1323,0,0,1699455539
1,19.9681,9.22506,0,0,1699455539
1,27.292,6.85901,0,0,1699455539
1,38.3606,6.52267,0,0,1699455539
1,42.5741,11.1575,0,0,1699455539
1,36.0303,14.9129,0,0,1699455539
1,29.7859,13.0443,0,0,1699455539
1,30.5557,9.94702,0,0,1699455539
1,32.149,11.6391,0,0,1699455539
1,34.0975,19.0415,0,0,1699455539
1,65.1971,22.8286,0,0,1699455539
1,35.7782,15.9114,0,0,1699455539
1,35.7782,8.76321,0,0,1699455539
1,58.8067,9.20627,0,0,1699455539
1,29.0123,10.3795,0,0,1699455539
1,27.3263,9.63976,0,0,1699455539
1,26.9925,9.67328,0,0,1699455539
1,27.7015,9.04558,0,0,1699455539
1,26.8348,7.92341,0,0,1699455539
1,25.18,11.4526,0,0,1699455539
1,25.129,16.9971,0,0,1699455539
1,24.8271,13.8731,0,0,1699455539
1,23.7996,6.02549,0,0,1699455539
1,27.7807,5.0911,0,0,1699455539
1,34.2668,12.9858,0,0,1699455539
1,36.4219,22.2483,0,0,1699455539
1,39.0238,22.4768,0,0,1699455539
1,38.9798,19.1317,0,0,1699455539
1,28.7995,20.9661,0,0,1699455539
1,18.9468,22.6217,0,0,1699455539
1,16.6507,21.3114,0,0,1699455539
1,18.2841,19.7642,0,0,1699455539
1,20.7156,28.7743,0,0,1699455539
1,22.5747,13.082,0,0,1699455539
1,25.8487,13.082,0,0,1699455539
1,27.3663,22.7852,0,0,1699455539
1,29.6951,10.0709,0,0,1699455539
1,37.4518,10.8077,0,0,1699455539
1,35.4919,18.6648,0,0,1699455539
1,22.3497,28.9665,0,0,1699455539
1,21.5615,13.082,0,0,1699455539
1,34.2302,20.9565,0,0,1699455539
1,40.8472,10.7326,0,0,1699455539
1,39.0455,5.22346,0,0,1699455539
1,35.0277,11.2307,0,0,1699455539
1,28.2765,26.6238,0,0,1699455539
1,24.2758,27.0499,0,0,1699455539
1,26.6233,11.4328,0,0,1699455539
1,30.0179,3.96778,0,0,1699455539
1,30.9245,6.06379,0,0,1699455539
1,28.771,7.37848,0,0,1699455539
1,27.7776,8.73689,0,0,1699455539
1,31.1464,12.5615,0,0,1699455539
1,33.5889,14.7687,0,0,1699455539
1,32.452,12.5542,0,0,1699455539
1,31.3635,10.0197,0,0,1699455539
1,31.3676,9.68373,0,0,1699455539
1,31.0977,9.21675,0,0,1699455539
1,29.283,9.20959,0,0,1699455539
1,26.2032,11.2047,0,0,1699455539
1,23.1021,10.4931,0,0,1699455539
1,21.4295,8.68157,0,0,1699455539
1,24.2263,10.8578,0,0,1699455539
1,31.4475,16.4341,0,0,1699455539
1,48.6933,24.7911,0,0,1699455539
1,70.6621,27.061,0,0,1699455539
1,67.437,21.0431,0,0,1699455539
1,43.1955,17.4161,0,0,1699455539
1,31.7127,14.252,0,0,1699455539
1,30.8236,8.428,0,0,1699455539
1,25.7188,4.90446,0,0,1699455539
1,22.9192,4.3247,0,0,1699455539
1,28.2137,5.61961,0,0,1699455539
1,32.8004,7.41467,0,0,1699455539
1,29.4164,9.84697,0,0,1699455539
1,27.3485,13.7046,0,0,1699455539
1,33.7455,15.024,0,0,1699455539
1,37.7781,11.8588,0,0,1699455539
1,33.5143,7.66861,0,0,1699455539
1,29.7694,4.94422,0,0,1699455539
1,29.8477,4.36273,0,0,1699455539
1,30.385,4.91389,0,0,1699455539
1,30.5369,7.82358,0,0,1699455539
1,30.2259,13.0068,0,0,1699455539
1,30.2951,14.6955,0,0,1699455539
1,31.6447,14.7043,0,0,1699455539
1,31.8257,16.0113,0,0,1699455539
1,28.7837,15.0361,0,0,1699455539
1,23.4124,14.5327,0,0,1699455539
1,18.8568,17.0535,0,0,1699455539
1,19.5116,17.7168,0,0,1699455539
1,24.1372,13.5372,0,0,1699455539
1,28.9504,7.79385,0,0,1699455539
1,30.1949,9.11582,0,0,1699455539
1,25.305,17.1188,0,0,1699455539
1,21.0653,18.8835,0,0,1699455539
1,25.0067,15.2576,0,0,1699455539
1,31.6078,14.0926,0,0,1699455539
1,29.1367,13.115,0,0,1699455539
1,22.1914,14.2036,0,0,1699455539
1,24.0582,15.8639,0,0,1699455539
1,30.7659,12.5159,0,0,1699455539
1,46.4176,13.682,0,0,1699455539
1,69.378,23.6475,0,0,1699455539
1,65.2703,28.6711,0,0,1699455539
1,39.248,23.6426,0,0,1699455539
1,29.1359,15.0403,0,0,1699455539
1,31.4786,8.15473,0,0,1699455539
1,33.5334,8.15079,0,0,1699455539
1,34.3576,15.1294,0,0,1699455539
1,30.6337,19.9211,0,0,1699455539
1,29.845,19.0485,0,0,1699455539
1,32.562,18.5489,0,0,1699455539
1,30.3365,15.4917,0,0,1699455539
1,27.7283,7.76359,0,0,1699455539
1,29.4752,5.06358,0,0,1699455539
1,31.9166,7.38376,0,0,1699455539
1,32.6493,7.38653,0,0,1699455539
1,32.9888,6.59069,0,0,1699455539
1,33.5184,7.63365,0,0,1699455539
1,32.1111,7.69861,0,0,1699455539
1,30.3427,6.74326,0,0,1699455539
1,30.0346,11.9972,0,0,1699455539
1,28.852,21.3899,0,0,1699455539
1,27.3533,19.2519,0,0,1699455539
1,27.5289,8.17028,0,0,1699455539
1,27.8468,3.96538,0,0,1699455539
1,25.9618,8.06678,0,0,1699455539
1,23.2159,14.3329,0,0,1699455539
1,27.1205,17.6162,0,0,1699455539
1,34.7304,18.8726,0,0,1699455539
1,31.0866,20.1497,0,0,1699455539
1,20.7629,21.5377,0,0,1699455539
1,17.8106,23.0812,0,0,1699455539
1,19.4311,18.7815,0,0,1699455539
1,20.4222,9.72917,0,0,1699455539
1,18.8045,15.8125,0,0,1699455539
1,15.1022,13.082,0,0,1699455539
1,16.833,13.082,0,0,1699455539
1,26.2057,24.3232,0,0,1699455539
1,32.782,15.4301,0,0,1699455539
1,28.7489,16.7252,0,0,1699455539
1,22.7584,15.9164,0,0,1699455539
1,23.1491,14.4406,0,0,1699455539
1,25.9127,15.9745,0,0,1699455539
1,28.4879,16.0984,0,0,1699455539
1,30.3948,11.4125,0,0,1699455539
1,30.4147,8.41237,0,0,1699455539
1,30.287,7.57934,0,0,1699455539
1,31.4009,6.50603,0,0,1699455539
1,33.1157,8.79807,0,0,1699455539
1,33.2103,12.9709,0,0,1699455539
1,32.2909,14.9948,0,0,1699455539
1,32.939,14.3111,0,0,1699455539
1,32.7778,13.2326,0,0,1699455539
1,29.7086,13.4573,0,0,1699455539
1,27.6392,11.3582,0,0,1699455539
1,30.2836,7.82873,0,0,1699455539
1,33.8266,8.28995,0,0,1699455539
1,33.307,10.8595,0,0,1699455539
