Sample,EIMMagnitude,EIMPhase,JointAngle,Mass,Time
1,30.0803,34.0544,0,0,1699875690
1,28.3772,24.2863,0,0,1699875690
1,36.6377,13.5187,0,0,1699875690
1,41.7236,12.8499,0,0,1699875690
1,41.509,19.0694,0,0,1699875690
1,40.3921,18.7159,0,0,1699875690
1,36.6488,12.6297,0,0,1699875690
1,31.5797,11.469,0,0,1699875690
1,31.3732,19.4391,0,0,1699875690
1,36.0321,30.6228,0,0,1699875690
1,37.6928,32.8024,0,0,1699875690
1,33.445,26.2233,0,0,1699875690
1,30.7881,23.5599,0,0,1699875690
1,34.7761,23.3178,0,0,1699875690
1,41.5749,15.7693,0,0,1699875690
1,49.4213,8.89813,0,0,1699875690
1,50.2822,10.8672,0,0,1699875690
1,38.2914,14.5266,0,0,1699875690
1,28.3039,17.1173,0,0,1699875690
1,32.8296,18.0152,0,0,1699875690
1,49.4151,16.2624,0,0,1699875690
1,60.6883,16.1924,0,0,1699875690
1,50.7439,15.8322,0,0,1699875690
1,35.0039,11.1045,0,0,1699875690
1,31.4614,5.93285,0,0,1699875690
1,33.5297,5.87087,0,0,1699875690
1,36.8323,10.2164,0,0,1699875690
1,43.3278,13.9412,0,0,1699875690
1,47.0633,15.0506,0,0,1699875690
1,45.5706,15.0624,0,0,1699875690
1,41.7586,13.3853,0,0,1699875690
1,33.7285,9.88741,0,0,1699875690
1,25.9505,8.27101,0,0,1699875690
1,28.2882,7.4289,0,0,1699875690
1,35.576,5.77129,0,0,1699875690
1,37.5143,8.43691,0,0,1699875690
1,37.2272,13.6303,0,0,1699875690
1,39.4737,14.4544,0,0,1699875690
1,38.9119,15.2609,0,0,1699875690
1,33.6583,19.8898,0,0,1699875690
1,29.8397,20.9656,0,0,1699875690
1,27.4973,15.9049,0,0,1699875690
1,28.4294,11.2729,0,0,1699875690
1,44.9898,12.8822,0,0,1699875690
1,67.0202,18.8158,0,0,1699875690
1,61.8949,25.3015,0,0,1699875690
1,41.0361,31.973,0,0,1699875690
1,39.9057,31.1238,0,0,1699875690
1,44.2169,21.0211,0,0,1699875690
1,38.272,13.3948,0,0,1699875690
1,37.6365,10.0974,0,0,1699875690
1,38.9625,8.99746,0,0,1699875690
1,34.5662,13.3687,0,0,1699875690
1,36.279,20.7286,0,0,1699875690
1,47.381,26.5613,0,0,1699875690
1,53.5018,29.1422,0,0,1699875690
1,49.1943,25.9204,0,0,1699875690
