Sample,EIMMagnitude,EIMPhase,JointAngle,Mass,Time
1,59.2117,13.3838,0,0,1699875690
1,59.2117,13.3838,0,0,1699875690
1,59.2117,13.3838,0,0,1699875690
1,59.2117,51.4876,0,0,1699875690
1,56.8199,9.28901,0,0,1699875690
1,51.3729,17.3329,0,0,1699875690
1,32.5953,11.3557,0,0,1699875690
1,49.3891,34.5701,0,0,1699875690
1,58.3396,64.9052,0,0,1699875690
1,53.6967,38.8059,0,0,1699875690
1,42.8043,27.4856,0,0,1699875690
1,31.9784,33.3401,0,0,1699875690
1,70.572,45.7524,0,0,1699875690
1,44.6447,0.914487,0,0,1699875690
1,94.1723,5.83062,0,0,1699875690
1,73.9574,33.6751,0,0,1699875690
1,23.6932,4.58101,0,0,1699875690
1,46.7934,44.1051,0,0,1699875690
1,35.1978,14.6091,0,0,1699875690
1,102.231,24.3617,0,0,1699875690
1,101.73,23.0849,0,0,1699875690
1,44.2514,26.9952,0,0,1699875690
1,36.0721,5.52148,0,0,1699875690
1,53.3067,5.50967,0,0,1699875690
1,44.8036,6.84146,0,0,1699875690
1,50.4803,23.7614,0,0,1699875690
1,78.324,18.7883,0,0,1699875690
1,61.1179,24.0047,0,0,1699875690
1,65.9408,18.7373,0,0,1699875690
1,57.7021,23.9902,0,0,1699875690
1,42.42,0.125768,0,0,1699875690
1,16.9395,20.8781,0,0,1699875690
1,57.789,6.71858,0,0,1699875690
1,54.146,1.90352,0,0,1699875690
1,51.9597,18.2082,0,0,1699875690
1,49.7716,28.4502,0,0,1699875690
1,63.0173,13.4532,0,0,1699875690
1,57.8787,20.2494,0,0,1699875690
1,30.0803,42.9952,0,0,1699875690
1,54.6769,23.1238,0,0,1699875690
1,26.6286,19.9051,0,0,1699875690
1,38.4228,8.33368,0,0,1699875690
1,71.7836,19.8674,0,0,1699875690
1,152.243,41.1315,0,0,1699875690
1,52.8681,22.8458,0,0,1699875690
1,17.7448,74.8766,0,0,1699875690
1,98.4397,29.2072,0,0,1699875690
1,51.8482,19.4113,0,0,1699875690
1,35.2115,17.1132,0,0,1699875690
1,73.305,13.1829,0,0,1699875690
1,50.0187,4.45815,0,0,1699875690
1,38.0995,31.5333,0,0,1699875690
1,54.0418,30.4765,0,0,1699875690
1,84.6435,45.0806,0,0,1699875690
1,84.0764,43.362,0,0,1699875690
1,48.4503,35.472,0,0,1699875690
1,75.7652,13.0823,0,0,1699875690
1,27.5022,37.6007,0,0,1699875690
1,36.1205,35.2732,0,0,1699875690
