Sample,EIMMagnitude,EIMPhase,JointAngle,Mass,Time
1,47.818,15.6559,0,0,1699875690
1,41.0947,23.7174,0,0,1699875690
1,39.9073,19.9408,0,0,1699875690
1,40.5547,16.9392,0,0,1699875690
1,40.532,16.2342,0,0,1699875690
1,39.9433,17.0468,0,0,1699875690
1,39.1948,17.7243,0,0,1699875690
1,38.8642,17.2394,0,0,1699875690
1,39.1977,16.414,0,0,1699875690
1,39.5178,15.7112,0,0,1699875690
1,39.3097,14.9392,0,0,1699875690
1,38.9417,14.1721,0,0,1699875690
1,38.8741,13.5171,0,0,1699875690
1,39.077,12.9442,0,0,1699875690
1,39.4104,12.4823,0,0,1699875690
1,39.8048,12.1627,0,0,1699875690
1,39.9748,11.8525,0,0,1699875690
1,39.8893,11.5297,0,0,1699875690
1,39.9131,11.2969,0,0,1699875690
1,40.15,11.0783,0,0,1699875690
1,40.4758,10.787,0,0,1699875690
1,40.7172,10.5218,0,0,1699875690
1,40.5811,10.351,0,0,1699875690
1,40.1071,10.1887,0,0,1699875690
1,39.7848,10.0453,0,0,1699875690
1,39.8063,10.0039,0,0,1699875690
1,39.8716,9.9839,0,0,1699875690
1,39.8582,9.98351,0,0,1699875690
1,39.944,10.0641,0,0,1699875690
1,40.0679,10.0542,0,0,1699875690
1,40.0184,9.93676,0,0,1699875690
1,39.8721,9.93668,0,0,1699875690
1,39.8069,9.99793,0,0,1699875690
1,39.8257,9.95589,0,0,1699875690
1,40.0406,10.03,0,0,1699875690
1,40.6099,10.4497,0,0,1699875690
1,41.3159,10.9624,0,0,1699875690
1,41.8822,11.2912,0,0,1699875690
1,42.1754,11.4474,0,0,1699875690
1,42.7592,11.4919,0,0,1699875690
1,44.384,11.5436,0,0,1699875690
1,45.9915,11.6488,0,0,1699875690
1,46.3355,11.7557,0,0,1699875690
1,45.9985,11.8712,0,0,1699875690
1,45.6815,11.9627,0,0,1699875690
1,45.4579,12.0241,0,0,1699875690
1,45.3692,12.1115,0,0,1699875690
1,45.3757,12.1967,0,0,1699875690
1,45.3536,12.192,0,0,1699875690
1,45.2201,12.0963,0,0,1699875690
1,45.0294,11.9954,0,0,1699875690
1,44.8684,11.9362,0,0,1699875690
1,44.7529,11.933,0,0,1699875690
1,44.6827,11.9715,0,0,1699875690
1,44.6135,11.9811,0,0,1699875690
1,44.5045,11.9453,0,0,1699875690
1,44.4006,11.9155,0,0,1699875690
1,44.306,11.8846,0,0,1699875690
1,44.1939,11.8002,0,0,1699875690
1,44.1386,11.6827,0,0,1699875690
1,44.1671,11.5873,0,0,1699875690
1,44.1256,11.5413,0,0,1699875690
1,43.9471,11.5541,0,0,1699875690
1,43.7967,11.6038,0,0,1699875690
1,43.758,11.6489,0,0,1699875690
1,43.7084,11.6602,0,0,1699875690
1,43.5851,11.7083,0,0,1699875690
1,43.437,11.9121,0,0,1699875690
1,43.2805,12.1927,0,0,1699875690
1,43.0813,12.3627,0,0,1699875690
1,42.8506,12.4113,0,0,1699875690
1,42.6736,12.4286,0,0,1699875690
1,42.5502,12.4305,0,0,1699875690
1,42.4388,12.4723,0,0,1699875690
1,42.4121,12.6283,0,0,1699875690
1,42.4963,12.7956,0,0,1699875690
1,42.5989,12.86,0,0,1699875690
1,42.6615,12.8432,0,0,1699875690
1,42.698,12.7774,0,0,1699875690
1,42.7052,12.7245,0,0,1699875690
1,42.6443,12.7698,0,0,1699875690
1,42.5293,12.8754,0,0,1699875690
1,42.396,12.9872,0,0,1699875690
1,42.2255,13.1578,0,0,1699875690
1,42.0404,13.3616,0,0,1699875690
1,41.9093,13.4712,0,0,1699875690
1,41.7848,13.4895,0,0,1699875690
1,41.5721,13.5921,0,0,1699875690
1,41.309,13.6153,0,0,1699875690
1,41.1094,13.6379,0,0,1699875690
1,41.1499,13.8531,0,0,1699875690
1,41.496,13.9724,0,0,1699875690
1,41.8185,14.0008,0,0,1699875690
1,41.8352,13.9884,0,0,1699875690
1,41.7067,13.9715,0,0,1699875690
1,41.6177,13.9434,0,0,1699875690
1,41.5324,13.9317,0,0,1699875690
1,41.426,13.9489,0,0,1699875690
1,41.363,14.0206,0,0,1699875690
1,41.3792,14.1724,0,0,1699875690
1,41.4146,14.2825,0,0,1699875690
1,41.3805,14.2686,0,0,1699875690
1,41.3,14.2418,0,0,1699875690
1,41.2625,14.2682,0,0,1699875690
1,41.277,14.2785,0,0,1699875690
1,41.2942,14.2955,0,0,1699875690
1,41.2758,14.4309,0,0,1699875690
1,41.2177,14.624,0,0,1699875690
1,41.1342,14.7335,0,0,1699875690
1,41.0395,14.7416,0,0,1699875690
1,40.9464,14.7055,0,0,1699875690
1,40.8717,14.6947,0,0,1699875690
1,40.8511,14.7266,0,0,1699875690
1,40.8976,14.7688,0,0,1699875690
1,40.9886,14.8093,0,0,1699875690
1,41.0982,14.8343,0,0,1699875690
1,41.17,14.8116,0,0,1699875690
1,41.1796,14.7549,0,0,1699875690
1,41.217,14.7142,0,0,1699875690
1,41.3199,14.6913,0,0,1699875690
1,41.3794,14.662,0,0,1699875690
1,41.3312,14.6197,0,0,1699875690
1,41.2573,14.5542,0,0,1699875690
1,41.244,14.4717,0,0,1699875690
1,41.2754,14.4048,0,0,1699875690
1,41.2873,14.3623,0,0,1699875690
1,41.2374,14.333,0,0,1699875690
1,41.1609,14.313,0,0,1699875690
1,41.1451,14.2911,0,0,1699875690
1,41.2204,14.258,0,0,1699875690
1,41.3417,14.2395,0,0,1699875690
1,41.4308,14.2482,0,0,1699875690
1,41.4389,14.2414,0,0,1699875690
1,41.3822,14.1916,0,0,1699875690
1,41.3109,14.12,0,0,1699875690
1,41.27,14.0478,0,0,1699875690
1,41.2708,14.0113,0,0,1699875690
1,41.2995,14.0454,0,0,1699875690
1,41.3398,14.0977,0,0,1699875690
1,41.402,14.1026,0,0,1699875690
1,41.4628,14.0767,0,0,1699875690
1,41.4465,14.0391,0,0,1699875690
1,41.3629,13.9846,0,0,1699875690
