Sample,EIMMagnitude,EIMPhase,JointAngle,Mass,Time
1,21.1689,31.2783,0,0,1699455539
1,23.5088,26.108,0,0,1699455539
1,25.5981,20.8947,0,0,1699455539
1,26.4107,17.0458,0,0,1699455539
1,26.4607,14.4102,0,0,1699455539
1,26.8125,12.9956,0,0,1699455539
1,27.3384,12.4584,0,0,1699455539
1,27.5536,12.2027,0,0,1699455539
1,27.5667,12.0737,0,0,1699455539
1,27.7447,12.073,0,0,1699455539
1,28.1075,12.1128,0,0,1699455539
1,28.3315,12.1099,0,0,1699455539
1,28.2731,11.9684,0,0,1699455539
1,28.1062,11.8698,0,0,1699455539
1,28.2271,12.2422,0,0,1699455539
1,28.7767,13.0111,0,0,1699455539
1,29.2224,13.5737,0,0,1699455539
1,29.2742,13.7057,0,0,1699455539
1,29.2573,13.7404,0,0,1699455539
1,29.3069,13.8006,0,0,1699455539
1,29.3031,13.663,0,0,1699455539
1,29.2421,13.3343,0,0,1699455539
1,29.1823,13.0167,0,0,1699455539
1,29.1267,12.78,0,0,1699455539
1,29.0913,12.5911,0,0,1699455539
1,29.0855,12.3932,0,0,1699455539
1,29.0687,12.1921,0,0,1699455539
1,29.0463,12.0431,0,0,1699455539
1,29.0321,11.9305,0,0,1699455539
1,28.9774,11.8198,0,0,1699455539
1,28.8753,11.6838,0,0,1699455539
1,28.8101,11.4946,0,0,1699455539
1,28.808,11.3344,0,0,1699455539
1,28.8144,11.3048,0,0,1699455539
1,28.8251,11.3933,0,0,1699455539
1,28.8635,11.5497,0,0,1699455539
1,28.9182,11.7379,0,0,1699455539
1,28.9461,11.921,0,0,1699455539
1,28.9004,12.0445,0,0,1699455539
1,28.831,12.0587,0,0,1699455539
1,28.8327,11.9748,0,0,1699455539
1,28.8703,11.8484,0,0,1699455539
1,28.8613,11.7699,0,0,1699455539
1,28.8147,11.785,0,0,1699455539
1,28.7646,11.8254,0,0,1699455539
1,28.7057,11.8162,0,0,1699455539
1,28.6175,11.7295,0,0,1699455539
1,28.5039,11.5621,0,0,1699455539
1,28.3948,11.4276,0,0,1699455539
1,28.292,11.5162,0,0,1699455539
1,28.1786,11.772,0,0,1699455539
1,28.082,11.9073,0,0,1699455539
1,28.0453,11.8414,0,0,1699455539
1,28.0618,11.7323,0,0,1699455539
1,28.0785,11.6478,0,0,1699455539
1,28.052,11.5384,0,0,1699455539
1,28.0073,11.3905,0,0,1699455539
1,27.9944,11.2561,0,0,1699455539
1,28.0044,11.1957,0,0,1699455539
1,28.0162,11.2003,0,0,1699455539
1,28.0403,11.2094,0,0,1699455539
1,28.0632,11.2212,0,0,1699455539
1,28.0743,11.2715,0,0,1699455539
1,28.0926,11.3247,0,0,1699455539
1,28.1128,11.3236,0,0,1699455539
1,28.1163,11.2859,0,0,1699455539
1,28.1032,11.2451,0,0,1699455539
1,28.0859,11.1856,0,0,1699455539
1,28.0809,11.1474,0,0,1699455539
1,28.1116,11.2176,0,0,1699455539
1,28.1882,11.3368,0,0,1699455539
1,28.2757,11.3906,0,0,1699455539
1,28.3258,11.3845,0,0,1699455539
1,28.3482,11.3315,0,0,1699455539
1,28.3728,11.226,0,0,1699455539
1,28.3708,11.1173,0,0,1699455539
1,28.331,11.0492,0,0,1699455539
1,28.2945,11.0149,0,0,1699455539
1,28.2562,10.9717,0,0,1699455539
1,28.1963,10.8854,0,0,1699455539
1,28.1688,10.8112,0,0,1699455539
1,28.2232,10.8226,0,0,1699455539
1,28.3133,10.8776,0,0,1699455539
1,28.3805,10.9152,0,0,1699455539
1,28.4293,10.9375,0,0,1699455539
1,28.471,10.9656,0,0,1699455539
1,28.4987,11.0031,0,0,1699455539
1,28.5158,11.0196,0,0,1699455539
1,28.5364,11.0251,0,0,1699455539
1,28.5619,11.0507,0,0,1699455539
1,28.581,11.0543,0,0,1699455539
1,28.5975,11.0122,0,0,1699455539
1,28.6275,10.9896,0,0,1699455539
1,28.6615,11.032,0,0,1699455539
1,28.6692,11.0965,0,0,1699455539
1,28.6406,11.1293,0,0,1699455539
1,28.6101,11.141,0,0,1699455539
1,28.6296,11.1632,0,0,1699455539
1,28.6992,11.1854,0,0,1699455539
1,28.7746,11.1749,0,0,1699455539
1,28.8421,11.1314,0,0,1699455539
1,28.9011,11.0984,0,0,1699455539
1,28.9393,11.092,0,0,1699455539
1,28.9584,11.0852,0,0,1699455539
1,28.9615,11.0837,0,0,1699455539
1,28.9516,11.0911,0,0,1699455539
1,28.9397,11.0872,0,0,1699455539
1,28.9455,11.093,0,0,1699455539
1,29.0322,11.1305,0,0,1699455539
1,29.211,11.1761,0,0,1699455539
1,29.3434,11.206,0,0,1699455539
1,29.3418,11.2256,0,0,1699455539
1,29.2947,11.2664,0,0,1699455539
1,29.3148,11.3374,0,0,1699455539
1,29.4026,11.4105,0,0,1699455539
1,29.4449,11.4784,0,0,1699455539
1,29.3905,11.5199,0,0,1699455539
1,29.3207,11.4987,0,0,1699455539
1,29.2819,11.4396,0,0,1699455539
1,29.2558,11.3956,0,0,1699455539
1,29.2425,11.3934,0,0,1699455539
1,29.2474,11.4153,0,0,1699455539
1,29.2546,11.4322,0,0,1699455539
1,29.2474,11.4389,0,0,1699455539
1,29.231,11.4335,0,0,1699455539
1,29.2176,11.4255,0,0,1699455539
1,29.2054,11.4256,0,0,1699455539
1,29.1905,11.4319,0,0,1699455539
1,29.2285,11.4375,0,0,1699455539
1,29.3649,11.4392,0,0,1699455539
1,29.5014,11.445,0,0,1699455539
1,29.5429,11.4595,0,0,1699455539
1,29.5319,11.4826,0,0,1699455539
1,29.5182,11.5066,0,0,1699455539
1,29.5078,11.5104,0,0,1699455539
1,29.5074,11.4968,0,0,1699455539
1,29.522,11.5674,0,0,1699455539
1,29.5596,11.5899,0,0,1699455539
1,29.6172,11.6121,0,0,1699455539
1,29.6596,11.6973,0,0,1699455539
1,29.658,11.6821,0,0,1699455539
1,29.6271,11.6648,0,0,1699455539
1,29.6039,11.658,0,0,1699455539
1,29.6038,11.6519,0,0,1699455539
1,29.6385,11.6686,0,0,1699455539
1,29.7337,11.7295,0,0,1699455539
1,29.8478,11.7833,0,0,1699455539
1,29.9201,11.7889,0,0,1699455539
1,29.9781,11.7889,0,0,1699455539
1,30.0522,11.8311,0,0,1699455539
1,30.1156,11.9038,0,0,1699455539
1,30.1448,11.9496,0,0,1699455539
1,30.1486,11.9568,0,0,1699455539
1,30.1373,11.9641,0,0,1699455539
1,30.1318,11.9758,0,0,1699455539
1,30.1642,11.991,0,0,1699455539
1,30.2003,12.0137,0,0,1699455539
1,30.2044,12.0444,0,0,1699455539
1,30.2113,12.1207,0,0,1699455539
1,30.2307,12.2362,0,0,1699455539
1,30.2481,12.3239,0,0,1699455539
1,30.2721,12.3662,0,0,1699455539
1,30.3269,12.3862,0,0,1699455539
1,30.4204,12.4149,0,0,1699455539
1,30.498,12.4615,0,0,1699455539
1,30.5199,12.4833,0,0,1699455539
1,30.5202,12.4603,0,0,1699455539
1,30.5174,12.4193,0,0,1699455539
1,30.4929,12.3805,0,0,1699455539
1,30.4491,12.3482,0,0,1699455539
1,30.4089,12.3241,0,0,1699455539
1,30.3803,12.3098,0,0,1699455539
1,30.3591,12.3016,0,0,1699455539
1,30.3456,12.2879,0,0,1699455539
1,30.3307,12.2711,0,0,1699455539
1,30.3086,12.2705,0,0,1699455539
1,30.2942,12.2844,0,0,1699455539
1,30.2886,12.2895,0,0,1699455539
1,30.2785,12.2869,0,0,1699455539
1,30.2624,12.3004,0,0,1699455539
1,30.2444,12.3326,0,0,1699455539
1,30.2282,12.3566,0,0,1699455539
1,30.2151,12.3512,0,0,1699455539
1,30.2102,12.3307,0,0,1699455539
1,30.2181,12.3181,0,0,1699455539
1,30.2235,12.3137,0,0,1699455539
1,30.2107,12.3101,0,0,1699455539
1,30.1882,12.3039,0,0,1699455539
1,30.1737,12.2902,0,0,1699455539
1,30.1689,12.2685,0,0,1699455539
1,30.1647,12.249,0,0,1699455539
