Sample,EIMMagnitude,EIMPhase,JointAngle,Mass,Time
1,18.9339,37.163,0,0,1699875690
1,21.5027,31.1528,0,0,1699875690
1,26.013,24.8869,0,0,1699875690
1,28.8719,20.474,0,0,1699875690
1,31.2241,17.4226,0,0,1699875690
1,34.6117,15.7058,0,0,1699875690
1,37.9619,15.5128,0,0,1699875690
1,40.3702,15.503,0,0,1699875690
1,41.8529,14.83,0,0,1699875690
1,42.9344,14.2181,0,0,1699875690
1,44.3629,14.0771,0,0,1699875690
1,45.664,14.0545,0,0,1699875690
1,46.0028,13.9584,0,0,1699875690
1,45.5412,13.7551,0,0,1699875690
1,45.0362,13.4063,0,0,1699875690
1,44.7695,12.9686,0,0,1699875690
1,44.2665,12.5961,0,0,1699875690
1,43.5295,12.3735,0,0,1699875690
1,43.1781,12.16,0,0,1699875690
1,43.4207,11.8402,0,0,1699875690
1,43.8824,11.5661,0,0,1699875690
1,44.012,11.4811,0,0,1699875690
1,43.584,11.4773,0,0,1699875690
1,42.9063,11.496,0,0,1699875690
1,42.4179,11.6232,0,0,1699875690
1,42.21,11.751,0,0,1699875690
1,42.0348,11.7222,0,0,1699875690
1,41.8342,11.6789,0,0,1699875690
1,41.8435,11.8161,0,0,1699875690
1,41.9747,12.0886,0,0,1699875690
1,41.9449,12.6113,0,0,1699875690
1,41.808,12.7004,0,0,1699875690
1,41.7649,12.7841,0,0,1699875690
1,41.8024,13.2276,0,0,1699875690
1,41.7184,13.2757,0,0,1699875690
1,41.6307,13.39,0,0,1699875690
1,42.0555,13.5353,0,0,1699875690
1,42.458,13.6755,0,0,1699875690
1,42.8398,13.9007,0,0,1699875690
1,43.2025,14.0863,0,0,1699875690
1,43.3418,14.0821,0,0,1699875690
1,42.9663,13.9734,0,0,1699875690
1,42.5574,13.9096,0,0,1699875690
1,42.3565,13.8954,0,0,1699875690
1,42.2315,13.9988,0,0,1699875690
1,42.1853,14.3206,0,0,1699875690
1,42.158,14.7071,0,0,1699875690
1,41.9503,14.9626,0,0,1699875690
1,41.6433,15.0825,0,0,1699875690
1,41.4225,15.177,0,0,1699875690
1,41.2324,15.2729,0,0,1699875690
1,41.0918,15.433,0,0,1699875690
1,41.0676,15.8328,0,0,1699875690
1,41.1008,15.826,0,0,1699875690
1,41.2798,16.0914,0,0,1699875690
1,41.6135,16.4041,0,0,1699875690
1,41.8874,16.6903,0,0,1699875690
1,42.0927,16.6829,0,0,1699875690
1,42.274,16.4832,0,0,1699875690
1,42.3361,16.2619,0,0,1699875690
1,42.3557,16.1356,0,0,1699875690
1,42.4546,16.1546,0,0,1699875690
1,42.5498,16.152,0,0,1699875690
1,42.5483,16.0168,0,0,1699875690
1,42.4516,15.8734,0,0,1699875690
1,42.2987,15.806,0,0,1699875690
1,42.1797,15.7521,0,0,1699875690
1,42.1562,15.6754,0,0,1699875690
1,42.1717,15.6089,0,0,1699875690
1,42.1536,15.5474,0,0,1699875690
1,42.1477,15.4707,0,0,1699875690
1,42.2299,15.4165,0,0,1699875690
1,42.3145,15.393,0,0,1699875690
1,42.3244,15.384,0,0,1699875690
1,42.3225,15.3983,0,0,1699875690
1,42.3312,15.3876,0,0,1699875690
1,42.3693,15.4373,0,0,1699875690
1,42.4762,15.728,0,0,1699875690
1,42.6521,15.7246,0,0,1699875690
1,42.8494,15.7214,0,0,1699875690
1,42.9355,15.7182,0,0,1699875690
1,42.8944,15.7151,0,0,1699875690
1,42.902,15.9235,0,0,1699875690
1,43.0459,16.0089,0,0,1699875690
1,43.3582,15.948,0,0,1699875690
1,43.8512,15.8497,0,0,1699875690
1,44.3441,15.951,0,0,1699875690
1,44.7365,15.9455,0,0,1699875690
1,45.0908,15.9401,0,0,1699875690
1,45.3446,15.9889,0,0,1699875690
1,45.4547,15.8954,0,0,1699875690
1,45.4811,15.7958,0,0,1699875690
1,45.4373,15.7856,0,0,1699875690
1,45.3699,15.8892,0,0,1699875690
1,45.3562,15.9509,0,0,1699875690
1,45.3562,15.8877,0,0,1699875690
1,45.2881,15.769,0,0,1699875690
1,45.177,15.6421,0,0,1699875690
1,45.0795,15.5218,0,0,1699875690
1,45.0078,15.4228,0,0,1699875690
1,44.9659,15.3355,0,0,1699875690
1,44.9471,15.2436,0,0,1699875690
1,44.913,15.1551,0,0,1699875690
1,44.8584,15.0827,0,0,1699875690
1,44.8339,15.0319,0,0,1699875690
1,44.9578,15.0177,0,0,1699875690
1,45.2598,15.0324,0,0,1699875690
1,45.4858,15.0433,0,0,1699875690
1,45.4921,15.0263,0,0,1699875690
1,45.4582,14.9743,0,0,1699875690
1,45.4781,14.9055,0,0,1699875690
1,45.4753,14.8482,0,0,1699875690
1,45.3941,14.8194,0,0,1699875690
1,45.2648,14.8358,0,0,1699875690
1,45.1929,14.8801,0,0,1699875690
1,45.2553,14.8989,0,0,1699875690
1,45.4178,14.8864,0,0,1699875690
1,45.5786,14.8554,0,0,1699875690
1,45.6478,14.8193,0,0,1699875690
1,45.6474,14.8235,0,0,1699875690
1,45.6818,14.8593,0,0,1699875690
1,45.7283,14.868,0,0,1699875690
1,45.7204,14.8386,0,0,1699875690
1,45.7079,14.8041,0,0,1699875690
1,45.7223,14.7922,0,0,1699875690
1,45.7308,14.8016,0,0,1699875690
1,45.7086,14.7991,0,0,1699875690
1,45.6732,14.7495,0,0,1699875690
1,45.6592,14.6804,0,0,1699875690
1,45.6396,14.6414,0,0,1699875690
1,45.5805,14.6202,0,0,1699875690
1,45.5158,14.6061,0,0,1699875690
1,45.4738,14.6164,0,0,1699875690
1,45.4235,14.6434,0,0,1699875690
1,45.3534,14.6693,0,0,1699875690
1,45.2956,14.6721,0,0,1699875690
1,45.2381,14.6331,0,0,1699875690
1,45.152,14.5681,0,0,1699875690
1,45.0695,14.5111,0,0,1699875690
1,45.0098,14.4943,0,0,1699875690
1,45.0038,14.5193,0,0,1699875690
1,45.0929,14.5505,0,0,1699875690
1,45.1769,14.5701,0,0,1699875690
1,45.1922,14.5782,0,0,1699875690
1,45.2526,14.5661,0,0,1699875690
1,45.3682,14.536,0,0,1699875690
1,45.4104,14.5148,0,0,1699875690
1,45.3717,14.5281,0,0,1699875690
1,45.346,14.5514,0,0,1699875690
1,45.3646,14.5583,0,0,1699875690
1,45.4075,14.5883,0,0,1699875690
1,45.4157,14.6572,0,0,1699875690
1,45.3332,14.6974,0,0,1699875690
1,45.2241,14.6861,0,0,1699875690
1,45.1664,14.6941,0,0,1699875690
1,45.1283,14.7484,0,0,1699875690
1,45.0925,14.8086,0,0,1699875690
1,45.0913,14.8537,0,0,1699875690
1,45.0866,14.8925,0,0,1699875690
1,45.0107,14.9363,0,0,1699875690
1,44.8851,14.9583,0,0,1699875690
1,44.7933,14.9418,0,0,1699875690
1,44.763,14.9259,0,0,1699875690
1,44.7509,14.9225,0,0,1699875690
1,44.7399,14.9021,0,0,1699875690
1,44.7422,14.85,0,0,1699875690
1,44.7697,14.8035,0,0,1699875690
1,44.8221,14.8178,0,0,1699875690
1,44.8509,14.8728,0,0,1699875690
1,44.8251,14.918,0,0,1699875690
1,44.7682,14.9381,0,0,1699875690
1,44.6974,14.9287,0,0,1699875690
1,44.618,14.9012,0,0,1699875690
