Sample,EIMMagnitude,EIMPhase,JointAngle,Mass,Time
1,10.421,14.3933,0,0,1699455539
1,13.6584,18.3186,0,0,1699455539
1,17.5477,16.6249,0,0,1699455539
1,20.2135,15.6304,0,0,1699455539
1,21.8263,15.4414,0,0,1699455539
1,23.0236,15.2789,0,0,1699455539
1,23.9846,14.8144,0,0,1699455539
1,24.6967,14.1601,0,0,1699455539
1,25.0509,13.7586,0,0,1699455539
1,24.8043,13.8323,0,0,1699455539
1,25.2144,13.9167,0,0,1699455539
1,27.6179,13.5507,0,0,1699455539
1,30.0132,13.0291,0,0,1699455539
1,30.4157,12.9297,0,0,1699455539
1,29.8989,13.2913,0,0,1699455539
1,29.5959,13.7148,0,0,1699455539
1,29.5213,14.0045,0,0,1699455539
1,29.7534,14.1507,0,0,1699455539
1,30.3516,14.1061,0,0,1699455539
1,30.966,13.9937,0,0,1699455539
1,31.2817,13.9122,0,0,1699455539
1,31.372,13.7377,0,0,1699455539
1,31.3132,13.4273,0,0,1699455539
1,31.1471,13.0993,0,0,1699455539
1,30.9958,12.9669,0,0,1699455539
1,30.8722,13.0459,0,0,1699455539
1,30.7283,13.0415,0,0,1699455539
1,30.5882,12.8522,0,0,1699455539
1,30.4842,12.6204,0,0,1699455539
1,30.4339,12.4265,0,0,1699455539
1,30.3997,12.3108,0,0,1699455539
1,30.3025,12.2682,0,0,1699455539
1,30.1893,12.232,0,0,1699455539
1,30.1513,12.1874,0,0,1699455539
1,30.1635,12.1383,0,0,1699455539
1,30.1648,12.0819,0,0,1699455539
1,30.1453,12.0568,0,0,1699455539
1,30.1259,12.0193,0,0,1699455539
1,30.0893,11.9262,0,0,1699455539
1,29.991,11.8764,0,0,1699455539
1,29.8651,11.9168,0,0,1699455539
1,29.8129,12.0481,0,0,1699455539
1,29.8395,12.2664,0,0,1699455539
1,29.8506,12.4268,0,0,1699455539
1,29.8219,12.4264,0,0,1699455539
1,29.7571,12.3497,0,0,1699455539
1,29.6372,12.3012,0,0,1699455539
1,29.5166,12.3097,0,0,1699455539
1,29.4745,12.4073,0,0,1699455539
1,29.5119,12.6462,0,0,1699455539
1,29.5579,12.9713,0,0,1699455539
1,29.5558,13.2465,0,0,1699455539
1,29.5103,13.3654,0,0,1699455539
1,29.5027,13.3114,0,0,1699455539
1,29.6111,13.2218,0,0,1699455539
1,29.7359,13.1948,0,0,1699455539
1,29.7729,13.1749,0,0,1699455539
1,29.8038,13.1397,0,0,1699455539
1,29.8673,13.1072,0,0,1699455539
1,29.9004,13.0621,0,0,1699455539
1,29.9097,13.0191,0,0,1699455539
1,29.9478,13.0541,0,0,1699455539
1,30.0013,13.1819,0,0,1699455539
1,30.0268,13.3101,0,0,1699455539
1,30.0735,13.3847,0,0,1699455539
1,30.1931,13.3886,0,0,1699455539
1,30.2938,13.2991,0,0,1699455539
1,30.3376,13.1715,0,0,1699455539
1,30.4303,13.0766,0,0,1699455539
1,30.5503,13.0105,0,0,1699455539
1,30.5679,12.9417,0,0,1699455539
1,30.4933,12.8791,0,0,1699455539
1,30.4229,12.8563,0,0,1699455539
1,30.375,12.8476,0,0,1699455539
1,30.3182,12.8078,0,0,1699455539
1,30.2506,12.7628,0,0,1699455539
1,30.1893,12.7497,0,0,1699455539
1,30.1336,12.7595,0,0,1699455539
1,30.0708,12.754,0,0,1699455539
1,30.0169,12.7178,0,0,1699455539
1,29.9936,12.6959,0,0,1699455539
1,29.9888,12.6963,0,0,1699455539
1,29.9889,12.656,0,0,1699455539
1,29.9857,12.5901,0,0,1699455539
1,29.9619,12.5615,0,0,1699455539
1,29.9252,12.5522,0,0,1699455539
1,29.8992,12.5373,0,0,1699455539
1,29.8812,12.5606,0,0,1699455539
1,29.8717,12.6611,0,0,1699455539
1,29.8925,12.7727,0,0,1699455539
1,29.9436,12.8152,0,0,1699455539
1,29.9966,12.8389,0,0,1699455539
1,30.0199,12.9022,0,0,1699455539
1,30.0063,12.9617,0,0,1699455539
1,30.0157,12.9744,0,0,1699455539
1,30.086,12.9461,0,0,1699455539
1,30.1415,12.8986,0,0,1699455539
1,30.1374,12.8761,0,0,1699455539
1,30.1118,12.9134,0,0,1699455539
1,30.1015,12.9619,0,0,1699455539
1,30.1223,12.955,0,0,1699455539
1,30.133,12.9012,0,0,1699455539
1,30.0995,12.8572,0,0,1699455539
1,30.0641,12.8699,0,0,1699455539
1,30.0551,12.9198,0,0,1699455539
1,30.0414,12.9484,0,0,1699455539
1,29.9974,12.9535,0,0,1699455539
1,29.9534,12.9452,0,0,1699455539
1,29.9392,12.9055,0,0,1699455539
1,29.9259,12.842,0,0,1699455539
1,29.897,12.7683,0,0,1699455539
1,29.886,12.6842,0,0,1699455539
1,29.9034,12.5916,0,0,1699455539
1,29.9221,12.5124,0,0,1699455539
1,29.9253,12.487,0,0,1699455539
1,29.9183,12.4999,0,0,1699455539
1,29.9099,12.5028,0,0,1699455539
1,29.8923,12.5009,0,0,1699455539
1,29.8565,12.5052,0,0,1699455539
1,29.821,12.4947,0,0,1699455539
1,29.8053,12.4668,0,0,1699455539
1,29.803,12.4553,0,0,1699455539
1,29.8236,12.4784,0,0,1699455539
1,29.9187,12.521,0,0,1699455539
1,30.0869,12.561,0,0,1699455539
1,30.204,12.5633,0,0,1699455539
1,30.1961,12.5428,0,0,1699455539
1,30.1382,12.5779,0,0,1699455539
1,30.0917,12.6566,0,0,1699455539
1,30.0675,12.6866,0,0,1699455539
1,30.0628,12.6814,0,0,1699455539
1,30.0398,12.7075,0,0,1699455539
1,29.9742,12.7571,0,0,1699455539
1,29.8992,12.8167,0,0,1699455539
1,29.8815,12.8626,0,0,1699455539
1,29.95,12.8593,0,0,1699455539
1,30.0535,12.8401,0,0,1699455539
1,30.1089,12.8528,0,0,1699455539
1,30.0877,12.9095,0,0,1699455539
1,30.0629,12.9845,0,0,1699455539
1,30.1061,13.0272,0,0,1699455539
1,30.1663,13.0312,0,0,1699455539
1,30.1848,13.0163,0,0,1699455539
1,30.1926,12.9827,0,0,1699455539
