Sample,EIMMagnitude,EIMPhase,JointAngle,Mass,Time
1,10.421,14.3933,0,0,1699455539
1,16.8958,22.2439,0,0,1699455539
1,25.3263,13.2376,0,0,1699455539
1,28.211,12.6468,0,0,1699455539
1,28.2773,14.6855,0,0,1699455539
1,29.0099,14.4666,0,0,1699455539
1,29.7508,12.0273,0,0,1699455539
1,29.6814,9.57963,0,0,1699455539
1,27.885,10.5473,0,0,1699455539
1,22.585,14.4955,0,0,1699455539
1,29.3144,14.7606,0,0,1699455539
1,54.0564,9.5242,0,0,1699455539
1,58.7577,6.7702,0,0,1699455539
1,35.6485,11.638,0,0,1699455539
1,22.6637,18.3537,0,0,1699455539
1,25.0504,20.0675,0,0,1699455539
1,28.3277,18.6392,0,0,1699455539
1,33.6982,16.6358,0,0,1699455539
1,41.1204,13.3027,0,0,1699455539
1,42.6402,11.8584,0,0,1699455539
1,37.5942,12.2829,0,0,1699455539
1,33.2697,10.0736,0,0,1699455539
1,30.0197,6.59879,0,0,1699455539
1,27.3262,5.55405,0,0,1699455539
1,27.3652,9.79043,0,0,1699455539
1,27.782,15.019,0,0,1699455539
1,26.9866,12.9269,0,0,1699455539
1,26.805,7.74312,0,0,1699455539
1,27.5734,6.12812,0,0,1699455539
1,28.9731,6.80495,0,0,1699455539
1,29.3745,8.83903,0,0,1699455539
1,27.2886,10.9491,0,0,1699455539
1,26.5666,11.0732,0,0,1699455539
1,28.8991,10.7145,0,0,1699455539
1,30.5775,10.4693,0,0,1699455539
1,30.2091,10.1076,0,0,1699455539
1,29.4444,11.1539,0,0,1699455539
1,29.4089,10.6309,0,0,1699455539
1,28.6967,8.38816,0,0,1699455539
1,26.1593,9.93547,0,0,1699455539
1,24.8278,13.5324,0,0,1699455539
1,27.6731,17.4321,0,0,1699455539
1,30.9587,21.4343,0,0,1699455539
1,30.3244,19.3249,0,0,1699455539
1,28.559,12.4085,0,0,1699455539
1,26.8413,8.89496,0,0,1699455539
1,24.1217,10.0726,0,0,1699455539
1,23.852,12.711,0,0,1699455539
1,27.4513,17.0891,0,0,1699455539
1,31.3429,24.3549,0,0,1699455539
1,31.8582,29.2231,0,0,1699455539
1,29.4517,27.2827,0,0,1699455539
1,27.1433,19.5497,0,0,1699455539
1,29.0985,10.4492,0,0,1699455539
1,35.4637,8.38368,0,0,1699455539
1,36.5999,11.7085,0,0,1699455539
1,31.8484,12.0621,0,0,1699455539
1,31.5614,11.1337,0,0,1699455539
1,33.552,11.2195,0,0,1699455539
1,31.8532,10.4026,0,0,1699455539
1,30.4693,10.4366,0,0,1699455539
1,32.2727,15.1902,0,0,1699455539
1,33.3185,21.109,0,0,1699455539
1,31.6341,21.3837,0,0,1699455539
1,33.0606,18.1622,0,0,1699455539
1,37.9679,13.6371,0,0,1699455539
1,36.9357,7.39738,0,0,1699455539
1,33.2743,4.62257,0,0,1699455539
1,36.7342,6.61747,0,0,1699455539
1,38.8278,8.45047,0,0,1699455539
1,31.803,8.12613,0,0,1699455539
1,25.1935,8.43676,0,0,1699455539
1,25.3564,11.2125,0,0,1699455539
1,26.8821,12.2149,0,0,1699455539
1,26.1145,9.86335,0,0,1699455539
1,25.1785,9.38433,0,0,1699455539
1,25.5296,11.7594,0,0,1699455539
1,25.845,13.5083,0,0,1699455539
1,25.1726,12.3303,0,0,1699455539
1,25.7608,9.85777,0,0,1699455539
1,28.128,10.9441,0,0,1699455539
1,29.5995,12.7258,0,0,1699455539
1,30.0008,9.35062,0,0,1699455539
1,29.7188,7.12131,0,0,1699455539
1,27.964,10.1548,0,0,1699455539
1,26.8062,11.7649,0,0,1699455539
1,27.656,11.2564,0,0,1699455539
1,28.3148,14.5869,0,0,1699455539
1,29.0411,21.5071,0,0,1699455539
1,31.7467,22.7043,0,0,1699455539
1,34.5362,16.6441,0,0,1699455539
1,34.8193,14.9907,0,0,1699455539
1,32.1646,18.7236,0,0,1699455539
1,28.746,18.502,0,0,1699455539
1,30.9001,14.1647,0,0,1699455539
1,36.765,10.2581,0,0,1699455539
1,35.4667,8.33789,0,0,1699455539
1,29.741,10.6916,0,0,1699455539
1,27.6028,16.5668,0,0,1699455539
1,29.0796,17.7709,0,0,1699455539
1,32.2019,12.257,0,0,1699455539
1,31.2091,7.47162,0,0,1699455539
1,26.6826,8.36883,0,0,1699455539
1,26.4171,14.1793,0,0,1699455539
1,29.1279,18.1075,0,0,1699455539
1,28.6019,15.95,0,0,1699455539
1,25.3287,13.4942,0,0,1699455539
1,25.2461,12.0595,0,0,1699455539
1,28.4016,8.62019,0,0,1699455539
1,28.4804,5.91299,0,0,1699455539
1,26.7144,4.66516,0,0,1699455539
1,28.6706,3.34807,0,0,1699455539
1,31.8466,2.21742,0,0,1699455539
1,32.0362,3.57202,0,0,1699455539
1,30.297,9.58881,0,0,1699455539
1,29.1044,13.979,0,0,1699455539
1,28.9368,12.8372,0,0,1699455539
1,27.8353,12.2787,0,0,1699455539
1,25.639,13.0122,0,0,1699455539
1,25.5947,11.2567,0,0,1699455539
1,27.9179,9.1123,0,0,1699455539
1,29.5253,11.0626,0,0,1699455539
1,32.3376,15.3012,0,0,1699455539
1,41.6181,17.7639,0,0,1699455539
1,50.9439,17.5167,0,0,1699455539
1,44.8364,12.8444,0,0,1699455539
1,29.2059,9.95894,0,0,1699455539
1,22.7859,17.037,0,0,1699455539
1,24.1387,22.7362,0,0,1699455539
1,26.937,16.5565,0,0,1699455539
1,29.4609,12.0051,0,0,1699455539
1,27.0266,16.1249,0,0,1699455539
1,21.3114,19.2992,0,0,1699455539
1,19.9299,20.7452,0,0,1699455539
1,27.5023,19.0105,0,0,1699455539
1,39.2047,12.4199,0,0,1699455539
1,44.1293,10.2289,0,0,1699455539
1,37.6909,14.5898,0,0,1699455539
1,27.1625,20.7368,0,0,1699455539
1,26.6167,23.4048,0,0,1699455539
1,36.1539,19.0146,0,0,1699455539
1,38.6586,13.5912,0,0,1699455539
1,32.8153,10.9038,0,0,1699455539
1,31.3,8.18061,0,0,1699455539
1,32.012,7.41595,0,0,1699455539
1,29.5633,9.27965,0,0,1699455539
1,27.1668,10.2457,0,0,1699455539
1,26.5101,11.6971,0,0,1699455539
1,27.2702,14.7667,0,0,1699455539
1,29.3321,15.2734,0,0,1699455539
1,31.3318,12.5859,0,0,1699455539
1,31.3465,10.8422,0,0,1699455539
1,29.7439,11.511,0,0,1699455539
1,28.3666,12.3134,0,0,1699455539
1,29.2781,10.9312,0,0,1699455539
1,32.2607,8.06708,0,0,1699455539
1,33.3992,6.17933,0,0,1699455539
1,32.2132,6.89527,0,0,1699455539
1,31.707,9.56747,0,0,1699455539
1,32.189,11.5343,0,0,1699455539
1,31.6553,12.0851,0,0,1699455539
1,29.1792,14.8636,0,0,1699455539
1,26.3813,20.4677,0,0,1699455539
1,24.0091,20.1572,0,0,1699455539
1,23.9919,11.8424,0,0,1699455539
1,28.4296,9.2379,0,0,1699455539
1,32.5553,16.3473,0,0,1699455539
1,32.9442,20.1209,0,0,1699455539
1,31.4455,14.8501,0,0,1699455539
1,28.6133,7.25955,0,0,1699455539
1,25.8647,4.56816,0,0,1699455539
1,25.4669,8.25635,0,0,1699455539
1,26.7056,11.2018,0,0,1699455539
1,28.1152,8.82442,0,0,1699455539
1,29.0618,6.82018,0,0,1699455539
1,29.4961,6.83278,0,0,1699455539
1,29.8123,6.63237,0,0,1699455539
1,29.79,8.63105,0,0,1699455539
1,30.1051,10.8053,0,0,1699455539
1,30.1157,9.25778,0,0,1699455539
1,29.5328,8.20805,0,0,1699455539
1,31.1026,9.77699,0,0,1699455539
1,32.4069,9.37293,0,0,1699455539
1,30.4968,7.27604,0,0,1699455539
1,29.3529,7.69023,0,0,1699455539
1,28.884,9.62311,0,0,1699455539
1,26.4191,13.1164,0,0,1699455539
1,24.8297,17.8276,0,0,1699455539
1,24.167,17.6456,0,0,1699455539
1,23.5173,15.9675,0,0,1699455539
1,25.7108,19.7909,0,0,1699455539
1,28.1234,21.4014,0,0,1699455539
1,28.4726,15.9334,0,0,1699455539
1,29.4438,11.9046,0,0,1699455539
1,29.2469,12.7831,0,0,1699455539
1,28.2957,13.2449,0,0,1699455539
1,30.4509,10.8671,0,0,1699455539
1,33.1733,9.11885,0,0,1699455539
1,34.2109,9.9051,0,0,1699455539
1,35.1009,9.65477,0,0,1699455539
1,34.665,8.18777,0,0,1699455539
1,31.6293,8.23195,0,0,1699455539
1,28.6554,8.11948,0,0,1699455539
1,29.3342,7.58764,0,0,1699455539
1,32.0363,8.34075,0,0,1699455539
1,32.5877,9.91677,0,0,1699455539
1,31.9241,11.5456,0,0,1699455539
1,31.4097,12.2256,0,0,1699455539
1,29.1024,10.1583,0,0,1699455539
1,27.1043,6.19361,0,0,1699455539
1,28.1845,4.01615,0,0,1699455539
1,30.6459,5.92507,0,0,1699455539
1,34.3808,12.3021,0,0,1699455539
1,39.0857,20.5451,0,0,1699455539
1,42.4611,22.898,0,0,1699455539
1,41.8974,16.9235,0,0,1699455539
1,35.9289,12.166,0,0,1699455539
1,30.9604,12.7715,0,0,1699455539
1,32.7635,13.6441,0,0,1699455539
1,37.0513,15.9286,0,0,1699455539
1,36.6035,18.0342,0,0,1699455539
1,29.9791,12.6459,0,0,1699455539
1,25.3556,4.91406,0,0,1699455539
1,26.8041,3.32915,0,0,1699455539
1,29.0532,5.24531,0,0,1699455539
1,30.2154,7.76789,0,0,1699455539
1,30.6449,9.63539,0,0,1699455539
1,29.977,9.48675,0,0,1699455539
1,29.813,10.5367,0,0,1699455539
1,29.5307,12.6696,0,0,1699455539
1,28.6208,13.1568,0,0,1699455539
1,29.8257,12.6879,0,0,1699455539
1,31.1972,12.0014,0,0,1699455539
1,30.3994,10.9714,0,0,1699455539
1,30.0556,8.84119,0,0,1699455539
1,29.1989,6.46314,0,0,1699455539
1,28.3731,9.90222,0,0,1699455539
1,30.3086,18.777,0,0,1699455539
1,34.0575,21.2407,0,0,1699455539
1,37.764,15.9844,0,0,1699455539
1,36.3026,12.1398,0,0,1699455539
1,30.3254,12.315,0,0,1699455539
1,27.1728,16.5658,0,0,1699455539
1,30.2485,23.5826,0,0,1699455539
1,35.5947,26.9591,0,0,1699455539
1,36.8687,21.1227,0,0,1699455539
1,37.0326,11.0768,0,0,1699455539
1,36.6093,6.03929,0,0,1699455539
1,32.3713,5.16927,0,0,1699455539
1,42.0301,3.73572,0,0,1699455539
1,34.0571,5.88929,0,0,1699455539
1,34.0571,13.8141,0,0,1699455539
1,46.5157,16.0306,0,0,1699455539
1,30.9568,10.2665,0,0,1699455539
1,29.1967,7.07188,0,0,1699455539
1,29.0419,7.39204,0,0,1699455539
1,30.6352,6.98593,0,0,1699455539
1,32.5946,7.25243,0,0,1699455539
1,32.6127,10.2369,0,0,1699455539
1,31.1297,11.9184,0,0,1699455539
1,32.0121,10.239,0,0,1699455539
1,36.1785,10.5786,0,0,1699455539
1,34.6869,14.5964,0,0,1699455539
1,27.6061,16.4331,0,0,1699455539
1,27.7597,12.469,0,0,1699455539
1,33.9097,7.36894,0,0,1699455539
1,34.5299,8.45545,0,0,1699455539
1,28.2237,15.6039,0,0,1699455539
1,26.3987,18.041,0,0,1699455539
1,33.7882,12.7944,0,0,1699455539
1,37.1608,11.4254,0,0,1699455539
1,32.6015,24.381,0,0,1699455539
1,27.6166,14.3933,0,0,1699455539
1,24.1706,14.3933,0,0,1699455539
1,22.9955,33.1868,0,0,1699455539
1,23.6461,24.7882,0,0,1699455539
1,27.2153,21.1116,0,0,1699455539
1,31.6087,14.8383,0,0,1699455539
1,31.3673,14.4778,0,0,1699455539
1,41.7635,18.0548,0,0,1699455539
1,34.0571,19.719,0,0,1699455539
1,34.0571,15.0256,0,0,1699455539
1,41.1344,11.0703,0,0,1699455539
1,31.0278,20.1568,0,0,1699455539
1,33.3743,32.5725,0,0,1699455539
1,33.9417,14.3933,0,0,1699455539
1,33.8526,14.3933,0,0,1699455539
1,51.2499,14.3933,0,0,1699455539
1,34.0571,24.358,0,0,1699455539
1,34.0571,13.1103,0,0,1699455539
1,50.0769,9.62968,0,0,1699455539
1,25.5456,8.94922,0,0,1699455539
1,24.3983,10.181,0,0,1699455539
1,29.3401,12.1829,0,0,1699455539
1,31.3249,11.5847,0,0,1699455539
1,29.1482,8.11649,0,0,1699455539
1,31.336,7.07747,0,0,1699455539
1,34.5458,9.53202,0,0,1699455539
1,33.0126,9.5985,0,0,1699455539
1,29.6619,7.73958,0,0,1699455539
1,24.6245,10.8587,0,0,1699455539
1,21.0934,19.5314,0,0,1699455539
1,24.4385,23.8085,0,0,1699455539
1,27.7635,16.8255,0,0,1699455539
1,26.2373,10.7775,0,0,1699455539
1,26.1102,15.5294,0,0,1699455539
1,28.8134,18.4903,0,0,1699455539
1,28.6206,12.4008,0,0,1699455539
1,22.704,6.51101,0,0,1699455539
1,15.7142,8.10351,0,0,1699455539
1,13.9381,14.5919,0,0,1699455539
1,18.8198,15.9928,0,0,1699455539
1,25.5504,14.0786,0,0,1699455539
1,27.0424,18.8567,0,0,1699455539
1,23.8583,21.9692,0,0,1699455539
1,27.8076,14.3458,0,0,1699455539
1,39.4812,7.61951,0,0,1699455539
1,39.9244,12.1855,0,0,1699455539
1,33.3002,21.3461,0,0,1699455539
1,38.1351,23.1943,0,0,1699455539
1,40.2237,20.7567,0,0,1699455539
1,30.2547,27.6291,0,0,1699455539
1,26.0479,14.3933,0,0,1699455539
1,32.8801,32.6757,0,0,1699455539
1,38.1208,20.9095,0,0,1699455539
1,33.2835,10.8367,0,0,1699455539
1,26.9855,4.91097,0,0,1699455539
1,27.1599,5.60556,0,0,1699455539
1,26.0023,8.19481,0,0,1699455539
1,21.8843,9.00841,0,0,1699455539
1,22.795,9.18624,0,0,1699455539
1,28.2889,10.4751,0,0,1699455539
1,32.8448,15.0923,0,0,1699455539
1,33.4998,16.0604,0,0,1699455539
1,30.8557,11.3906,0,0,1699455539
1,27.9399,10.8783,0,0,1699455539
1,25.5703,11.1127,0,0,1699455539
1,25.5424,13.3795,0,0,1699455539
1,26.7357,28.1574,0,0,1699455539
1,24.0962,14.3933,0,0,1699455539
1,22.4942,14.3933,0,0,1699455539
1,25.7022,22.547,0,0,1699455539
1,27.4837,14.7844,0,0,1699455539
1,29.0081,12.6387,0,0,1699455539
1,33.1967,12.6617,0,0,1699455539
1,32.5293,12.6568,0,0,1699455539
1,26.953,11.671,0,0,1699455539
1,24.9634,15.4124,0,0,1699455539
1,27.0583,28.0457,0,0,1699455539
1,31.3472,14.3933,0,0,1699455539
1,34.7517,25.4103,0,0,1699455539
1,32.4384,14.172,0,0,1699455539
1,26.2713,12.5775,0,0,1699455539
1,25.0506,17.3257,0,0,1699455539
1,32.1599,19.2536,0,0,1699455539
1,35.8898,15.6811,0,0,1699455539
1,30.6942,11.1076,0,0,1699455539
1,25.7574,9.33907,0,0,1699455539
1,24.8183,10.3089,0,0,1699455539
1,26.3654,12.7446,0,0,1699455539
1,29.2611,14.9218,0,0,1699455539
1,31.1615,13.0444,0,0,1699455539
1,30.3686,9.51063,0,0,1699455539
1,27.4335,11.7193,0,0,1699455539
1,26.8595,27.2019,0,0,1699455539
1,34.6517,14.3933,0,0,1699455539
1,45.4776,14.3933,0,0,1699455539
1,43.7048,14.3933,0,0,1699455539
1,29.9865,30.1046,0,0,1699455539
1,20.1288,31.3233,0,0,1699455539
1,20.4507,31.4842,0,0,1699455539
1,24.5542,27.8785,0,0,1699455539
1,25.7405,20.3298,0,0,1699455539
1,25.6156,19.8643,0,0,1699455539
1,27.6896,24.7863,0,0,1699455539
1,28.8756,23.0713,0,0,1699455539
1,31.1924,17.1022,0,0,1699455539
1,38.7018,12.4779,0,0,1699455539
1,38.231,8.58283,0,0,1699455539
1,25.897,7.29317,0,0,1699455539
1,19.5481,8.12587,0,0,1699455539
1,22.5056,8.92663,0,0,1699455539
1,26.3335,10.7303,0,0,1699455539
1,30.0784,20.6243,0,0,1699455539
1,33.1509,14.3933,0,0,1699455539
1,32.4698,14.3933,0,0,1699455539
1,27.7189,23.2597,0,0,1699455539
1,21.8625,12.9451,0,0,1699455539
1,16.6358,16.3762,0,0,1699455540
1,14.9388,21.9858,0,0,1699455540
1,18.8701,27.1555,0,0,1699455540
1,24.8373,28.3456,0,0,1699455540
1,29.2533,21.4176,0,0,1699455540
1,40.7217,16.3542,0,0,1699455540
1,57.7083,16.9851,0,0,1699455540
1,54.4883,13.2567,0,0,1699455540
1,34.4628,7.64452,0,0,1699455540
1,25.6833,7.65719,0,0,1699455540
1,24.7095,7.04957,0,0,1699455540
1,20.4275,3.60157,0,0,1699455540
1,18.9207,3.91205,0,0,1699455540
1,21.7819,7.83406,0,0,1699455540
1,23.5162,10.5773,0,0,1699455540
1,25.299,12.3053,0,0,1699455540
1,33.0771,16.9406,0,0,1699455540
1,40.7247,22.5225,0,0,1699455540
1,37.9712,23.4794,0,0,1699455540
1,31.2387,21.451,0,0,1699455540
1,31.8221,20.3703,0,0,1699455540
1,36.0842,19.1362,0,0,1699455540
1,35.1341,16.2588,0,0,1699455540
1,30.5397,16.9284,0,0,1699455540
1,30.4227,27.7859,0,0,1699455540
1,31.11,14.3933,0,0,1699455540
1,25.3051,14.3933,0,0,1699455540
1,25.4407,14.3933,0,0,1699455540
1,37.2353,25.3321,0,0,1699455540
1,42.0975,16.9855,0,0,1699455540
1,36.6828,15.2145,0,0,1699455540
1,33.0107,13.2913,0,0,1699455540
1,30.8425,8.33249,0,0,1699455540
1,28.9074,5.41452,0,0,1699455540
1,30.7817,8.87653,0,0,1699455540
1,42.2142,16.841,0,0,1699455540
1,55.6436,20.5585,0,0,1699455540
1,50.3155,14.6142,0,0,1699455540
1,35.1903,8.70983,0,0,1699455540
1,29.7669,11.5786,0,0,1699455540
1,29.6395,18.1727,0,0,1699455540
1,30.6372,21.3251,0,0,1699455540
1,28.9711,17.1568,0,0,1699455540
1,22.8158,8.86257,0,0,1699455540
1,21.4408,3.44979,0,0,1699455540
1,25.5083,1.27388,0,0,1699455540
