Sample,EIMMagnitude,EIMPhase,JointAngle,Mass,Time
1,49.5736,4.672,0,0,1699875690
1,64.4115,27.8618,0,0,1699875690
1,43.4623,31.2923,0,0,1699875690
1,45.0023,12.3101,0,0,1699875690
1,44.8639,13.9008,0,0,1699875690
1,56.2296,12.8519,0,0,1699875690
1,60.1758,24.4573,0,0,1699875690
1,69.3411,16.1113,0,0,1699875690
1,49.3933,34.0384,0,0,1699875690
1,30.077,9.37275,0,0,1699875690
1,37.6948,7.25368,0,0,1699875690
1,43.3707,9.77063,0,0,1699875690
1,35.6508,31.1852,0,0,1699875690
1,29.051,5.96198,0,0,1699875690
1,45.5956,54.4939,0,0,1699875690
1,42.6594,17.1864,0,0,1699875690
1,65.9088,2.55888,0,0,1699875690
1,125.475,16.0976,0,0,1699875690
1,40.768,176.163,0,0,1699875690
1,62.3795,54.2933,0,0,1699875690
1,53.2291,34.6884,0,0,1699875690
1,54.4218,0.924087,0,0,1699875690
1,178.488,25.6667,0,0,1699875690
1,75.6633,33.6939,0,0,1699875690
1,219.73,70.2569,0,0,1699875690
1,18.8687,10.9144,0,0,1699875690
1,52.1679,88.8904,0,0,1699875690
1,42.4876,48.4883,0,0,1699875690
1,12.1692,14.8729,0,0,1699875690
1,61.2533,45.3985,0,0,1699875690
1,43.6996,10.278,0,0,1699875690
1,55.6319,14.404,0,0,1699875690
1,72.1364,34.526,0,0,1699875690
1,86.0443,11.5037,0,0,1699875690
1,42.0974,16.446,0,0,1699875690
1,44.8281,6.30723,0,0,1699875690
1,55.2954,38.8088,0,0,1699875690
1,50.2036,18.4287,0,0,1699875690
1,52.6956,19.3626,0,0,1699875690
1,50.0293,34.0479,0,0,1699875690
1,59.3989,1.03638,0,0,1699875690
1,82.9481,2.21235,0,0,1699875690
1,70.7655,22.759,0,0,1699875690
1,45.5815,0.321396,0,0,1699875690
1,52.3263,2.51651,0,0,1699875690
1,38.4891,12.153,0,0,1699875690
1,51.8452,16.6489,0,0,1699875690
1,43.842,2.73061,0,0,1699875690
1,66.5155,23.7695,0,0,1699875690
1,64.0715,0.376185,0,0,1699875690
1,54.3888,11.4575,0,0,1699875690
1,42.2275,2.45143,0,0,1699875690
1,56.949,6.35657,0,0,1699875690
1,12.5948,1.24173,0,0,1699875690
1,41.3677,26.9343,0,0,1699875690
1,36.8244,4.58956,0,0,1699875690
1,66.7051,41.1586,0,0,1699875690
1,45.1291,29.0215,0,0,1699875690
1,15.2168,46.1975,0,0,1699875690
1,43.6469,10.0111,0,0,1699875690
1,107.345,4.48883,0,0,1699875690
1,74.6063,0.524362,0,0,1699875690
1,44.0588,46.9444,0,0,1699875690
1,32.9489,20.6874,0,0,1699875690
1,39.7636,53.3292,0,0,1699875690
1,36.8341,24.8267,0,0,1699875690
1,36.3527,31.5218,0,0,1699875690
1,103.762,44.5137,0,0,1699875690
1,67.0318,11.0038,0,0,1699875690
1,31.1495,7.75018,0,0,1699875690
1,54.1587,10.1649,0,0,1699875690
1,72.8373,8.03824,0,0,1699875690
1,46.5879,73.3314,0,0,1699875690
1,68.5983,14.5628,0,0,1699875690
