Sample,EIMMagnitude,EIMPhase,JointAngle,Mass,Time
1,19.068,18.4236,0,0,1699875690
1,28.5406,18.4236,0,0,1699875690
1,35.3022,22.9336,0,0,1699875690
1,37.4318,20.0597,0,0,1699875690
1,37.02,18.0504,0,0,1699875690
1,37.7503,16.3413,0,0,1699875690
1,40.7915,15.4087,0,0,1699875690
1,44.567,15.2618,0,0,1699875690
1,47.7873,14.9516,0,0,1699875690
1,49.1415,14.3564,0,0,1699875690
1,48.4703,14.1768,0,0,1699875690
1,47.3532,14.1311,0,0,1699875690
1,46.2928,13.8257,0,0,1699875690
1,45.3092,13.7863,0,0,1699875690
1,44.8565,14.1445,0,0,1699875690
1,44.8657,14.2933,0,0,1699875690
1,45.0596,14.0336,0,0,1699875690
1,45.1914,13.6473,0,0,1699875690
1,45.0059,13.2734,0,0,1699875690
1,44.529,13.0295,0,0,1699875690
1,44.0614,12.9761,0,0,1699875690
1,43.8035,12.947,0,0,1699875690
1,43.7209,12.8839,0,0,1699875690
1,43.7233,12.7798,0,0,1699875690
1,43.7683,12.6218,0,0,1699875690
1,43.765,12.5674,0,0,1699875690
1,43.6104,12.6689,0,0,1699875690
1,43.3711,12.7851,0,0,1699875690
1,43.1991,12.7579,0,0,1699875690
1,43.1261,12.6301,0,0,1699875690
1,43.0905,12.6329,0,0,1699875690
1,43.1628,12.8227,0,0,1699875690
1,43.4896,13.0687,0,0,1699875690
1,43.8856,13.2438,0,0,1699875690
1,43.9705,13.3766,0,0,1699875690
1,43.7503,13.5595,0,0,1699875690
1,43.6892,13.7045,0,0,1699875690
1,44.0205,13.781,0,0,1699875690
1,44.3171,13.8735,0,0,1699875690
1,44.2652,13.887,0,0,1699875690
1,44.0548,13.7713,0,0,1699875690
1,43.8187,13.6657,0,0,1699875690
1,43.5176,13.5753,0,0,1699875690
1,43.1947,13.4253,0,0,1699875690
1,42.981,13.2708,0,0,1699875690
1,42.8449,13.1493,0,0,1699875690
1,42.6772,13.0166,0,0,1699875690
1,42.51,12.9128,0,0,1699875690
1,42.3298,12.9273,0,0,1699875690
1,42.1024,13.0048,0,0,1699875690
1,41.9133,13.018,0,0,1699875690
1,41.8491,12.9582,0,0,1699875690
1,41.8943,12.8931,0,0,1699875690
1,41.9266,12.8292,0,0,1699875690
1,41.8935,12.7438,0,0,1699875690
1,41.8571,12.6536,0,0,1699875690
1,41.7973,12.5661,0,0,1699875690
1,41.6896,12.4718,0,0,1699875690
1,41.6543,12.3802,0,0,1699875690
1,41.7213,12.3039,0,0,1699875690
1,41.7239,12.267,0,0,1699875690
1,41.6611,12.3066,0,0,1699875690
1,41.6938,12.4082,0,0,1699875690
1,41.7136,12.4959,0,0,1699875690
1,41.5578,12.5238,0,0,1699875690
1,41.3499,12.5244,0,0,1699875690
1,41.2459,12.5295,0,0,1699875690
1,41.2612,12.5187,0,0,1699875690
1,41.4506,12.5005,0,0,1699875690
1,41.8481,12.5381,0,0,1699875690
1,42.1925,12.6597,0,0,1699875690
1,42.2614,12.802,0,0,1699875690
1,42.1851,12.8918,0,0,1699875690
1,42.1147,12.9505,0,0,1699875690
1,42.0723,13.0147,0,0,1699875690
1,42.0289,13.0573,0,0,1699875690
1,41.9956,13.0719,0,0,1699875690
1,42.0316,13.0674,0,0,1699875690
1,42.0818,13.0097,0,0,1699875690
1,42.0491,12.9019,0,0,1699875690
1,41.9519,12.8238,0,0,1699875690
1,41.8451,12.8241,0,0,1699875690
1,41.7521,12.8774,0,0,1699875690
1,41.7212,12.9589,0,0,1699875690
1,41.7445,13.0333,0,0,1699875690
1,41.7362,13.0458,0,0,1699875690
1,41.6493,13.0028,0,0,1699875690
1,41.5019,12.9548,0,0,1699875690
1,41.375,12.9697,0,0,1699875690
1,41.3286,13.0663,0,0,1699875690
1,41.3203,13.1348,0,0,1699875690
1,41.4231,13.1024,0,0,1699875690
1,41.7352,13.0704,0,0,1699875690
1,42.0519,13.1375,0,0,1699875690
1,42.209,13.227,0,0,1699875690
1,42.2738,13.2285,0,0,1699875690
1,42.2329,13.2153,0,0,1699875690
1,42.0589,13.3308,0,0,1699875690
1,41.8308,13.5246,0,0,1699875690
1,41.6348,13.6367,0,0,1699875690
1,41.5393,13.6692,0,0,1699875690
1,41.5068,13.7106,0,0,1699875690
1,41.4346,13.7964,0,0,1699875690
1,41.4787,13.9602,0,0,1699875690
1,41.8157,14.1402,0,0,1699875690
1,42.1506,14.2025,0,0,1699875690
1,42.1898,14.1435,0,0,1699875690
1,42.0636,14.0542,0,0,1699875690
1,41.9539,13.9945,0,0,1699875690
1,41.988,13.9846,0,0,1699875690
1,42.2048,14.0569,0,0,1699875690
1,42.3569,14.2301,0,0,1699875690
1,42.3062,14.3991,0,0,1699875690
1,42.2468,14.4357,0,0,1699875690
1,42.2613,14.3607,0,0,1699875690
1,42.2528,14.2864,0,0,1699875690
1,42.1763,14.2804,0,0,1699875690
1,42.0415,14.2944,0,0,1699875690
1,41.9106,14.2468,0,0,1699875690
1,41.8632,14.1506,0,0,1699875690
1,41.902,14.0667,0,0,1699875690
1,41.9837,14.0099,0,0,1699875690
1,42.0463,13.9474,0,0,1699875690
1,42.0243,13.8667,0,0,1699875690
1,41.9435,13.7975,0,0,1699875690
1,41.914,13.7736,0,0,1699875690
1,42.023,13.7946,0,0,1699875690
1,42.2068,13.8262,0,0,1699875690
1,42.2953,13.8566,0,0,1699875690
1,42.2521,13.8824,0,0,1699875690
1,42.1669,13.8877,0,0,1699875690
1,42.099,13.9237,0,0,1699875690
1,42.0594,14.0458,0,0,1699875690
1,41.9915,14.1724,0,0,1699875690
1,41.8527,14.2221,0,0,1699875690
1,41.7782,14.2546,0,0,1699875690
1,41.8945,14.3223,0,0,1699875690
1,42.0766,14.3801,0,0,1699875690
1,42.1851,14.392,0,0,1699875690
1,42.2333,14.3901,0,0,1699875690
1,42.2291,14.4094,0,0,1699875690
1,42.196,14.4271,0,0,1699875690
1,42.1807,14.4243,0,0,1699875690
1,42.1623,14.4149,0,0,1699875690
1,42.1149,14.4088,0,0,1699875690
1,42.0381,14.4361,0,0,1699875690
1,41.9507,14.5016,0,0,1699875690
1,41.92,14.5365,0,0,1699875690
1,41.97,14.4997,0,0,1699875690
1,42.0288,14.4309,0,0,1699875690
1,42.0637,14.3819,0,0,1699875690
1,42.0891,14.3532,0,0,1699875690
1,42.0826,14.3261,0,0,1699875690
1,42.0526,14.3199,0,0,1699875690
1,42.0417,14.3317,0,0,1699875690
1,42.053,14.3258,0,0,1699875690
1,42.0664,14.3227,0,0,1699875690
1,42.0797,14.3851,0,0,1699875690
1,42.0915,14.513,0,0,1699875690
1,42.1541,14.6216,0,0,1699875690
1,42.3632,14.7041,0,0,1699875690
1,42.6367,14.827,0,0,1699875690
1,42.8815,14.9609,0,0,1699875690
1,43.1437,15.0569,0,0,1699875690
1,43.3206,15.1283,0,0,1699875690
1,43.3238,15.2104,0,0,1699875690
1,43.326,15.3095,0,0,1699875690
1,43.4369,15.3664,0,0,1699875690
1,43.5631,15.3705,0,0,1699875690
1,43.6454,15.3746,0,0,1699875690
1,43.6911,15.3785,0,0,1699875690
1,43.6915,15.367,0,0,1699875690
1,43.6667,15.3534,0,0,1699875690
1,43.633,15.3371,0,0,1699875690
1,43.5837,15.3026,0,0,1699875690
1,43.5361,15.2482,0,0,1699875690
1,43.5138,15.189,0,0,1699875690
1,43.5177,15.1486,0,0,1699875690
1,43.517,15.1396,0,0,1699875690
1,43.4892,15.1353,0,0,1699875690
1,43.4496,15.1161,0,0,1699875690
1,43.421,15.1128,0,0,1699875690
1,43.4098,15.142,0,0,1699875690
1,43.3991,15.1823,0,0,1699875690
1,43.365,15.2108,0,0,1699875690
1,43.3137,15.2104,0,0,1699875690
1,43.2669,15.1833,0,0,1699875690
1,43.2436,15.1869,0,0,1699875690
1,43.2802,15.2721,0,0,1699875690
1,43.3629,15.3747,0,0,1699875690
1,43.4259,15.4514,0,0,1699875690
1,43.463,15.5762,0,0,1699875690
1,43.4759,15.591,0,0,1699875690
1,43.4302,15.6432,0,0,1699875690
1,43.3752,15.6172,0,0,1699875690
1,43.3779,15.5831,0,0,1699875690
1,43.4159,15.5753,0,0,1699875690
1,43.4669,15.6361,0,0,1699875690
1,43.5326,15.7594,0,0,1699875690
1,43.595,15.8691,0,0,1699875690
1,43.6201,15.9298,0,0,1699875690
1,43.5973,15.9811,0,0,1699875690
1,43.5599,16.0524,0,0,1699875690
1,43.5172,16.1155,0,0,1699875690
1,43.4511,16.1535,0,0,1699875690
1,43.3638,16.2048,0,0,1699875690
1,43.267,16.2825,0,0,1699875690
1,43.1926,16.3555,0,0,1699875690
1,43.2211,16.4391,0,0,1699875690
1,43.3853,16.5528,0,0,1699875690
1,43.5438,16.6738,0,0,1699875690
1,43.578,16.6821,0,0,1699875690
1,43.5592,16.7814,0,0,1699875690
1,43.5543,16.791,0,0,1699875690
1,43.5485,16.741,0,0,1699875690
1,43.5364,16.6861,0,0,1699875690
1,43.5349,16.6621,0,0,1699875690
1,43.5892,16.6992,0,0,1699875690
1,43.7493,16.7806,0,0,1699875690
1,43.963,16.8721,0,0,1699875690
1,44.0813,16.9503,0,0,1699875690
1,44.0644,16.9764,0,0,1699875690
1,44.0098,16.9442,0,0,1699875690
1,43.9597,16.8989,0,0,1699875690
1,43.8993,16.8572,0,0,1699875690
1,43.8399,16.8278,0,0,1699875690
1,43.7828,16.8387,0,0,1699875690
1,43.7234,16.8813,0,0,1699875690
1,43.692,16.9329,0,0,1699875690
1,43.7097,16.9708,0,0,1699875690
1,43.7423,16.9702,0,0,1699875690
1,43.7607,16.9376,0,0,1699875690
1,43.7637,16.9045,0,0,1699875690
1,43.7429,16.901,0,0,1699875690
