Sample,EIMMagnitude,EIMPhase,JointAngle,Mass,Time
1,19.068,18.4236,0,0,1699875690
1,38.0132,18.4236,0,0,1699875690
1,48.8253,31.9534,0,0,1699875690
1,43.8208,11.4383,0,0,1699875690
1,35.3727,10.0131,0,0,1699875690
1,41.4015,7.79599,0,0,1699875690
1,59.0387,9.81317,0,0,1699875690
1,70.9955,14.2329,0,0,1699875690
1,73.5496,12.4703,0,0,1699875690
1,61.33,9.00003,0,0,1699875690
1,41.7583,12.38,0,0,1699875690
1,35.0651,13.629,0,0,1699875690
1,33.5675,10.1607,0,0,1699875690
1,32.522,13.274,0,0,1699875690
1,38.5192,19.1601,0,0,1699875690
1,45.0045,16.5253,0,0,1699875690
1,48.162,9.87753,0,0,1699875690
1,47.4314,7.07992,0,0,1699875690
1,41.6659,6.54332,0,0,1699875690
1,35.469,8.39537,0,0,1699875690
1,34.7101,11.909,0,0,1699875690
1,38.3858,12.3347,0,0,1699875690
1,41.9048,11.4968,0,0,1699875690
1,43.7776,10.385,0,0,1699875690
1,44.8496,8.82966,0,0,1699875690
1,43.6831,11.2064,0,0,1699875690
1,39.5885,15.3081,0,0,1699875690
1,36.9101,15.9235,0,0,1699875690
1,38.3854,11.9965,0,0,1699875690
1,41.0089,8.92378,0,0,1699875690
1,42.0205,12.7165,0,0,1699875690
1,45.4058,18.7081,0,0,1699875690
1,53.9479,20.9402,0,0,1699875690
1,56.9524,19.0222,0,0,1699875690
1,46.8572,17.8927,0,0,1699875690
1,36.0431,19.9603,0,0,1699875690
1,41.4911,18.9246,0,0,1699875690
1,56.2758,16.6122,0,0,1699875690
1,55.5898,17.3877,0,0,1699875690
1,42.2392,14.4125,0,0,1699875690
1,35.6416,9.14474,0,0,1699875690
1,34.1383,9.33468,0,0,1699875690
1,30.8721,9.77998,0,0,1699875690
1,29.3103,6.97435,0,0,1699875690
1,33.5759,6.47163,0,0,1699875690
1,36.7215,7.68272,0,0,1699875690
1,34.9623,6.91166,0,0,1699875690
1,34.6493,8.03537,0,0,1699875690
1,33.6812,13.6202,0,0,1699875690
1,30.9631,16.8025,0,0,1699875690
1,32.4577,13.682,0,0,1699875690
1,38.5741,9.90882,0,0,1699875690
1,44.2452,9.50441,0,0,1699875690
1,43.6383,9.44282,0,0,1699875690
1,40.1035,8.13309,0,0,1699875690
1,39.854,7.69537,0,0,1699875690
1,38.4507,7.66248,0,0,1699875690
1,35.5484,7.10028,0,0,1699875690
1,39.6107,7.0631,0,0,1699875690
1,45.6728,7.80202,0,0,1699875690
1,41.8769,10.0557,0,0,1699875690
1,37.8342,14.7218,0,0,1699875690
1,43.7193,18.7065,0,0,1699875690
1,42.963,18.0229,0,0,1699875690
1,31.5861,14.3067,0,0,1699875690
1,27.8345,12.5666,0,0,1699875690
1,34.3812,12.8624,0,0,1699875690
1,42.2891,11.7978,0,0,1699875690
1,54.3265,11.2641,0,0,1699875690
1,69.2807,15.1303,0,0,1699875690
1,66.2979,21.17,0,0,1699875690
1,47.1506,22.9057,0,0,1699875690
1,36.6964,19.3614,0,0,1699875690
1,36.9773,17.2319,0,0,1699875690
1,38.9345,17.7678,0,0,1699875690
1,38.7722,16.2536,0,0,1699875690
1,39.4632,14.1752,0,0,1699875690
1,44.8048,12.7216,0,0,1699875690
1,45.9997,8.50935,0,0,1699875690
1,39.4591,4.38903,0,0,1699875690
1,34.1824,6.57577,0,0,1699875690
1,33.1934,12.8462,0,0,1699875690
1,34.1255,17.2483,0,0,1699875690
1,39.155,19.7282,0,0,1699875690
1,43.6999,19.2813,0,0,1699875690
1,41.0312,14.1035,0,0,1699875690
1,34.18,9.3095,0,0,1699875690
1,28.6795,8.78061,0,0,1699875690
1,30.1989,14.2745,0,0,1699875690
1,37.2062,21.6667,0,0,1699875690
1,40.5721,19.2952,0,0,1699875690
1,50.7772,10.1576,0,0,1699875690
1,70.444,10.1261,0,0,1699875690
1,71.5091,19.3813,0,0,1699875690
1,56.9759,21.642,0,0,1699875690
1,48.4337,13.3627,0,0,1699875690
1,38.2979,11.9501,0,0,1699875690
1,25.1811,24.5361,0,0,1699875690
1,19.4813,32.5193,0,0,1699875690
1,22.2292,24.7278,0,0,1699875690
1,31.9923,16.9218,0,0,1699875690
1,38.2212,17.8945,0,0,1699875690
1,34.0745,22.5523,0,0,1699875690
1,46.0227,30.8304,0,0,1699875690
1,76.862,32.8555,0,0,1699875690
1,77.3144,20.745,0,0,1699875690
1,46.3448,7.88579,0,0,1699875690
1,28.5572,4.49872,0,0,1699875690
1,30.1064,7.54858,0,0,1699875690
1,45.7049,12.9047,0,0,1699875690
1,66.0551,22.0169,0,0,1699875690
1,59.2386,33.4477,0,0,1699875690
1,36.6272,33.3279,0,0,1699875690
1,35.5392,18.5759,0,0,1699875690
1,43.9054,5.80442,0,0,1699875690
1,41.2738,5.74885,0,0,1699875690
1,33.3084,13.5833,0,0,1699875690
1,26.2663,15.9293,0,0,1699875690
1,26.467,8.6314,0,0,1699875690
1,36.2236,2.698,0,0,1699875690
1,46.5551,4.00267,0,0,1699875690
1,51.8722,7.14483,0,0,1699875690
1,49.6796,6.31933,0,0,1699875690
1,39.3162,3.93207,0,0,1699875690
1,31.9289,5.22197,0,0,1699875690
1,38.2324,10.7898,0,0,1699875690
1,55.7538,16.4383,0,0,1699875690
1,65.5516,17.8431,0,0,1699875690
1,53.6205,17.743,0,0,1699875690
1,36.6784,17.2096,0,0,1699875690
1,31.0908,14.5716,0,0,1699875690
1,33.1988,18.6512,0,0,1699875690
