Sample,EIMMagnitude,EIMPhase,JointAngle,Mass,Time
1,62.7017,5.77017,0,0,1700567895
1,62.7017,5.77017,0,0,1700567895
1,47.1626,12.1915,0,0,1700567895
1,54.4252,6.525,0,0,1700567895
1,57.4375,6.23401,0,0,1700567895
1,58.4257,8.33527,0,0,1700567895
1,53.2704,11.1152,0,0,1700567895
1,48.322,10.6343,0,0,1700567895
1,52.5924,10.2124,0,0,1700567895
1,60.5463,11.3398,0,0,1700567895
1,65.5493,10.3029,0,0,1700567895
1,67.6927,8.15439,0,0,1700567895
1,63.8536,6.36005,0,0,1700567895
1,58.112,4.4409,0,0,1700567895
1,57.1351,3.77543,0,0,1700567895
1,57.4945,5.85421,0,0,1700567895
1,56.9993,9.15324,0,0,1700567895
1,58.2016,9.54529,0,0,1700567895
1,59.7263,7.94111,0,0,1700567895
1,56.6381,8.73187,0,0,1700567895
1,52.3331,9.64228,0,0,1700567895
1,53.45,6.86725,0,0,1700567895
1,56.0123,3.17554,0,0,1700567895
1,56.7523,1.82963,0,0,1700567895
1,58.7241,4.40471,0,0,1700567895
1,62.8281,11.8645,0,0,1700567895
1,65.6402,5.77017,0,0,1700567895
1,63.9989,5.77017,0,0,1700567895
1,60.4056,7.12895,0,0,1700567895
1,58.0565,3.4321,0,0,1700567895
1,56.582,4.56522,0,0,1700567895
1,55.4201,5.65485,0,0,1700567895
1,56.4213,3.87647,0,0,1700567895
1,59.5005,2.15327,0,0,1700567895
1,61.3921,4.08753,0,0,1700567895
1,62.8738,7.43284,0,0,1700567895
1,64.0688,6.604,0,0,1700567895
1,64.091,3.58952,0,0,1700567895
1,63.957,4.9843,0,0,1700567895
1,61.6181,8.63221,0,0,1700567895
1,60.3424,8.49516,0,0,1700567895
1,66.7587,6.43961,0,0,1700567895
1,73.4381,5.94087,0,0,1700567895
1,68.7003,6.38987,0,0,1700567895
1,60.9203,7.62205,0,0,1700567895
1,60.7557,7.55893,0,0,1700567895
1,58.9355,5.04194,0,0,1700567895
1,53.4487,3.26464,0,0,1700567895
1,54.8931,3.20083,0,0,1700567895
1,61.3342,3.76168,0,0,1700567895
1,64.9995,3.82416,0,0,1700567895
1,63.2786,3.39861,0,0,1700567895
1,59.6217,5.05654,0,0,1700567895
1,59.2859,7.63448,0,0,1700567895
1,61.4221,7.21955,0,0,1700567895
1,64.793,4.98461,0,0,1700567895
