Sample,EIMMagnitude,EIMPhase,JointAngle,Mass,Time
1,72.4334,5.04574,0,0,1700568318
1,72.4334,5.04574,0,0,1700568318
1,68.0452,5.04574,0,0,1700568318
1,68.1676,5.15745,0,0,1700568318
1,68.8304,4.88278,0,0,1700568318
1,69.6663,4.9933,0,0,1700568318
1,70.4045,5.22994,0,0,1700568318
1,70.8538,5.21269,0,0,1700568318
1,71.0728,5.02033,0,0,1700568318
1,71.5321,4.89962,0,0,1700568318
1,72.3967,4.95089,0,0,1700568318
1,73.2919,5.01854,0,0,1700568318
1,73.9513,4.97151,0,0,1700568318
1,74.2797,4.90102,0,0,1700568318
1,74.1995,4.81829,0,0,1700568318
1,73.8964,4.66946,0,0,1700568318
1,73.5501,4.50575,0,0,1700568318
1,73.0858,4.38391,0,0,1700568318
1,72.5401,4.35907,0,0,1700568318
1,72.1456,4.43077,0,0,1700568318
1,72.0119,4.48472,0,0,1700568318
1,71.9706,4.46656,0,0,1700568318
1,71.9741,4.42997,0,0,1700568318
1,72.1918,4.4302,0,0,1700568318
1,72.4929,4.47127,0,0,1700568318
1,72.6274,4.49617,0,0,1700568318
1,72.6217,4.48568,0,0,1700568318
1,72.6362,4.48723,0,0,1700568318
1,72.8007,4.49581,0,0,1700568318
1,72.9805,4.49221,0,0,1700568318
1,72.9616,4.5121,0,0,1700568318
1,72.8755,4.56342,0,0,1700568318
1,72.8671,4.60677,0,0,1700568318
1,72.8384,4.60806,0,0,1700568318
1,72.7738,4.57315,0,0,1700568318
1,72.7675,4.53768,0,0,1700568318
1,72.8872,4.49553,0,0,1700568318
1,73.1188,4.44788,0,0,1700568318
1,73.3148,4.44951,0,0,1700568318
1,73.3974,4.50343,0,0,1700568318
1,73.4593,4.5553,0,0,1700568318
1,73.561,4.57836,0,0,1700568318
1,73.6239,4.58203,0,0,1700568318
1,73.5753,4.57239,0,0,1700568318
1,73.4671,4.5608,0,0,1700568318
1,73.4006,4.58309,0,0,1700568318
1,73.4224,4.64456,0,0,1700568318
1,73.4627,4.70025,0,0,1700568318
1,73.4371,4.71201,0,0,1700568318
1,73.4079,4.68767,0,0,1700568318
1,73.4652,4.68214,0,0,1700568318
1,73.5702,4.72039,0,0,1700568318
1,73.6543,4.76314,0,0,1700568318
1,73.7227,4.79553,0,0,1700568318
1,73.7771,4.82258,0,0,1700568318
1,73.7775,4.83011,0,0,1700568318
1,73.7249,4.83931,0,0,1700568318
1,73.6607,4.87676,0,0,1700568318
1,73.6192,4.92157,0,0,1700568318
1,73.6252,4.9595,0,0,1700568318
1,73.6823,4.99032,0,0,1700568318
1,73.7392,4.98913,0,0,1700568318
1,73.7442,4.95136,0,0,1700568318
1,73.7436,4.91966,0,0,1700568318
1,73.7965,4.92358,0,0,1700568318
1,73.8899,4.95172,0,0,1700568318
1,73.9804,4.9821,0,0,1700568318
1,74.0119,4.99839,0,0,1700568318
1,73.9778,4.99017,0,0,1700568318
1,73.9248,4.96646,0,0,1700568318
1,73.8722,4.94242,0,0,1700568318
1,73.8325,4.92308,0,0,1700568318
1,73.8205,4.90992,0,0,1700568318
1,73.84,4.90527,0,0,1700568318
1,73.8819,4.91915,0,0,1700568318
1,73.8972,4.94097,0,0,1700568318
1,73.8615,4.9463,0,0,1700568318
1,73.8362,4.95344,0,0,1700568318
1,73.8532,4.98293,0,0,1700568318
1,73.8573,5.01404,0,0,1700568318
1,73.8348,5.02539,0,0,1700568318
1,73.8467,5.01522,0,0,1700568318
1,73.9221,5.00424,0,0,1700568318
1,73.9977,5.01456,0,0,1700568318
1,74.0039,5.02798,0,0,1700568318
1,73.969,5.01226,0,0,1700568318
1,73.933,4.97355,0,0,1700568318
1,73.8894,4.94487,0,0,1700568318
1,73.8699,4.93503,0,0,1700568318
1,73.8916,4.92743,0,0,1700568318
1,73.9104,4.92071,0,0,1700568318
1,73.9104,4.91665,0,0,1700568318
1,73.8949,4.90401,0,0,1700568318
1,73.8542,4.87931,0,0,1700568318
1,73.7972,4.85239,0,0,1700568318
1,73.7398,4.83301,0,0,1700568318
1,73.7005,4.81519,0,0,1700568318
1,73.6969,4.80054,0,0,1700568318
1,73.7159,4.80004,0,0,1700568318
1,73.7199,4.8041,0,0,1700568318
1,73.6849,4.81785,0,0,1700568318
1,73.6203,4.85091,0,0,1700568318
1,73.5523,4.8753,0,0,1700568318
1,73.517,4.87755,0,0,1700568318
1,73.5375,4.87436,0,0,1700568318
1,73.5802,4.87118,0,0,1700568318
1,73.5972,4.87276,0,0,1700568318
1,73.5899,4.88342,0,0,1700568318
1,73.6007,4.89019,0,0,1700568318
1,73.6511,4.88653,0,0,1700568318
1,73.7044,4.8757,0,0,1700568318
1,73.7287,4.86058,0,0,1700568318
1,73.7356,4.8498,0,0,1700568318
1,73.741,4.84832,0,0,1700568318
1,73.7555,4.85687,0,0,1700568318
1,73.7964,4.86948,0,0,1700568318
1,73.8591,4.88302,0,0,1700568318
1,73.9054,4.91483,0,0,1700568318
1,73.9161,4.96096,0,0,1700568318
1,73.891,4.98638,0,0,1700568318
1,73.8372,4.98076,0,0,1700568318
1,73.7931,4.95969,0,0,1700568318
1,73.7687,4.93539,0,0,1700568318
1,73.7276,4.92238,0,0,1700568318
1,73.6691,4.92845,0,0,1700568318
1,73.6289,4.9412,0,0,1700568318
1,73.6245,4.94863,0,0,1700568318
1,73.6251,4.95094,0,0,1700568318
1,73.5863,4.94881,0,0,1700568318
1,73.5341,4.93661,0,0,1700568318
1,73.5231,4.9162,0,0,1700568318
1,73.5499,4.90465,0,0,1700568318
1,73.5947,4.91055,0,0,1700568318
1,73.6475,4.92259,0,0,1700568318
1,73.6687,4.93031,0,0,1700568318
1,73.634,4.94052,0,0,1700568318
1,73.5866,4.95638,0,0,1700568318
1,73.5651,4.96589,0,0,1700568318
1,73.5689,4.96913,0,0,1700568318
1,73.6032,4.96914,0,0,1700568318
1,73.6588,4.95642,0,0,1700568318
1,73.7036,4.93441,0,0,1700568318
1,73.7207,4.91757,0,0,1700568318
1,73.7082,4.91317,0,0,1700568318
1,73.6816,4.92474,0,0,1700568318
1,73.6694,4.94578,0,0,1700568318
1,73.6806,4.95888,0,0,1700568318
1,73.7098,4.96431,0,0,1700568318
1,73.7422,4.98251,0,0,1700568318
1,73.7467,5.01424,0,0,1700568318
1,73.722,5.03828,0,0,1700568318
1,73.7048,5.04846,0,0,1700568318
1,73.7191,5.0524,0,0,1700568318
1,73.7415,5.04889,0,0,1700568318
1,73.7204,5.03528,0,0,1700568318
1,73.6582,5.01672,0,0,1700568318
1,73.6039,5.00186,0,0,1700568318
1,73.5894,4.99282,0,0,1700568318
1,73.6249,4.98413,0,0,1700568318
1,73.6804,4.97789,0,0,1700568318
1,73.7162,4.97854,0,0,1700568318
1,73.7314,4.98314,0,0,1700568318
1,73.7429,4.98851,0,0,1700568318
1,73.7589,4.99079,0,0,1700568318
1,73.7646,4.99413,0,0,1700568318
1,73.7424,5.00546,0,0,1700568318
1,73.7077,5.01784,0,0,1700568318
1,73.6868,5.03085,0,0,1700568318
1,73.6834,5.05514,0,0,1700568318
1,73.6897,5.08305,0,0,1700568318
1,73.6965,5.09644,0,0,1700568318
1,73.691,5.0926,0,0,1700568318
1,73.6732,5.07836,0,0,1700568318
1,73.6438,5.06155,0,0,1700568318
1,73.6059,5.05107,0,0,1700568318
1,73.5789,5.04856,0,0,1700568318
1,73.5594,5.04518,0,0,1700568318
1,73.5342,5.03272,0,0,1700568318
1,73.5166,5.01924,0,0,1700568318
1,73.5191,5.01534,0,0,1700568318
1,73.5374,5.01379,0,0,1700568318
1,73.5552,5.00756,0,0,1700568318
1,73.5579,4.99883,0,0,1700568318
1,73.5483,4.99174,0,0,1700568318
1,73.5452,4.99058,0,0,1700568318
1,73.5569,4.99331,0,0,1700568318
1,73.5744,4.99542,0,0,1700568318
1,73.5953,4.99854,0,0,1700568318
1,73.6159,5.01055,0,0,1700568318
1,73.6254,5.02906,0,0,1700568318
1,73.6291,5.03807,0,0,1700568318
1,73.6433,5.03488,0,0,1700568318
1,73.6756,5.03166,0,0,1700568318
1,73.7287,5.03532,0,0,1700568318
1,73.7887,5.04266,0,0,1700568318
1,73.8238,5.04644,0,0,1700568318
1,73.8335,5.04603,0,0,1700568318
1,73.8493,5.04839,0,0,1700568318
1,73.8899,5.0509,0,0,1700568318
1,73.9471,5.04689,0,0,1700568318
1,73.9949,5.04338,0,0,1700568318
1,74.0097,5.04732,0,0,1700568318
1,73.9987,5.06194,0,0,1700568318
1,73.9862,5.08736,0,0,1700568318
1,73.9812,5.10852,0,0,1700568318
1,73.9896,5.11257,0,0,1700568318
1,74.0031,5.10582,0,0,1700568318
1,73.9955,5.09861,0,0,1700568318
1,73.9711,5.09277,0,0,1700568318
1,73.9475,5.09034,0,0,1700568318
1,73.9314,5.09114,0,0,1700568318
1,73.9316,5.08754,0,0,1700568318
1,73.9435,5.08013,0,0,1700568318
1,73.9663,5.07429,0,0,1700568318
1,74.0106,5.0698,0,0,1700568318
1,74.0585,5.06796,0,0,1700568318
1,74.0807,5.06713,0,0,1700568318
1,74.0873,5.06454,0,0,1700568318
1,74.1036,5.0652,0,0,1700568318
1,74.1146,5.06881,0,0,1700568318
1,74.1075,5.06824,0,0,1700568318
1,74.1079,5.0643,0,0,1700568318
1,74.1161,5.05813,0,0,1700568318
1,74.108,5.04527,0,0,1700568318
1,74.0995,5.02847,0,0,1700568318
1,74.1201,5.0146,0,0,1700568318
1,74.1527,5.002,0,0,1700568318
1,74.1615,4.99063,0,0,1700568318
1,74.144,4.98898,0,0,1700568318
1,74.1221,4.99412,0,0,1700568318
1,74.1101,4.99511,0,0,1700568318
1,74.1083,4.99275,0,0,1700568318
1,74.111,4.99025,0,0,1700568318
1,74.1103,4.98726,0,0,1700568318
1,74.1027,4.98226,0,0,1700568318
1,74.0901,4.97377,0,0,1700568318
1,74.0835,4.96583,0,0,1700568318
1,74.0938,4.964,0,0,1700568318
1,74.1118,4.96732,0,0,1700568318
1,74.1282,4.96606,0,0,1700568318
1,74.1432,4.95603,0,0,1700568318
1,74.1497,4.94844,0,0,1700568318
1,74.148,4.94891,0,0,1700568318
1,74.1407,4.94869,0,0,1700568318
