Sample,EIMMagnitude,EIMPhase,JointAngle,Mass,Time
1,12.4322,24.7216,0,0,1699455539
1,17.7976,17.9369,0,0,1699455539
1,25.4823,10.9987,0,0,1699455539
1,29.6024,10.7758,0,0,1699455539
1,29.7797,14.5007,0,0,1699455539
1,28.8131,15.4522,0,0,1699455539
1,28.6949,14.7813,0,0,1699455539
1,29.7694,16.707,0,0,1699455539
1,29.9208,17.9266,0,0,1699455539
1,28.6437,13.4243,0,0,1699455539
1,28.7643,10.4392,0,0,1699455539
1,28.4746,15.236,0,0,1699455539
1,26.2916,16.4077,0,0,1699455539
1,26.0036,10.0028,0,0,1699455539
1,26.6137,8.40365,0,0,1699455539
1,26.877,12.4119,0,0,1699455539
1,30.1858,14.5759,0,0,1699455539
1,34.3389,13.6408,0,0,1699455539
1,33.4661,11.6702,0,0,1699455539
1,31.9376,10.7505,0,0,1699455539
1,34.8429,9.87149,0,0,1699455539
1,36.2933,9.67293,0,0,1699455539
1,34.4108,10.8362,0,0,1699455539
1,30.9324,11.0671,0,0,1699455539
1,25.2888,12.3488,0,0,1699455539
1,21.5354,14.7277,0,0,1699455539
1,22.7357,14.8885,0,0,1699455539
1,27.3066,14.0365,0,0,1699455539
1,30.1132,13.3636,0,0,1699455539
1,29.0771,12.6421,0,0,1699455539
1,29.4864,13.2422,0,0,1699455539
1,31.3674,14.6806,0,0,1699455539
1,30.7382,14.2381,0,0,1699455539
1,29.1133,11.9218,0,0,1699455539
1,27.3369,10.7117,0,0,1699455539
1,25.8058,10.9349,0,0,1699455539
1,28.1625,9.57783,0,0,1699455539
1,32.7405,7.58534,0,0,1699455539
1,33.8479,8.67324,0,0,1699455539
1,32.6391,10.1243,0,0,1699455539
1,32.9576,7.55722,0,0,1699455539
1,33.1237,4.0897,0,0,1699455539
1,31.7328,3.59337,0,0,1699455539
1,31.0605,6.13255,0,0,1699455539
1,30.8404,9.76312,0,0,1699455539
1,29.3896,10.2885,0,0,1699455539
1,27.4558,8.2071,0,0,1699455539
1,25.4236,6.90382,0,0,1699455539
1,24.3726,5.4076,0,0,1699455539
1,26.7257,5.50203,0,0,1699455539
1,30.3976,9.165,0,0,1699455539
1,30.6137,12.2772,0,0,1699455539
1,28.8529,12.306,0,0,1699455539
1,28.906,11.0167,0,0,1699455539
1,29.5457,10.1388,0,0,1699455539
1,29.665,9.21555,0,0,1699455539
1,29.8507,6.98254,0,0,1699455539
1,30.2142,5.61711,0,0,1699455539
1,30.46,9.46682,0,0,1699455539
1,29.2676,15.8472,0,0,1699455539
1,28.389,15.9243,0,0,1699455539
1,29.8695,10.3016,0,0,1699455539
1,31.1229,7.23472,0,0,1699455539
1,29.5346,8.53565,0,0,1699455539
1,25.9993,10.7601,0,0,1699455539
1,24.5015,11.4461,0,0,1699455539
1,25.894,10.5966,0,0,1699455539
1,27.3227,8.77274,0,0,1699455539
1,28.8733,8.62912,0,0,1699455539
1,30.3466,11.6014,0,0,1699455539
1,30.4505,13.7549,0,0,1699455539
1,29.9311,13.683,0,0,1699455539
1,28.3372,11.7629,0,0,1699455539
1,26.1674,8.81709,0,0,1699455539
1,26.2583,9.09192,0,0,1699455539
1,27.7609,11.1187,0,0,1699455539
1,28.9816,10.937,0,0,1699455539
1,30.8301,10.9593,0,0,1699455539
1,31.9142,12.0969,0,0,1699455539
1,30.3748,12.2828,0,0,1699455539
1,28.2545,11.3988,0,0,1699455539
1,28.7083,9.02547,0,0,1699455539
1,31.0046,5.99726,0,0,1699455539
1,32.3646,6.01609,0,0,1699455539
1,32.7938,9.56544,0,0,1699455539
1,32.5213,10.9364,0,0,1699455539
1,31.3592,9.37426,0,0,1699455539
1,30.9373,9.57913,0,0,1699455539
1,31.292,10.3441,0,0,1699455539
1,30.3638,10.327,0,0,1699455539
1,28.2055,11.5991,0,0,1699455539
1,26.863,12.0393,0,0,1699455539
1,28.0036,8.925,0,0,1699455539
1,30.2943,5.85164,0,0,1699455539
1,29.0778,5.77509,0,0,1699455539
1,25.9202,7.11286,0,0,1699455539
1,27.8803,9.57953,0,0,1699455539
1,32.5825,12.8004,0,0,1699455539
1,32.4441,13.9916,0,0,1699455539
1,27.8908,12.3484,0,0,1699455539
1,25.1424,11.3025,0,0,1699455539
1,26.4957,11.7561,0,0,1699455539
1,28.4207,10.1331,0,0,1699455539
1,28.8458,7.99805,0,0,1699455539
1,28.0076,9.65831,0,0,1699455539
1,26.6083,12.6979,0,0,1699455539
1,25.6467,12.935,0,0,1699455539
1,24.7406,10.8557,0,0,1699455539
1,24.9524,8.76246,0,0,1699455539
1,26.6492,8.28706,0,0,1699455539
