Sample,EIMMagnitude,EIMPhase,JointAngle,Mass,Time
1,34.3557,9.77921,0,0,1699455539
1,42.9988,12.3997,0,0,1699455539
1,43.889,14.8428,0,0,1699455539
1,41.2719,30.5873,0,0,1699455539
1,39.6583,16.2524,0,0,1699455539
1,40.3775,20.2883,0,0,1699455539
1,44.2944,27.2069,0,0,1699455539
1,44.3147,30.9446,0,0,1699455539
1,33.7605,9.31465,0,0,1699455539
1,46.4389,4.58194,0,0,1699455539
1,41.5469,44.7286,0,0,1699455539
1,26.0847,16.176,0,0,1699455539
1,48.6449,0.0353367,0,0,1699455539
1,29.5552,19.306,0,0,1699455539
1,41.66,20.8767,0,0,1699455539
1,42.4758,20.6941,0,0,1699455539
1,60.6282,21.4791,0,0,1699455539
1,39.2963,7.72361,0,0,1699455539
1,38.0581,23.9031,0,0,1699455539
1,68.9244,5.77417,0,0,1699455539
1,35.9263,15.4389,0,0,1699455539
1,59.5671,21.8175,0,0,1699455539
1,35.1058,5.95901,0,0,1699455539
1,31.7396,26.6109,0,0,1699455539
1,26.6425,20.488,0,0,1699455539
1,34.0416,20.3386,0,0,1699455539
1,44.0471,19.8356,0,0,1699455539
1,49.1504,18.3724,0,0,1699455539
1,28.8122,16.7762,0,0,1699455539
1,51.8463,18.1921,0,0,1699455539
1,43.4153,26.8714,0,0,1699455539
1,41.9797,14.9538,0,0,1699455539
1,40.8086,18.0828,0,0,1699455539
1,38.7591,9.30995,0,0,1699455539
1,29.8222,24.2585,0,0,1699455539
1,46.0815,5.54296,0,0,1699455539
1,52.9662,10.2164,0,0,1699455539
1,45.1915,14.1573,0,0,1699455539
1,43.8786,19.7866,0,0,1699455539
1,50.1182,3.27726,0,0,1699455539
1,47.0238,2.56774,0,0,1699455539
1,40.9829,8.68624,0,0,1699455539
1,45.9779,3.83435,0,0,1699455539
1,44.64,29.1355,0,0,1699455539
1,37.5253,3.6324,0,0,1699455539
1,41.0991,14.93,0,0,1699455539
1,31.2471,8.00619,0,0,1699455539
1,34.0874,6.18426,0,0,1699455539
1,39.3209,3.8069,0,0,1699455539
1,51.7692,24.0727,0,0,1699455539
1,38.1035,14.3656,0,0,1699455539
1,38.8419,20.5264,0,0,1699455539
1,44.6021,10.9608,0,0,1699455539
1,39.8408,16.2632,0,0,1699455539
1,43.3085,12.7952,0,0,1699455539
1,42.6641,6.70243,0,0,1699455539
1,41.2325,4.49414,0,0,1699455539
1,47.8909,17.0385,0,0,1699455539
1,35.9788,35.7859,0,0,1699455539
1,39.4967,17.5239,0,0,1699455539
1,47.6122,4.41916,0,0,1699455539
1,41.9784,14.8051,0,0,1699455539
1,45.1666,6.84385,0,0,1699455539
1,26.5067,27.351,0,0,1699455539
1,38.0195,5.03932,0,0,1699455539
1,39.0552,25.9268,0,0,1699455539
1,36.5106,0.120282,0,0,1699455539
1,45.3358,16.5019,0,0,1699455539
1,43.2001,21.5966,0,0,1699455539
1,42.5878,17.6761,0,0,1699455539
1,42.9625,21.8584,0,0,1699455539
1,40.0046,15.1963,0,0,1699455539
1,30.4139,4.97463,0,0,1699455539
1,42.5811,17.374,0,0,1699455539
1,39.0125,20.726,0,0,1699455539
1,40.1843,7.43803,0,0,1699455539
1,48.6359,22.0919,0,0,1699455539
1,44.6416,14.9911,0,0,1699455539
1,42.5072,18.8528,0,0,1699455539
1,34.8357,15.7503,0,0,1699455539
1,43.8977,10.7774,0,0,1699455539
1,47.0205,4.09844,0,0,1699455539
1,44.6241,7.55231,0,0,1699455539
1,48.5931,22.1736,0,0,1699455539
