Sample,EIMMagnitude,EIMPhase,JointAngle,Mass,Time
1,13.4878,16.6585,0,0,1699455539
1,19.4097,15.7474,0,0,1699455539
1,26.8969,14.8905,0,0,1699455539
1,32.6997,17.1569,0,0,1699455539
1,38.011,14.2058,0,0,1699455539
1,38.0863,9.5102,0,0,1699455539
1,33.401,12.7535,0,0,1699455539
1,31.7677,17.133,0,0,1699455539
1,34.5714,14.7027,0,0,1699455539
1,38.3279,11.4018,0,0,1699455539
1,38.5992,12.2117,0,0,1699455539
1,35.4181,13.5177,0,0,1699455539
1,33.4436,13.447,0,0,1699455539
1,32.692,13.9117,0,0,1699455539
1,32.86,15.1164,0,0,1699455539
1,33.3389,15.3507,0,0,1699455539
1,32.4467,13.8148,0,0,1699455539
1,33.1561,12.2556,0,0,1699455539
1,36.5852,10.6195,0,0,1699455539
1,40.644,7.17501,0,0,1699455539
1,40.5946,4.54366,0,0,1699455539
1,35.3372,6.11627,0,0,1699455539
1,34.7244,11.3092,0,0,1699455539
1,38.7694,17.3049,0,0,1699455539
1,37.9368,19.2686,0,0,1699455539
1,33.1704,17.2639,0,0,1699455539
1,28.886,16.9405,0,0,1699455539
1,30.005,16.4955,0,0,1699455539
1,37.01,12.1916,0,0,1699455539
1,40.8207,6.97313,0,0,1699455539
1,40.8096,4.27652,0,0,1699455539
1,42.401,6.6697,0,0,1699455539
1,43.0252,12.6769,0,0,1699455539
1,39.7067,15.4898,0,0,1699455539
1,34.109,12.8759,0,0,1699455539
1,29.4273,10.3399,0,0,1699455539
1,27.6741,12.0384,0,0,1699455539
1,28.5136,14.5708,0,0,1699455539
1,31.5016,15.0297,0,0,1699455539
1,35.2577,15.0924,0,0,1699455539
1,35.33,13.4689,0,0,1699455539
1,31.3145,10.7075,0,0,1699455539
1,30.9559,9.94861,0,0,1699455539
1,34.923,8.43991,0,0,1699455539
1,33.26,8.0044,0,0,1699455539
1,30.1061,11.4455,0,0,1699455539
1,34.8802,12.2905,0,0,1699455539
1,37.662,9.49877,0,0,1699455539
1,34.2337,7.21064,0,0,1699455539
1,34.792,6.20219,0,0,1699455539
1,38.8859,7.42922,0,0,1699455539
1,38.6999,10.1314,0,0,1699455539
1,35.0837,11.6763,0,0,1699455539
1,34.0782,11.1119,0,0,1699455539
1,34.5581,9.02431,0,0,1699455539
1,31.8148,6.86628,0,0,1699455539
1,28.5391,5.8695,0,0,1699455539
1,28.877,5.90738,0,0,1699455539
1,31.4722,5.68509,0,0,1699455539
1,34.3429,5.63183,0,0,1699455539
1,36.6021,7.97049,0,0,1699455539
1,36.3347,10.8425,0,0,1699455539
1,33.1595,10.6098,0,0,1699455539
1,31.5253,8.77334,0,0,1699455539
1,34.5765,6.96129,0,0,1699455539
1,37.1669,4.52834,0,0,1699455539
1,35.6712,3.71432,0,0,1699455539
1,33.7336,8.42326,0,0,1699455539
1,34.1951,15.2395,0,0,1699455539
1,36.1937,18.4138,0,0,1699455539
1,37.4385,19.3922,0,0,1699455539
1,37.6895,17.315,0,0,1699455539
1,39.315,13.6465,0,0,1699455539
1,43.7025,12.9777,0,0,1699455539
1,45.6259,12.8633,0,0,1699455539
1,38.484,14.5847,0,0,1699455539
1,30.0488,16.9258,0,0,1699455539
1,30.8164,14.9766,0,0,1699455539
1,34.5308,12.8944,0,0,1699455539
1,35.1958,11.9448,0,0,1699455539
1,35.3101,10.1742,0,0,1699455539
1,33.5078,9.38895,0,0,1699455539
1,31.5897,9.23497,0,0,1699455539
1,33.5652,9.10406,0,0,1699455539
1,35.6498,11.0027,0,0,1699455539
1,35.7487,13.8141,0,0,1699455539
1,35.8336,14.1116,0,0,1699455539
1,39.325,13.2776,0,0,1699455539
1,46.6321,12.9579,0,0,1699455539
1,46.1202,11.3861,0,0,1699455539
1,34.22,8.99966,0,0,1699455539
