Sample,EIMMagnitude,EIMPhase,JointAngle,Mass,Time
1,62.4523,10.4087,0,0,1699875690
1,57.7692,16.2341,0,0,1699875690
1,60.3842,1.36677,0,0,1699875690
1,78.2461,38.1649,0,0,1699875690
1,59.7603,0.994386,0,0,1699875690
1,53.0053,2.52755,0,0,1699875690
1,61.0121,9.32861,0,0,1699875690
1,47.8793,36.4289,0,0,1699875690
1,50.4365,24.2921,0,0,1699875690
1,56.7334,33.5301,0,0,1699875690
1,35.0145,13.533,0,0,1699875690
1,55.413,53.6458,0,0,1699875690
1,45.032,0.604923,0,0,1699875690
1,63.1433,7.88189,0,0,1699875690
1,62.8827,9.93501,0,0,1699875690
1,37.13,37.5027,0,0,1699875690
1,50.9542,2.40627,0,0,1699875690
1,83.4435,15.3272,0,0,1699875690
1,45.5329,42.733,0,0,1699875690
1,56.2892,5.10004,0,0,1699875690
1,47.1439,17.1534,0,0,1699875690
1,127.431,10.5704,0,0,1699875690
1,148.953,64.1421,0,0,1699875690
1,39.1446,23.581,0,0,1699875690
1,67.5251,36.3224,0,0,1699875690
1,60.4934,10.7102,0,0,1699875690
1,39.4244,7.8542,0,0,1699875690
1,55.7623,37.3716,0,0,1699875690
1,49.9452,5.93711,0,0,1699875690
1,60.0224,3.49243,0,0,1699875690
1,56.2865,4.91712,0,0,1699875690
1,81.067,6.71077,0,0,1699875690
1,45.3285,17.9735,0,0,1699875690
1,47.9456,25.5968,0,0,1699875690
1,74.1201,22.3442,0,0,1699875690
1,38.0984,28.7323,0,0,1699875690
1,58.0442,16.0073,0,0,1699875690
1,47.8058,10.7073,0,0,1699875690
1,84.105,9.11259,0,0,1699875690
1,42.0602,8.81894,0,0,1699875690
1,55.6463,35.0149,0,0,1699875690
1,67.0313,3.32202,0,0,1699875690
1,47.1172,11.7571,0,0,1699875690
1,60.5158,6.91425,0,0,1699875690
1,22.2854,33.1732,0,0,1699875690
1,79.1909,12.6007,0,0,1699875690
1,26.5818,24.2289,0,0,1699875690
1,58.951,35.2238,0,0,1699875690
1,114.114,24.1496,0,0,1699875690
1,79.3907,9.38253,0,0,1699875690
1,22.1403,13.0331,0,0,1699875690
1,39.753,27.5481,0,0,1699875690
1,40.6735,5.43782,0,0,1699875690
1,66.5551,17.4448,0,0,1699875690
1,33.5306,12.8306,0,0,1699875690
1,108.453,59.4341,0,0,1699875690
1,57.0954,54.1437,0,0,1699875690
1,66.4797,44.9074,0,0,1699875690
1,52.6545,9.2485,0,0,1699875690
1,76.3744,3.11421,0,0,1699875690
1,46.2043,2.12626,0,0,1699875690
1,32.7979,20.6923,0,0,1699875690
1,41.9766,0.849387,0,0,1699875690
1,35.6817,4.06265,0,0,1699875690
1,30.6986,2.57694,0,0,1699875690
1,392.46,90.8004,0,0,1699875690
1,30.849,79.2535,0,0,1699875690
1,136.618,76.684,0,0,1699875690
1,17.0234,121.776,0,0,1699875690
1,199.8,30.5812,0,0,1699875690
1,212.307,12.8772,0,0,1699875690
1,52.2868,34.013,0,0,1699875690
1,38.8007,52.6923,0,0,1699875690
1,77.1728,14.0929,0,0,1699875690
1,29.5935,22.7618,0,0,1699875690
1,45.436,22.1651,0,0,1699875690
1,24.9724,24.0721,0,0,1699875690
1,92.0102,26.3349,0,0,1699875690
1,34.6783,0.980943,0,0,1699875690
1,201.074,10.8514,0,0,1699875690
1,33.4054,35.2904,0,0,1699875690
1,26.6737,14.9946,0,0,1699875690
1,20.086,3.73358,0,0,1699875690
1,51.975,46.6663,0,0,1699875690
1,61.155,35.4844,0,0,1699875690
1,48.7845,3.92551,0,0,1699875690
1,63.5223,33.3104,0,0,1699875690
1,59.801,5.9825,0,0,1699875690
1,33.4318,3.10066,0,0,1699875690
1,36.3762,3.38142,0,0,1699875690
1,61.0319,4.96274,0,0,1699875690
1,54.712,23.0337,0,0,1699875690
1,64.3983,35.7545,0,0,1699875690
1,33.0179,51.1489,0,0,1699875690
1,89.2631,14.8649,0,0,1699875690
1,118.369,16.1621,0,0,1699875690
1,26.5753,40.089,0,0,1699875690
1,91.2601,5.61198,0,0,1699875690
1,60.6438,26.2825,0,0,1699875690
1,40.1337,14.3798,0,0,1699875690
1,67.5729,9.65598,0,0,1699875690
1,34.2287,2.81707,0,0,1699875690
1,45.7748,10.2029,0,0,1699875690
1,44.6567,4.71675,0,0,1699875690
1,51.5194,23.0438,0,0,1699875690
1,59.4998,6.16855,0,0,1699875690
1,57.9169,23.6568,0,0,1699875690
1,51.7741,22.8237,0,0,1699875690
1,77.4573,0.6165,0,0,1699875690
1,30.0481,17.9643,0,0,1699875690
1,58.4338,10.866,0,0,1699875690
1,54.004,0.808346,0,0,1699875690
1,46.9393,11.131,0,0,1699875690
1,86.0973,10.1647,0,0,1699875690
1,81.8562,15.6526,0,0,1699875690
1,47.6385,73.2082,0,0,1699875690
1,49.1152,17.1259,0,0,1699875690
1,68.0914,3.91951,0,0,1699875690
1,129.261,8.30485,0,0,1699875690
1,65.1494,38.5083,0,0,1699875690
1,18.8718,68.1604,0,0,1699875690
1,49.0145,48.5834,0,0,1699875690
1,70.4704,28.1337,0,0,1699875690
1,39.8605,33.243,0,0,1699875690
1,48.3911,29.6911,0,0,1699875690
1,81.2612,25.8334,0,0,1699875690
1,38.3132,8.75434,0,0,1699875690
1,52.7766,2.9113,0,0,1699875690
1,63.9142,13.5908,0,0,1699875690
1,38.0908,26.6767,0,0,1699875690
1,42.6382,27.4682,0,0,1699875690
1,41.7344,13.6203,0,0,1699875690
1,37.8434,1.65456,0,0,1699875690
1,37.7886,22.4843,0,0,1699875690
1,41.1174,3.0763,0,0,1699875690
1,46.4685,14.9449,0,0,1699875690
1,48.0357,11.579,0,0,1699875690
1,69.8557,3.36274,0,0,1699875690
1,26.0328,34.6151,0,0,1699875690
1,39.6357,15.3291,0,0,1699875690
1,66.405,12.8901,0,0,1699875690
1,48.2093,1.11194,0,0,1699875690
1,62.175,21.7926,0,0,1699875690
1,63.0044,26.7203,0,0,1699875690
1,55.0639,28.9689,0,0,1699875690
1,88.7132,4.41815,0,0,1699875690
1,52.4597,35.9429,0,0,1699875690
1,79.0122,7.92144,0,0,1699875690
1,53.4535,44.2961,0,0,1699875690
1,72.2453,34.7591,0,0,1699875690
1,75.0722,4.29675,0,0,1699875690
1,69.0856,35.1085,0,0,1699875690
1,51.4671,22.1442,0,0,1699875690
1,59.0078,9.13801,0,0,1699875690
1,28.3369,23.7926,0,0,1699875690
1,65.5458,2.75617,0,0,1699875690
1,35.7099,5.61287,0,0,1699875690
1,37.3061,61.0447,0,0,1699875690
1,54.2075,18.0655,0,0,1699875690
1,54.4632,21.7391,0,0,1699875690
1,41.3114,24.9673,0,0,1699875690
1,32.526,17.0072,0,0,1699875690
1,42.9122,17.4162,0,0,1699875690
1,46.0622,48.716,0,0,1699875690
1,65.0135,16.3652,0,0,1699875690
1,49.2528,1.46944,0,0,1699875690
1,40.5995,24.7022,0,0,1699875690
1,49.3918,24.4066,0,0,1699875690
1,44.3897,5.93986,0,0,1699875690
1,57.2275,26.0098,0,0,1699875690
1,59.2053,22.0453,0,0,1699875690
1,60.3311,34.6248,0,0,1699875690
1,44.2892,25.9843,0,0,1699875690
1,49.4128,13.2243,0,0,1699875690
1,74.9688,1.88646,0,0,1699875690
1,57.0646,5.67633,0,0,1699875690
1,31.8518,25.1693,0,0,1699875690
1,56.7278,10.0328,0,0,1699875690
1,45.1363,17.9162,0,0,1699875690
1,70.7651,7.93458,0,0,1699875690
1,75.592,40.5707,0,0,1699875690
1,56.5961,33.9344,0,0,1699875690
1,59.1904,1.3484,0,0,1699875690
1,38.5787,37.84,0,0,1699875690
1,70.5663,0.130596,0,0,1699875690
1,156.427,33.0769,0,0,1699875690
1,52.4892,43.3644,0,0,1699875690
1,25.3759,9.44335,0,0,1699875690
1,39.4159,51.9225,0,0,1699875690
1,63.0859,2.34683,0,0,1699875690
1,82.901,33.4691,0,0,1699875690
1,72.6613,0.0644972,0,0,1699875690
1,59.1683,5.38178,0,0,1699875690
1,42.1996,7.72303,0,0,1699875690
1,48.4484,27.1887,0,0,1699875690
1,47.0844,32.7824,0,0,1699875690
1,37.3994,3.27792,0,0,1699875690
1,46.4477,26.4426,0,0,1699875690
1,88.2451,21.5889,0,0,1699875690
1,34.9274,3.50906,0,0,1699875690
1,71.666,19.2359,0,0,1699875690
1,48.174,32.8963,0,0,1699875690
1,177.221,106.316,0,0,1699875690
1,27.4426,7.12503,0,0,1699875690
1,64.3935,36.231,0,0,1699875690
1,43.9595,10.6043,0,0,1699875690
1,20.7636,4.16244,0,0,1699875690
1,57.4841,19.9999,0,0,1699875690
1,47.3036,1.58509,0,0,1699875690
1,33.9135,2.77745,0,0,1699875690
1,48.3488,12.0917,0,0,1699875690
1,57.4336,13.4229,0,0,1699875690
1,36.9781,30.6468,0,0,1699875690
1,11.4106,10.4912,0,0,1699875690
1,70.0453,12.7253,0,0,1699875690
1,55.7986,22.5044,0,0,1699875690
1,61.5703,29.8855,0,0,1699875690
1,109.399,5.84534,0,0,1699875690
1,57.635,23.7749,0,0,1699875690
1,61.2683,36.152,0,0,1699875690
1,37.0081,16.0003,0,0,1699875690
1,60.4995,39.9219,0,0,1699875690
1,61.7088,25.2615,0,0,1699875690
1,59.0029,26.6292,0,0,1699875690
1,44.4806,6.6223,0,0,1699875690
1,72.0916,31.0715,0,0,1699875690
1,41.6396,3.81724,0,0,1699875690
1,40.643,15.7368,0,0,1699875690
1,51.4617,7.83156,0,0,1699875690
1,87.0103,26.5205,0,0,1699875690
1,38.3049,16.578,0,0,1699875690
1,54.0894,10.8362,0,0,1699875690
1,69.38,5.69605,0,0,1699875690
1,50.9575,2.47434,0,0,1699875690
1,43.0327,6.9432,0,0,1699875690
1,46.0534,5.5435,0,0,1699875690
1,80.6692,19.7476,0,0,1699875691
1,53.4613,18.3196,0,0,1699875691
1,70.423,15.2035,0,0,1699875691
1,56.6548,3.12063,0,0,1699875691
1,67.9816,7.68498,0,0,1699875691
1,70.2041,3.73842,0,0,1699875691
1,66.0908,23.1996,0,0,1699875691
1,28.5643,3.86066,0,0,1699875691
1,51.2223,0.869442,0,0,1699875691
1,50.3488,21.7047,0,0,1699875691
1,77.2963,8.87922,0,0,1699875691
1,23.1589,32.1071,0,0,1699875691
1,56.8369,4.22422,0,0,1699875691
1,82.1113,25.7912,0,0,1699875691
1,32.0469,13.0386,0,0,1699875691
1,22.2282,7.37211,0,0,1699875691
1,45.6187,19.1106,0,0,1699875691
1,23.9448,37.9762,0,0,1699875691
1,38.7771,30.4474,0,0,1699875691
1,59.8202,0.847125,0,0,1699875691
1,74.0832,4.73495,0,0,1699875691
1,47.1735,6.99253,0,0,1699875691
1,66.4322,15.1573,0,0,1699875691
1,44.5294,16.6024,0,0,1699875691
1,48.2738,13.8061,0,0,1699875691
1,64.421,10.7266,0,0,1699875691
1,74.9131,26.4184,0,0,1699875691
1,8.44595,24.6074,0,0,1699875691
1,229.626,11.4108,0,0,1699875691
1,100.137,57.3375,0,0,1699875691
1,125.274,30.0362,0,0,1699875691
1,64.4311,57.3636,0,0,1699875691
1,6.80636,45.9801,0,0,1699875691
1,52.0061,20.9659,0,0,1699875691
1,54.4958,0.700535,0,0,1699875691
1,59.9257,26.0915,0,0,1699875691
1,42.6266,8.54651,0,0,1699875691
1,63.3326,50.4665,0,0,1699875691
1,48.6189,34.5494,0,0,1699875691
1,38.0389,17.7656,0,0,1699875691
1,49.9604,44.4927,0,0,1699875691
1,18.6932,3.20056,0,0,1699875691
1,33.4453,57.5716,0,0,1699875691
1,66.7012,13.2307,0,0,1699875691
1,45.2579,9.84278,0,0,1699875691
1,53.8568,21.9097,0,0,1699875691
1,29.4896,48.6881,0,0,1699875691
1,29.8422,20.2745,0,0,1699875691
1,37.0512,16.7273,0,0,1699875691
1,50.4781,40.1631,0,0,1699875691
1,51.519,33.3209,0,0,1699875691
1,9.30565,27.7284,0,0,1699875691
1,19.5487,27.913,0,0,1699875691
1,26.8067,8.38701,0,0,1699875691
1,97.6051,50.3758,0,0,1699875691
1,45.3876,13.6333,0,0,1699875691
1,51.807,14.0599,0,0,1699875691
1,18.3861,20.6008,0,0,1699875691
1,96.7655,14.0492,0,0,1699875691
1,42.3115,25.229,0,0,1699875691
1,75.3925,14.1052,0,0,1699875691
1,69.2789,11.4957,0,0,1699875691
1,53.8393,12.2534,0,0,1699875691
1,55.4453,11.8129,0,0,1699875691
1,54.8031,14.2411,0,0,1699875691
1,33.9306,11.8088,0,0,1699875691
1,55.2575,19.4724,0,0,1699875691
1,39.5537,15.3517,0,0,1699875691
1,61.3948,36.2257,0,0,1699875691
1,53.5889,4.01901,0,0,1699875691
1,58.5142,0.112544,0,0,1699875691
1,72.4956,1.10359,0,0,1699875691
1,72.959,17.4735,0,0,1699875691
1,40.9398,10.5347,0,0,1699875691
1,49.541,3.97896,0,0,1699875691
1,58.2799,14.7572,0,0,1699875691
1,60.692,33.5871,0,0,1699875691
1,43.5169,17.5376,0,0,1699875691
1,43.0788,29.6409,0,0,1699875691
1,55.2414,8.76491,0,0,1699875691
1,78.1605,40.457,0,0,1699875691
1,70.7622,11.8201,0,0,1699875691
1,17.1987,32.2892,0,0,1699875691
1,51.4683,21.2413,0,0,1699875691
1,49.0572,15.8555,0,0,1699875691
1,47.8565,38.6157,0,0,1699875691
1,60.3309,30.7254,0,0,1699875691
1,58.7111,16.8309,0,0,1699875691
1,41.5502,25.7958,0,0,1699875691
1,29.4368,49.6369,0,0,1699875691
1,65.934,1.3875,0,0,1699875691
1,55.6894,29.8495,0,0,1699875691
1,60.006,2.45336,0,0,1699875691
1,62.6103,2.67819,0,0,1699875691
1,71.3102,21.4019,0,0,1699875691
1,43.5364,4.59631,0,0,1699875691
1,60.6488,21.2238,0,0,1699875691
1,42.5384,6.98648,0,0,1699875691
1,55.1748,31.0003,0,0,1699875691
1,55.5991,28.8941,0,0,1699875691
1,51.6514,7.83445,0,0,1699875691
1,62.2183,21.6523,0,0,1699875691
1,44.2214,1.93931,0,0,1699875691
1,69.3943,8.39093,0,0,1699875691
1,42.102,49.9578,0,0,1699875691
1,53.7053,9.08369,0,0,1699875691
1,69.2554,19.1063,0,0,1699875691
1,21.9848,38.2758,0,0,1699875691
1,37.0046,21.3483,0,0,1699875691
1,48.7921,17.9297,0,0,1699875691
1,38.8683,1.74239,0,0,1699875691
1,59.8659,33.6638,0,0,1699875691
1,50.5133,66.0793,0,0,1699875691
1,39.1506,32.9702,0,0,1699875691
1,73.75,35.8807,0,0,1699875691
1,99.929,1.45846,0,0,1699875691
1,37.848,46.0779,0,0,1699875691
1,128.53,3.68904,0,0,1699875691
1,28.0783,4.10865,0,0,1699875691
1,123.108,25.2052,0,0,1699875691
1,40.694,9.93151,0,0,1699875691
1,130.778,1.38581,0,0,1699875691
1,66.6396,37.1499,0,0,1699875691
1,39.1088,3.61992,0,0,1699875691
1,30.7331,18.6244,0,0,1699875691
1,58.2892,6.32645,0,0,1699875691
1,35.8629,2.77062,0,0,1699875691
1,54.8719,1.49619,0,0,1699875691
1,38.4428,10.6221,0,0,1699875691
1,44.3261,26.8293,0,0,1699875691
1,50.2837,4.13177,0,0,1699875691
1,38.5525,9.61745,0,0,1699875691
1,61.0751,4.53516,0,0,1699875691
1,66.4314,3.65859,0,0,1699875691
1,41.974,5.10537,0,0,1699875691
1,86.3159,53.0091,0,0,1699875691
1,43.4213,10.5575,0,0,1699875691
1,43.6567,22.7704,0,0,1699875691
1,49.7408,7.53826,0,0,1699875691
1,43.3084,21.2715,0,0,1699875691
1,33.5963,7.57646,0,0,1699875691
1,43.201,1.42374,0,0,1699875691
1,41.1738,32.673,0,0,1699875691
1,43.0585,8.99508,0,0,1699875691
1,136.95,66.8278,0,0,1699875691
1,70.6814,60.424,0,0,1699875691
1,93.2684,46.4207,0,0,1699875691
1,89.2417,18.231,0,0,1699875691
1,26.4326,45.8616,0,0,1699875691
1,41.3017,65.4913,0,0,1699875691
1,109.015,69.1095,0,0,1699875691
1,69.5874,11.6236,0,0,1699875691
1,68.4029,2.02125,0,0,1699875691
1,44.7151,27.4654,0,0,1699875691
1,59.5439,152.072,0,0,1699875691
1,51.7008,7.29479,0,0,1699875691
1,49.0665,31.7084,0,0,1699875691
1,46.3678,5.08905,0,0,1699875691
1,43.1404,10.3826,0,0,1699875691
1,65.2698,3.18598,0,0,1699875691
1,62.5646,9.31363,0,0,1699875691
1,38.3208,1.03618,0,0,1699875691
1,40.5196,2.95115,0,0,1699875691
1,63.1583,17.9184,0,0,1699875691
1,46.9374,25.3933,0,0,1699875691
1,48.2919,14.9884,0,0,1699875691
1,37.9583,0.816124,0,0,1699875691
1,44.8349,0.304736,0,0,1699875691
1,59.453,18.6966,0,0,1699875691
1,67.5646,29.7023,0,0,1699875691
1,53.7809,16.108,0,0,1699875691
1,48.5339,10.4377,0,0,1699875691
1,42.5568,0.228393,0,0,1699875691
1,56.926,9.38265,0,0,1699875691
1,42.99,23.8714,0,0,1699875691
1,28.7559,10.5584,0,0,1699875691
1,117.281,27.0684,0,0,1699875691
1,26.1515,8.25501,0,0,1699875691
1,31.5909,51.0917,0,0,1699875691
1,58.0311,13.8922,0,0,1699875691
1,34.5158,51.4344,0,0,1699875691
1,53.0998,24.2885,0,0,1699875691
1,62.9853,3.53026,0,0,1699875691
1,63.5756,16.6028,0,0,1699875691
