Sample,EIMMagnitude,EIMPhase,JointAngle,Mass,Time
1,17.4557,29.4634,0,0,1699455539
1,20.2129,23.2981,0,0,1699455539
1,23.7234,18.6016,0,0,1699455539
1,26.4186,15.7418,0,0,1699455539
1,28.1401,13.9225,0,0,1699455539
1,29.0913,12.7549,0,0,1699455539
1,29.6558,12.2358,0,0,1699455539
1,29.9976,11.8546,0,0,1699455539
1,30.0227,11.4921,0,0,1699455539
1,29.9773,11.1477,0,0,1699455539
1,30.2132,10.7092,0,0,1699455539
1,30.6975,10.4592,0,0,1699455539
1,31.156,10.5231,0,0,1699455539
1,31.4404,10.6774,0,0,1699455539
1,31.5484,10.8001,0,0,1699455539
1,31.5283,10.8251,0,0,1699455539
1,31.6272,10.7005,0,0,1699455539
1,32.037,10.5075,0,0,1699455539
1,32.4275,10.4253,0,0,1699455539
1,32.5628,10.7065,0,0,1699455539
1,32.7266,11.3191,0,0,1699455539
1,33.0037,11.9003,0,0,1699455539
1,33.0776,12.3833,0,0,1699455539
1,32.7969,12.7547,0,0,1699455539
1,32.4076,12.7582,0,0,1699455539
1,32.226,12.5116,0,0,1699455539
1,32.2878,12.4096,0,0,1699455539
1,32.4244,12.4619,0,0,1699455539
1,32.5203,12.4221,0,0,1699455539
1,32.5797,12.2275,0,0,1699455539
1,32.6387,11.9423,0,0,1699455539
1,32.7076,11.6251,0,0,1699455539
1,32.7729,11.3462,0,0,1699455539
1,32.8292,11.1277,0,0,1699455539
1,32.8872,11.0023,0,0,1699455539
1,32.9221,10.9925,0,0,1699455539
1,32.8837,10.9775,0,0,1699455539
1,32.808,10.9389,0,0,1699455539
1,32.8931,10.9907,0,0,1699455539
1,33.2012,11.0794,0,0,1699455539
1,33.5289,11.1801,0,0,1699455539
1,33.7754,11.3193,0,0,1699455539
1,33.91,11.3606,0,0,1699455539
1,33.9204,11.27,0,0,1699455539
1,34.0606,11.2024,0,0,1699455539
1,34.4307,11.2355,0,0,1699455539
1,34.6814,11.3315,0,0,1699455539
1,34.6464,11.4413,0,0,1699455539
1,34.564,11.4796,0,0,1699455539
1,34.5695,11.5531,0,0,1699455539
1,34.7615,11.9313,0,0,1699455539
1,35.2703,11.9614,0,0,1699455539
1,35.7934,12.1733,0,0,1699455539
1,35.985,12.1396,0,0,1699455539
1,36.0295,12.0978,0,0,1699455539
1,36.1407,12.1961,0,0,1699455539
1,36.2428,12.3905,0,0,1699455539
1,36.2532,12.4822,0,0,1699455539
1,36.1786,12.4049,0,0,1699455539
1,36.106,12.2545,0,0,1699455539
1,36.063,12.105,0,0,1699455539
1,35.9597,11.9804,0,0,1699455539
1,35.784,12.0198,0,0,1699455539
1,35.5952,12.3205,0,0,1699455539
1,35.4476,12.3385,0,0,1699455539
1,35.491,12.3561,0,0,1699455539
1,35.781,12.3731,0,0,1699455539
1,36.027,12.5579,0,0,1699455539
1,35.9837,12.5654,0,0,1699455539
1,35.8161,12.7533,0,0,1699455539
1,35.7156,12.7637,0,0,1699455539
1,35.6546,12.7739,0,0,1699455539
1,35.5951,12.7838,0,0,1699455539
1,35.5297,12.9007,0,0,1699455539
1,35.4373,12.8808,0,0,1699455539
1,35.3794,12.8312,0,0,1699455539
1,35.6526,12.8217,0,0,1699455539
1,35.6959,12.8946,0,0,1699455539
1,35.7381,12.9595,0,0,1699455539
1,35.973,12.9353,0,0,1699455539
1,36.0019,12.8445,0,0,1699455539
1,36.024,12.7429,0,0,1699455539
1,36.0361,12.6469,0,0,1699455539
1,35.9951,12.5477,0,0,1699455539
1,35.895,12.4538,0,0,1699455539
1,35.8124,12.3725,0,0,1699455539
1,35.7845,12.2965,0,0,1699455539
1,35.7864,12.2131,0,0,1699455539
1,35.7997,12.1195,0,0,1699455539
1,35.8378,12.0436,0,0,1699455539
1,35.9095,11.9981,0,0,1699455539
1,35.9621,11.958,0,0,1699455539
1,35.9681,12.0006,0,0,1699455539
1,35.955,12.0165,0,0,1699455539
1,35.906,12.0321,0,0,1699455539
1,35.8081,12.1729,0,0,1699455539
1,35.7284,12.235,0,0,1699455539
1,35.7324,12.3875,0,0,1699455539
1,35.7781,12.3987,0,0,1699455539
1,35.7948,12.4097,0,0,1699455539
1,35.7988,12.484,0,0,1699455539
1,35.8138,12.4907,0,0,1699455539
1,35.8122,12.5023,0,0,1699455539
1,35.7775,12.4717,0,0,1699455539
1,35.7501,12.4319,0,0,1699455539
1,35.7898,12.4171,0,0,1699455539
1,35.8853,12.3965,0,0,1699455539
1,35.9746,12.358,0,0,1699455539
1,36.0507,12.3354,0,0,1699455539
1,36.1346,12.3189,0,0,1699455539
1,36.1864,12.3295,0,0,1699455539
1,36.1631,12.4314,0,0,1699455539
1,36.1199,12.5608,0,0,1699455539
1,36.1222,12.7164,0,0,1699455539
1,36.1482,12.7232,0,0,1699455539
1,36.2253,12.7298,0,0,1699455539
1,36.4023,12.7364,0,0,1699455539
1,36.5744,12.7428,0,0,1699455539
1,36.6377,12.8237,0,0,1699455539
1,36.612,12.8193,0,0,1699455539
1,36.5509,12.8267,0,0,1699455539
1,36.5052,12.826,0,0,1699455539
1,36.4626,12.8101,0,0,1699455539
1,36.4066,12.7699,0,0,1699455539
1,36.3627,12.7264,0,0,1699455539
1,36.3071,12.6874,0,0,1699455539
1,36.2192,12.6312,0,0,1699455539
1,36.153,12.5616,0,0,1699455539
1,36.1629,12.5305,0,0,1699455539
1,36.221,12.5684,0,0,1699455539
1,36.2533,12.6053,0,0,1699455539
1,36.2442,12.5795,0,0,1699455539
1,36.2286,12.5346,0,0,1699455539
1,36.2247,12.5097,0,0,1699455539
1,36.2319,12.4795,0,0,1699455539
1,36.2293,12.4295,0,0,1699455539
1,36.1948,12.382,0,0,1699455539
1,36.1501,12.35,0,0,1699455539
1,36.1255,12.3214,0,0,1699455539
1,36.1123,12.2957,0,0,1699455539
1,36.1068,12.2912,0,0,1699455539
1,36.1277,12.311,0,0,1699455539
1,36.1562,12.3571,0,0,1699455539
1,36.1453,12.4397,0,0,1699455539
1,36.0847,12.5225,0,0,1699455539
1,35.9994,12.5886,0,0,1699455539
1,35.937,12.676,0,0,1699455539
1,35.9207,12.7491,0,0,1699455539
1,35.8931,12.7629,0,0,1699455539
1,35.8425,12.7527,0,0,1699455539
1,35.8364,12.7574,0,0,1699455539
1,35.8763,12.7974,0,0,1699455539
1,35.9586,12.8783,0,0,1699455539
1,36.0944,12.9874,0,0,1699455539
1,36.2444,13.0659,0,0,1699455539
1,36.388,13.0628,0,0,1699455539
1,36.4921,13.0248,0,0,1699455539
1,36.52,13.0015,0,0,1699455539
1,36.4982,12.974,0,0,1699455539
1,36.4628,12.9374,0,0,1699455539
1,36.4433,12.9207,0,0,1699455539
1,36.4444,12.9126,0,0,1699455539
1,36.4455,12.8802,0,0,1699455539
1,36.4468,12.8361,0,0,1699455539
1,36.4482,12.8031,0,0,1699455539
1,36.4391,12.7674,0,0,1699455539
1,36.4141,12.7151,0,0,1699455539
1,36.386,12.6618,0,0,1699455539
1,36.3794,12.614,0,0,1699455539
1,36.3796,12.5733,0,0,1699455539
1,36.3618,12.5574,0,0,1699455539
1,36.3378,12.5541,0,0,1699455539
1,36.3294,12.5432,0,0,1699455539
1,36.3519,12.5388,0,0,1699455539
1,36.3864,12.5609,0,0,1699455539
1,36.39,12.6227,0,0,1699455539
1,36.3634,12.7261,0,0,1699455539
1,36.3258,12.7304,0,0,1699455539
1,36.3488,12.8334,0,0,1699455539
1,36.5119,12.8837,0,0,1699455539
1,36.5258,12.9074,0,0,1699455539
1,36.5877,12.9194,0,0,1699455539
1,36.5828,12.9164,0,0,1699455539
1,36.571,12.9289,0,0,1699455539
1,36.5569,12.9908,0,0,1699455539
1,36.5569,12.9936,0,0,1699455539
1,36.5763,12.9962,0,0,1699455539
1,36.6137,13.0536,0,0,1699455539
1,36.6487,13.0571,0,0,1699455539
1,36.6583,13.0434,0,0,1699455539
1,36.6552,13.0161,0,0,1699455539
1,36.659,12.9769,0,0,1699455539
1,36.6641,12.9441,0,0,1699455539
1,36.6634,12.9187,0,0,1699455539
1,36.6576,12.8898,0,0,1699455539
1,36.6416,12.8613,0,0,1699455539
1,36.6206,12.834,0,0,1699455539
1,36.6073,12.8022,0,0,1699455539
1,36.5987,12.7819,0,0,1699455539
1,36.599,12.8008,0,0,1699455539
1,36.6224,12.849,0,0,1699455539
1,36.6536,12.8761,0,0,1699455539
1,36.6657,12.866,0,0,1699455539
1,36.666,12.8453,0,0,1699455539
1,36.6692,12.8236,0,0,1699455539
1,36.6839,12.7974,0,0,1699455539
1,36.7055,12.7697,0,0,1699455539
1,36.722,12.7411,0,0,1699455539
