Sample,EIMMagnitude,EIMPhase,JointAngle,Mass,Time
1,12.4274,37.4016,0,0,1699455539
1,16.0006,32.2,0,0,1699455539
1,21.4753,26.2463,0,0,1699455539
1,25.3891,22.7254,0,0,1699455539
1,27.5811,20.8453,0,0,1699455539
1,28.9737,19.0434,0,0,1699455539
1,30.086,17.5776,0,0,1699455539
1,30.9359,16.6675,0,0,1699455539
1,31.53,15.9988,0,0,1699455539
1,31.8501,15.5186,0,0,1699455539
1,31.8514,15.0821,0,0,1699455539
1,31.7384,14.5094,0,0,1699455539
1,31.6898,13.8576,0,0,1699455539
1,31.6673,13.1517,0,0,1699455539
1,31.6532,12.46,0,0,1699455539
1,31.6749,11.9487,0,0,1699455539
1,31.6996,11.7026,0,0,1699455539
1,31.6961,11.656,0,0,1699455539
1,31.6946,11.6942,0,0,1699455539
1,31.7595,11.7611,0,0,1699455539
1,31.8684,11.7375,0,0,1699455539
1,31.8874,11.5117,0,0,1699455539
1,31.7532,11.1465,0,0,1699455539
1,31.5427,10.8288,0,0,1699455539
1,31.38,10.7297,0,0,1699455539
1,31.3762,10.7561,0,0,1699455539
1,31.5449,10.7242,0,0,1699455539
1,31.7417,10.7589,0,0,1699455539
1,31.8467,10.9996,0,0,1699455539
1,31.9049,11.2478,0,0,1699455539
1,31.9767,11.2722,0,0,1699455539
1,32.0252,11.1732,0,0,1699455539
1,32.0352,11.1555,0,0,1699455539
1,32.0811,11.2615,0,0,1699455539
1,32.1675,11.4779,0,0,1699455539
1,32.165,11.6747,0,0,1699455539
1,32.0266,11.7095,0,0,1699455539
1,31.8607,11.7169,0,0,1699455539
1,31.746,11.8468,0,0,1699455539
1,31.6527,12.0164,0,0,1699455539
1,31.5195,12.1089,0,0,1699455539
1,31.3859,12.1358,0,0,1699455539
1,31.301,12.4321,0,0,1699455539
1,31.2575,12.5082,0,0,1699455539
1,31.3704,12.5809,0,0,1699455539
1,31.6193,13.0008,0,0,1699455539
1,31.7709,13.1914,0,0,1699455539
1,31.9311,13.2733,0,0,1699455539
1,32.3309,13.3185,0,0,1699455539
1,32.7276,13.5041,0,0,1699455539
1,32.7937,13.682,0,0,1699455539
1,32.6458,13.6514,0,0,1699455539
1,32.5406,13.4983,0,0,1699455539
1,32.5034,13.374,0,0,1699455539
1,32.4733,13.2921,0,0,1699455539
1,32.4786,13.2009,0,0,1699455539
1,32.5427,13.1499,0,0,1699455539
1,32.6047,13.2065,0,0,1699455539
1,32.6411,13.2958,0,0,1699455539
1,32.6952,13.3225,0,0,1699455539
1,32.7661,13.3001,0,0,1699455539
1,32.8091,13.2606,0,0,1699455539
1,32.7976,13.1793,0,0,1699455539
1,32.7609,13.0645,0,0,1699455539
1,32.7333,12.9651,0,0,1699455539
1,32.6864,12.8853,0,0,1699455539
1,32.6227,12.8254,0,0,1699455539
1,32.5896,12.784,0,0,1699455539
1,32.5741,12.7114,0,0,1699455539
1,32.5454,12.6075,0,0,1699455539
1,32.545,12.5242,0,0,1699455539
1,32.6643,12.4585,0,0,1699455539
1,32.8775,12.4196,0,0,1699455539
1,33.0413,12.438,0,0,1699455539
1,33.1513,12.4574,0,0,1699455539
1,33.2526,12.4212,0,0,1699455539
1,33.3026,12.3831,0,0,1699455539
1,33.3066,12.4247,0,0,1699455539
1,33.2574,12.5519,0,0,1699455539
1,33.1713,12.7682,0,0,1699455539
1,33.1437,13.066,0,0,1699455539
1,33.2131,13.2952,0,0,1699455539
1,33.3837,13.3402,0,0,1699455539
1,33.5881,13.282,0,0,1699455539
1,33.6998,13.2248,0,0,1699455539
1,33.7124,13.1964,0,0,1699455539
1,33.6787,13.1892,0,0,1699455539
1,33.6179,13.188,0,0,1699455539
1,33.5819,13.1969,0,0,1699455539
1,33.6061,13.208,0,0,1699455539
1,33.6411,13.1708,0,0,1699455539
1,33.6538,13.0709,0,0,1699455539
1,33.6685,12.9491,0,0,1699455539
1,33.6933,12.8366,0,0,1699455539
1,33.7054,12.7605,0,0,1699455539
1,33.6929,12.7427,0,0,1699455539
1,33.6745,12.7524,0,0,1699455539
1,33.6485,12.7237,0,0,1699455539
1,33.6078,12.6443,0,0,1699455539
1,33.5991,12.5681,0,0,1699455539
1,33.6447,12.5181,0,0,1699455539
1,33.6964,12.4746,0,0,1699455539
1,33.7205,12.4546,0,0,1699455539
1,33.7333,12.4829,0,0,1699455539
1,33.7633,12.5356,0,0,1699455539
1,33.8031,12.5664,0,0,1699455539
1,33.8437,12.5498,0,0,1699455539
1,33.8993,12.4993,0,0,1699455539
1,33.9347,12.4532,0,0,1699455539
1,33.9221,12.4465,0,0,1699455539
1,33.8789,12.4945,0,0,1699455539
1,33.8274,12.5791,0,0,1699455539
1,33.8037,12.6586,0,0,1699455539
1,33.7984,12.7109,0,0,1699455539
1,33.7756,12.7388,0,0,1699455539
1,33.7459,12.7265,0,0,1699455539
1,33.7278,12.6627,0,0,1699455539
1,33.7208,12.5875,0,0,1699455539
1,33.7132,12.5365,0,0,1699455539
1,33.6957,12.5008,0,0,1699455539
1,33.6715,12.4835,0,0,1699455539
1,33.6597,12.5183,0,0,1699455539
1,33.6668,12.5905,0,0,1699455539
1,33.668,12.6174,0,0,1699455539
1,33.6544,12.5783,0,0,1699455539
1,33.6524,12.5406,0,0,1699455539
1,33.6764,12.5203,0,0,1699455539
1,33.6881,12.497,0,0,1699455539
1,33.66,12.4974,0,0,1699455539
1,33.6189,12.5308,0,0,1699455539
1,33.5738,12.575,0,0,1699455539
1,33.521,12.6213,0,0,1699455539
1,33.4867,12.6486,0,0,1699455539
1,33.4813,12.6477,0,0,1699455539
1,33.4832,12.6443,0,0,1699455539
1,33.5097,12.661,0,0,1699455539
1,33.5357,12.7352,0,0,1699455539
1,33.5614,12.8823,0,0,1699455539
1,33.5868,13.0418,0,0,1699455539
1,33.5571,13.1671,0,0,1699455539
1,33.5063,13.2539,0,0,1699455539
1,33.4683,13.2945,0,0,1699455539
1,33.5088,13.3071,0,0,1699455539
1,33.5649,13.31,0,0,1699455539
1,33.559,13.3077,0,0,1699455539
1,33.5214,13.3243,0,0,1699455539
1,33.4934,13.361,0,0,1699455539
1,33.4962,13.3996,0,0,1699455539
1,33.5275,13.4248,0,0,1699455539
1,33.5665,13.4099,0,0,1699455539
1,33.61,13.364,0,0,1699455539
1,33.65,13.3353,0,0,1699455539
1,33.6761,13.3418,0,0,1699455539
1,33.6879,13.3516,0,0,1699455539
1,33.6785,13.3292,0,0,1699455539
1,33.6531,13.2807,0,0,1699455539
1,33.6312,13.2329,0,0,1699455539
1,33.6299,13.1917,0,0,1699455539
1,33.6543,13.1484,0,0,1699455539
1,33.6782,13.1107,0,0,1699455539
1,33.6943,13.0983,0,0,1699455539
1,33.7309,13.1121,0,0,1699455539
1,33.7714,13.1313,0,0,1699455539
1,33.7767,13.1363,0,0,1699455539
1,33.7611,13.1145,0,0,1699455539
1,33.7589,13.0664,0,0,1699455539
1,33.7684,13.019,0,0,1699455539
1,33.7784,13.0057,0,0,1699455539
1,33.8054,13.0366,0,0,1699455539
1,33.8385,13.0837,0,0,1699455539
1,33.8466,13.097,0,0,1699455539
1,33.8523,13.0925,0,0,1699455539
1,33.8739,13.1301,0,0,1699455539
1,33.8861,13.189,0,0,1699455539
1,33.8776,13.2158,0,0,1699455539
1,33.8561,13.2235,0,0,1699455539
1,33.8234,13.2734,0,0,1699455539
1,33.7701,13.3747,0,0,1699455539
1,33.6966,13.4391,0,0,1699455539
1,33.6385,13.4218,0,0,1699455539
1,33.6291,13.3874,0,0,1699455539
1,33.6533,13.3845,0,0,1699455539
1,33.6727,13.3933,0,0,1699455539
1,33.6727,13.3904,0,0,1699455539
1,33.6687,13.393,0,0,1699455539
1,33.6742,13.4186,0,0,1699455539
1,33.6767,13.4405,0,0,1699455539
1,33.6614,13.4285,0,0,1699455539
1,33.6393,13.3898,0,0,1699455539
1,33.6319,13.3419,0,0,1699455539
1,33.641,13.2984,0,0,1699455539
1,33.6438,13.2782,0,0,1699455539
1,33.633,13.2875,0,0,1699455539
1,33.6239,13.3042,0,0,1699455539
1,33.617,13.3208,0,0,1699455539
1,33.6023,13.351,0,0,1699455539
1,33.5826,13.3755,0,0,1699455539
1,33.5684,13.3788,0,0,1699455539
1,33.561,13.3979,0,0,1699455539
1,33.5492,13.4401,0,0,1699455539
1,33.5217,13.4535,0,0,1699455539
1,33.4899,13.4335,0,0,1699455539
1,33.4765,13.4261,0,0,1699455539
1,33.4911,13.4463,0,0,1699455539
1,33.527,13.487,0,0,1699455539
1,33.5522,13.5256,0,0,1699455539
1,33.5505,13.5295,0,0,1699455539
1,33.5475,13.5083,0,0,1699455539
1,33.5448,13.497,0,0,1699455539
1,33.5333,13.4947,0,0,1699455539
1,33.535,13.4746,0,0,1699455539
1,33.5499,13.4329,0,0,1699455539
1,33.5529,13.3908,0,0,1699455539
1,33.5486,13.3586,0,0,1699455539
1,33.5557,13.3318,0,0,1699455539
1,33.5669,13.319,0,0,1699455539
1,33.5674,13.3216,0,0,1699455539
1,33.558,13.3218,0,0,1699455539
1,33.5445,13.3221,0,0,1699455539
1,33.5327,13.3199,0,0,1699455539
1,33.5259,13.296,0,0,1699455539
1,33.522,13.2625,0,0,1699455539
1,33.5226,13.2417,0,0,1699455539
1,33.5251,13.2248,0,0,1699455539
1,33.5216,13.2023,0,0,1699455539
1,33.5119,13.1913,0,0,1699455539
1,33.4965,13.2005,0,0,1699455539
1,33.477,13.2092,0,0,1699455539
1,33.4625,13.2051,0,0,1699455539
1,33.4569,13.193,0,0,1699455539
1,33.4608,13.1748,0,0,1699455539
1,33.4793,13.1535,0,0,1699455539
1,33.5014,13.1317,0,0,1699455539
1,33.5008,13.1047,0,0,1699455539
1,33.5169,13.0731,0,0,1699455539
1,33.6128,13.0472,0,0,1699455539
1,33.7321,13.0321,0,0,1699455539
1,33.8086,13.0205,0,0,1699455539
1,33.8751,13.0113,0,0,1699455539
1,33.9593,13.0086,0,0,1699455539
1,34.0535,13.0123,0,0,1699455539
1,34.1298,13.0155,0,0,1699455539
1,34.1598,13.0094,0,0,1699455539
1,34.1546,13.0013,0,0,1699455539
1,34.1385,12.9935,0,0,1699455539
1,34.1277,12.9696,0,0,1699455539
1,34.1267,12.9276,0,0,1699455539
1,34.1269,12.8833,0,0,1699455539
1,34.1216,12.8526,0,0,1699455539
1,34.1121,12.8413,0,0,1699455539
1,34.1012,12.8342,0,0,1699455539
1,34.0855,12.8159,0,0,1699455539
1,34.0613,12.8005,0,0,1699455539
1,34.0383,12.8021,0,0,1699455539
1,34.0296,12.805,0,0,1699455539
