Sample,EIMMagnitude,EIMPhase,JointAngle,Mass,Time
1,54.4578,17.4525,0,0,1699455539
1,48.9366,4.65783,0,0,1699455539
1,58.4249,29.4004,0,0,1699455539
1,45.1474,18.4208,0,0,1699455539
1,53.0548,3.89447,0,0,1699455539
1,54.6828,17.1161,0,0,1699455539
1,49.2326,17.9737,0,0,1699455539
1,53.8976,8.16842,0,0,1699455539
1,47.863,25.0585,0,0,1699455539
1,40.0331,9.57064,0,0,1699455539
1,43.9819,9.92289,0,0,1699455539
1,46.1271,9.3869,0,0,1699455539
1,42.933,1.18517,0,0,1699455539
1,45.032,3.44057,0,0,1699455539
1,47.0054,8.02141,0,0,1699455539
1,44.3585,12.9506,0,0,1699455539
1,45.2662,21.7201,0,0,1699455539
1,43.2779,11.5993,0,0,1699455539
1,49.4408,27.5275,0,0,1699455539
1,51.0812,9.00304,0,0,1699455539
1,41.9748,7.04869,0,0,1699455539
1,38.0427,0.943797,0,0,1699455539
1,35.7186,2.28518,0,0,1699455539
1,39.7453,22.7692,0,0,1699455539
1,47.3164,18.7959,0,0,1699455539
1,58.1127,3.30495,0,0,1699455539
1,52.1263,22.8275,0,0,1699455539
1,43.0371,35.0717,0,0,1699455539
1,51.088,24.9276,0,0,1699455539
1,46.7724,7.17688,0,0,1699455539
1,50.9473,4.7433,0,0,1699455539
1,36.599,30.4961,0,0,1699455539
1,57.6188,7.72539,0,0,1699455539
1,47.7275,47.8635,0,0,1699455539
1,46.3174,16.7402,0,0,1699455539
1,24.6637,10.1035,0,0,1699455539
1,45.9489,18.0456,0,0,1699455539
1,33.6752,34.4777,0,0,1699455539
1,47.5646,23.2631,0,0,1699455539
1,28.48,20.5736,0,0,1699455539
1,35.6684,13.4263,0,0,1699455539
1,53.4586,24.7769,0,0,1699455539
1,19.7712,144.876,0,0,1699455539
1,77.5667,30.2037,0,0,1699455539
1,66.6148,26.2692,0,0,1699455539
1,35.5115,45.3242,0,0,1699455539
1,55.3376,4.99995,0,0,1699455539
1,107.267,17.3136,0,0,1699455539
1,62.8331,61.9694,0,0,1699455539
1,28.2434,14.7944,0,0,1699455539
1,28.4524,9.68829,0,0,1699455539
1,51.0601,1.12163,0,0,1699455539
1,40.7136,15.2606,0,0,1699455539
1,43.2147,18.01,0,0,1699455539
1,47.1218,0.358342,0,0,1699455539
1,60.1412,22.1982,0,0,1699455539
1,45.5771,30.6868,0,0,1699455539
1,46.2488,27.9834,0,0,1699455539
1,58.3925,12.0432,0,0,1699455539
1,48.1602,18.1975,0,0,1699455539
1,54.4832,16.7547,0,0,1699455539
1,36.0839,6.58001,0,0,1699455539
1,44.3888,4.25827,0,0,1699455539
1,49.3211,16.4855,0,0,1699455539
1,34.7616,6.32851,0,0,1699455539
1,39.8916,14.7553,0,0,1699455539
1,48.9105,20.7174,0,0,1699455539
1,43.8085,1.37798,0,0,1699455539
1,40.0555,7.23788,0,0,1699455539
1,46.3065,14.6586,0,0,1699455539
1,65.8462,9.18604,0,0,1699455539
1,90.1625,9.8396,0,0,1699455539
1,34.5978,36.8459,0,0,1699455539
1,70.4973,7.73214,0,0,1699455539
1,62.4717,14.5819,0,0,1699455539
1,31.5312,5.99793,0,0,1699455539
1,67.9021,37.8019,0,0,1699455539
1,21.1909,31.3836,0,0,1699455539
1,35.6048,41.9816,0,0,1699455539
1,59.6907,80.2408,0,0,1699455539
1,44.6823,22.0255,0,0,1699455539
1,91.77,13.8041,0,0,1699455539
1,68.9547,4.71462,0,0,1699455539
1,48.3654,18.0119,0,0,1699455539
1,45.0361,13.4891,0,0,1699455539
1,45.2833,23.2962,0,0,1699455539
1,30.3273,14.3593,0,0,1699455539
1,49.4112,22.1445,0,0,1699455539
1,60.3684,25.7284,0,0,1699455539
1,46.8661,3.69202,0,0,1699455539
1,46.7972,1.27467,0,0,1699455539
1,53.5046,4.09076,0,0,1699455539
1,49.8691,0.00448777,0,0,1699455539
1,51.9281,13.1693,0,0,1699455539
1,36.8684,19.9124,0,0,1699455539
1,52.5428,26.3256,0,0,1699455539
1,41.9442,3.94674,0,0,1699455539
1,33.5599,2.28647,0,0,1699455539
1,56.534,9.62994,0,0,1699455539
1,59.2417,17.1647,0,0,1699455539
1,53.4798,3.08545,0,0,1699455539
1,47.1985,21.2425,0,0,1699455539
1,49.3346,27.6324,0,0,1699455539
1,54.6562,25.4985,0,0,1699455539
1,59.6028,24.0465,0,0,1699455539
1,39.4848,3.51707,0,0,1699455539
1,80.5855,14.0369,0,0,1699455539
1,33.0404,3.72195,0,0,1699455539
1,48.8192,27.7616,0,0,1699455539
1,42.5501,24.4187,0,0,1699455539
1,24.2302,41.6433,0,0,1699455539
1,69.0451,23.7492,0,0,1699455539
1,31.5824,24.5537,0,0,1699455539
1,51.2819,24.4955,0,0,1699455539
1,35.9062,10.1492,0,0,1699455539
1,51.2654,0.123845,0,0,1699455539
1,46.1506,4.10517,0,0,1699455539
1,45.6456,19.6023,0,0,1699455539
1,45.7818,3.12429,0,0,1699455539
1,38.6479,21.474,0,0,1699455539
1,50.1089,24.4,0,0,1699455539
1,53.6443,49.0645,0,0,1699455539
1,42.6661,2.0028,0,0,1699455539
1,44.8413,3.60273,0,0,1699455539
1,46.4998,20.6966,0,0,1699455539
1,62.3636,14.1013,0,0,1699455539
1,45.5698,5.58965,0,0,1699455539
1,29.57,27.9296,0,0,1699455539
1,52.8182,27.6319,0,0,1699455539
1,28.9505,19.5284,0,0,1699455539
1,39.9682,38.2616,0,0,1699455539
1,41.9087,11.4033,0,0,1699455539
1,54.2262,16.3469,0,0,1699455539
1,43.7097,20.1433,0,0,1699455539
1,47.5276,17.6821,0,0,1699455539
1,503.569,39.1051,0,0,1699455539
1,41.4088,68.0173,0,0,1699455539
1,37.4535,37.0163,0,0,1699455539
1,51.2519,44.2628,0,0,1699455539
1,27.0385,34.9636,0,0,1699455539
1,27.5111,14.1448,0,0,1699455539
1,102.395,23.9547,0,0,1699455539
1,30.3992,21.7752,0,0,1699455539
1,47.2944,5.10699,0,0,1699455539
1,34.8054,41.9694,0,0,1699455539
1,42.1829,15.7427,0,0,1699455539
1,55.0004,34.5783,0,0,1699455539
1,58.6751,23.3622,0,0,1699455539
1,50.4099,5.92124,0,0,1699455539
1,64.7014,4.41447,0,0,1699455539
1,51.7876,18.525,0,0,1699455539
1,50.8924,27.2426,0,0,1699455539
1,54.3326,21.4749,0,0,1699455539
1,35.9122,4.32928,0,0,1699455539
1,44.2157,7.44744,0,0,1699455539
1,42.2994,8.24786,0,0,1699455539
1,47.6091,14.0311,0,0,1699455539
1,65.2114,2.31803,0,0,1699455539
1,45.5131,14.1692,0,0,1699455539
1,46.1056,16.9823,0,0,1699455539
1,70.8354,30.4598,0,0,1699455539
1,53.7729,17.9302,0,0,1699455539
1,38.7061,22.3633,0,0,1699455539
1,44.7244,7.07264,0,0,1699455539
1,49.7292,2.1992,0,0,1699455539
1,57.1207,7.67935,0,0,1699455539
1,36.4397,21.5072,0,0,1699455539
1,71.5813,32.5222,0,0,1699455539
1,54.0136,37.2727,0,0,1699455539
