Sample,EIMMagnitude,EIMPhase,JointAngle,Mass,Time
1,61.3969,20.7664,0,0,1699455539
1,61.3969,20.7664,0,0,1699455539
1,29.4278,15.5213,0,0,1699455539
1,81.7003,50.3209,0,0,1699455539
1,49.4061,108.34,0,0,1699455539
1,37.3081,30.0672,0,0,1699455539
1,16.2699,35.5358,0,0,1699455539
1,8.33518,41.3157,0,0,1699455539
1,33.0273,3.09949,0,0,1699455539
1,165.054,55.3586,0,0,1699455539
1,19.5049,80.9446,0,0,1699455539
1,53.0808,22.4745,0,0,1699455539
1,44.5751,59.5671,0,0,1699455539
1,33.8188,83.9895,0,0,1699455539
1,32.1894,10.5202,0,0,1699455539
1,60.6393,38.3193,0,0,1699455539
1,48.8981,43.2874,0,0,1699455539
1,26.314,16.9913,0,0,1699455539
1,156.072,13.0709,0,0,1699455539
1,41.4823,8.88561,0,0,1699455539
1,36.1614,5.35826,0,0,1699455539
1,38.9872,12.8668,0,0,1699455539
1,51.0224,9.42512,0,0,1699455539
1,45.2926,9.28949,0,0,1699455539
1,43.9501,26.8625,0,0,1699455539
1,64.1026,3.45467,0,0,1699455539
1,36.8539,19.617,0,0,1699455539
1,38.4254,20.8182,0,0,1699455539
1,45.0014,48.3701,0,0,1699455539
1,27.4522,27.3051,0,0,1699455539
1,47.091,7.94179,0,0,1699455539
1,41.2969,29.3225,0,0,1699455539
1,37.4149,6.89305,0,0,1699455539
1,37.6084,8.45883,0,0,1699455539
1,25.5205,10.7015,0,0,1699455539
1,26.8065,10.5765,0,0,1699455539
1,31.4689,82.6633,0,0,1699455539
1,21.4286,32.4021,0,0,1699455539
1,63.1933,138.864,0,0,1699455539
1,119.088,36.0289,0,0,1699455539
1,84.1108,83.7162,0,0,1699455539
1,74.8005,13.6209,0,0,1699455539
1,18.1809,48.1676,0,0,1699455539
1,64.9849,18.3806,0,0,1699455539
1,55.7173,6.11579,0,0,1699455539
1,45.8159,82.1848,0,0,1699455539
1,11.6259,7.5835,0,0,1699455539
1,26.1143,17.2927,0,0,1699455539
1,37.0422,24.0089,0,0,1699455539
1,96.7187,62.6302,0,0,1699455539
1,14.1087,12.5999,0,0,1699455539
1,35.1357,10.4759,0,0,1699455539
1,40.3664,31.3712,0,0,1699455539
1,45.0547,9.08125,0,0,1699455539
1,45.7124,1.25074,0,0,1699455539
1,37.2079,8.11326,0,0,1699455539
1,50.0589,8.01156,0,0,1699455539
1,38.0994,14.762,0,0,1699455539
1,45.3576,10.5655,0,0,1699455539
1,47.7184,7.66194,0,0,1699455539
1,35.8318,23.0564,0,0,1699455539
1,66.3001,4.24442,0,0,1699455539
1,43.2091,10.7788,0,0,1699455539
1,44.9194,2.99972,0,0,1699455539
1,28.613,12.5266,0,0,1699455539
1,37.4133,37.0845,0,0,1699455539
1,54.7192,12.0536,0,0,1699455539
1,36.5892,35.9405,0,0,1699455539
1,36.8605,11.1922,0,0,1699455539
1,38.2325,11.4957,0,0,1699455539
1,65.8129,172.4,0,0,1699455539
1,23.3404,66.1535,0,0,1699455539
1,18.1363,37.6413,0,0,1699455539
1,162.819,44.7062,0,0,1699455539
1,27.5186,85.2783,0,0,1699455539
1,24.4372,32.7008,0,0,1699455539
1,58.7657,21.0354,0,0,1699455539
1,28.1318,24.1278,0,0,1699455539
1,46.4531,5.88433,0,0,1699455539
1,84.6673,11.9353,0,0,1699455539
1,100.764,18.2752,0,0,1699455539
1,22.6485,30.2117,0,0,1699455539
1,42.7341,15.5284,0,0,1699455539
1,43.9882,27.4885,0,0,1699455539
1,42.2115,49.004,0,0,1699455539
1,32.7043,11.4766,0,0,1699455539
1,31.9726,6.76277,0,0,1699455539
1,33.3557,6.77461,0,0,1699455539
1,59.717,7.5602,0,0,1699455539
1,33.4029,20.3612,0,0,1699455539
1,29.4602,12.4655,0,0,1699455539
1,43.8427,35.7245,0,0,1699455539
1,65.5002,10.8631,0,0,1699455539
1,40.0125,12.5482,0,0,1699455539
1,38.4788,11.0598,0,0,1699455539
1,43.8015,19.9867,0,0,1699455539
1,49.9972,7.88801,0,0,1699455539
1,53.8289,5.89638,0,0,1699455539
1,48.8273,18.0972,0,0,1699455539
1,40.036,16.3581,0,0,1699455539
1,54.625,19.0896,0,0,1699455539
1,39.1096,14.3221,0,0,1699455539
1,44.0729,24.1463,0,0,1699455539
1,43.5036,12.2366,0,0,1699455539
1,51.3849,38.0818,0,0,1699455539
1,41.4076,0.717897,0,0,1699455539
1,87.5963,47.6685,0,0,1699455539
1,34.8421,27.7177,0,0,1699455539
1,95.5339,9.54292,0,0,1699455539
1,51.8153,26.3436,0,0,1699455539
1,41.9763,35.6176,0,0,1699455539
1,47.8617,11.4667,0,0,1699455539
1,58.7126,5.90376,0,0,1699455539
1,42.3519,8.75093,0,0,1699455539
1,35.9757,0.108466,0,0,1699455539
1,53.0493,41.4936,0,0,1699455539
1,59.3005,32.7427,0,0,1699455539
1,55.1153,8.02622,0,0,1699455539
1,82.222,37.6774,0,0,1699455539
1,22.2511,28.6702,0,0,1699455539
1,44.9417,5.93461,0,0,1699455539
1,51.9114,7.06709,0,0,1699455539
1,36.1437,21.209,0,0,1699455539
1,41.0649,11.3735,0,0,1699455539
1,40.0829,6.77708,0,0,1699455539
1,58.4595,14.0935,0,0,1699455539
1,55.8416,6.92396,0,0,1699455539
1,47.6822,14.1163,0,0,1699455539
1,53.4278,16.8657,0,0,1699455539
1,44.0493,31.9389,0,0,1699455539
1,42.0529,12.8575,0,0,1699455539
1,50.1043,17.0381,0,0,1699455539
1,34.2535,12.5926,0,0,1699455539
1,51.1724,20.8107,0,0,1699455539
1,45.928,6.59598,0,0,1699455539
1,44.6437,7.90325,0,0,1699455539
1,46.0581,25.2648,0,0,1699455539
1,41.5259,5.63532,0,0,1699455539
1,64.6976,3.04885,0,0,1699455539
1,46.4051,32.7007,0,0,1699455539
1,36.5566,33.995,0,0,1699455539
1,64.9345,31.194,0,0,1699455539
1,61.0172,19.9406,0,0,1699455539
1,71.8769,5.50317,0,0,1699455539
1,46.5694,55.4704,0,0,1699455539
1,44.3101,12.0707,0,0,1699455539
1,49.1679,29.5641,0,0,1699455539
1,43.1689,16.7927,0,0,1699455539
1,53.8893,17.296,0,0,1699455539
1,52.5963,7.93735,0,0,1699455539
1,28.0344,15.4702,0,0,1699455539
1,52.5967,29.767,0,0,1699455539
1,54.1884,30.1165,0,0,1699455539
1,50.6977,21.7822,0,0,1699455539
1,42.6728,78.0607,0,0,1699455539
1,23.3218,26.587,0,0,1699455539
1,35.359,40.8016,0,0,1699455539
1,82.3431,44.9117,0,0,1699455539
1,37.6745,8.98216,0,0,1699455539
1,54.0517,5.46599,0,0,1699455539
1,43.2018,95.7636,0,0,1699455539
1,20.5724,7.01997,0,0,1699455539
1,26.3983,11.7317,0,0,1699455539
1,43.0506,6.38596,0,0,1699455539
1,28.4722,11.532,0,0,1699455539
1,44.4736,7.01927,0,0,1699455539
1,41.7422,0.627931,0,0,1699455539
1,45.1064,4.71932,0,0,1699455539
1,33.721,17.236,0,0,1699455539
1,51.6614,29.4807,0,0,1699455539
1,35.6627,20.3726,0,0,1699455539
1,53.2099,3.40166,0,0,1699455539
1,40.8961,6.23551,0,0,1699455539
1,37.8998,29.4456,0,0,1699455539
1,54.2777,4.35308,0,0,1699455539
1,31.6835,43.6849,0,0,1699455539
1,43.257,24.1627,0,0,1699455539
1,55.5146,22.5953,0,0,1699455539
1,49.9735,0.91697,0,0,1699455539
1,48.4405,37.0157,0,0,1699455539
1,43.2107,19.7444,0,0,1699455539
1,76.5847,22.9137,0,0,1699455539
1,18.8381,35.7492,0,0,1699455539
1,77.6139,26.6275,0,0,1699455539
1,40.0363,44.4056,0,0,1699455539
1,39.7117,7.6457,0,0,1699455539
1,44.0641,33.1986,0,0,1699455539
1,71.7403,14.5281,0,0,1699455539
1,46.6524,8.59365,0,0,1699455539
1,55.4663,8.90249,0,0,1699455539
1,45.1425,16.2823,0,0,1699455539
1,47.1744,15.1582,0,0,1699455539
1,44.1899,1.87212,0,0,1699455539
1,48.6154,24.3053,0,0,1699455539
1,33.1869,22.6197,0,0,1699455539
1,36.712,18.9946,0,0,1699455539
1,47.4689,17.4416,0,0,1699455539
1,39.1913,21.5883,0,0,1699455539
1,53.1287,14.4711,0,0,1699455539
1,44.9707,20.4081,0,0,1699455539
1,43.8323,3.26536,0,0,1699455539
1,53.2008,10.8679,0,0,1699455539
1,38.1935,20.8316,0,0,1699455539
1,80.5417,10.3617,0,0,1699455539
1,51.772,35.0694,0,0,1699455539
1,46.2408,47.3334,0,0,1699455539
1,97.3706,5.27641,0,0,1699455539
1,29.0052,30.0184,0,0,1699455539
1,52.2934,9.0093,0,0,1699455539
1,30.8974,9.35549,0,0,1699455539
1,49.0466,16.1362,0,0,1699455539
1,51.2828,2.82004,0,0,1699455539
1,74.7796,16.6777,0,0,1699455539
1,59.1941,20.9772,0,0,1699455539
1,17.1714,6.70298,0,0,1699455539
1,49.93,10.9962,0,0,1699455539
1,92.3508,22.3613,0,0,1699455539
1,47.217,18.2129,0,0,1699455539
1,29.8098,2.28802,0,0,1699455539
1,42.6068,26.0587,0,0,1699455539
1,42.8287,11.4111,0,0,1699455539
1,58.7545,34.3043,0,0,1699455539
1,31.231,4.20712,0,0,1699455539
1,41.1,7.09474,0,0,1699455539
1,36.8396,24.2121,0,0,1699455539
1,42.5406,2.92054,0,0,1699455539
1,55.6748,41.988,0,0,1699455539
1,49.2978,5.00407,0,0,1699455539
1,54.2018,18.1824,0,0,1699455539
1,47.9707,2.73453,0,0,1699455539
1,48.5312,2.99863,0,0,1699455539
1,49.5234,0.182441,0,0,1699455539
1,41.0377,7.76829,0,0,1699455539
1,57.5916,47.4703,0,0,1699455539
1,40.5397,5.98165,0,0,1699455539
1,49.5989,24.0401,0,0,1699455539
1,38.4977,0.0263879,0,0,1699455539
1,37.0205,5.35641,0,0,1699455539
1,37.6867,39.6496,0,0,1699455539
1,46.4834,0.465654,0,0,1699455539
1,48,65.5067,0,0,1699455539
1,56.2297,45.5485,0,0,1699455539
1,50.8316,29.2765,0,0,1699455539
1,45.7224,9.81912,0,0,1699455539
1,37.5713,9.06274,0,0,1699455539
1,41.9465,26.7236,0,0,1699455539
1,43.479,30.5573,0,0,1699455539
1,53.3125,62.9767,0,0,1699455539
1,29.2449,28.9502,0,0,1699455539
1,38.0218,32.0547,0,0,1699455539
1,22.1568,33.5381,0,0,1699455539
1,47.3227,0.0687224,0,0,1699455539
1,48.7385,10.6616,0,0,1699455539
1,49.6811,25.9407,0,0,1699455539
1,39.9884,7.45079,0,0,1699455539
1,42.7982,7.25923,0,0,1699455539
1,52.7287,39.7033,0,0,1699455539
1,48.3209,19.6692,0,0,1699455539
1,49.7396,19.276,0,0,1699455539
1,40.3406,31.0065,0,0,1699455539
1,48.1494,6.24691,0,0,1699455539
1,39.8748,11.7447,0,0,1699455539
1,56.9979,16.5254,0,0,1699455539
1,36.7912,25.9678,0,0,1699455539
1,47.604,21.9117,0,0,1699455539
1,36.2761,29.9377,0,0,1699455539
1,53.8534,13.2215,0,0,1699455539
1,64.4126,14.3577,0,0,1699455539
1,57.8234,2.91518,0,0,1699455539
1,42.9411,15.4531,0,0,1699455539
1,34.5828,5.5833,0,0,1699455539
1,66.0628,24.2662,0,0,1699455539
1,44.9876,3.82957,0,0,1699455539
1,41.7935,19.3897,0,0,1699455539
1,54.0488,91.0035,0,0,1699455539
1,42.3121,30.9587,0,0,1699455539
1,37.0788,34.8323,0,0,1699455539
1,48.7948,23.9453,0,0,1699455539
1,34.9476,2.07353,0,0,1699455539
1,47.9366,33.0419,0,0,1699455539
1,29.1768,9.00706,0,0,1699455539
1,48.7339,17.2462,0,0,1699455539
1,52.8745,28.4524,0,0,1699455539
1,48.2566,14.6413,0,0,1699455539
1,48.2428,13.6837,0,0,1699455539
1,77.7356,54.8515,0,0,1699455539
1,50.0028,2.21279,0,0,1699455539
1,59.4258,14.5499,0,0,1699455539
1,31.7997,2.57128,0,0,1699455539
1,51.6742,21.0168,0,0,1699455539
1,33.9189,17.1219,0,0,1699455539
1,42.558,3.05295,0,0,1699455539
1,57.9807,9.76055,0,0,1699455539
1,54.8169,21.7815,0,0,1699455539
1,44.4223,1.74312,0,0,1699455539
1,52.3762,34.5913,0,0,1699455539
1,108.509,23.6895,0,0,1699455539
1,48.8975,34.6732,0,0,1699455539
1,41.3965,11.7676,0,0,1699455539
1,48.5433,16.7714,0,0,1699455539
1,48.51,3.71297,0,0,1699455539
1,51.3885,5.75303,0,0,1699455539
1,56.9778,6.9271,0,0,1699455539
1,50.2033,1.07104,0,0,1699455539
1,63.5603,7.61419,0,0,1699455539
1,32.2121,16.8236,0,0,1699455539
1,95.7247,6.78502,0,0,1699455539
1,42.4019,0.839301,0,0,1699455539
1,34.6315,24.3568,0,0,1699455539
1,31.1338,3.38499,0,0,1699455539
1,53.714,3.19349,0,0,1699455539
1,18.2446,59.5614,0,0,1699455539
1,77.2168,12.2666,0,0,1699455539
1,37.6001,33.1522,0,0,1699455539
1,42.7715,5.94528,0,0,1699455539
1,42.5809,8.13801,0,0,1699455539
1,46.476,33.178,0,0,1699455539
1,40.5554,8.54013,0,0,1699455539
1,43.9012,2.03487,0,0,1699455539
1,47.6552,25.9761,0,0,1699455539
1,32.3679,12.158,0,0,1699455539
1,59.1265,44.1609,0,0,1699455539
1,75.7379,16.9342,0,0,1699455539
1,156.706,8.64965,0,0,1699455539
1,68.8785,61.85,0,0,1699455539
1,32.8256,19.1961,0,0,1699455539
1,15.4656,24.9249,0,0,1699455539
1,46.2626,6.67425,0,0,1699455539
1,49.9335,28.9155,0,0,1699455539
1,50.1036,4.23585,0,0,1699455539
1,60.9649,2.50203,0,0,1699455539
1,44.3805,8.34997,0,0,1699455539
1,56.827,6.43185,0,0,1699455539
1,54.6897,13.7692,0,0,1699455539
1,48.9148,11.2538,0,0,1699455539
1,47.2208,27.4001,0,0,1699455539
1,41.234,13.6977,0,0,1699455539
1,40.2041,20.4056,0,0,1699455539
1,48.931,12.6654,0,0,1699455539
1,39.8486,21.5045,0,0,1699455539
1,101.565,10.8179,0,0,1699455539
1,45.6676,6.00896,0,0,1699455539
1,36.7095,3.57252,0,0,1699455539
1,40.2206,1.53311,0,0,1699455539
1,38.7032,14.2248,0,0,1699455539
1,17.674,20.3228,0,0,1699455539
1,39.0271,41.1796,0,0,1699455539
1,41.6107,14.6924,0,0,1699455539
1,39.9442,7.38339,0,0,1699455539
1,38.7839,6.2486,0,0,1699455539
1,43.2987,19.2414,0,0,1699455539
1,39.9792,19.0898,0,0,1699455539
1,54.885,4.76606,0,0,1699455539
1,50.5293,19.1617,0,0,1699455539
1,52.7698,4.03445,0,0,1699455539
1,50.0234,8.54727,0,0,1699455539
1,42.5019,0.11718,0,0,1699455539
1,53.3568,24.6174,0,0,1699455539
1,41.9454,10.2792,0,0,1699455539
1,61.6914,10.3788,0,0,1699455539
1,43.8775,22.6353,0,0,1699455539
1,81.2562,18.6843,0,0,1699455539
1,26.9583,13.3461,0,0,1699455539
1,46.8616,6.65896,0,0,1699455539
1,39.8161,3.23801,0,0,1699455539
1,35.8526,14.9393,0,0,1699455539
1,41.4789,29.9479,0,0,1699455539
1,67.9377,18.0639,0,0,1699455539
1,67.7724,31.18,0,0,1699455539
1,228.459,55.5434,0,0,1699455539
1,47.3153,18.6326,0,0,1699455539
1,32.0791,41.8847,0,0,1699455539
1,34.546,3.72633,0,0,1699455539
1,39.263,7.05323,0,0,1699455539
1,35.0108,40.0566,0,0,1699455539
1,33.4259,3.64926,0,0,1699455539
1,62.783,9.24574,0,0,1699455539
1,39.8506,18.4231,0,0,1699455539
1,35.2365,0.231375,0,0,1699455539
