Sample,EIMMagnitude,EIMPhase,JointAngle,Mass,Time
1,61.7618,5.93318,0,0,1700569008
1,61.7618,5.93318,0,0,1700569008
1,55.8445,6.74923,0,0,1700569008
1,54.3248,5.80892,0,0,1700569008
1,53.7865,5.56299,0,0,1700569008
1,53.5441,6.02834,0,0,1700569008
1,53.0659,6.69873,0,0,1700569008
1,52.8251,7.14257,0,0,1700569008
1,53.4017,7.41848,0,0,1700569008
1,54.3437,7.46521,0,0,1700569008
1,54.7647,7.32078,0,0,1700569008
1,54.5068,7.3171,0,0,1700569008
1,54.0651,7.45635,0,0,1700569008
1,53.7158,7.48975,0,0,1700569008
1,53.4959,7.39656,0,0,1700569008
1,53.3567,7.28956,0,0,1700569008
1,53.1167,7.15453,0,0,1700569008
1,52.7974,6.93633,0,0,1700569008
1,52.4999,6.69313,0,0,1700569008
1,52.2083,6.52485,0,0,1700569008
1,52.0285,6.48374,0,0,1700569008
1,52.0501,6.55145,0,0,1700569008
1,52.1722,6.63998,0,0,1700569008
1,52.3299,6.64732,0,0,1700569008
1,52.511,6.56012,0,0,1700569008
1,52.5149,6.44249,0,0,1700569008
1,52.1986,6.31452,0,0,1700569008
1,51.8411,6.19544,0,0,1700569008
1,51.7366,6.12338,0,0,1700569008
1,51.7513,6.11591,0,0,1700569008
1,51.7138,6.16448,0,0,1700569008
1,51.7133,6.21703,0,0,1700569008
1,51.7723,6.26875,0,0,1700569008
1,51.7882,6.33241,0,0,1700569008
1,51.7471,6.34764,0,0,1700569008
1,51.6745,6.28978,0,0,1700569008
1,51.5823,6.22817,0,0,1700569008
1,51.5374,6.22654,0,0,1700569008
1,51.5295,6.25252,0,0,1700569008
1,51.4246,6.25323,0,0,1700569008
1,51.2269,6.23725,0,0,1700569008
1,51.0702,6.20189,0,0,1700569008
1,51.0002,6.13777,0,0,1700569008
1,50.9548,6.07437,0,0,1700569008
1,50.8491,6.04278,0,0,1700569008
1,50.722,6.04162,0,0,1700569008
1,50.658,6.03539,0,0,1700569008
1,50.6549,6.00414,0,0,1700569008
1,50.7012,5.95998,0,0,1700569008
1,50.7603,5.93836,0,0,1700569008
1,50.8015,5.98451,0,0,1700569008
1,50.8836,6.05428,0,0,1700569008
1,51.0203,6.09253,0,0,1700569008
1,51.1023,6.14018,0,0,1700569008
1,51.0226,6.19861,0,0,1700569008
1,50.8411,6.22108,0,0,1700569008
1,50.7433,6.19495,0,0,1700569008
1,50.7363,6.13295,0,0,1700569008
1,50.6729,6.07936,0,0,1700569008
1,50.5841,6.05702,0,0,1700569008
1,50.5451,6.04285,0,0,1700569008
1,50.5003,6.03222,0,0,1700569008
1,50.4649,6.03647,0,0,1700569008
1,50.4714,6.04351,0,0,1700569008
1,50.5042,6.02355,0,0,1700569008
1,50.5916,5.9747,0,0,1700569008
1,50.6917,5.92781,0,0,1700569008
1,50.7589,5.88896,0,0,1700569008
1,50.8551,5.88047,0,0,1700569008
1,50.9505,5.96081,0,0,1700569008
1,50.9495,5.96042,0,0,1700569008
1,50.9145,6.03038,0,0,1700569008
1,50.9379,6.06889,0,0,1700569008
1,50.975,6.10101,0,0,1700569008
1,50.9843,6.09077,0,0,1700569008
1,51.0155,6.04602,0,0,1700569008
1,51.1357,6.00562,0,0,1700569008
1,51.3244,5.98739,0,0,1700569008
1,51.4967,5.99949,0,0,1700569008
1,51.6166,6.04582,0,0,1700569008
1,51.6889,6.10485,0,0,1700569008
1,51.7283,6.13654,0,0,1700569008
1,51.7469,6.13183,0,0,1700569008
1,51.7529,6.108,0,0,1700569008
1,51.7497,6.0831,0,0,1700569008
1,51.7275,6.09453,0,0,1700569008
1,51.7172,6.15067,0,0,1700569008
1,51.7305,6.20125,0,0,1700569008
1,51.71,6.22103,0,0,1700569008
1,51.6472,6.22388,0,0,1700569008
1,51.5918,6.2313,0,0,1700569008
1,51.5741,6.26359,0,0,1700569008
1,51.5868,6.30624,0,0,1700569008
1,51.5883,6.33072,0,0,1700569008
1,51.5682,6.33652,0,0,1700569008
1,51.589,6.34634,0,0,1700569008
1,51.6654,6.36748,0,0,1700569008
1,51.7168,6.37243,0,0,1700569008
1,51.7101,6.34935,0,0,1700569008
1,51.683,6.31669,0,0,1700569008
1,51.6608,6.29645,0,0,1700569008
1,51.6585,6.31713,0,0,1700569008
1,51.6803,6.37673,0,0,1700569008
1,51.729,6.4324,0,0,1700569008
1,51.8093,6.47808,0,0,1700569008
1,51.8942,6.53681,0,0,1700569008
1,51.9475,6.5961,0,0,1700569008
1,51.9467,6.63824,0,0,1700569008
1,51.8948,6.66574,0,0,1700569008
1,51.8339,6.6815,0,0,1700569008
1,51.8028,6.68706,0,0,1700569008
1,51.7987,6.68578,0,0,1700569008
1,51.8149,6.68005,0,0,1700569008
1,51.8615,6.67147,0,0,1700569008
1,51.9113,6.66944,0,0,1700569008
1,51.9272,6.6844,0,0,1700569008
1,51.921,6.70985,0,0,1700569008
1,51.8915,6.72355,0,0,1700569008
1,51.8196,6.71399,0,0,1700569008
1,51.7466,6.68872,0,0,1700569008
1,51.7252,6.65185,0,0,1700569008
1,51.7426,6.61277,0,0,1700569008
1,51.7724,6.58617,0,0,1700569008
1,51.8015,6.56291,0,0,1700569008
1,51.8094,6.52927,0,0,1700569008
1,51.812,6.49298,0,0,1700569008
1,51.8373,6.47416,0,0,1700569008
1,51.8695,6.48009,0,0,1700569008
1,51.8845,6.49118,0,0,1700569008
1,51.8793,6.48712,0,0,1700569008
1,51.8603,6.47097,0,0,1700569008
1,51.8325,6.45796,0,0,1700569008
1,51.811,6.45399,0,0,1700569008
1,51.8023,6.44832,0,0,1700569008
1,51.7961,6.42906,0,0,1700569008
1,51.8043,6.4012,0,0,1700569008
1,51.8209,6.38047,0,0,1700569008
1,51.8179,6.37766,0,0,1700569008
1,51.7907,6.39858,0,0,1700569008
1,51.7379,6.44298,0,0,1700569008
1,51.6863,6.43937,0,0,1700569008
1,51.6873,6.4358,0,0,1700569008
1,51.7252,6.46733,0,0,1700569008
1,51.7409,6.46967,0,0,1700569008
1,51.7385,6.46247,0,0,1700569008
1,51.7535,6.45215,0,0,1700569008
1,51.7632,6.44309,0,0,1700569008
1,51.7419,6.44111,0,0,1700569008
1,51.7085,6.44815,0,0,1700569008
1,51.663,6.45722,0,0,1700569008
1,51.611,6.46129,0,0,1700569008
1,51.5875,6.45821,0,0,1700569008
1,51.5818,6.44423,0,0,1700569008
1,51.572,6.42447,0,0,1700569008
1,51.5761,6.40391,0,0,1700569008
1,51.5842,6.37841,0,0,1700569008
1,51.5675,6.34815,0,0,1700569008
1,51.5405,6.32615,0,0,1700569008
1,51.5334,6.32195,0,0,1700569008
1,51.5517,6.32115,0,0,1700569008
1,51.5722,6.31109,0,0,1700569008
1,51.5642,6.2974,0,0,1700569008
1,51.522,6.29103,0,0,1700569008
1,51.4697,6.2966,0,0,1700569008
1,51.4458,6.29914,0,0,1700569008
1,51.4619,6.2881,0,0,1700569008
1,51.4771,6.27814,0,0,1700569008
1,51.4533,6.28117,0,0,1700569008
1,51.4046,6.28842,0,0,1700569008
1,51.3629,6.29003,0,0,1700569008
1,51.3342,6.29387,0,0,1700569008
1,51.3066,6.30293,0,0,1700569008
1,51.2679,6.30873,0,0,1700569008
1,51.2232,6.32038,0,0,1700569008
1,51.207,6.34072,0,0,1700569008
1,51.2262,6.35172,0,0,1700569008
1,51.2423,6.35634,0,0,1700569008
1,51.2384,6.3653,0,0,1700569008
1,51.2182,6.36854,0,0,1700569008
1,51.1902,6.35786,0,0,1700569008
1,51.1766,6.34381,0,0,1700569008
1,51.1768,6.34305,0,0,1700569008
1,51.175,6.34999,0,0,1700569008
1,51.1674,6.34403,0,0,1700569008
1,51.1475,6.33477,0,0,1700569008
1,51.126,6.34969,0,0,1700569008
1,51.1236,6.3791,0,0,1700569008
1,51.1248,6.39731,0,0,1700569008
1,51.1088,6.40325,0,0,1700569008
1,51.0834,6.40263,0,0,1700569008
1,51.0748,6.39873,0,0,1700569008
1,51.0935,6.40132,0,0,1700569008
1,51.1052,6.4174,0,0,1700569008
1,51.0886,6.4393,0,0,1700569008
1,51.0794,6.46022,0,0,1700569008
1,51.0963,6.47887,0,0,1700569008
1,51.1184,6.48854,0,0,1700569008
1,51.1518,6.49324,0,0,1700569008
