Sample,EIMMagnitude,EIMPhase,JointAngle,Mass,Time
1,61.7618,5.93318,0,0,1700569008
1,61.7618,5.93318,0,0,1700569008
1,44.0098,8.38134,0,0,1700569008
1,49.766,2.988,0,0,1700569008
1,51.6331,4.57927,0,0,1700569008
1,52.3323,8.35507,0,0,1700569008
1,50.1966,10.7211,0,0,1700569008
1,51.1395,10.2494,0,0,1700569008
1,58.0144,9.62574,0,0,1700569008
1,62.8214,7.88581,0,0,1700569008
1,58.9753,5.87649,0,0,1700569008
1,51.6701,7.27664,0,0,1700569008
1,48.7636,9.12731,0,0,1700569008
1,49.1757,7.9239,0,0,1700569008
1,50.4175,6.09193,0,0,1700569008
1,51.2679,5.6846,0,0,1700569008
1,49.2766,4.99402,0,0,1700569008
1,47.3702,3.22699,0,0,1700569008
1,47.1452,2.31551,0,0,1700569008
1,46.6664,3.32754,0,0,1700569008
1,48.4335,5.6615,0,0,1700569008
1,52.5042,7.97325,0,0,1700569008
1,54.8574,8.58768,0,0,1700569008
1,55.9577,6.8163,0,0,1700569008
1,56.857,4.46711,0,0,1700569008
1,52.6136,3.50185,0,0,1700569008
1,43.9745,2.98726,0,0,1700569008
1,42.1866,2.98033,0,0,1700569008
1,48.8117,4.10582,0,0,1700569008
1,52.1766,5.89909,0,0,1700569008
1,50.5893,7.62151,0,0,1700569008
1,51.6983,7.84607,0,0,1700569008
1,53.6607,7.92387,0,0,1700569008
1,52.3112,8.43317,0,0,1700569008
1,50.3519,6.86565,0,0,1700569008
1,49.1339,4.26471,0,0,1700569008
1,48.2626,4.01011,0,0,1700569008
1,49.8737,6.16609,0,0,1700569008
1,51.2304,7.23997,0,0,1700569008
1,47.3321,6.28086,0,0,1700569008
1,43.3215,5.59816,0,0,1700569008
1,44.6446,4.75214,0,0,1700569008
1,48.0611,3.44447,0,0,1700569008
1,49.0028,3.34847,0,0,1700569008
1,46.1995,4.65253,0,0,1700569008
1,45.0023,5.9894,0,0,1700569008
1,47.7128,5.74879,0,0,1700569008
1,50.5105,4.5354,0,0,1700569008
1,52.9237,3.84022,0,0,1700569008
1,53.6517,4.87917,0,0,1700569008
1,52.8633,8.29211,0,0,1700569008
1,55.0729,9.61252,0,0,1700569008
1,58.1255,8.08121,0,0,1700569008
1,55.4477,8.66608,0,0,1700569008
1,46.7186,9.35374,0,0,1700569008
1,40.8602,7.4566,0,0,1700569008
1,45.265,4.7319,0,0,1700569008
1,50.3401,2.59898,0,0,1700569008
1,46.9977,2.97085,0,0,1700569008
1,45.3401,4.73955,0,0,1700569008
1,48.21,5.1923,0,0,1700569008
1,47.7676,5.38358,0,0,1700569008
1,48.2655,6.30007,0,0,1700569008
1,50.8829,6.487,0,0,1700569008
1,52.6006,4.74644,0,0,1700569008
1,56.2729,2.79941,0,0,1700569008
1,57.2988,2.83325,0,0,1700569008
1,55.2659,3.28576,0,0,1700569008
1,57.3929,5.30331,0,0,1700569008
1,57.538,11.5043,0,0,1700569008
1,50.8738,5.93318,0,0,1700569008
1,48.4285,10.9973,0,0,1700569008
1,52.6279,8.84133,0,0,1700569008
1,53.6819,8.4457,0,0,1700569008
1,51.6685,5.33323,0,0,1700569008
1,53.3611,2.68989,0,0,1700569008
1,60.2711,2.93552,0,0,1700569008
1,65.8541,4.58372,0,0,1700569008
1,64.9341,6.94298,0,0,1700569008
1,61.0894,9.70606,0,0,1700569008
1,57.4727,10.8274,0,0,1700569008
1,54.9155,8.70332,0,0,1700569008
1,53.2765,5.74503,0,0,1700569008
1,52.2503,4.13056,0,0,1700569008
1,51.4823,3.9918,0,0,1700569008
1,49.8421,7.06528,0,0,1700569008
1,50.8271,10.9788,0,0,1700569008
1,52.8922,10.6018,0,0,1700569008
1,49.9016,7.9618,0,0,1700569008
1,46.0563,6.47784,0,0,1700569008
1,46.6075,6.89923,0,0,1700569008
1,49.9628,9.20128,0,0,1700569008
1,52.7607,10.2304,0,0,1700569008
1,51.724,8.60739,0,0,1700569008
1,49.6792,6.88179,0,0,1700569008
1,53.5657,7.27868,0,0,1700569008
1,58.9993,8.39694,0,0,1700569008
1,56.7053,6.85251,0,0,1700569008
1,51.0545,4.08791,0,0,1700569008
1,48.9969,3.08345,0,0,1700569008
1,49.4354,4.27241,0,0,1700569008
1,51.4277,8.40551,0,0,1700569008
1,53.9095,12.4558,0,0,1700569008
1,56.7397,12.1667,0,0,1700569008
1,60.1615,11.229,0,0,1700569008
1,60.811,12.703,0,0,1700569008
1,57.5909,12.8811,0,0,1700569008
1,51.8641,11.1472,0,0,1700569008
1,46.2882,9.63637,0,0,1700569008
1,45.1956,8.39924,0,0,1700569008
1,48.3898,7.2979,0,0,1700569008
1,51.3359,6.54386,0,0,1700569008
1,53.6326,6.03834,0,0,1700569008
1,57.1277,5.70216,0,0,1700569008
1,57.5881,6.438,0,0,1700569008
1,53.7572,8.40514,0,0,1700569008
1,51.2042,9.66108,0,0,1700569008
1,48.4325,8.32691,0,0,1700569008
1,43.3381,5.58574,0,0,1700569008
1,43.0642,3.68134,0,0,1700569008
1,49.149,2.22742,0,0,1700569008
1,53.8465,1.88429,0,0,1700569008
1,55.4168,3.34126,0,0,1700569008
1,55.3744,3.7014,0,0,1700569008
1,52.7856,2.35805,0,0,1700569008
1,52.1392,1.95664,0,0,1700569008
1,55.034,4.10351,0,0,1700569008
1,55.9541,7.23303,0,0,1700569008
1,53.8101,7.91118,0,0,1700569008
1,51.2063,5.96246,0,0,1700569008
1,49.3899,4.37241,0,0,1700569008
1,48.1869,4.75358,0,0,1700569008
1,48.9667,5.92967,0,0,1700569008
1,50.653,5.69461,0,0,1700569008
1,50.9702,3.84812,0,0,1700569008
1,52.9016,2.64006,0,0,1700569008
1,54.0753,3.56022,0,0,1700569008
1,51.4086,5.99292,0,0,1700569008
1,48.0477,9.28612,0,0,1700569008
1,44.3908,12.6148,0,0,1700569008
1,44.461,5.93318,0,0,1700569008
1,51.8374,5.93318,0,0,1700569008
1,57.0969,10.9439,0,0,1700569008
1,53.9908,6.80417,0,0,1700569008
1,51.3867,5.42616,0,0,1700569008
1,53.9276,4.95525,0,0,1700569008
1,53.1825,5.12086,0,0,1700569008
1,48.6168,6.14988,0,0,1700569008
1,46.7562,7.49055,0,0,1700569008
1,44.8877,7.8078,0,0,1700569008
1,43.809,7.07266,0,0,1700569008
1,48.0427,5.99286,0,0,1700569008
1,50.7184,4.31854,0,0,1700569008
1,50.0767,3.40135,0,0,1700569008
1,52.2,3.23808,0,0,1700569008
1,52.8395,2.42494,0,0,1700569008
1,48.9668,1.62791,0,0,1700569008
1,47.2961,2.87276,0,0,1700569008
1,50.407,5.6578,0,0,1700569008
1,54.4641,6.195,0,0,1700569008
1,54.8608,4.70066,0,0,1700569008
1,50.2707,4.09327,0,0,1700569008
1,44.6793,5.25921,0,0,1700569008
1,42.9516,7.20458,0,0,1700569008
1,47.5198,6.7156,0,0,1700569008
1,54.1324,4.4667,0,0,1700569008
1,53.994,4.62519,0,0,1700569008
1,47.471,6.78596,0,0,1700569008
1,43.226,7.50738,0,0,1700569008
1,44.3142,6.56221,0,0,1700569008
1,46.4649,6.94641,0,0,1700569008
1,46.5879,7.85221,0,0,1700569008
1,44.6037,7.30687,0,0,1700569008
1,43.4921,8.33543,0,0,1700569008
1,48.3854,9.87968,0,0,1700569008
1,54.5984,8.2759,0,0,1700569008
1,54.0758,7.17023,0,0,1700569008
1,50.5355,7.9509,0,0,1700569008
1,47.6293,6.9448,0,0,1700569008
1,46.1825,4.44654,0,0,1700569008
1,48.7176,3.81488,0,0,1700569008
1,51.2171,6.20506,0,0,1700569008
1,50.8573,7.61276,0,0,1700569008
1,49.7724,5.25404,0,0,1700569008
1,47.4738,4.63114,0,0,1700569008
1,47.1558,9.10913,0,0,1700569008
1,50.6765,11.8503,0,0,1700569008
1,51.3482,9.80161,0,0,1700569008
1,48.0992,7.52131,0,0,1700569008
1,46.2928,6.28426,0,0,1700569008
1,49.4275,5.65769,0,0,1700569008
1,54.6631,6.89571,0,0,1700569008
1,53.3658,9.50552,0,0,1700569008
1,47.878,10.6663,0,0,1700569008
1,49.2941,10.518,0,0,1700569008
1,54.3981,10.1169,0,0,1700569008
1,55.4386,8.38351,0,0,1700569008
1,57.7448,7.4189,0,0,1700569008
