Sample,EIMMagnitude,EIMPhase,JointAngle,Mass,Time
1,31.5947,9.96744,0,0,1699875690
1,33.4793,9.96744,0,0,1699875690
1,39.0779,10.3992,0,0,1699875690
1,43.8022,9.74248,0,0,1699875690
1,46.3931,9.77787,0,0,1699875690
1,47.6914,9.66378,0,0,1699875690
1,48.2853,9.2418,0,0,1699875690
1,48.3088,8.84354,0,0,1699875690
1,48.7559,8.76092,0,0,1699875690
1,50.1386,8.78919,0,0,1699875690
1,51.3756,8.6305,0,0,1699875690
1,51.8644,8.30993,0,0,1699875690
1,51.8685,8.01145,0,0,1699875690
1,51.6761,7.93221,0,0,1699875690
1,51.6404,8.02322,0,0,1699875690
1,51.898,8.03073,0,0,1699875690
1,52.3682,8.04452,0,0,1699875690
1,52.8239,8.24119,0,0,1699875690
1,53.0359,8.39393,0,0,1699875690
1,53.0564,8.31386,0,0,1699875690
1,52.9209,8.1609,0,0,1699875690
1,52.6545,8.1109,0,0,1699875690
1,52.4999,8.11244,0,0,1699875690
1,52.5829,8.03178,0,0,1699875690
1,52.6371,7.89516,0,0,1699875690
1,52.4784,7.79202,0,0,1699875690
1,52.3212,7.68341,0,0,1699875690
1,52.3225,7.54983,0,0,1699875690
1,52.35,7.4392,0,0,1699875690
1,52.2395,7.34311,0,0,1699875690
1,52.0146,7.26603,0,0,1699875690
1,51.8466,7.23832,0,0,1699875690
1,51.8012,7.25663,0,0,1699875690
1,51.7997,7.28437,0,0,1699875690
1,51.813,7.25969,0,0,1699875690
1,51.9248,7.17243,0,0,1699875690
1,52.2927,7.12607,0,0,1699875690
1,52.8602,7.19037,0,0,1699875690
1,53.3312,7.25342,0,0,1699875690
1,53.6293,7.24064,0,0,1699875690
1,53.8681,7.25574,0,0,1699875690
1,54.0866,7.33605,0,0,1699875690
1,54.2678,7.39688,0,0,1699875690
1,54.3776,7.40042,0,0,1699875690
1,54.4389,7.36824,0,0,1699875690
1,54.4913,7.30424,0,0,1699875690
1,54.5402,7.20204,0,0,1699875690
1,54.5828,7.09894,0,0,1699875690
1,54.5777,7.05224,0,0,1699875690
1,54.5002,7.07208,0,0,1699875690
1,54.3952,7.09946,0,0,1699875690
1,54.2902,7.08162,0,0,1699875690
1,54.1705,7.04427,0,0,1699875690
1,54.0685,7.01282,0,0,1699875690
1,54.0103,6.98321,0,0,1699875690
1,53.9775,6.96797,0,0,1699875690
1,53.9997,6.94489,0,0,1699875690
1,54.0733,6.89719,0,0,1699875690
1,54.1101,6.86842,0,0,1699875690
1,54.0626,6.8687,0,0,1699875690
1,53.9372,6.85993,0,0,1699875690
1,53.8036,6.83865,0,0,1699875690
1,53.741,6.82452,0,0,1699875690
1,53.7183,6.82435,0,0,1699875690
1,53.6938,6.84825,0,0,1699875690
