Sample,EIMMagnitude,EIMPhase,JointAngle,Mass,Time
1,31.5947,9.96744,0,0,1699875690
1,35.3639,9.96744,0,0,1699875690
1,50.275,11.2627,0,0,1699875690
1,57.9753,7.77238,0,0,1699875690
1,56.7564,9.91946,0,0,1699875690
1,54.1831,9.09329,0,0,1699875690
1,51.8489,6.70994,0,0,1699875690
1,48.473,6.05571,0,0,1699875690
1,52.3328,8.09993,0,0,1699875690
1,62.5829,9.04369,0,0,1699875690
1,63.745,7.04357,0,0,1699875690
1,57.2419,4.78364,0,0,1699875690
1,51.9179,4.42971,0,0,1699875690
1,49.1738,6.90213,0,0,1699875690
1,51.1407,9.29734,0,0,1699875690
1,55.762,8.14329,0,0,1699875690
1,59.8927,8.26516,0,0,1699875690
1,60.57,11.5846,0,0,1699875690
1,56.8521,11.1433,0,0,1699875690
1,53.4463,6.79255,0,0,1699875690
1,50.2109,5.10182,0,0,1699875690
1,47.0589,7.06086,0,0,1699875690
1,49.0987,8.1463,0,0,1699875690
1,54.4936,6.17647,0,0,1699875690
1,53.9365,4.61637,0,0,1699875690
1,48.5125,5.21361,0,0,1699875690
1,48.2331,4.85957,0,0,1699875690
1,52.3576,3.94316,0,0,1699875690
1,53.1204,4.34149,0,0,1699875690
1,49.0338,4.55636,0,0,1699875690
1,45.2693,4.9536,0,0,1699875690
1,46.6364,6.37957,0,0,1699875690
1,50.3483,7.84248,0,0,1699875690
1,51.75,8.19976,0,0,1699875690
1,52.2666,6.4207,0,0,1699875690
1,55.8395,4.11805,0,0,1699875690
1,65.5341,5.45737,0,0,1699875690
1,73.8583,9.56948,0,0,1699875690
1,71.2284,9.64936,0,0,1699875690
1,65.2566,6.74225,0,0,1699875690
1,63.4187,7.85951,0,0,1699875690
1,63.048,10.6288,0,0,1699875690
1,61.8751,9.95158,0,0,1699875690
1,59.0998,7.55268,0,0,1699875690
1,57.135,5.95226,0,0,1699875690
1,56.851,4.42431,0,0,1699875690
1,56.7898,2.50094,0,0,1699875690
1,56.5835,2.25305,0,0,1699875690
1,54.3325,4.8111,0,0,1699875690
1,50.7063,8.04376,0,0,1699875690
1,49.1411,8.46879,0,0,1699875690
1,48.935,6.17159,0,0,1699875690
1,47.9496,5.10202,0,0,1699875690
1,48.6628,5.34606,0,0,1699875690
1,50.865,5.38443,0,0,1699875690
1,52.1765,6.12951,0,0,1699875690
1,55.2395,5.65281,0,0,1699875690
1,58.2686,4.1783,0,0,1699875690
1,56.2449,5.19963,0,0,1699875690
1,51.2625,6.88488,0,0,1699875690
1,46.4146,6.33362,0,0,1699875690
1,45.6519,5.54076,0,0,1699875690
1,49.8601,5.94845,0,0,1699875690
