Sample,EIMMagnitude,EIMPhase,JointAngle,Mass,Time
1,61.277,5.99794,0,0,1700569226
1,61.277,5.99794,0,0,1700569226
1,54.7736,5.99794,0,0,1700569226
1,55.2857,6.55457,0,0,1700569226
1,56.2952,6.50566,0,0,1700569226
1,55.7937,6.36226,0,0,1700569226
1,54.6922,6.36805,0,0,1700569226
1,53.7073,6.61378,0,0,1700569226
1,53.1171,6.73559,0,0,1700569226
1,52.9814,6.61789,0,0,1700569226
1,52.9148,6.56561,0,0,1700569226
1,52.9457,6.8307,0,0,1700569226
1,53.1719,6.76664,0,0,1700569226
1,53.1433,6.71174,0,0,1700569226
1,52.6946,7.0756,0,0,1700569226
1,52.203,7.07923,0,0,1700569226
1,51.9138,6.98638,0,0,1700569226
1,51.7914,6.99121,0,0,1700569226
1,51.6338,7.14921,0,0,1700569226
1,51.2823,7.32852,0,0,1700569226
1,50.9058,7.46755,0,0,1700569226
1,50.7611,7.60982,0,0,1700569226
1,50.7908,7.6472,0,0,1700569226
1,50.8115,7.61242,0,0,1700569226
1,50.8764,7.64881,0,0,1700569226
1,51.0461,7.64775,0,0,1700569226
1,51.2083,7.52474,0,0,1700569226
1,51.2944,7.39587,0,0,1700569226
1,51.2526,7.34419,0,0,1700569226
1,51.1432,7.32885,0,0,1700569226
1,51.165,7.27072,0,0,1700569226
1,51.2521,7.18529,0,0,1700569226
1,51.2677,7.12206,0,0,1700569226
1,51.3719,7.0707,0,0,1700569226
1,51.6467,7.05445,0,0,1700569226
1,51.8589,7.07456,0,0,1700569226
1,51.8445,7.09909,0,0,1700569226
1,51.7374,7.14877,0,0,1700569226
1,51.6641,7.18245,0,0,1700569226
1,51.5938,7.16116,0,0,1700569226
1,51.5623,7.17163,0,0,1700569226
1,51.6879,7.22284,0,0,1700569226
1,51.8998,7.21394,0,0,1700569226
1,51.9918,7.15608,0,0,1700569226
1,51.9706,7.12974,0,0,1700569226
1,52.0085,7.12676,0,0,1700569226
1,52.1459,7.09487,0,0,1700569226
1,52.2587,7.02869,0,0,1700569226
1,52.2326,6.97151,0,0,1700569226
1,52.0945,6.97907,0,0,1700569226
1,51.9404,7.03931,0,0,1700569226
1,51.8018,7.07457,0,0,1700569226
1,51.6669,7.06007,0,0,1700569226
1,51.566,7.0062,0,0,1700569226
1,51.5222,6.92198,0,0,1700569226
1,51.5133,6.85585,0,0,1700569226
1,51.5238,6.83079,0,0,1700569226
1,51.5549,6.82612,0,0,1700569226
1,51.6175,6.84054,0,0,1700569226
1,51.686,6.86179,0,0,1700569226
1,51.7136,6.85567,0,0,1700569226
1,51.6625,6.81932,0,0,1700569226
1,51.5284,6.77606,0,0,1700569226
1,51.4326,6.77244,0,0,1700569226
1,51.4749,6.83203,0,0,1700569226
1,51.5663,6.87312,0,0,1700569226
1,51.612,6.83142,0,0,1700569226
1,51.6342,6.77265,0,0,1700569226
1,51.6485,6.75942,0,0,1700569226
1,51.6335,6.76276,0,0,1700569226
1,51.5959,6.77726,0,0,1700569226
1,51.5387,6.83197,0,0,1700569226
1,51.484,6.86975,0,0,1700569226
1,51.4512,6.83696,0,0,1700569226
1,51.3879,6.781,0,0,1700569226
1,51.2856,6.74421,0,0,1700569226
1,51.2099,6.71329,0,0,1700569226
1,51.1857,6.67263,0,0,1700569226
