Sample,EIMMagnitude,EIMPhase,JointAngle,Mass,Time
1,20.9932,12.3795,0,0,1699875690
1,24.9211,12.3795,0,0,1699875690
1,27.8676,13.589,0,0,1699875690
1,29.2269,14.891,0,0,1699875690
1,30.0303,15.7927,0,0,1699875690
1,30.4301,15.5406,0,0,1699875690
1,30.5197,14.4486,0,0,1699875690
1,31.0461,13.164,0,0,1699875690
1,32.649,11.9506,0,0,1699875690
1,35.4574,10.9025,0,0,1699875690
1,38.4254,10.0637,0,0,1699875690
1,39.766,9.63679,0,0,1699875690
1,39.0804,9.8392,0,0,1699875690
1,37.6144,10.4211,0,0,1699875690
1,36.6557,11.0256,0,0,1699875690
1,36.6206,11.4903,0,0,1699875690
1,37.1227,11.681,0,0,1699875690
1,37.7245,11.634,0,0,1699875690
1,38.5157,11.921,0,0,1699875690
1,39.284,11.9439,0,0,1699875690
1,39.3706,11.9647,0,0,1699875690
1,38.9773,11.9835,0,0,1699875690
1,38.9249,12.846,0,0,1699875690
1,39.492,13.1785,0,0,1699875690
1,40.3412,13.2566,0,0,1699875690
1,40.9384,13.69,0,0,1699875690
1,41.0926,13.6415,0,0,1699875690
1,41.1126,13.5964,0,0,1699875690
1,41.2379,13.5544,0,0,1699875690
1,41.3176,13.5153,0,0,1699875690
1,41.1293,13.4786,0,0,1699875690
1,40.7534,13.4443,0,0,1699875690
1,40.4537,13.9724,0,0,1699875690
1,40.4244,13.9836,0,0,1699875690
1,40.7333,13.8199,0,0,1699875690
1,41.0532,13.6027,0,0,1699875690
1,40.9885,13.3432,0,0,1699875690
1,40.7484,13.1513,0,0,1699875690
1,40.7079,13.092,0,0,1699875690
1,40.8774,13.1277,0,0,1699875690
1,41.0793,13.1302,0,0,1699875690
1,41.1366,13.0531,0,0,1699875690
1,41.0348,12.9765,0,0,1699875690
1,40.9411,12.8937,0,0,1699875690
1,40.896,12.8093,0,0,1699875690
1,40.7878,12.8205,0,0,1699875690
1,40.633,12.9831,0,0,1699875690
1,40.487,13.295,0,0,1699875690
1,40.3364,13.6182,0,0,1699875690
1,40.2187,13.8077,0,0,1699875690
1,40.1749,13.9179,0,0,1699875690
1,40.1704,14.0054,0,0,1699875690
1,40.172,14.0445,0,0,1699875690
1,40.1786,14.0455,0,0,1699875690
1,40.2069,14.0403,0,0,1699875690
1,40.2813,14.0359,0,0,1699875690
1,40.3838,13.9884,0,0,1699875690
1,40.4939,13.8804,0,0,1699875690
1,40.5913,13.7667,0,0,1699875690
1,40.6132,13.6678,0,0,1699875690
1,40.5781,13.5744,0,0,1699875690
1,40.5696,13.5364,0,0,1699875690
1,40.5443,13.6454,0,0,1699875690
1,40.5313,13.8746,0,0,1699875690
1,40.7049,14.0157,0,0,1699875690
1,40.9682,13.9788,0,0,1699875690
1,41.0892,13.8797,0,0,1699875690
1,41.1028,13.818,0,0,1699875690
1,41.2237,13.8152,0,0,1699875690
1,41.5571,13.7883,0,0,1699875690
1,41.9107,13.7393,0,0,1699875690
1,42.0527,13.8098,0,0,1699875690
1,42.0137,13.9252,0,0,1699875690
1,41.9748,13.9739,0,0,1699875690
1,42.025,14.037,0,0,1699875690
1,42.0656,14.1179,0,0,1699875690
1,42.0099,14.2001,0,0,1699875690
1,42.0424,14.2991,0,0,1699875690
1,42.3372,14.4457,0,0,1699875690
1,42.6945,14.4199,0,0,1699875690
1,42.8828,14.3947,0,0,1699875690
1,42.878,14.4582,0,0,1699875690
1,42.734,14.4338,0,0,1699875690
1,42.58,14.4256,0,0,1699875690
1,42.4838,14.4365,0,0,1699875690
1,42.3936,14.5144,0,0,1699875690
1,42.2799,14.7166,0,0,1699875690
1,42.2034,14.69,0,0,1699875690
1,42.221,14.8677,0,0,1699875690
1,42.2332,14.8704,0,0,1699875690
1,42.176,14.784,0,0,1699875690
1,42.1531,14.6849,0,0,1699875690
1,42.2007,14.6416,0,0,1699875690
1,42.2397,14.6773,0,0,1699875690
1,42.2038,14.7416,0,0,1699875690
1,42.0862,14.8125,0,0,1699875690
1,41.9446,14.8999,0,0,1699875690
1,41.8445,15.0116,0,0,1699875690
1,41.7862,15.1437,0,0,1699875690
1,41.7144,15.2447,0,0,1699875690
1,41.638,15.2627,0,0,1699875690
1,41.5845,15.2183,0,0,1699875690
1,41.5297,15.1569,0,0,1699875690
1,41.4771,15.0943,0,0,1699875690
1,41.3926,15.0415,0,0,1699875690
1,41.2388,15.0199,0,0,1699875690
1,41.0874,15.0306,0,0,1699875690
1,40.9925,15.0653,0,0,1699875690
1,40.9272,15.1268,0,0,1699875690
1,40.8775,15.2055,0,0,1699875690
1,40.8556,15.2833,0,0,1699875690
1,40.8691,15.3344,0,0,1699875690
1,40.913,15.3252,0,0,1699875690
1,40.959,15.2526,0,0,1699875690
1,41.0017,15.1618,0,0,1699875690
1,41.0436,15.0847,0,0,1699875690
1,41.0382,15.0543,0,0,1699875690
1,41.0041,15.1031,0,0,1699875690
1,40.982,15.1459,0,0,1699875690
1,40.9188,15.1031,0,0,1699875690
1,40.822,15.0257,0,0,1699875690
1,40.8121,14.948,0,0,1699875690
1,40.931,14.8734,0,0,1699875690
1,41.0564,14.8654,0,0,1699875690
1,41.1769,14.9496,0,0,1699875690
1,41.421,15.0207,0,0,1699875690
1,41.6666,15.0226,0,0,1699875690
1,41.7304,15.038,0,0,1699875690
1,41.6808,15.0986,0,0,1699875690
1,41.5971,15.1506,0,0,1699875690
1,41.5011,15.1566,0,0,1699875690
1,41.4051,15.1105,0,0,1699875690
1,41.2587,15.086,0,0,1699875690
1,41.0603,15.1826,0,0,1699875690
1,40.9877,15.1618,0,0,1699875690
1,41.2169,15.1413,0,0,1699875690
1,41.6129,15.1212,0,0,1699875690
1,41.8806,15.1013,0,0,1699875690
1,41.9873,15.0817,0,0,1699875690
1,42.1141,15.1365,0,0,1699875690
1,42.2737,15.1276,0,0,1699875690
1,42.3597,15.131,0,0,1699875690
1,42.3802,15.167,0,0,1699875690
1,42.36,15.1916,0,0,1699875690
1,42.3264,15.1778,0,0,1699875690
1,42.333,15.1662,0,0,1699875690
1,42.3421,15.2072,0,0,1699875690
1,42.3113,15.3026,0,0,1699875690
1,42.2573,15.3778,0,0,1699875690
1,42.1938,15.4035,0,0,1699875690
1,42.1471,15.4336,0,0,1699875690
1,42.1025,15.4484,0,0,1699875690
1,42.0302,15.412,0,0,1699875690
1,42.0032,15.3769,0,0,1699875690
1,42.0515,15.3703,0,0,1699875690
1,42.0648,15.379,0,0,1699875690
1,42.0125,15.4337,0,0,1699875690
1,41.9923,15.5302,0,0,1699875690
1,42.0087,15.5857,0,0,1699875690
1,41.9762,15.5731,0,0,1699875690
1,41.909,15.5373,0,0,1699875690
1,41.8918,15.493,0,0,1699875690
1,41.9243,15.4394,0,0,1699875690
1,41.969,15.3956,0,0,1699875690
1,42.0527,15.369,0,0,1699875690
1,42.1665,15.3342,0,0,1699875690
1,42.2224,15.2714,0,0,1699875690
1,42.2013,15.1963,0,0,1699875690
1,42.1938,15.1287,0,0,1699875690
1,42.2354,15.0835,0,0,1699875690
1,42.259,15.0769,0,0,1699875690
1,42.2422,15.089,0,0,1699875690
1,42.2583,15.0678,0,0,1699875690
1,42.3721,15.002,0,0,1699875690
1,42.5023,14.9356,0,0,1699875690
1,42.5259,14.9708,0,0,1699875690
1,42.4968,14.9561,0,0,1699875690
1,42.5651,14.9416,0,0,1699875690
1,42.7591,14.9273,0,0,1699875690
1,42.9536,14.9747,0,0,1699875690
1,43.0552,14.977,0,0,1699875690
1,43.0833,15.049,0,0,1699875690
1,43.0584,15.0344,0,0,1699875690
1,43.0042,15.02,0,0,1699875690
1,42.9655,15.0057,0,0,1699875690
1,42.9479,15.0661,0,0,1699875690
1,42.9277,15.0844,0,0,1699875690
1,42.8976,15.0916,0,0,1699875690
1,42.8811,15.0799,0,0,1699875690
1,42.9023,15.0395,0,0,1699875690
1,42.9341,14.9841,0,0,1699875690
1,42.9415,14.9289,0,0,1699875690
1,42.9305,14.877,0,0,1699875690
1,42.9044,14.8349,0,0,1699875690
1,42.8694,14.8033,0,0,1699875690
1,42.8399,14.7836,0,0,1699875690
1,42.8092,14.7837,0,0,1699875690
1,42.7653,14.791,0,0,1699875690
1,42.7103,14.7898,0,0,1699875690
1,42.6732,14.789,0,0,1699875690
1,42.6694,14.802,0,0,1699875690
1,42.6587,14.8235,0,0,1699875690
1,42.6332,14.8371,0,0,1699875690
1,42.6445,14.8413,0,0,1699875690
1,42.6999,14.8419,0,0,1699875690
1,42.7469,14.8756,0,0,1699875690
1,42.7581,14.8635,0,0,1699875690
1,42.7669,14.8516,0,0,1699875690
1,42.8147,14.8847,0,0,1699875690
1,42.8675,14.9196,0,0,1699875690
1,42.8798,14.9076,0,0,1699875690
1,42.9054,14.8957,0,0,1699875690
1,42.9802,14.9666,0,0,1699875690
1,43.046,14.9861,0,0,1699875690
1,43.0676,14.9758,0,0,1699875690
1,43.0634,14.9479,0,0,1699875690
1,43.0531,14.9074,0,0,1699875690
1,43.0319,14.864,0,0,1699875690
1,42.9805,14.8342,0,0,1699875690
1,42.9405,14.8224,0,0,1699875690
1,42.9791,14.8235,0,0,1699875690
1,43.0423,14.8291,0,0,1699875690
1,43.0484,14.8291,0,0,1699875690
1,43.0245,14.8144,0,0,1699875690
1,42.99,14.7834,0,0,1699875690
1,42.933,14.7449,0,0,1699875690
1,42.8813,14.7034,0,0,1699875690
1,42.8553,14.6562,0,0,1699875690
1,42.8406,14.6132,0,0,1699875690
1,42.8174,14.5892,0,0,1699875690
1,42.7754,14.5715,0,0,1699875690
1,42.7264,14.5411,0,0,1699875690
1,42.6873,14.5058,0,0,1699875690
1,42.654,14.4919,0,0,1699875690
1,42.6247,14.5139,0,0,1699875690
1,42.5994,14.5405,0,0,1699875690
1,42.5638,14.5825,0,0,1699875691
1,42.5437,14.5732,0,0,1699875691
1,42.585,14.564,0,0,1699875691
1,42.648,14.58,0,0,1699875691
1,42.6689,14.5638,0,0,1699875691
1,42.6515,14.5455,0,0,1699875691
1,42.6148,14.5263,0,0,1699875691
1,42.5812,14.5417,0,0,1699875691
1,42.6628,14.5888,0,0,1699875691
1,42.929,14.6221,0,0,1699875691
1,43.1885,14.6258,0,0,1699875691
1,43.2694,14.616,0,0,1699875691
1,43.2595,14.6035,0,0,1699875691
1,43.2439,14.5812,0,0,1699875691
1,43.2105,14.574,0,0,1699875691
1,43.1672,14.6234,0,0,1699875691
1,43.1488,14.6797,0,0,1699875691
1,43.1513,14.6779,0,0,1699875691
1,43.127,14.6476,0,0,1699875691
1,43.0742,14.6253,0,0,1699875691
1,43.0246,14.6011,0,0,1699875691
1,42.9853,14.5698,0,0,1699875691
1,42.959,14.5564,0,0,1699875691
1,42.9457,14.5693,0,0,1699875691
1,42.9297,14.5751,0,0,1699875691
1,42.9053,14.5511,0,0,1699875691
1,42.8765,14.5071,0,0,1699875691
1,42.8449,14.4569,0,0,1699875691
1,42.8293,14.4066,0,0,1699875691
1,42.8404,14.3605,0,0,1699875691
1,42.8552,14.3198,0,0,1699875691
1,42.8617,14.2856,0,0,1699875691
1,42.9258,14.2601,0,0,1699875691
1,43.1094,14.246,0,0,1699875691
1,43.3118,14.2467,0,0,1699875691
1,43.402,14.2523,0,0,1699875691
1,43.388,14.2486,0,0,1699875691
1,43.3406,14.2422,0,0,1699875691
1,43.3113,14.249,0,0,1699875691
1,43.2958,14.2661,0,0,1699875691
1,43.3098,14.2753,0,0,1699875691
1,43.4003,14.2688,0,0,1699875691
1,43.5095,14.2606,0,0,1699875691
1,43.5623,14.2674,0,0,1699875691
1,43.575,14.2758,0,0,1699875691
1,43.5632,14.2635,0,0,1699875691
1,43.5261,14.233,0,0,1699875691
1,43.4893,14.1961,0,0,1699875691
1,43.4656,14.1954,0,0,1699875691
1,43.4388,14.189,0,0,1699875691
1,43.4139,14.1827,0,0,1699875691
1,43.4313,14.2064,0,0,1699875691
1,43.4874,14.1928,0,0,1699875691
1,43.5287,14.1849,0,0,1699875691
1,43.5561,14.2034,0,0,1699875691
1,43.6094,14.2336,0,0,1699875691
1,43.6811,14.2436,0,0,1699875691
1,43.7456,14.2334,0,0,1699875691
1,43.8107,14.2168,0,0,1699875691
1,43.876,14.2018,0,0,1699875691
1,43.9084,14.2016,0,0,1699875691
1,43.9046,14.2057,0,0,1699875691
1,43.8955,14.1869,0,0,1699875691
1,43.895,14.1487,0,0,1699875691
1,43.8938,14.1097,0,0,1699875691
1,43.8731,14.0737,0,0,1699875691
1,43.8344,14.0436,0,0,1699875691
1,43.7955,14.025,0,0,1699875691
1,43.7556,14.0109,0,0,1699875691
1,43.7157,13.992,0,0,1699875691
1,43.6952,13.9671,0,0,1699875691
1,43.6887,13.9466,0,0,1699875691
