Sample,EIMMagnitude,EIMPhase,JointAngle,Mass,Time
1,20.9932,12.3795,0,0,1699875690
1,28.8489,12.3795,0,0,1699875690
1,33.7608,16.008,0,0,1699875690
1,33.3046,18.797,0,0,1699875690
1,33.2438,19.3997,0,0,1699875690
1,32.4293,14.2798,0,0,1699875690
1,31.0575,7.89705,0,0,1699875690
1,34.7304,4.17193,0,0,1699875690
1,45.4725,2.24305,0,0,1699875690
1,60.7324,1.46925,0,0,1699875690
1,68.1063,1.67634,0,0,1699875690
1,54.5123,4.94051,0,0,1699875690
1,30.8534,12.268,0,0,1699875690
1,18.5559,17.9862,0,0,1699875690
1,23.2339,19.489,0,0,1699875690
1,36.0945,18.4601,0,0,1699875690
1,45.1568,14.7325,0,0,1699875690
1,47.9551,10.8353,0,0,1699875690
1,52.7568,17.0862,0,0,1699875690
1,53.8814,12.3795,0,0,1699875690
1,41.103,12.3795,0,0,1699875690
1,30.7189,12.3795,0,0,1699875690
1,37.7718,31.8201,0,0,1699875690
1,52.5344,20.8259,0,0,1699875690
1,60.7224,15.1324,0,0,1699875690
1,55.8674,24.5246,0,0,1699875690
1,45.1015,12.3795,0,0,1699875690
1,41.6529,12.3795,0,0,1699875690
1,44.7471,12.3795,0,0,1699875690
1,43.6286,12.3795,0,0,1699875690
1,35.4802,12.3795,0,0,1699875690
1,29.0998,12.3795,0,0,1699875690
1,30.8628,30.8725,0,0,1699875690
1,39.4578,14.3531,0,0,1699875690
1,51.2381,8.25392,0,0,1699875690
1,52.2504,6.00217,0,0,1699875690
1,38.6559,3.99934,0,0,1699875690
1,31.8661,6.04965,0,0,1699875690
1,39.1696,10.8401,0,0,1699875690
1,47.489,14.5202,0,0,1699875690
1,49.1534,13.2299,0,0,1699875690
1,43.487,9.89219,0,0,1699875690
1,36.7602,9.75827,0,0,1699875690
1,36.9091,9.33316,0,0,1699875690
1,38.9145,9.09772,0,0,1699875690
1,35.9159,13.3225,0,0,1699875690
1,33.5132,20.4653,0,0,1699875690
1,33.6238,27.9516,0,0,1699875690
1,33.1106,29.1346,0,0,1699875690
1,34.4479,23.0904,0,0,1699875690
1,37.9846,19.4278,0,0,1699875690
1,39.9406,18.4672,0,0,1699875690
1,40.2561,16.0779,0,0,1699875690
1,40.5324,14.099,0,0,1699875690
1,41.7352,13.7601,0,0,1699875690
1,44.3718,13.794,0,0,1699875690
1,46.1216,11.3263,0,0,1699875690
