Sample,EIMMagnitude,EIMPhase,JointAngle,Mass,Time
1,63.1151,5.67704,0,0,1700569283
1,63.1151,5.67704,0,0,1700569283
1,54.7159,6.32608,0,0,1700569283
1,51.543,5.51872,0,0,1700569283
1,50.2225,5.02932,0,0,1700569283
1,50.3221,4.69932,0,0,1700569283
1,51.2307,4.77345,0,0,1700569283
1,51.8666,5.24432,0,0,1700569283
1,51.6663,5.65059,0,0,1700569283
1,51.0058,5.61602,0,0,1700569283
1,50.5099,5.34368,0,0,1700569283
1,50.4642,5.32033,0,0,1700569283
1,50.5666,5.66116,0,0,1700569283
1,50.3177,6.02414,0,0,1700569283
1,49.7488,6.15469,0,0,1700569283
1,49.353,6.11561,0,0,1700569283
1,49.1502,5.97197,0,0,1700569283
1,48.8499,5.80861,0,0,1700569283
1,48.6581,5.77598,0,0,1700569283
1,48.7732,5.88905,0,0,1700569283
1,48.9361,6.1478,0,0,1700569283
1,48.9884,6.4692,0,0,1700569283
1,49.1473,6.61805,0,0,1700569283
1,49.5299,6.60893,0,0,1700569283
1,49.8367,6.64451,0,0,1700569283
1,49.8358,6.77194,0,0,1700569283
1,49.7551,6.94203,0,0,1700569283
1,49.8047,7.07953,0,0,1700569283
1,49.9256,7.10535,0,0,1700569283
1,50.1151,7.02256,0,0,1700569283
1,50.3404,6.88994,0,0,1700569283
1,50.4688,6.74886,0,0,1700569283
1,50.4782,6.64173,0,0,1700569283
1,50.388,6.58339,0,0,1700569283
1,50.2428,6.51666,0,0,1700569283
1,50.1601,6.44622,0,0,1700569283
1,50.1818,6.42455,0,0,1700569283
1,50.2547,6.43329,0,0,1700569283
1,50.3713,6.48377,0,0,1700569283
1,50.5463,6.6065,0,0,1700569283
1,50.6828,6.72768,0,0,1700569283
1,50.703,6.76572,0,0,1700569283
1,50.7188,6.74943,0,0,1700569283
1,50.8027,6.73615,0,0,1700569283
1,50.839,6.73179,0,0,1700569283
1,50.8165,6.7331,0,0,1700569283
1,50.8186,6.73311,0,0,1700569283
1,50.8541,6.70719,0,0,1700569283
1,50.9926,6.66003,0,0,1700569283
1,51.1758,6.6102,0,0,1700569283
1,51.192,6.56097,0,0,1700569283
1,51.1205,6.54514,0,0,1700569283
1,51.0999,6.57502,0,0,1700569283
1,51.0365,6.59152,0,0,1700569283
1,50.9591,6.56633,0,0,1700569283
1,50.9441,6.53149,0,0,1700569283
1,50.8994,6.50421,0,0,1700569283
1,50.8388,6.46921,0,0,1700569283
1,50.8604,6.42228,0,0,1700569283
1,50.899,6.38557,0,0,1700569283
1,50.8892,6.36504,0,0,1700569283
1,50.8838,6.34448,0,0,1700569283
1,50.8941,6.32022,0,0,1700569283
1,50.8722,6.30794,0,0,1700569283
1,50.8155,6.33494,0,0,1700569283
1,50.7961,6.40088,0,0,1700569283
1,50.8658,6.44734,0,0,1700569283
1,50.9543,6.42596,0,0,1700569283
1,51.0043,6.38133,0,0,1700569283
1,51.0432,6.374,0,0,1700569283
1,51.0821,6.38096,0,0,1700569283
1,51.1111,6.36451,0,0,1700569283
1,51.11,6.32444,0,0,1700569283
1,51.0576,6.26735,0,0,1700569283
1,50.9718,6.23127,0,0,1700569283
1,50.9184,6.2723,0,0,1700569283
1,50.9593,6.35868,0,0,1700569283
1,51.0423,6.39165,0,0,1700569283
1,51.0439,6.36596,0,0,1700569283
1,50.9542,6.35314,0,0,1700569283
1,50.859,6.37168,0,0,1700569283
1,50.783,6.40925,0,0,1700569283
1,50.7158,6.45327,0,0,1700569283
1,50.6813,6.46732,0,0,1700569283
1,50.6691,6.43344,0,0,1700569283
1,50.6624,6.37451,0,0,1700569283
1,50.6996,6.31949,0,0,1700569283
1,50.7791,6.29454,0,0,1700569283
1,50.8361,6.3074,0,0,1700569283
1,50.8491,6.34769,0,0,1700569283
1,50.8552,6.40456,0,0,1700569283
1,50.8549,6.4591,0,0,1700569283
1,50.8428,6.49713,0,0,1700569283
1,50.847,6.51119,0,0,1700569283
1,50.8337,6.4987,0,0,1700569283
1,50.7914,6.47474,0,0,1700569283
1,50.8123,6.44887,0,0,1700569283
1,50.9251,6.42047,0,0,1700569283
1,51.0502,6.38873,0,0,1700569283
1,51.1316,6.35684,0,0,1700569283
1,51.1797,6.33338,0,0,1700569283
1,51.1991,6.32324,0,0,1700569283
1,51.1761,6.33656,0,0,1700569283
1,51.1348,6.36766,0,0,1700569283
1,51.1096,6.38903,0,0,1700569283
1,51.1065,6.39176,0,0,1700569283
1,51.1135,6.386,0,0,1700569283
1,51.1152,6.39019,0,0,1700569283
1,51.0945,6.41469,0,0,1700569283
1,51.0454,6.43975,0,0,1700569283
1,51.0264,6.43883,0,0,1700569283
1,51.0786,6.42429,0,0,1700569283
1,51.109,6.43118,0,0,1700569283
1,51.0528,6.44394,0,0,1700569283
1,50.9954,6.43298,0,0,1700569283
1,51.0031,6.43483,0,0,1700569283
1,51.0129,6.47852,0,0,1700569283
1,50.9572,6.51933,0,0,1700569283
1,50.8775,6.52442,0,0,1700569283
1,50.844,6.52364,0,0,1700569283
1,50.852,6.54828,0,0,1700569283
1,50.8531,6.58934,0,0,1700569283
1,50.8273,6.61556,0,0,1700569283
1,50.7981,6.61937,0,0,1700569283
1,50.802,6.62565,0,0,1700569283
1,50.8488,6.63853,0,0,1700569283
1,50.8984,6.63581,0,0,1700569283
1,50.9236,6.61513,0,0,1700569283
1,50.9494,6.59716,0,0,1700569283
1,50.9646,6.59161,0,0,1700569283
1,50.9413,6.58549,0,0,1700569283
1,50.9179,6.57606,0,0,1700569283
1,50.9253,6.57249,0,0,1700569283
1,50.9381,6.56294,0,0,1700569283
1,50.9222,6.53903,0,0,1700569283
1,50.8715,6.5102,0,0,1700569283
1,50.8143,6.48467,0,0,1700569283
1,50.7734,6.4747,0,0,1700569283
1,50.7557,6.48363,0,0,1700569283
1,50.7721,6.50249,0,0,1700569283
1,50.8163,6.51909,0,0,1700569283
1,50.8675,6.51397,0,0,1700569283
1,50.901,6.4929,0,0,1700569283
1,50.9089,6.47989,0,0,1700569283
1,50.9153,6.47553,0,0,1700569283
1,50.9254,6.47699,0,0,1700569283
1,50.927,6.48134,0,0,1700569283
1,50.9243,6.47234,0,0,1700569283
1,50.9252,6.44697,0,0,1700569283
1,50.9175,6.42048,0,0,1700569283
1,50.8789,6.40219,0,0,1700569283
1,50.8253,6.39013,0,0,1700569283
1,50.7923,6.38076,0,0,1700569283
1,50.7726,6.3674,0,0,1700569283
1,50.7403,6.35206,0,0,1700569283
1,50.6991,6.34716,0,0,1700569283
1,50.6701,6.34714,0,0,1700569283
1,50.6425,6.35279,0,0,1700569283
1,50.592,6.38806,0,0,1700569283
1,50.5453,6.38362,0,0,1700569283
1,50.5426,6.4246,0,0,1700569283
1,50.5701,6.44101,0,0,1700569283
1,50.5969,6.43879,0,0,1700569283
1,50.61,6.42414,0,0,1700569283
1,50.612,6.4108,0,0,1700569283
1,50.6199,6.39951,0,0,1700569283
1,50.6371,6.39433,0,0,1700569283
1,50.667,6.41137,0,0,1700569283
1,50.7171,6.43378,0,0,1700569283
1,50.7656,6.43032,0,0,1700569283
1,50.8141,6.4118,0,0,1700569283
1,50.887,6.40818,0,0,1700569283
1,50.9575,6.41742,0,0,1700569283
1,51.0013,6.41798,0,0,1700569283
1,51.0366,6.4065,0,0,1700569283
1,51.0689,6.40025,0,0,1700569283
1,51.0868,6.40611,0,0,1700569283
1,51.0924,6.40645,0,0,1700569283
1,51.0966,6.39539,0,0,1700569283
1,51.0958,6.38367,0,0,1700569283
1,51.0931,6.36757,0,0,1700569283
1,51.1027,6.34355,0,0,1700569283
1,51.1051,6.32199,0,0,1700569283
1,51.086,6.31221,0,0,1700569283
1,51.0677,6.31109,0,0,1700569283
1,51.0626,6.31356,0,0,1700569283
1,51.0707,6.33335,0,0,1700569283
1,51.0834,6.32986,0,0,1700569283
1,51.0729,6.32641,0,0,1700569283
1,51.0372,6.35459,0,0,1700569283
1,51.012,6.3628,0,0,1700569283
1,51.0146,6.35359,0,0,1700569283
1,51.0178,6.33898,0,0,1700569283
1,50.9975,6.32592,0,0,1700569283
1,50.9788,6.31471,0,0,1700569283
1,50.9902,6.30456,0,0,1700569283
1,51.0194,6.2902,0,0,1700569283
1,51.0361,6.27362,0,0,1700569283
1,51.0404,6.26987,0,0,1700569283
1,51.0708,6.28352,0,0,1700569283
1,51.1253,6.29672,0,0,1700569283
1,51.1534,6.29336,0,0,1700569283
1,51.1469,6.27764,0,0,1700569283
1,51.1466,6.26366,0,0,1700569283
1,51.1696,6.25573,0,0,1700569283
1,51.1986,6.24745,0,0,1700569283
1,51.2261,6.23591,0,0,1700569283
1,51.2408,6.22206,0,0,1700569283
1,51.2268,6.20914,0,0,1700569283
1,51.2031,6.20289,0,0,1700569283
1,51.1825,6.19893,0,0,1700569283
1,51.1586,6.19078,0,0,1700569283
1,51.147,6.18976,0,0,1700569283
1,51.1554,6.20389,0,0,1700569283
1,51.1681,6.22157,0,0,1700569283
1,51.1875,6.23293,0,0,1700569283
1,51.217,6.23556,0,0,1700569283
1,51.2342,6.2308,0,0,1700569283
1,51.2214,6.22542,0,0,1700569283
1,51.1929,6.22298,0,0,1700569283
1,51.1802,6.22471,0,0,1700569283
1,51.1935,6.23131,0,0,1700569283
1,51.2064,6.23476,0,0,1700569283
1,51.1859,6.22746,0,0,1700569283
1,51.144,6.2143,0,0,1700569283
1,51.1293,6.21203,0,0,1700569283
1,51.1538,6.23106,0,0,1700569283
1,51.1865,6.24978,0,0,1700569283
1,51.2062,6.246,0,0,1700569283
1,51.2064,6.23245,0,0,1700569283
1,51.1876,6.22508,0,0,1700569283
1,51.166,6.22286,0,0,1700569283
1,51.159,6.21727,0,0,1700569283
1,51.1583,6.20465,0,0,1700569283
1,51.1389,6.19303,0,0,1700569283
1,51.1104,6.18665,0,0,1700569283
1,51.1029,6.18248,0,0,1700569283
1,51.1035,6.17778,0,0,1700569283
1,51.0928,6.1795,0,0,1700569283
1,51.0863,6.19901,0,0,1700569283
1,51.0891,6.219,0,0,1700569283
1,51.0866,6.21488,0,0,1700569283
1,51.08,6.19909,0,0,1700569283
1,51.0792,6.19036,0,0,1700569283
1,51.0699,6.18327,0,0,1700569283
1,51.05,6.17312,0,0,1700569283
1,51.0433,6.16404,0,0,1700569283
1,51.0407,6.15575,0,0,1700569283
1,51.021,6.15077,0,0,1700569283
1,50.9956,6.14944,0,0,1700569283
1,50.9779,6.14418,0,0,1700569283
1,50.9685,6.14153,0,0,1700569283
1,50.961,6.15342,0,0,1700569283
1,50.9588,6.17034,0,0,1700569283
1,50.9659,6.17481,0,0,1700569283
1,50.961,6.16406,0,0,1700569283
1,50.9365,6.15037,0,0,1700569283
1,50.9138,6.14666,0,0,1700569283
1,50.9,6.15065,0,0,1700569283
1,50.8832,6.15188,0,0,1700569283
1,50.8546,6.14753,0,0,1700569283
1,50.8252,6.13923,0,0,1700569283
