Sample,EIMMagnitude,EIMPhase,JointAngle,Mass,Time
1,12.0583,13.5529,0,0,1699875690
1,20.5648,26.861,0,0,1699875690
1,31.8859,20.2849,0,0,1699875690
1,36.0818,19.337,0,0,1699875690
1,35.9353,17.5247,0,0,1699875690
1,36.6403,13.4718,0,0,1699875690
1,37.2117,12.4343,0,0,1699875690
1,36.3158,18.6803,0,0,1699875690
1,37.8788,24.9606,0,0,1699875690
1,41.6007,22.354,0,0,1699875690
1,42.093,19.5298,0,0,1699875690
1,39.8887,23.7888,0,0,1699875690
1,38.1522,25.7646,0,0,1699875690
1,34.8578,25.5688,0,0,1699875690
1,28.862,30.9569,0,0,1699875690
1,29.5191,13.5529,0,0,1699875690
1,36.3565,25.1821,0,0,1699875690
1,33.5555,17.616,0,0,1699875690
1,31.4384,23.2867,0,0,1699875690
1,41.7498,27.8383,0,0,1699875690
1,41.6247,18.969,0,0,1699875690
1,31.8985,10.1721,0,0,1699875690
1,34.6744,9.64726,0,0,1699875690
1,40.37,8.22167,0,0,1699875690
1,39.3324,4.20617,0,0,1699875690
1,38.0873,4.37486,0,0,1699875690
1,37.8501,7.78238,0,0,1699875690
1,41.8877,11.4176,0,0,1699875690
1,48.6123,15.2134,0,0,1699875690
1,53.3927,16.2445,0,0,1699875690
1,58.3282,16.0524,0,0,1699875690
1,56.1861,20.6093,0,0,1699875690
1,47.838,25.1831,0,0,1699875690
1,45.3638,26.5515,0,0,1699875690
1,42.1692,30.3839,0,0,1699875690
1,33.5168,29.2558,0,0,1699875690
1,31.8178,19.4732,0,0,1699875690
1,37.4762,15.2883,0,0,1699875690
1,37.7362,16.8222,0,0,1699875690
1,35.5695,19.3512,0,0,1699875690
1,36.5888,26.9074,0,0,1699875690
1,35.4491,31.194,0,0,1699875690
1,35.6066,24.7392,0,0,1699875690
1,37.2562,15.9124,0,0,1699875690
1,35.4496,11.8914,0,0,1699875690
1,36.0607,9.16481,0,0,1699875690
1,39.2732,5.28875,0,0,1699875690
1,38.3014,6.33048,0,0,1699875690
1,36.9703,12.269,0,0,1699875690
1,40.7178,13.7334,0,0,1699875690
1,41.0818,11.561,0,0,1699875690
1,34.0947,15.0286,0,0,1699875690
1,35.6493,21.8152,0,0,1699875690
1,44.6354,20.4035,0,0,1699875690
