Sample,EIMMagnitude,EIMPhase,JointAngle,Mass,Time
1,21.1568,24.4381,0,0,1699875690
1,27.3707,21.8005,0,0,1699875690
1,30.9807,18.599,0,0,1699875690
1,32.9224,16.6721,0,0,1699875690
1,34.6301,15.635,0,0,1699875690
1,36.1582,15.0972,0,0,1699875690
1,36.7432,14.7654,0,0,1699875690
1,36.2966,14.2193,0,0,1699875690
1,35.5062,14.0316,0,0,1699875690
1,35.0883,14.3859,0,0,1699875690
1,35.0032,14.4827,0,0,1699875690
1,34.7453,14.0874,0,0,1699875690
1,34.5496,13.8645,0,0,1699875690
1,34.794,14.1862,0,0,1699875690
1,35.0867,14.8705,0,0,1699875690
1,34.98,15.6528,0,0,1699875690
1,34.6143,16.1166,0,0,1699875690
1,34.3046,16.0993,0,0,1699875690
1,33.9687,15.8297,0,0,1699875690
1,33.5582,15.3845,0,0,1699875690
1,33.3095,14.9237,0,0,1699875690
1,33.1899,14.9446,0,0,1699875690
1,32.9774,15.4752,0,0,1699875690
1,32.6347,15.8171,0,0,1699875690
1,32.3256,15.7447,0,0,1699875690
1,32.2268,15.6605,0,0,1699875690
1,32.3578,15.5675,0,0,1699875690
1,32.6619,15.2683,0,0,1699875690
1,33.1702,14.8748,0,0,1699875690
1,33.9071,14.5782,0,0,1699875690
1,34.6118,14.3971,0,0,1699875690
1,35.1199,14.2031,0,0,1699875690
1,35.6149,13.9874,0,0,1699875690
1,36.0415,13.9369,0,0,1699875690
1,36.2275,14.0821,0,0,1699875690
1,36.2691,14.2728,0,0,1699875690
1,36.3858,14.4934,0,0,1699875690
1,36.6995,14.8522,0,0,1699875690
1,36.9711,15.3241,0,0,1699875690
1,36.9943,15.7003,0,0,1699875690
1,36.9459,15.8457,0,0,1699875690
1,36.8479,15.8433,0,0,1699875690
1,36.5387,15.8346,0,0,1699875690
1,36.1351,15.8689,0,0,1699875690
1,35.8845,15.9293,0,0,1699875690
1,35.8631,15.9618,0,0,1699875690
1,36.046,15.9002,0,0,1699875690
1,36.3315,15.8098,0,0,1699875690
1,36.5227,15.8067,0,0,1699875690
1,36.5197,15.8214,0,0,1699875690
1,36.4262,15.7791,0,0,1699875690
1,36.4658,15.7785,0,0,1699875690
1,36.6536,15.8231,0,0,1699875690
1,36.753,15.8242,0,0,1699875690
1,36.9048,15.9513,0,0,1699875690
1,37.3101,15.9109,0,0,1699875690
1,37.5655,15.8719,0,0,1699875690
1,37.4647,15.8343,0,0,1699875690
1,37.353,15.7979,0,0,1699875690
1,37.3474,15.7628,0,0,1699875690
1,37.2677,15.7287,0,0,1699875690
1,37.0977,15.9347,0,0,1699875690
1,37.0435,15.929,0,0,1699875690
1,37.5835,16.1223,0,0,1699875690
1,37.8749,16.0848,0,0,1699875690
1,38.1575,16.0485,0,0,1699875690
1,39.0798,16.0133,0,0,1699875690
1,39.3363,15.998,0,0,1699875690
1,39.5855,15.9023,0,0,1699875690
1,40.1247,15.8918,0,0,1699875690
1,40.1053,15.9605,0,0,1699875690
1,40.1027,16.0064,0,0,1699875690
1,39.9683,15.9838,0,0,1699875690
1,39.8838,15.9575,0,0,1699875690
1,40.0857,15.9501,0,0,1699875690
1,40.3841,15.9145,0,0,1699875690
1,40.5125,15.9005,0,0,1699875690
1,40.4958,16.0062,0,0,1699875690
1,40.4384,16.1507,0,0,1699875690
1,40.3854,16.2193,0,0,1699875690
1,40.3428,16.2426,0,0,1699875690
1,40.288,16.2394,0,0,1699875690
1,40.1839,16.2269,0,0,1699875690
1,40.0048,16.3177,0,0,1699875690
1,39.8607,16.2868,0,0,1699875690
1,39.8787,16.4865,0,0,1699875690
1,39.9518,16.64,0,0,1699875690
1,39.9149,16.8309,0,0,1699875690
1,39.7695,16.7956,0,0,1699875690
1,39.5715,16.9411,0,0,1699875690
1,39.3251,17.0006,0,0,1699875690
1,39.0838,16.9305,0,0,1699875690
1,38.9582,16.8639,0,0,1699875690
1,39.1451,16.9486,0,0,1699875690
1,39.328,16.9143,0,0,1699875690
1,39.5072,16.8807,0,0,1699875690
1,39.6826,16.8478,0,0,1699875690
1,39.7842,16.8156,0,0,1699875690
1,39.7658,16.784,0,0,1699875690
1,39.7127,16.8753,0,0,1699875690
1,39.6909,16.8836,0,0,1699875690
1,39.6659,16.8632,0,0,1699875690
1,39.5919,16.8332,0,0,1699875690
1,39.6427,16.879,0,0,1699875690
1,39.9335,16.8486,0,0,1699875690
1,40.1863,16.996,0,0,1699875690
1,40.196,17.029,0,0,1699875690
1,40.1056,17.0757,0,0,1699875690
1,40.0209,17.1419,0,0,1699875690
1,39.9391,17.1203,0,0,1699875690
1,39.8857,17.0306,0,0,1699875690
1,39.8782,16.9396,0,0,1699875690
1,39.874,16.8678,0,0,1699875690
1,39.8304,16.8206,0,0,1699875690
1,39.7809,16.7947,0,0,1699875690
1,39.7579,16.7789,0,0,1699875690
1,39.7598,16.7606,0,0,1699875690
1,39.8407,16.7184,0,0,1699875690
1,39.9874,16.6685,0,0,1699875690
1,40.0348,16.6514,0,0,1699875690
1,39.9712,16.6685,0,0,1699875690
1,39.9271,16.751,0,0,1699875690
1,39.9016,16.7261,0,0,1699875690
1,39.9406,16.7016,0,0,1699875690
1,40.1121,16.7821,0,0,1699875690
