Sample,EIMMagnitude,EIMPhase,JointAngle,Mass,Time
1,11.7232,20.3894,0,0,1699875690
1,16.5723,16.0848,0,0,1699875690
1,22.3167,12.424,0,0,1699875690
1,26.9557,10.1916,0,0,1699875690
1,29.0437,9.70957,0,0,1699875690
1,30.0342,10.3163,0,0,1699875690
1,31.6537,10.6712,0,0,1699875690
1,33.139,10.506,0,0,1699875690
1,33.7305,10.4096,0,0,1699875690
1,33.9734,10.7098,0,0,1699875690
1,33.948,11.1324,0,0,1699875690
1,33.6658,11.1787,0,0,1699875690
1,33.7435,10.7943,0,0,1699875690
1,34.2274,10.3521,0,0,1699875690
1,34.38,10.3166,0,0,1699875690
1,34.0696,10.7362,0,0,1699875690
1,33.9783,10.9641,0,0,1699875690
1,34.2222,10.7224,0,0,1699875690
1,34.4061,10.4629,0,0,1699875690
1,34.7793,10.4672,0,0,1699875690
1,35.7064,10.6916,0,0,1699875690
1,36.608,10.9646,0,0,1699875690
1,36.7996,11.1801,0,0,1699875690
1,36.4641,11.3688,0,0,1699875690
1,36.1235,11.4857,0,0,1699875690
1,36.0377,11.5365,0,0,1699875690
1,36.1362,11.544,0,0,1699875690
1,36.2712,11.4206,0,0,1699875690
1,36.4398,11.202,0,0,1699875690
1,36.7185,11.075,0,0,1699875690
1,37.0577,11.1383,0,0,1699875690
1,37.2135,11.269,0,0,1699875690
1,37.1148,11.2767,0,0,1699875690
1,36.9418,11.1653,0,0,1699875690
1,36.8413,11.0422,0,0,1699875690
1,36.8991,10.9223,0,0,1699875690
1,37.0686,10.7938,0,0,1699875690
1,37.1544,10.6565,0,0,1699875690
1,37.0886,10.5237,0,0,1699875690
1,37.0319,10.4506,0,0,1699875690
1,37.0887,10.4631,0,0,1699875690
1,37.1733,10.5484,0,0,1699875690
1,37.2208,10.6456,0,0,1699875690
1,37.2397,10.7356,0,0,1699875690
1,37.3098,10.8802,0,0,1699875690
1,37.5463,10.9987,0,0,1699875690
1,37.8189,10.9854,0,0,1699875690
1,37.9958,10.9471,0,0,1699875690
1,38.2484,10.9818,0,0,1699875690
1,38.5213,11.0562,0,0,1699875690
1,38.5128,11.1314,0,0,1699875690
1,38.2833,11.1763,0,0,1699875690
1,38.1445,11.167,0,0,1699875690
1,38.2331,11.1029,0,0,1699875690
1,38.4774,11.0481,0,0,1699875690
1,38.7356,11.0671,0,0,1699875690
1,38.8483,11.0799,0,0,1699875690
1,38.7689,11.0416,0,0,1699875690
1,38.6316,11.1512,0,0,1699875690
1,38.5678,11.4887,0,0,1699875690
1,38.5968,11.7773,0,0,1699875690
1,38.6193,11.8723,0,0,1699875690
1,38.5309,11.9088,0,0,1699875690
1,38.3872,11.9218,0,0,1699875690
1,38.3204,11.8873,0,0,1699875690
1,38.3525,11.8689,0,0,1699875690
1,38.3632,11.9067,0,0,1699875690
1,38.236,11.9642,0,0,1699875690
1,38.1284,11.9713,0,0,1699875690
1,38.2971,11.9042,0,0,1699875690
1,38.5855,11.8237,0,0,1699875690
1,38.7373,11.8032,0,0,1699875690
1,38.8342,11.8557,0,0,1699875690
1,38.9532,11.9421,0,0,1699875690
1,39.0925,12.0032,0,0,1699875690
1,39.2683,12.0058,0,0,1699875690
1,39.3748,11.9839,0,0,1699875690
1,39.3281,11.9913,0,0,1699875690
1,39.1968,12.0226,0,0,1699875690
1,39.1176,12.0293,0,0,1699875690
1,39.1714,11.9996,0,0,1699875690
1,39.2611,12.0237,0,0,1699875690
1,39.2375,12.1485,0,0,1699875690
1,39.0863,12.2647,0,0,1699875690
1,38.9144,12.325,0,0,1699875690
1,38.827,12.3606,0,0,1699875690
1,38.8074,12.3579,0,0,1699875690
1,38.8044,12.3475,0,0,1699875690
1,38.8118,12.3568,0,0,1699875690
1,38.852,12.4441,0,0,1699875690
1,38.9794,12.6841,0,0,1699875690
1,39.1148,12.9129,0,0,1699875690
1,39.101,12.9576,0,0,1699875690
1,38.9716,12.9048,0,0,1699875690
1,38.8438,12.8551,0,0,1699875690
1,38.7585,12.8147,0,0,1699875690
1,38.7241,12.7954,0,0,1699875690
1,38.8098,12.8436,0,0,1699875690
1,39.1038,12.9647,0,0,1699875690
1,39.4554,13.0842,0,0,1699875690
1,39.6131,13.1561,0,0,1699875690
1,39.6039,13.1976,0,0,1699875690
1,39.6061,13.2479,0,0,1699875690
1,39.6726,13.3101,0,0,1699875690
1,39.7222,13.36,0,0,1699875690
1,39.6992,13.3982,0,0,1699875690
1,39.6609,13.4012,0,0,1699875690
1,39.6442,13.3567,0,0,1699875690
1,39.6116,13.3064,0,0,1699875690
1,39.5555,13.2682,0,0,1699875690
1,39.5046,13.2311,0,0,1699875690
1,39.4584,13.2007,0,0,1699875690
1,39.426,13.1851,0,0,1699875690
1,39.4649,13.1618,0,0,1699875690
1,39.5494,13.114,0,0,1699875690
1,39.5736,13.058,0,0,1699875690
1,39.5435,13.0445,0,0,1699875690
1,39.5112,13.1329,0,0,1699875690
1,39.4692,13.2628,0,0,1699875690
1,39.443,13.3319,0,0,1699875690
1,39.4504,13.3759,0,0,1699875690
1,39.5041,13.482,0,0,1699875690
1,39.634,13.651,0,0,1699875690
1,39.7527,13.8032,0,0,1699875690
1,39.785,13.8906,0,0,1699875690
1,39.789,13.9363,0,0,1699875690
1,39.7974,13.9547,0,0,1699875690
1,39.7987,13.9327,0,0,1699875690
1,39.7864,13.8686,0,0,1699875690
1,39.7477,13.8064,0,0,1699875690
1,39.7068,13.8198,0,0,1699875690
1,39.7247,13.9329,0,0,1699875690
1,39.7969,14.0785,0,0,1699875690
1,39.87,14.1574,0,0,1699875690
1,39.9547,14.1452,0,0,1699875690
1,40.0456,14.1016,0,0,1699875690
1,40.0776,14.0725,0,0,1699875690
1,40.0665,14.0463,0,0,1699875690
1,40.0582,14.0099,0,0,1699875690
1,40.0192,13.973,0,0,1699875690
1,39.9386,13.9311,0,0,1699875690
1,39.8486,13.8847,0,0,1699875690
1,39.7632,13.8531,0,0,1699875690
1,39.7262,13.8356,0,0,1699875690
1,39.7817,13.8185,0,0,1699875690
1,39.8673,13.8117,0,0,1699875690
1,39.878,13.8229,0,0,1699875690
1,39.8218,13.8275,0,0,1699875690
1,39.8003,13.8242,0,0,1699875690
1,39.8432,13.8393,0,0,1699875690
1,39.8692,13.8543,0,0,1699875690
1,39.8209,13.8947,0,0,1699875690
1,39.7287,14.0177,0,0,1699875690
1,39.6419,14.1258,0,0,1699875690
1,39.5674,14.1237,0,0,1699875690
1,39.4762,14.0762,0,0,1699875690
1,39.373,14.0518,0,0,1699875690
1,39.2971,14.0549,0,0,1699875690
1,39.4226,14.0572,0,0,1699875690
1,39.489,14.0319,0,0,1699875690
1,39.5547,14.0057,0,0,1699875690
1,39.7988,14.018,0,0,1699875690
1,39.8763,14.0419,0,0,1699875690
1,39.8884,14.0418,0,0,1699875690
1,39.8128,14.0396,0,0,1699875690
1,39.7122,14.0339,0,0,1699875690
1,39.6266,14.0014,0,0,1699875690
1,39.5631,13.969,0,0,1699875690
1,39.5213,13.9742,0,0,1699875690
1,39.4777,14.007,0,0,1699875690
1,39.4331,14.0169,0,0,1699875690
1,39.4022,13.9773,0,0,1699875690
1,39.3747,13.9126,0,0,1699875690
1,39.3478,13.8499,0,0,1699875690
1,39.317,13.8042,0,0,1699875690
1,39.2781,13.7926,0,0,1699875690
1,39.2602,13.8057,0,0,1699875690
1,39.2798,13.8055,0,0,1699875690
1,39.3124,13.7824,0,0,1699875690
1,39.3294,13.7566,0,0,1699875690
1,39.3297,13.7376,0,0,1699875690
1,39.3227,13.7232,0,0,1699875690
1,39.3048,13.7116,0,0,1699875690
1,39.2775,13.6949,0,0,1699875690
1,39.2468,13.6649,0,0,1699875690
1,39.2155,13.6277,0,0,1699875690
1,39.1873,13.5869,0,0,1699875690
1,39.1452,13.5563,0,0,1699875690
1,39.0743,13.5602,0,0,1699875690
1,39.0054,13.5779,0,0,1699875690
1,38.9783,13.5774,0,0,1699875690
1,38.9704,13.5554,0,0,1699875690
1,38.9281,13.5251,0,0,1699875690
1,38.8646,13.5157,0,0,1699875690
1,38.8115,13.5269,0,0,1699875690
1,38.753,13.529,0,0,1699875690
1,38.6878,13.5151,0,0,1699875690
1,38.6241,13.4962,0,0,1699875690
1,38.56,13.4851,0,0,1699875690
1,38.5199,13.4888,0,0,1699875690
1,38.5144,13.5003,0,0,1699875690
1,38.5107,13.5117,0,0,1699875690
1,38.493,13.5268,0,0,1699875690
1,38.5081,13.5379,0,0,1699875690
1,38.5822,13.5258,0,0,1699875690
1,38.6444,13.5074,0,0,1699875690
1,38.6451,13.5023,0,0,1699875690
1,38.6203,13.485,0,0,1699875690
1,38.6034,13.442,0,0,1699875690
1,38.6032,13.4067,0,0,1699875690
1,38.6206,13.3989,0,0,1699875690
1,38.636,13.3923,0,0,1699875690
1,38.6233,13.3763,0,0,1699875690
1,38.5798,13.3716,0,0,1699875690
1,38.5191,13.3788,0,0,1699875690
1,38.4605,13.4124,0,0,1699875690
1,38.4367,13.4858,0,0,1699875690
1,38.4728,13.5474,0,0,1699875690
1,38.5448,13.5628,0,0,1699875690
1,38.5801,13.5576,0,0,1699875690
1,38.5475,13.5578,0,0,1699875690
1,38.5002,13.5826,0,0,1699875690
1,38.4747,13.6223,0,0,1699875690
1,38.4541,13.6301,0,0,1699875690
1,38.4321,13.6027,0,0,1699875690
1,38.4068,13.5895,0,0,1699875690
1,38.372,13.6033,0,0,1699875690
1,38.333,13.6085,0,0,1699875690
1,38.3008,13.5833,0,0,1699875690
1,38.2837,13.546,0,0,1699875690
1,38.2704,13.5274,0,0,1699875690
1,38.2546,13.5271,0,0,1699875690
1,38.2599,13.5194,0,0,1699875690
1,38.295,13.5034,0,0,1699875690
1,38.3252,13.5081,0,0,1699875690
1,38.3289,13.5273,0,0,1699875690
1,38.3358,13.5303,0,0,1699875691
1,38.3631,13.5214,0,0,1699875691
1,38.3852,13.5164,0,0,1699875691
1,38.3817,13.5226,0,0,1699875691
1,38.3656,13.5323,0,0,1699875691
1,38.3576,13.5202,0,0,1699875691
1,38.3574,13.4891,0,0,1699875691
1,38.3561,13.4631,0,0,1699875691
1,38.347,13.4493,0,0,1699875691
