[177.76],['1700575296']
[177.69],['1700575297']
[177.6],['1700575297']
[177.58],['1700575297']
[177.53],['1700575297']
[177.49],['1700575297']
[177.55],['1700575297']
[177.52],['1700575297']
[177.63],['1700575297']
[177.61],['1700575297']
[177.63],['1700575297']
[177.65],['1700575297']
[177.55],['1700575297']
[177.65],['1700575297']
[177.62],['1700575297']
[177.53],['1700575297']
[177.49],['1700575298']
[177.5],['1700575298']
[177.6],['1700575298']
[177.55],['1700575298']
[177.39],['1700575298']
[177.15],['1700575298']
[177.11],['1700575298']
[176.84],['1700575298']
[175.87],['1700575298']
[174.63],['1700575298']
[173.01],['1700575298']
[171.26],['1700575298']
[167.93],['1700575298']
[164.15],['1700575298']
[159.66],['1700575298']
[155.55],['1700575299']
[151.1],['1700575299']
[146.15],['1700575299']
[140.18],['1700575299']
[137.],['1700575299']
[131.17],['1700575299']
[125.08],['1700575299']
[119.61],['1700575299']
[110.11],['1700575299']
[103.25],['1700575299']
[96.87],['1700575299']
[93.55],['1700575299']
[87.9],['1700575299']
[84.92],['1700575299']
[78.57],['1700575299']
[70.49],['1700575300']
[62.03],['1700575300']
[55.55],['1700575300']
[50.83],['1700575300']
[48.05],['1700575300']
[45.37],['1700575300']
[43.54],['1700575300']
[42.02],['1700575300']
[40.84],['1700575300']
[40.75],['1700575300']
[40.56],['1700575300']
[40.67],['1700575300']
[40.63],['1700575300']
[40.57],['1700575300']
[40.95],['1700575301']
[41.22],['1700575301']
[41.33],['1700575301']
[41.47],['1700575301']
[41.44],['1700575301']
[41.26],['1700575301']
[41.16],['1700575301']
[41.21],['1700575301']
[41.06],['1700575301']
[40.91],['1700575301']
[40.85],['1700575301']
[40.81],['1700575301']
[40.86],['1700575301']
[40.86],['1700575301']
[41.12],['1700575301']
[44.96],['1700575301']
[50.33],['1700575302']
[59.86],['1700575302']
[70.19],['1700575302']
[75.57],['1700575302']
[81.68],['1700575302']
[91.32],['1700575302']
[98.05],['1700575302']
[105.09],['1700575302']
[110.42],['1700575302']
[117.7],['1700575302']
[123.25],['1700575302']
[129.58],['1700575302']
[132.95],['1700575302']
[134.69],['1700575302']
[138.8],['1700575302']
[141.17],['1700575303']
[144.15],['1700575303']
[147.44],['1700575303']
[151.87],['1700575303']
[154.33],['1700575303']
[156.41],['1700575303']
[158.89],['1700575303']
[161.2],['1700575303']
[164.12],['1700575303']
[166.16],['1700575303']
[168.11],['1700575303']
[169.14],['1700575303']
[171.09],['1700575303']
[172.61],['1700575303']
[173.8],['1700575303']
[174.55],['1700575304']
[175.3],['1700575304']
[175.82],['1700575304']
[176.19],['1700575304']
[176.3],['1700575304']
[176.41],['1700575304']
[176.38],['1700575304']
[176.35],['1700575304']
[176.39],['1700575304']
[176.4],['1700575304']
[176.38],['1700575304']
[176.51],['1700575304']
[176.47],['1700575304']
[176.38],['1700575304']
[176.46],['1700575304']
[176.52],['1700575305']
[176.34],['1700575305']
[176.35],['1700575305']
[176.36],['1700575305']
