Sample,EIMMagnitude,EIMPhase,JointAngle,Mass,Time
1,58.8391,6.46263,0,0,1700575350
1,58.8391,6.46263,0,0,1700575350
1,53.7903,7.4642,0,0,1700575350
1,52.5745,6.89459,0,0,1700575350
1,52.0349,6.69682,0,0,1700575350
1,51.6909,6.30632,0,0,1700575350
1,51.2402,5.79602,0,0,1700575350
1,51.3488,5.41343,0,0,1700575350
1,52.3095,5.05469,0,0,1700575350
1,53.3249,4.68192,0,0,1700575350
1,53.6993,4.47779,0,0,1700575350
1,53.5196,4.54905,0,0,1700575350
1,53.2388,4.7887,0,0,1700575350
1,52.989,4.97294,0,0,1700575350
1,52.5533,5.03583,0,0,1700575350
1,51.9525,5.11272,0,0,1700575350
1,51.5176,5.20826,0,0,1700575350
1,51.4728,5.24795,0,0,1700575350
1,51.6543,5.27565,0,0,1700575350
1,51.8011,5.27782,0,0,1700575350
1,51.9295,5.2434,0,0,1700575350
1,52.0574,5.24388,0,0,1700575351
1,52.0011,5.24094,0,0,1700575351
1,51.7957,5.18112,0,0,1700575351
1,51.8466,5.12615,0,0,1700575351
1,52.2527,5.17636,0,0,1700575351
1,52.5987,5.34487,0,0,1700575351
1,52.6881,5.47238,0,0,1700575351
1,52.7319,5.43657,0,0,1700575351
1,52.8163,5.31025,0,0,1700575351
1,52.8682,5.2397,0,0,1700575351
1,52.9951,5.30451,0,0,1700575351
1,53.2874,5.45783,0,0,1700575351
1,53.5414,5.63671,0,0,1700575351
1,53.5584,5.78903,0,0,1700575351
1,53.4045,5.82499,0,0,1700575351
1,53.2467,5.74342,0,0,1700575351
1,53.1393,5.63694,0,0,1700575351
1,53.1142,5.54658,0,0,1700575351
1,53.224,5.48624,0,0,1700575351
1,53.3491,5.47772,0,0,1700575351
1,53.3621,5.49253,0,0,1700575351
1,53.3363,5.5151,0,0,1700575351
1,53.3523,5.56389,0,0,1700575351
1,53.3771,5.61208,0,0,1700575351
1,53.3719,5.62562,0,0,1700575351
1,53.3583,5.60034,0,0,1700575351
1,53.3333,5.55856,0,0,1700575351
1,53.2531,5.52957,0,0,1700575351
1,53.1095,5.52953,0,0,1700575351
1,52.9421,5.55966,0,0,1700575351
1,52.804,5.57256,0,0,1700575351
1,52.702,5.54244,0,0,1700575351
1,52.6367,5.51019,0,0,1700575351
1,52.621,5.48896,0,0,1700575351
1,52.6258,5.45816,0,0,1700575351
1,52.634,5.42358,0,0,1700575351
1,52.639,5.42176,0,0,1700575351
1,52.6309,5.4799,0,0,1700575351
1,52.636,5.5928,0,0,1700575351
1,52.6382,5.7331,0,0,1700575351
1,52.5948,5.85325,0,0,1700575351
1,52.5283,5.92474,0,0,1700575351
1,52.4854,5.95092,0,0,1700575351
1,52.4924,5.93951,0,0,1700575351
1,52.5208,5.93298,0,0,1700575351
1,52.5175,5.96309,0,0,1700575351
1,52.4778,5.98051,0,0,1700575351
1,52.441,5.96165,0,0,1700575351
1,52.4493,5.94017,0,0,1700575351
1,52.4915,5.91274,0,0,1700575351
1,52.5407,5.87472,0,0,1700575351
1,52.5765,5.86103,0,0,1700575351
1,52.5496,5.88634,0,0,1700575351
1,52.4668,5.91267,0,0,1700575351
1,52.4055,5.90626,0,0,1700575351
1,52.4061,5.87936,0,0,1700575351
1,52.449,5.85658,0,0,1700575351
1,52.4986,5.85125,0,0,1700575351
1,52.5276,5.84883,0,0,1700575351
1,52.5422,5.83989,0,0,1700575351
1,52.5875,5.85148,0,0,1700575351
1,52.6651,5.89858,0,0,1700575351
1,52.7237,5.96446,0,0,1700575351
1,52.7532,6.00609,0,0,1700575351
1,52.774,6.0071,0,0,1700575351
1,52.7702,6.00673,0,0,1700575351
1,52.7112,6.01841,0,0,1700575351
1,52.6148,6.03981,0,0,1700575351
1,52.5278,6.07885,0,0,1700575351
1,52.4581,6.11858,0,0,1700575351
1,52.3741,6.14797,0,0,1700575351
1,52.2641,6.16122,0,0,1700575351
1,52.1584,6.14693,0,0,1700575351
1,52.0799,6.11365,0,0,1700575351
1,52.0227,6.08346,0,0,1700575351
1,51.9796,6.07756,0,0,1700575351
1,51.953,6.08615,0,0,1700575351
1,51.9231,6.08385,0,0,1700575351
1,51.8627,6.07773,0,0,1700575351
1,51.8067,6.07601,0,0,1700575351
1,51.7776,6.06824,0,0,1700575351
1,51.7456,6.05416,0,0,1700575351
1,51.6989,6.04176,0,0,1700575351
1,51.6266,6.02929,0,0,1700575351
1,51.5371,6.01592,0,0,1700575351
1,51.4562,6.02238,0,0,1700575351
1,51.3831,6.07116,0,0,1700575351
1,51.3272,6.13528,0,0,1700575351
1,51.2907,6.15663,0,0,1700575351
1,51.2382,6.12733,0,0,1700575351
1,51.1782,6.08296,0,0,1700575351
1,51.1703,6.04342,0,0,1700575351
1,51.2201,6.01561,0,0,1700575351
1,51.3108,6.00845,0,0,1700575351
1,51.4414,6.02854,0,0,1700575351
1,51.549,6.05972,0,0,1700575351
1,51.5851,6.07371,0,0,1700575351
1,51.5908,6.0744,0,0,1700575351
1,51.6269,6.07276,0,0,1700575351
1,51.7111,6.06521,0,0,1700575351
1,51.7867,6.0587,0,0,1700575351
1,51.8156,6.05645,0,0,1700575351
1,51.823,6.0562,0,0,1700575351
1,51.8002,6.05441,0,0,1700575351
1,51.7515,6.04114,0,0,1700575351
1,51.7308,6.02201,0,0,1700575351
1,51.7362,6.01751,0,0,1700575351
1,51.7338,6.03367,0,0,1700575351
1,51.7264,6.05035,0,0,1700575351
1,51.7128,6.05049,0,0,1700575351
1,51.697,6.03823,0,0,1700575351
1,51.7036,6.0295,0,0,1700575351
1,51.7453,6.03592,0,0,1700575351
1,51.8158,6.04301,0,0,1700575351
1,51.867,6.04927,0,0,1700575351
1,51.8585,6.07485,0,0,1700575351
1,51.8307,6.09915,0,0,1700575351
1,51.841,6.10081,0,0,1700575351
1,51.8879,6.1001,0,0,1700575351
1,51.9305,6.10093,0,0,1700575351
1,51.953,6.09946,0,0,1700575351
1,51.9781,6.11337,0,0,1700575351
1,52.0156,6.13464,0,0,1700575351
1,52.04,6.13865,0,0,1700575351
1,52.0323,6.12772,0,0,1700575351
1,52.0256,6.11531,0,0,1700575351
1,52.0574,6.11023,0,0,1700575351
1,52.1124,6.11463,0,0,1700575351
1,52.1616,6.13515,0,0,1700575351
1,52.1829,6.17539,0,0,1700575351
1,52.1502,6.2031,0,0,1700575351
1,52.0891,6.19739,0,0,1700575351
1,52.0543,6.18136,0,0,1700575351
1,52.0501,6.16366,0,0,1700575351
1,52.065,6.14586,0,0,1700575351
1,52.0719,6.14112,0,0,1700575351
1,52.0428,6.14332,0,0,1700575351
1,52.0116,6.1463,0,0,1700575351
1,52.0131,6.15417,0,0,1700575351
1,52.0419,6.16779,0,0,1700575351
1,52.064,6.19265,0,0,1700575351
1,52.0366,6.22856,0,0,1700575351
1,51.9665,6.26443,0,0,1700575351
1,51.8957,6.29447,0,0,1700575351
1,51.853,6.314,0,0,1700575351
1,51.8394,6.31841,0,0,1700575351
1,51.83,6.32236,0,0,1700575351
1,51.8128,6.34718,0,0,1700575351
1,51.7947,6.38614,0,0,1700575351
1,51.7767,6.41352,0,0,1700575351
1,51.7714,6.41689,0,0,1700575351
1,51.7967,6.41268,0,0,1700575351
1,51.8331,6.42427,0,0,1700575351
1,51.8439,6.43902,0,0,1700575351
1,51.8313,6.43641,0,0,1700575351
1,51.8235,6.42729,0,0,1700575351
1,51.8208,6.42619,0,0,1700575351
1,51.8028,6.43642,0,0,1700575351
1,51.7694,6.45549,0,0,1700575351
1,51.7582,6.47866,0,0,1700575351
1,51.8048,6.50062,0,0,1700575351
1,51.8721,6.51159,0,0,1700575351
1,51.8957,6.50538,0,0,1700575351
1,51.8943,6.49282,0,0,1700575351
1,51.9157,6.49303,0,0,1700575351
1,51.9377,6.49846,0,0,1700575351
1,51.9423,6.48948,0,0,1700575351
1,51.965,6.47305,0,0,1700575351
1,52.0034,6.46203,0,0,1700575351
1,52.0247,6.46307,0,0,1700575351
1,52.0302,6.47705,0,0,1700575351
1,52.0251,6.48494,0,0,1700575351
1,52.0191,6.47954,0,0,1700575351
1,52.0221,6.4826,0,0,1700575351
