Sample,EIMMagnitude,EIMPhase,JointAngle,Mass,Time
1,31.5209,15.0605,0,0,1699875690
1,40.7892,15.0605,0,0,1699875690
1,39.3683,15.0605,0,0,1699875690
1,39.6525,28.6876,0,0,1699875690
1,39.6654,11.7913,0,0,1699875690
1,35.3199,8.01339,0,0,1699875690
1,30.3508,17.4951,0,0,1699875690
1,36.5262,34.0547,0,0,1699875690
1,53.2207,15.0605,0,0,1699875690
1,56.7197,31.2897,0,0,1699875690
1,48.5218,15.1633,0,0,1699875690
1,47.6973,6.54195,0,0,1699875690
1,44.1262,4.44443,0,0,1699875690
1,33.7429,7.59248,0,0,1699875690
1,31.251,10.1778,0,0,1699875690
1,35.1961,8.65676,0,0,1699875690
1,40.6605,5.96678,0,0,1699875690
1,44.1951,4.05051,0,0,1699875690
1,40.3083,3.51735,0,0,1699875690
1,35.7439,5.38218,0,0,1699875690
1,38.4422,7.76356,0,0,1699875690
1,43.7858,7.24641,0,0,1699875690
1,42.4532,4.8923,0,0,1699875690
1,36.6794,3.27458,0,0,1699875690
1,35.5727,3.2202,0,0,1699875690
1,34.9736,4.89598,0,0,1699875690
1,29.5435,7.62088,0,0,1699875690
1,25.4209,10.659,0,0,1699875690
1,24.6224,11.225,0,0,1699875690
1,27.75,15.869,0,0,1699875690
1,34.1448,29.0324,0,0,1699875690
1,36.0787,15.0605,0,0,1699875690
1,34.8589,15.0605,0,0,1699875690
1,43.2807,34.3382,0,0,1699875690
1,60.6557,21.5345,0,0,1699875690
1,72.8998,12.2371,0,0,1699875690
1,74.1077,16.1291,0,0,1699875690
1,67.6573,23.5589,0,0,1699875690
1,55.6447,27.4232,0,0,1699875690
1,39.7888,29.7365,0,0,1699875690
1,26.3771,30.4104,0,0,1699875690
1,39.1324,33.8359,0,0,1699875690
1,80.2776,15.0605,0,0,1699875690
1,48.0133,15.0605,0,0,1699875690
1,86.5416,27.6315,0,0,1699875690
1,63.9254,29.6628,0,0,1699875690
1,38.8965,26.4537,0,0,1699875690
1,25.8145,18.237,0,0,1699875690
1,30.605,14.5943,0,0,1699875690
1,32.6209,11.7067,0,0,1699875690
1,27.9707,8.70312,0,0,1699875690
1,27.6816,11.2125,0,0,1699875690
1,35.7304,20.4033,0,0,1699875690
1,53.0222,27.8412,0,0,1699875690
1,68.6013,29.1737,0,0,1699875690
1,48.0133,27.9377,0,0,1699875690
1,48.0133,24.9442,0,0,1699875690
1,48.0133,25.3828,0,0,1699875690
1,48.0133,29.4119,0,0,1699875690
1,91.7859,25.7854,0,0,1699875690
1,47.201,14.2487,0,0,1699875690
1,30.6576,8.97817,0,0,1699875690
1,42.9239,22.2592,0,0,1699875690
1,88.5113,15.0605,0,0,1699875690
1,48.0133,33.8425,0,0,1699875690
1,48.0133,15.6711,0,0,1699875690
1,76.5426,6.25137,0,0,1699875690
1,48.9874,3.21882,0,0,1699875690
1,52.2673,5.0268,0,0,1699875690
1,51.5404,12.3808,0,0,1699875690
1,50.6604,15.1513,0,0,1699875690
1,44.3302,16.8599,0,0,1699875690
1,37.3761,23.0077,0,0,1699875690
1,37.9131,25.3348,0,0,1699875690
1,38.1014,28.0523,0,0,1699875690
1,33.5366,30.0902,0,0,1699875690
1,31.7788,20.4462,0,0,1699875690
1,33.6865,13.1482,0,0,1699875690
1,35.007,17.5753,0,0,1699875690
1,37.4271,19.2157,0,0,1699875690
1,42.6956,14.7079,0,0,1699875690
1,48.0712,11.5952,0,0,1699875690
1,50.0303,17.6576,0,0,1699875690
1,46.9788,29.7052,0,0,1699875690
1,42.7784,27.9534,0,0,1699875690
1,45.2264,16.2632,0,0,1699875690
1,57.7747,20.0668,0,0,1699875690
1,89.5995,15.0605,0,0,1699875690
1,48.0133,15.0605,0,0,1699875690
1,48.0133,19.6179,0,0,1699875690
1,72.0849,10.7704,0,0,1699875690
1,37.02,13.2997,0,0,1699875690
1,28.4019,15.8662,0,0,1699875690
1,31.9247,18.2888,0,0,1699875690
1,34.0748,16.806,0,0,1699875690
1,39.102,12.1102,0,0,1699875690
1,57.5629,15.4518,0,0,1699875690
1,65.535,21.0247,0,0,1699875690
1,48.0695,16.9805,0,0,1699875690
1,32.5476,12.3913,0,0,1699875690
1,34.496,14.4404,0,0,1699875690
1,41.413,16.5485,0,0,1699875690
1,43.1574,18.6218,0,0,1699875690
1,49.7518,21.5018,0,0,1699875690
1,69.2752,28.2135,0,0,1699875690
1,80.1623,15.0605,0,0,1699875690
1,68.3054,15.0605,0,0,1699875690
1,47.987,30.1572,0,0,1699875690
1,33.2599,28.0443,0,0,1699875690
1,27.4628,32.9561,0,0,1699875690
1,27.7503,34.1609,0,0,1699875690
1,27.8752,25.492,0,0,1699875690
1,25.9435,15.0357,0,0,1699875690
1,27.4019,11.9202,0,0,1699875690
1,31.801,14.8594,0,0,1699875690
1,33.5168,18.3632,0,0,1699875690
1,36.4657,15.1578,0,0,1699875690
1,47.0434,12.6028,0,0,1699875690
1,55.5709,18.7552,0,0,1699875690
1,47.3757,19.5968,0,0,1699875690
1,34.4159,15.7445,0,0,1699875690
1,33.7845,19.5141,0,0,1699875690
1,39.6516,20.1171,0,0,1699875690
1,45.5039,14.9041,0,0,1699875690
1,49.1126,12.9203,0,0,1699875690
1,44.4463,10.6668,0,0,1699875690
1,36.0359,7.84339,0,0,1699875690
1,32.2621,7.93758,0,0,1699875690
1,32.0915,10.1657,0,0,1699875690
1,34.7715,12.1714,0,0,1699875690
1,38.73,9.84278,0,0,1699875690
1,38.9802,7.33778,0,0,1699875690
1,34.9346,12.333,0,0,1699875690
1,30.8701,19.4926,0,0,1699875690
1,33.336,25.2999,0,0,1699875690
1,40.6593,31.2427,0,0,1699875690
1,44.7555,27.1523,0,0,1699875690
1,47.0403,16.1995,0,0,1699875690
1,44.9742,15.7146,0,0,1699875690
1,31.1955,19.4593,0,0,1699875690
1,20.5547,16.5473,0,0,1699875690
1,25.847,12.9272,0,0,1699875690
1,36.6459,13.8651,0,0,1699875690
1,56.8752,15.8913,0,0,1699875690
1,81.4327,13.3173,0,0,1699875690
1,73.9939,9.95136,0,0,1699875690
1,53.1139,11.3588,0,0,1699875690
1,58.2382,14.2917,0,0,1699875690
1,58.7614,15.6073,0,0,1699875690
1,39.2456,14.8107,0,0,1699875690
1,30.2466,12.9369,0,0,1699875690
1,35.1007,13.1528,0,0,1699875690
1,40.9388,14.7002,0,0,1699875690
1,47.4927,14.4111,0,0,1699875690
1,52.8985,12.327,0,0,1699875690
1,51.4368,9.77338,0,0,1699875690
1,47.6976,9.14137,0,0,1699875690
1,46.9827,11.7405,0,0,1699875690
1,42.192,13.6692,0,0,1699875690
1,32.1415,11.2988,0,0,1699875690
1,27.2198,7.23099,0,0,1699875690
1,30.1195,6.48603,0,0,1699875690
1,33.7414,9.80513,0,0,1699875690
1,34.356,14.637,0,0,1699875690
1,34.3874,16.6761,0,0,1699875690
1,35.6822,12.9656,0,0,1699875690
1,35.2783,7.95496,0,0,1699875690
1,33.0169,7.14581,0,0,1699875690
1,31.8107,11.2449,0,0,1699875690
1,33.9904,14.7948,0,0,1699875690
1,40.7801,11.2505,0,0,1699875690
1,46.0511,7.9607,0,0,1699875690
1,44.2233,13.384,0,0,1699875690
1,40.508,21.7317,0,0,1699875690
1,42.0486,25.2179,0,0,1699875690
1,44.0743,19.0951,0,0,1699875690
1,38.8665,8.73305,0,0,1699875690
1,33.5703,5.76566,0,0,1699875690
1,31.8581,7.59782,0,0,1699875690
1,28.0963,7.51119,0,0,1699875690
1,27.8787,6.34307,0,0,1699875690
1,37.0704,5.54909,0,0,1699875690
1,45.2852,5.95095,0,0,1699875690
1,39.321,6.03193,0,0,1699875690
1,26.1755,6.8157,0,0,1699875690
1,22.3346,9.84999,0,0,1699875690
1,29.2867,9.7064,0,0,1699875690
1,37.6307,7.30508,0,0,1699875690
1,41.5619,7.2195,0,0,1699875690
1,44.7541,6.31215,0,0,1699875690
1,46.6882,4.38969,0,0,1699875690
1,42.0937,3.22665,0,0,1699875690
1,39.5339,4.04507,0,0,1699875690
1,42.7,8.0207,0,0,1699875690
1,40.1286,10.689,0,0,1699875690
1,32.4204,9.62481,0,0,1699875690
1,32.7639,7.5699,0,0,1699875690
1,38.432,5.66198,0,0,1699875690
1,36.2139,3.37157,0,0,1699875690
1,32.9796,2.36419,0,0,1699875690
1,38.4841,6.38919,0,0,1699875690
1,41.5412,14.4165,0,0,1699875690
1,34.133,21.7818,0,0,1699875690
1,37.4515,27.0673,0,0,1699875690
1,59.8021,29.9664,0,0,1699875690
1,65.4913,28.0279,0,0,1699875690
1,47.1202,20.4594,0,0,1699875690
1,33.9821,11.3925,0,0,1699875690
1,31.3103,8.47831,0,0,1699875690
1,32.3332,12.7049,0,0,1699875690
1,34.042,16.1913,0,0,1699875690
1,36.4235,16.4902,0,0,1699875690
1,41.9374,13.8877,0,0,1699875690
1,46.2586,9.82706,0,0,1699875690
1,45.61,9.67639,0,0,1699875690
1,43.6902,9.38097,0,0,1699875690
1,45.4462,5.97334,0,0,1699875690
1,44.6186,5.97436,0,0,1699875690
1,36.7455,8.17195,0,0,1699875690
1,37.4248,7.92068,0,0,1699875690
1,47.4568,7.56568,0,0,1699875690
1,45.2502,8.71118,0,0,1699875690
1,35.4157,7.92021,0,0,1699875690
1,35.6924,4.24287,0,0,1699875690
1,42.9465,3.92081,0,0,1699875690
1,45.1856,8.67694,0,0,1699875690
1,37.8816,9.59173,0,0,1699875690
1,31.4788,7.9191,0,0,1699875690
1,33.4786,12.9366,0,0,1699875690
1,35.9395,17.2251,0,0,1699875690
1,34.9889,12.2482,0,0,1699875690
1,35.7509,6.00193,0,0,1699875690
1,39.4576,4.68453,0,0,1699875690
1,38.8271,6.71553,0,0,1699875690
1,32.4717,10.0341,0,0,1699875690
1,33.5822,12.0199,0,0,1699875690
1,44.3825,12.9638,0,0,1699875691
1,51.9198,14.6362,0,0,1699875691
1,53.9988,19.356,0,0,1699875691
1,52.7218,29.906,0,0,1699875691
1,45.2277,15.0605,0,0,1699875691
1,36.4668,24.7877,0,0,1699875691
1,31.3166,17.3644,0,0,1699875691
1,30.4345,28.6355,0,0,1699875691
1,34.6662,33.0549,0,0,1699875691
1,34.2543,18.3326,0,0,1699875691
1,29.7955,6.41459,0,0,1699875691
1,36.984,4.76447,0,0,1699875691
1,45.7677,5.31892,0,0,1699875691
1,40.9804,5.59396,0,0,1699875691
1,33.9532,5.57019,0,0,1699875691
1,32.1718,5.30916,0,0,1699875691
1,31.9713,4.84223,0,0,1699875691
1,32.4932,4.93321,0,0,1699875691
1,34.5399,6.63064,0,0,1699875691
1,40.5209,8.66104,0,0,1699875691
1,43.5749,8.07926,0,0,1699875691
1,37.21,9.05558,0,0,1699875691
1,32.068,14.9473,0,0,1699875691
1,33.1399,15.9805,0,0,1699875691
1,34.5458,10.4114,0,0,1699875691
1,35.0286,6.54989,0,0,1699875691
1,35.3974,5.72457,0,0,1699875691
1,34.7782,7.59229,0,0,1699875691
1,32.5293,8.78801,0,0,1699875691
1,30.7176,6.31042,0,0,1699875691
1,30.8888,4.12244,0,0,1699875691
1,33.519,3.8289,0,0,1699875691
1,38.7175,4.69281,0,0,1699875691
1,42.5682,6.84784,0,0,1699875691
1,44.6337,7.59168,0,0,1699875691
1,50.8755,5.29587,0,0,1699875691
1,54.6013,4.4664,0,0,1699875691
1,42.5008,6.62094,0,0,1699875691
1,26.1662,7.91652,0,0,1699875691
1,22.9688,8.91029,0,0,1699875691
1,25.7464,10.8255,0,0,1699875691
1,26.5764,14.417,0,0,1699875691
1,27.914,20.5589,0,0,1699875691
1,26.6478,23.0784,0,0,1699875691
1,23.378,17.6817,0,0,1699875691
1,25.0748,8.94719,0,0,1699875691
1,30.5427,3.89203,0,0,1699875691
1,37.3494,5.1767,0,0,1699875691
1,44.3373,8.11875,0,0,1699875691
1,45.6494,10.3247,0,0,1699875691
1,41.6879,12.685,0,0,1699875691
1,38.6121,12.7825,0,0,1699875691
1,37.039,11.3445,0,0,1699875691
1,36.1915,10.5953,0,0,1699875691
1,35.6498,9.52934,0,0,1699875691
1,33.1549,8.59417,0,0,1699875691
1,33.2358,8.71397,0,0,1699875691
1,37.6064,8.86801,0,0,1699875691
1,37.3132,7.21026,0,0,1699875691
1,33.8292,6.52468,0,0,1699875691
1,34.5428,10.0567,0,0,1699875691
1,35.4014,11.7553,0,0,1699875691
1,35.3836,8.74652,0,0,1699875691
1,37.7293,8.43181,0,0,1699875691
1,39.8623,11.7832,0,0,1699875691
1,40.6198,12.3293,0,0,1699875691
1,39.9943,12.4304,0,0,1699875691
1,37.3535,14.8908,0,0,1699875691
1,35.6426,13.6512,0,0,1699875691
1,35.8082,10.1075,0,0,1699875691
1,36.7687,10.5167,0,0,1699875691
1,41.922,11.324,0,0,1699875691
1,51.6375,9.68839,0,0,1699875691
1,54.4062,9.9414,0,0,1699875691
1,44.8147,10.9843,0,0,1699875691
1,35.0792,9.11794,0,0,1699875691
1,30.8759,7.74853,0,0,1699875691
1,28.3346,8.9785,0,0,1699875691
1,27.4025,10.5157,0,0,1699875691
1,28.4686,11.5749,0,0,1699875691
1,31.3012,11.7013,0,0,1699875691
1,33.3479,10.3873,0,0,1699875691
1,33.8492,11.9547,0,0,1699875691
1,34.5817,16.9094,0,0,1699875691
1,32.8198,17.8489,0,0,1699875691
1,28.2749,14.9859,0,0,1699875691
1,26.378,14.5857,0,0,1699875691
1,29.7555,17.4374,0,0,1699875691
1,33.9618,17.2014,0,0,1699875691
1,35.78,10.2787,0,0,1699875691
1,37.8082,4.58411,0,0,1699875691
1,39.8825,4.71784,0,0,1699875691
1,38.2429,6.5601,0,0,1699875691
1,38.2686,9.65674,0,0,1699875691
1,45.244,12.8921,0,0,1699875691
1,46.8609,11.3651,0,0,1699875691
1,39.1815,6.70706,0,0,1699875691
1,36.578,6.03684,0,0,1699875691
1,41.5248,11.1928,0,0,1699875691
1,42.2234,15.6636,0,0,1699875691
1,34.2377,14.1022,0,0,1699875691
1,41.6184,10.185,0,0,1699875691
1,70.5831,14.151,0,0,1699875691
1,77.375,28.369,0,0,1699875691
1,55.2268,34.2795,0,0,1699875691
1,37.808,25.3865,0,0,1699875691
1,38.9766,20.7049,0,0,1699875691
1,51.4888,22.9497,0,0,1699875691
1,49.3497,26.7372,0,0,1699875691
1,38.6435,30.8279,0,0,1699875691
1,47.543,27.5933,0,0,1699875691
1,57.5223,20.5131,0,0,1699875691
1,48.9794,14.5366,0,0,1699875691
1,37.4607,8.66081,0,0,1699875691
1,35.3977,7.47596,0,0,1699875691
1,38.2787,9.07718,0,0,1699875691
1,40.1772,8.32331,0,0,1699875691
1,40.0037,7.64363,0,0,1699875691
1,36.5154,8.0779,0,0,1699875691
1,31.9652,7.06207,0,0,1699875691
1,30.5044,5.77695,0,0,1699875691
1,32.0277,7.00886,0,0,1699875691
1,33.1703,8.55353,0,0,1699875691
1,32.5793,7.61955,0,0,1699875691
1,33.7558,5.24071,0,0,1699875691
1,34.0529,5.34676,0,0,1699875691
1,28.3556,8.15278,0,0,1699875691
1,27.91,8.12557,0,0,1699875691
1,38.8468,5.18255,0,0,1699875691
1,43.0267,4.38342,0,0,1699875691
1,34.9228,5.50239,0,0,1699875691
1,35.8266,5.40424,0,0,1699875691
1,47.5145,4.17883,0,0,1699875691
1,50.6932,5.73053,0,0,1699875691
1,45.2333,12.4754,0,0,1699875691
1,36.7481,22.7186,0,0,1699875691
1,26.3611,28.8977,0,0,1699875691
1,24.1596,23.8137,0,0,1699875691
1,30.164,15.5495,0,0,1699875691
1,32.3198,12.0822,0,0,1699875691
1,30.1888,9.5533,0,0,1699875691
1,33.2412,11.281,0,0,1699875691
1,41.2953,18.636,0,0,1699875691
1,50.5076,21.6016,0,0,1699875691
1,66.1487,18.8476,0,0,1699875691
1,78.2688,14.8533,0,0,1699875691
1,69.6566,9.98195,0,0,1699875691
1,50.787,5.74028,0,0,1699875691
1,39.5391,3.1975,0,0,1699875691
1,39.3083,3.87157,0,0,1699875691
1,44.7482,7.5128,0,0,1699875691
1,44.7703,8.85883,0,0,1699875691
1,37.6262,7.79164,0,0,1699875691
1,32.1927,8.81626,0,0,1699875691
1,32.8652,11.9273,0,0,1699875691
1,38.5301,13.6572,0,0,1699875691
1,43.5668,12.9331,0,0,1699875691
1,45.6822,10.4822,0,0,1699875691
1,47.6095,6.91119,0,0,1699875691
1,46.0494,5.80317,0,0,1699875691
1,42.3571,7.21575,0,0,1699875691
1,41.746,9.88387,0,0,1699875691
1,40.6278,15.0838,0,0,1699875691
1,37.6261,15.6283,0,0,1699875691
1,36.1633,9.63817,0,0,1699875691
1,37.9063,8.49227,0,0,1699875691
1,45.0269,16.4141,0,0,1699875691
1,50.8459,28.5309,0,0,1699875691
1,43.2674,34.5632,0,0,1699875691
1,31.2567,27.4358,0,0,1699875691
1,27.772,17.3903,0,0,1699875691
1,29.0853,14.5545,0,0,1699875691
1,32.2562,14.4011,0,0,1699875691
1,32.0208,18.9615,0,0,1699875691
1,28.2609,29.0923,0,0,1699875691
1,32.5192,26.8882,0,0,1699875691
1,40.2415,14.0559,0,0,1699875691
1,41.2019,10.5054,0,0,1699875691
1,36.5997,13.9301,0,0,1699875691
1,30.4148,14.1899,0,0,1699875691
1,31.4641,12.2739,0,0,1699875691
1,40.577,12.1724,0,0,1699875691
1,44.0485,11.2113,0,0,1699875691
1,39.9735,6.19934,0,0,1699875691
1,39.6012,3.08765,0,0,1699875691
1,40.1954,4.41762,0,0,1699875691
1,33.6407,6.24424,0,0,1699875691
1,31.4874,7.20357,0,0,1699875691
1,40.6407,8.76937,0,0,1699875691
1,44.7627,10.2501,0,0,1699875691
1,39.0563,8.3635,0,0,1699875691
1,36.3529,6.20372,0,0,1699875691
1,40.6208,7.73905,0,0,1699875691
1,48.8105,8.1665,0,0,1699875691
1,54.0403,6.1264,0,0,1699875691
1,49.4065,6.26212,0,0,1699875691
1,42.6113,7.63803,0,0,1699875691
1,40.8556,8.64036,0,0,1699875691
1,39.6631,12.5272,0,0,1699875691
