Sample,EIMMagnitude,EIMPhase,JointAngle,Mass,Time
1,49.1699,37.1971,0,0,1699875690
1,56.4728,36.8046,0,0,1699875690
1,53.3731,31.2888,0,0,1699875690
1,48.8036,26.5002,0,0,1699875690
1,46.9041,23.1755,0,0,1699875690
1,46.2068,20.4353,0,0,1699875690
1,45.2437,18.5322,0,0,1699875690
1,43.6523,17.24,0,0,1699875690
1,42.1879,16.2626,0,0,1699875690
1,41.7374,15.6482,0,0,1699875690
1,41.8262,15.1191,0,0,1699875690
1,41.7011,14.3982,0,0,1699875690
1,41.4566,13.5866,0,0,1699875690
1,41.2934,12.9797,0,0,1699875690
1,41.0804,12.7133,0,0,1699875690
1,40.7605,12.4803,0,0,1699875690
1,40.668,12.0288,0,0,1699875690
1,40.8737,11.5384,0,0,1699875690
1,40.9357,11.1866,0,0,1699875690
1,40.7569,11.0548,0,0,1699875690
1,40.5187,11.1405,0,0,1699875690
1,40.2427,11.1439,0,0,1699875690
1,40.0036,10.9489,0,0,1699875690
1,39.84,10.8056,0,0,1699875690
1,39.7196,10.7366,0,0,1699875690
1,39.7045,10.5901,0,0,1699875690
1,39.7313,10.3555,0,0,1699875690
1,39.6421,10.0888,0,0,1699875690
1,39.4105,9.85648,0,0,1699875690
1,39.1062,9.6897,0,0,1699875690
1,38.8496,9.5629,0,0,1699875690
1,38.6747,9.42476,0,0,1699875690
1,38.5231,9.24999,0,0,1699875690
1,38.3565,9.12035,0,0,1699875690
1,38.1292,9.10852,0,0,1699875690
1,37.8519,9.10675,0,0,1699875690
1,37.5779,9.00076,0,0,1699875690
1,37.2882,8.8735,0,0,1699875690
1,36.9948,8.86673,0,0,1699875690
1,36.8111,8.99881,0,0,1699875690
1,36.7732,9.16622,0,0,1699875690
1,36.7358,9.29821,0,0,1699875690
1,36.5914,9.40156,0,0,1699875690
1,36.4305,9.45418,0,0,1699875690
1,36.3775,9.43312,0,0,1699875690
1,36.3565,9.38466,0,0,1699875690
1,36.1892,9.38225,0,0,1699875690
1,36.0124,9.41704,0,0,1699875690
1,36.0936,9.40038,0,0,1699875690
1,36.3598,9.30236,0,0,1699875690
1,36.6068,9.18986,0,0,1699875690
1,36.7507,9.119,0,0,1699875690
1,36.8635,9.091,0,0,1699875690
1,37.0693,9.10068,0,0,1699875690
1,37.3058,9.1535,0,0,1699875690
1,37.44,9.26212,0,0,1699875690
1,37.4228,9.45775,0,0,1699875690
1,37.2959,9.73136,0,0,1699875690
1,37.2391,9.95009,0,0,1699875690
1,37.3484,10.0245,0,0,1699875690
1,37.4827,10.0604,0,0,1699875690
1,37.5229,10.1156,0,0,1699875690
1,37.4886,10.1293,0,0,1699875690
1,37.4227,10.113,0,0,1699875690
1,37.3605,10.1175,0,0,1699875690
1,37.3248,10.1719,0,0,1699875690
1,37.3198,10.265,0,0,1699875690
1,37.3123,10.3113,0,0,1699875690
1,37.3017,10.2701,0,0,1699875690
1,37.3319,10.1951,0,0,1699875690
1,37.3371,10.1312,0,0,1699875690
1,37.2842,10.098,0,0,1699875690
1,37.2858,10.0833,0,0,1699875690
1,37.3436,10.0505,0,0,1699875690
1,37.391,10.0099,0,0,1699875690
1,37.4356,9.98381,0,0,1699875690
1,37.4694,9.94043,0,0,1699875690
1,37.4858,9.85964,0,0,1699875690
1,37.4802,9.78848,0,0,1699875690
1,37.4537,9.76227,0,0,1699875690
1,37.4333,9.76228,0,0,1699875690
1,37.4002,9.75716,0,0,1699875690
1,37.3387,9.72818,0,0,1699875690
1,37.2808,9.69836,0,0,1699875690
1,37.2688,9.69472,0,0,1699875690
1,37.292,9.70807,0,0,1699875690
1,37.2816,9.73839,0,0,1699875690
1,37.2412,9.76989,0,0,1699875690
1,37.2056,9.78876,0,0,1699875690
1,37.1555,9.84854,0,0,1699875690
1,37.1067,9.94907,0,0,1699875690
1,37.1107,10.0057,0,0,1699875690
1,37.1488,10.0006,0,0,1699875690
1,37.1487,9.96751,0,0,1699875690
1,37.1025,9.92807,0,0,1699875690
1,37.0345,9.92145,0,0,1699875690
1,36.927,9.98775,0,0,1699875690
1,36.7982,10.1112,0,0,1699875690
1,36.7366,10.2007,0,0,1699875690
1,36.7771,10.2118,0,0,1699875690
1,36.8167,10.2145,0,0,1699875690
1,36.7895,10.2411,0,0,1699875690
1,36.759,10.2626,0,0,1699875690
1,36.7552,10.2834,0,0,1699875690
1,36.7451,10.3137,0,0,1699875690
1,36.7031,10.3514,0,0,1699875690
1,36.6439,10.4172,0,0,1699875690
1,36.6179,10.5275,0,0,1699875690
1,36.6288,10.6383,0,0,1699875690
1,36.6702,10.7198,0,0,1699875690
1,36.7641,10.8188,0,0,1699875690
1,36.8444,10.9774,0,0,1699875690
1,36.8326,11.1803,0,0,1699875690
1,36.772,11.3539,0,0,1699875690
1,36.7416,11.4282,0,0,1699875690
1,36.7545,11.4317,0,0,1699875690
1,36.8078,11.4463,0,0,1699875690
1,36.9437,11.4929,0,0,1699875690
1,37.1105,11.5376,0,0,1699875690
1,37.1649,11.573,0,0,1699875690
1,37.103,11.595,0,0,1699875690
1,37.0214,11.5951,0,0,1699875690
1,36.9658,11.5913,0,0,1699875690
1,36.9434,11.604,0,0,1699875690
1,36.9601,11.6405,0,0,1699875690
1,37.0111,11.6583,0,0,1699875690
1,37.0529,11.6256,0,0,1699875690
1,37.0507,11.5765,0,0,1699875690
1,37.0334,11.5235,0,0,1699875690
1,37.0294,11.4761,0,0,1699875690
1,37.0313,11.463,0,0,1699875690
1,37.0567,11.4832,0,0,1699875690
1,37.1005,11.5224,0,0,1699875690
1,37.0976,11.5632,0,0,1699875690
1,37.0489,11.5967,0,0,1699875690
1,37.0025,11.6147,0,0,1699875690
1,36.9352,11.5967,0,0,1699875690
1,36.8494,11.5614,0,0,1699875690
1,36.8209,11.543,0,0,1699875690
1,36.8674,11.5513,0,0,1699875690
1,36.9321,11.586,0,0,1699875690
1,36.9701,11.6306,0,0,1699875690
1,36.9783,11.6657,0,0,1699875690
1,36.9733,11.6837,0,0,1699875690
1,36.9768,11.687,0,0,1699875690
1,37.004,11.6768,0,0,1699875690
1,37.0521,11.6598,0,0,1699875690
1,37.1481,11.6526,0,0,1699875690
1,37.3089,11.6465,0,0,1699875690
1,37.4592,11.6313,0,0,1699875690
1,37.5281,11.6415,0,0,1699875690
1,37.5063,11.7015,0,0,1699875690
1,37.4016,11.773,0,0,1699875690
1,37.2785,11.8168,0,0,1699875690
1,37.2034,11.8457,0,0,1699875690
1,37.1511,11.8716,0,0,1699875690
1,37.1001,11.8882,0,0,1699875690
1,37.0673,11.9043,0,0,1699875690
1,37.0459,11.9287,0,0,1699875690
1,37.0391,11.9581,0,0,1699875690
1,37.0441,12.0037,0,0,1699875690
1,37.0368,12.0751,0,0,1699875690
1,37.0216,12.1464,0,0,1699875690
1,37.0082,12.1988,0,0,1699875690
1,36.9855,12.2429,0,0,1699875690
1,36.945,12.2685,0,0,1699875690
1,36.8927,12.2714,0,0,1699875690
1,36.8519,12.2722,0,0,1699875690
1,36.8629,12.2666,0,0,1699875690
1,36.9359,12.246,0,0,1699875690
1,37.0067,12.2205,0,0,1699875690
1,37.0216,12.2077,0,0,1699875690
1,37.0194,12.211,0,0,1699875690
1,37.0465,12.212,0,0,1699875690
1,37.0775,12.2154,0,0,1699875690
1,37.088,12.227,0,0,1699875690
1,37.0889,12.2552,0,0,1699875690
1,37.0779,12.3254,0,0,1699875690
1,37.0637,12.4139,0,0,1699875690
1,37.085,12.4786,0,0,1699875690
1,37.1509,12.501,0,0,1699875690
1,37.2093,12.4849,0,0,1699875690
1,37.2067,12.4618,0,0,1699875690
1,37.1577,12.4437,0,0,1699875690
1,37.1117,12.4264,0,0,1699875690
1,37.094,12.4245,0,0,1699875690
1,37.1103,12.4554,0,0,1699875690
1,37.1368,12.4992,0,0,1699875690
1,37.1406,12.5093,0,0,1699875690
1,37.1291,12.4853,0,0,1699875690
1,37.1247,12.4578,0,0,1699875690
1,37.142,12.4287,0,0,1699875690
1,37.172,12.3872,0,0,1699875690
1,37.1741,12.345,0,0,1699875690
1,37.1447,12.3232,0,0,1699875690
1,37.1226,12.3244,0,0,1699875690
1,37.1223,12.3336,0,0,1699875690
1,37.1206,12.3335,0,0,1699875690
1,37.1046,12.3294,0,0,1699875690
1,37.0932,12.3338,0,0,1699875690
1,37.0863,12.3452,0,0,1699875690
1,37.0687,12.3654,0,0,1699875690
1,37.0472,12.3878,0,0,1699875690
1,37.0292,12.4008,0,0,1699875690
1,37.0253,12.3991,0,0,1699875690
1,37.0462,12.3824,0,0,1699875690
1,37.0653,12.3559,0,0,1699875690
1,37.0725,12.3215,0,0,1699875690
1,37.1206,12.2917,0,0,1699875690
1,37.2141,12.2788,0,0,1699875690
1,37.3006,12.2945,0,0,1699875690
1,37.3809,12.3458,0,0,1699875690
1,37.4359,12.3828,0,0,1699875690
1,37.4204,12.3642,0,0,1699875690
1,37.3725,12.3263,0,0,1699875690
1,37.3362,12.3071,0,0,1699875690
1,37.3368,12.3173,0,0,1699875690
1,37.389,12.3548,0,0,1699875690
1,37.4304,12.3847,0,0,1699875690
1,37.4332,12.3802,0,0,1699875690
1,37.4449,12.3552,0,0,1699875690
1,37.4563,12.3245,0,0,1699875690
1,37.4343,12.2937,0,0,1699875690
1,37.3936,12.2675,0,0,1699875690
1,37.3525,12.2412,0,0,1699875690
1,37.3229,12.2157,0,0,1699875690
1,37.3185,12.1957,0,0,1699875690
1,37.3265,12.1784,0,0,1699875690
1,37.3153,12.1666,0,0,1699875690
1,37.274,12.159,0,0,1699875690
1,37.2276,12.1489,0,0,1699875690
1,37.2129,12.1462,0,0,1699875690
1,37.2321,12.1526,0,0,1699875690
1,37.2559,12.1539,0,0,1699875690
1,37.2729,12.1478,0,0,1699875690
1,37.2962,12.1417,0,0,1699875690
1,37.3296,12.1382,0,0,1699875691
1,37.3547,12.1301,0,0,1699875691
1,37.3679,12.1136,0,0,1699875691
1,37.3742,12.0922,0,0,1699875691
1,37.3545,12.0676,0,0,1699875691
1,37.3143,12.0589,0,0,1699875691
1,37.2862,12.0849,0,0,1699875691
1,37.2661,12.1158,0,0,1699875691
1,37.2352,12.1328,0,0,1699875691
1,37.2228,12.1681,0,0,1699875691
1,37.2708,12.2319,0,0,1699875691
1,37.339,12.2912,0,0,1699875691
1,37.3575,12.321,0,0,1699875691
1,37.3414,12.3406,0,0,1699875691
1,37.3527,12.3772,0,0,1699875691
1,37.3939,12.4179,0,0,1699875691
1,37.4178,12.4483,0,0,1699875691
1,37.4179,12.4745,0,0,1699875691
1,37.4228,12.4919,0,0,1699875691
1,37.4345,12.5014,0,0,1699875691
1,37.4315,12.5147,0,0,1699875691
1,37.4101,12.5207,0,0,1699875691
1,37.3959,12.5143,0,0,1699875691
1,37.4032,12.514,0,0,1699875691
1,37.4167,12.5274,0,0,1699875691
1,37.4115,12.5627,0,0,1699875691
1,37.3972,12.6231,0,0,1699875691
1,37.4167,12.6722,0,0,1699875691
1,37.4605,12.6762,0,0,1699875691
1,37.4793,12.648,0,0,1699875691
1,37.4794,12.6112,0,0,1699875691
1,37.4942,12.5758,0,0,1699875691
1,37.5091,12.5492,0,0,1699875691
1,37.4946,12.5339,0,0,1699875691
1,37.4595,12.5222,0,0,1699875691
1,37.4325,12.5066,0,0,1699875691
1,37.4192,12.4879,0,0,1699875691
1,37.4201,12.4832,0,0,1699875691
1,37.4484,12.5076,0,0,1699875691
1,37.4798,12.5419,0,0,1699875691
1,37.4827,12.5626,0,0,1699875691
1,37.48,12.5685,0,0,1699875691
1,37.5009,12.5585,0,0,1699875691
1,37.5379,12.5455,0,0,1699875691
1,37.5633,12.5431,0,0,1699875691
1,37.5685,12.5371,0,0,1699875691
1,37.5616,12.5166,0,0,1699875691
1,37.5415,12.4864,0,0,1699875691
1,37.519,12.4539,0,0,1699875691
1,37.5095,12.425,0,0,1699875691
1,37.5062,12.4028,0,0,1699875691
1,37.4907,12.385,0,0,1699875691
1,37.4639,12.3652,0,0,1699875691
1,37.4635,12.3455,0,0,1699875691
1,37.4977,12.3362,0,0,1699875691
1,37.5187,12.3306,0,0,1699875691
1,37.5066,12.3206,0,0,1699875691
1,37.4915,12.3119,0,0,1699875691
1,37.4924,12.3057,0,0,1699875691
1,37.4958,12.2984,0,0,1699875691
1,37.4918,12.2853,0,0,1699875691
1,37.4924,12.2645,0,0,1699875691
1,37.4981,12.2399,0,0,1699875691
1,37.4946,12.2133,0,0,1699875691
1,37.4799,12.195,0,0,1699875691
1,37.4662,12.1992,0,0,1699875691
1,37.465,12.2111,0,0,1699875691
1,37.4741,12.2061,0,0,1699875691
1,37.4797,12.189,0,0,1699875691
1,37.4844,12.1728,0,0,1699875691
1,37.4942,12.1655,0,0,1699875691
1,37.4903,12.1739,0,0,1699875691
1,37.4713,12.192,0,0,1699875691
1,37.4813,12.2205,0,0,1699875691
1,37.5474,12.2604,0,0,1699875691
1,37.6296,12.29,0,0,1699875691
1,37.6822,12.3028,0,0,1699875691
1,37.7127,12.3252,0,0,1699875691
1,37.7291,12.3708,0,0,1699875691
1,37.7133,12.4131,0,0,1699875691
1,37.6896,12.4337,0,0,1699875691
1,37.7092,12.4476,0,0,1699875691
1,37.7513,12.466,0,0,1699875691
1,37.7604,12.4875,0,0,1699875691
1,37.7429,12.5018,0,0,1699875691
1,37.734,12.4995,0,0,1699875691
1,37.7314,12.4863,0,0,1699875691
1,37.7184,12.4756,0,0,1699875691
1,37.7031,12.4718,0,0,1699875691
1,37.695,12.4665,0,0,1699875691
1,37.6863,12.4602,0,0,1699875691
1,37.6738,12.4594,0,0,1699875691
1,37.6637,12.465,0,0,1699875691
1,37.6527,12.4749,0,0,1699875691
1,37.6351,12.4763,0,0,1699875691
1,37.6191,12.4681,0,0,1699875691
1,37.6199,12.4632,0,0,1699875691
1,37.6348,12.4584,0,0,1699875691
1,37.6429,12.4466,0,0,1699875691
1,37.6381,12.4338,0,0,1699875691
1,37.6297,12.4237,0,0,1699875691
1,37.6231,12.4133,0,0,1699875691
1,37.6228,12.4019,0,0,1699875691
1,37.6249,12.3947,0,0,1699875691
1,37.6249,12.3918,0,0,1699875691
1,37.6202,12.39,0,0,1699875691
1,37.5991,12.3935,0,0,1699875691
1,37.5683,12.3989,0,0,1699875691
1,37.5445,12.4016,0,0,1699875691
1,37.5193,12.4293,0,0,1699875691
1,37.4791,12.4882,0,0,1699875691
1,37.4318,12.5286,0,0,1699875691
1,37.4127,12.542,0,0,1699875691
1,37.4573,12.5634,0,0,1699875691
1,37.5373,12.5837,0,0,1699875691
1,37.5853,12.5857,0,0,1699875691
