Sample,EIMMagnitude,EIMPhase,JointAngle,Mass,Time
1,82.017,4.71558,0,0,1700575705
1,82.017,4.71558,0,0,1700575705
1,64.9076,4.71558,0,0,1700575705
1,75.4333,1.24321,0,0,1700575705
1,77.6653,0.86924,0,0,1700575705
1,78.0351,1.13827,0,0,1700575705
1,78.7775,2.92612,0,0,1700575705
1,81.8941,4.3363,0,0,1700575705
1,83.5537,4.02273,0,0,1700575705
1,82.5069,4.64039,0,0,1700575705
1,81.4232,6.22341,0,0,1700575705
1,79.3433,5.77458,0,0,1700575705
1,78.2166,4.47612,0,0,1700575705
1,81.946,4.31497,0,0,1700575705
1,86.3172,5.64716,0,0,1700575705
1,89.8743,7.17105,0,0,1700575705
1,91.605,5.48778,0,0,1700575705
1,86.6569,2.91516,0,0,1700575705
1,83.639,3.60455,0,0,1700575705
1,88.0711,4.58224,0,0,1700575705
1,90.1341,4.11914,0,0,1700575705
1,89.3611,5.57587,0,0,1700575705
1,89.1794,7.92566,0,0,1700575705
1,83.6406,6.88408,0,0,1700575705
1,75.9882,3.84717,0,0,1700575705
1,75.1515,2.15986,0,0,1700575705
1,78.5103,1.93772,0,0,1700575705
1,81.0535,2.70969,0,0,1700575705
1,82.4412,3.97037,0,0,1700575705
1,85.1224,5.78706,0,0,1700575705
1,88.9951,7.97794,0,0,1700575705
1,89.8583,8.15259,0,0,1700575705
1,89.5417,5.74686,0,0,1700575705
1,88.237,3.03247,0,0,1700575705
1,81.8151,2.42831,0,0,1700575705
1,76.3527,4.52385,0,0,1700575705
1,76.3802,5.57122,0,0,1700575705
1,76.2575,4.03285,0,0,1700575705
1,75.0182,3.65134,0,0,1700575705
1,75.1872,4.85768,0,0,1700575705
1,77.2016,5.36508,0,0,1700575705
1,84.2722,5.32119,0,0,1700575705
1,91.1479,5.19678,0,0,1700575705
1,90.0578,4.23492,0,0,1700575705
1,87.8948,3.68504,0,0,1700575705
1,86.9279,4.68607,0,0,1700575705
1,82.5763,4.34232,0,0,1700575705
1,79.1387,2.38911,0,0,1700575705
1,80.6761,2.54088,0,0,1700575705
1,83.9689,5.05124,0,0,1700575705
1,82.674,6.74326,0,0,1700575705
1,77.131,6.30035,0,0,1700575705
1,73.7979,5.65575,0,0,1700575705
1,74.8587,6.26047,0,0,1700575705
1,78.8626,7.4095,0,0,1700575705
1,82.3115,7.28636,0,0,1700575705
1,84.5351,4.92572,0,0,1700575705
1,87.5159,3.3608,0,0,1700575705
1,87.0434,4.28564,0,0,1700575705
1,80.5308,4.07294,0,0,1700575705
1,76.9968,2.35599,0,0,1700575705
1,81.416,1.84805,0,0,1700575705
1,84.6986,1.98733,0,0,1700575705
1,82.7994,2.22748,0,0,1700575705
1,80.8588,2.909,0,0,1700575705
1,79.5438,4.25411,0,0,1700575705
1,78.9226,6.38454,0,0,1700575705
1,79.3748,6.87275,0,0,1700575705
1,80.0665,5.29422,0,0,1700575705
1,81.4285,4.71636,0,0,1700575705
1,79.5518,4.65702,0,0,1700575705
1,75.2228,3.31544,0,0,1700575705
1,76.4151,3.25707,0,0,1700575705
1,80.1198,5.09575,0,0,1700575705
1,79.0555,5.65693,0,0,1700575705
1,76.3224,4.92131,0,0,1700575705
1,76.9048,3.71709,0,0,1700575705
1,81.0761,2.24045,0,0,1700575705
1,83.9068,2.28541,0,0,1700575705
1,80.223,4.05046,0,0,1700575705
1,75.1077,5.78531,0,0,1700575705
1,75.1092,6.53984,0,0,1700575705
1,77.3089,7.18555,0,0,1700575705
1,78.8385,7.51294,0,0,1700575705
1,77.8272,5.79972,0,0,1700575705
1,73.4241,3.18664,0,0,1700575705
1,71.8379,1.69725,0,0,1700575705
1,75.5279,1.52148,0,0,1700575705
1,79.3633,2.22851,0,0,1700575705
1,81.858,4.3574,0,0,1700575705
1,84.6273,6.86451,0,0,1700575705
1,87.4297,6.35416,0,0,1700575705
1,87.9092,4.57945,0,0,1700575705
1,83.3267,4.49346,0,0,1700575705
1,77.3209,4.85005,0,0,1700575705
1,76.5117,5.5181,0,0,1700575705
1,78.7916,5.39339,0,0,1700575705
1,79.8455,3.51701,0,0,1700575705
1,82.0008,2.45488,0,0,1700575705
1,87.2452,3.85333,0,0,1700575705
1,92.5281,6.23565,0,0,1700575705
1,91.8708,6.01496,0,0,1700575705
