Sample,EIMMagnitude,EIMPhase,JointAngle,Mass,Time
1,64.609,5.63749,0,0,1700575771
1,51.1303,5.63749,0,0,1700575772
1,53.7845,7.58949,0,0,1700575772
1,56.1612,7.78508,0,0,1700575772
1,56.0718,8.77863,0,0,1700575772
1,55.1615,8.25511,0,0,1700575772
1,54.3371,7.88116,0,0,1700575772
1,53.2243,8.01873,0,0,1700575772
1,51.7914,7.75981,0,0,1700575772
1,50.613,7.42502,0,0,1700575772
1,49.983,7.26315,0,0,1700575772
1,49.7657,7.29025,0,0,1700575772
1,49.6494,7.32718,0,0,1700575772
1,49.3721,7.52283,0,0,1700575772
1,48.9714,7.39714,0,0,1700575772
1,48.7191,7.28716,0,0,1700575772
1,48.709,7.61138,0,0,1700575772
1,48.6477,7.58182,0,0,1700575772
1,48.394,7.46542,0,0,1700575772
1,48.301,7.4147,0,0,1700575772
1,48.5214,7.46118,0,0,1700575772
1,48.8094,7.54544,0,0,1700575772
1,48.9933,7.53778,0,0,1700575772
1,48.9909,7.44683,0,0,1700575772
1,48.8141,7.33436,0,0,1700575772
1,48.7053,7.21165,0,0,1700575772
1,48.8072,7.16822,0,0,1700575772
1,48.9521,7.30037,0,0,1700575772
1,49.0125,7.24303,0,0,1700575772
1,48.9836,7.44047,0,0,1700575772
1,48.8323,7.58757,0,0,1700575772
1,48.6003,7.67804,0,0,1700575772
1,48.3999,7.69724,0,0,1700575772
1,48.333,7.65268,0,0,1700575772
1,48.4872,7.53645,0,0,1700575772
1,48.7812,7.39674,0,0,1700575772
1,49.0052,7.30112,0,0,1700575772
1,49.1406,7.27457,0,0,1700575772
1,49.2515,7.32501,0,0,1700575772
1,49.3424,7.37993,0,0,1700575772
1,49.4737,7.37473,0,0,1700575772
1,49.6342,7.38079,0,0,1700575772
1,49.7692,7.47365,0,0,1700575772
1,49.8796,7.58265,0,0,1700575772
1,49.9135,7.57982,0,0,1700575772
1,49.8436,7.46631,0,0,1700575772
1,49.7225,7.34589,0,0,1700575772
1,49.5786,7.27482,0,0,1700575772
1,49.4296,7.25328,0,0,1700575772
1,49.3058,7.25531,0,0,1700575772
1,49.2191,7.23868,0,0,1700575772
1,49.1733,7.19544,0,0,1700575772
1,49.1403,7.14297,0,0,1700575772
1,49.0698,7.09279,0,0,1700575772
1,48.9474,7.06011,0,0,1700575772
1,48.7837,7.03154,0,0,1700575772
1,48.6216,6.98604,0,0,1700575772
1,48.5382,6.93021,0,0,1700575772
1,48.5479,6.87801,0,0,1700575772
1,48.5911,6.85561,0,0,1700575772
1,48.6089,6.85341,0,0,1700575772
1,48.5795,6.81418,0,0,1700575772
1,48.5331,6.72819,0,0,1700575772
1,48.4953,6.64485,0,0,1700575772
1,48.4808,6.60066,0,0,1700575772
1,48.5648,6.60409,0,0,1700575772
1,48.7644,6.6556,0,0,1700575772
1,48.9481,6.72531,0,0,1700575772
1,49.0319,6.76114,0,0,1700575772
1,49.0302,6.74738,0,0,1700575772
1,48.9435,6.70533,0,0,1700575772
1,48.8243,6.67305,0,0,1700575772
1,48.7543,6.69199,0,0,1700575772
1,48.7418,6.74585,0,0,1700575772
1,48.761,6.76396,0,0,1700575772
1,48.7801,6.72228,0,0,1700575772
1,48.7893,6.67622,0,0,1700575772
1,48.8263,6.6705,0,0,1700575772
1,48.9103,6.67828,0,0,1700575772
1,48.9943,6.66391,0,0,1700575772
1,49.0214,6.63254,0,0,1700575772
1,49.0206,6.59711,0,0,1700575772
1,49.0486,6.55826,0,0,1700575772
1,49.0937,6.52222,0,0,1700575772
1,49.1386,6.4973,0,0,1700575772
1,49.162,6.47873,0,0,1700575772
1,49.1646,6.47391,0,0,1700575772
1,49.195,6.4899,0,0,1700575772
1,49.2306,6.52344,0,0,1700575772
1,49.2502,6.58752,0,0,1700575772
1,49.2895,6.57708,0,0,1700575772
1,49.3167,6.64811,0,0,1700575772
1,49.2755,6.69501,0,0,1700575772
1,49.1915,6.71591,0,0,1700575772
1,49.13,6.71972,0,0,1700575772
1,49.0912,6.70776,0,0,1700575772
1,49.0442,6.68838,0,0,1700575772
1,49.0134,6.68757,0,0,1700575772
1,49.0304,6.69395,0,0,1700575772
1,49.0779,6.67809,0,0,1700575772
1,49.1284,6.64693,0,0,1700575772
1,49.186,6.61648,0,0,1700575772
1,49.2561,6.58807,0,0,1700575772
1,49.306,6.56736,0,0,1700575772
1,49.3031,6.56064,0,0,1700575772
1,49.2674,6.57367,0,0,1700575772
1,49.2574,6.60381,0,0,1700575772
1,49.3082,6.62637,0,0,1700575772
1,49.3862,6.62613,0,0,1700575772
1,49.4238,6.60811,0,0,1700575772
1,49.41,6.5838,0,0,1700575772
1,49.386,6.56369,0,0,1700575772
1,49.3566,6.55643,0,0,1700575772
1,49.2941,6.57122,0,0,1700575772
1,49.2187,6.59487,0,0,1700575772
1,49.1784,6.60324,0,0,1700575772
1,49.1777,6.59484,0,0,1700575772
1,49.2072,6.58494,0,0,1700575772
1,49.2421,6.58749,0,0,1700575772
1,49.2487,6.59685,0,0,1700575772
1,49.2506,6.60652,0,0,1700575772
1,49.2727,6.62342,0,0,1700575772
1,49.2869,6.64469,0,0,1700575772
1,49.2788,6.66364,0,0,1700575772
1,49.2774,6.66935,0,0,1700575772
1,49.2872,6.64748,0,0,1700575772
1,49.2776,6.61038,0,0,1700575772
1,49.2587,6.59716,0,0,1700575772
1,49.2718,6.62605,0,0,1700575772
1,49.3215,6.66767,0,0,1700575772
1,49.3664,6.69223,0,0,1700575772
1,49.3773,6.70873,0,0,1700575772
1,49.3676,6.73992,0,0,1700575772
1,49.349,6.78107,0,0,1700575772
1,49.315,6.79895,0,0,1700575772
1,49.2768,6.78434,0,0,1700575772
1,49.2565,6.76536,0,0,1700575772
1,49.2416,6.76056,0,0,1700575772
1,49.2084,6.76208,0,0,1700575772
1,49.1728,6.76088,0,0,1700575772
1,49.1464,6.77546,0,0,1700575772
1,49.1044,6.81783,0,0,1700575772
1,49.0445,6.84483,0,0,1700575772
1,48.9957,6.8281,0,0,1700575772
1,48.9618,6.79625,0,0,1700575772
1,48.9413,6.77778,0,0,1700575772
1,48.9367,6.78616,0,0,1700575772
1,48.9297,6.8046,0,0,1700575772
1,48.9276,6.80627,0,0,1700575772
1,48.9517,6.80611,0,0,1700575772
1,48.9877,6.82117,0,0,1700575772
1,49.0178,6.84756,0,0,1700575772
1,49.0432,6.87501,0,0,1700575772
1,49.0683,6.88953,0,0,1700575772
1,49.0739,6.89784,0,0,1700575772
1,49.0483,6.90978,0,0,1700575772
1,49.0288,6.91402,0,0,1700575772
1,49.0309,6.9034,0,0,1700575772
1,49.0255,6.89437,0,0,1700575772
1,49.0032,6.90351,0,0,1700575772
1,48.9881,6.91805,0,0,1700575772
1,49.0016,6.92715,0,0,1700575772
1,49.0265,6.93316,0,0,1700575772
1,49.0351,6.92559,0,0,1700575772
1,49.0365,6.90758,0,0,1700575772
1,49.0446,6.89718,0,0,1700575772
1,49.0445,6.89331,0,0,1700575772
1,49.0467,6.89221,0,0,1700575772
1,49.0626,6.89917,0,0,1700575772
1,49.0584,6.90385,0,0,1700575772
1,49.028,6.89264,0,0,1700575772
1,48.9938,6.87806,0,0,1700575772
1,48.9606,6.88192,0,0,1700575772
1,48.9308,6.90701,0,0,1700575772
1,48.9284,6.93968,0,0,1700575772
1,48.9611,6.96794,0,0,1700575772
1,48.9787,6.98166,0,0,1700575772
1,48.9653,6.97411,0,0,1700575772
1,48.9625,6.95747,0,0,1700575772
1,48.9728,6.94675,0,0,1700575772
1,48.9842,6.94556,0,0,1700575772
1,49.0023,6.96114,0,0,1700575772
1,49.0173,6.98728,0,0,1700575772
1,49.017,7.00026,0,0,1700575772
1,49.0206,6.99304,0,0,1700575772
1,49.0474,6.97905,0,0,1700575772
1,49.0712,6.97723,0,0,1700575772
1,49.0754,7.0011,0,0,1700575772
1,49.0851,6.99388,0,0,1700575772
1,49.1117,6.98674,0,0,1700575772
1,49.1423,7.01198,0,0,1700575772
1,49.1652,7.013,0,0,1700575772
1,49.1727,7.00965,0,0,1700575772
1,49.1628,7.02595,0,0,1700575772
1,49.1515,7.04502,0,0,1700575772
1,49.1554,7.04731,0,0,1700575772
1,49.1642,7.046,0,0,1700575772
1,49.1713,7.04287,0,0,1700575772
1,49.1853,7.03892,0,0,1700575772
1,49.2006,7.04372,0,0,1700575772
1,49.2142,7.04591,0,0,1700575772
1,49.2393,7.04425,0,0,1700575772
1,49.2711,7.05368,0,0,1700575772
1,49.2799,7.06842,0,0,1700575772
1,49.2645,7.07974,0,0,1700575772
1,49.2606,7.09033,0,0,1700575772
1,49.2653,7.09592,0,0,1700575772
1,49.2461,7.10079,0,0,1700575772
1,49.2127,7.11618,0,0,1700575772
1,49.197,7.12795,0,0,1700575772
1,49.1969,7.13078,0,0,1700575772
1,49.1851,7.14507,0,0,1700575772
1,49.1487,7.16345,0,0,1700575772
1,49.1058,7.16864,0,0,1700575772
1,49.091,7.17295,0,0,1700575772
1,49.102,7.18223,0,0,1700575772
1,49.0875,7.18552,0,0,1700575772
1,49.0369,7.18156,0,0,1700575772
1,48.9965,7.17132,0,0,1700575772
1,48.9739,7.15098,0,0,1700575772
1,48.9494,7.12829,0,0,1700575772
1,48.9311,7.11451,0,0,1700575772
1,48.9129,7.10442,0,0,1700575772
1,48.871,7.09343,0,0,1700575772
1,48.8092,7.08883,0,0,1700575772
1,48.7502,7.08861,0,0,1700575772
1,48.7068,7.08764,0,0,1700575772
1,48.6867,7.09514,0,0,1700575772
1,48.6954,7.11536,0,0,1700575772
1,48.7033,7.13515,0,0,1700575772
1,48.6753,7.14463,0,0,1700575772
1,48.6238,7.14939,0,0,1700575772
1,48.5734,7.15359,0,0,1700575772
1,48.5342,7.15059,0,0,1700575772
1,48.5227,7.14069,0,0,1700575772
1,48.5476,7.13742,0,0,1700575772
1,48.5811,7.14803,0,0,1700575772
1,48.5933,7.15858,0,0,1700575772
1,48.5899,7.15092,0,0,1700575772
1,48.5829,7.12924,0,0,1700575772
1,48.5662,7.11174,0,0,1700575772
1,48.5398,7.10378,0,0,1700575772
1,48.5198,7.09711,0,0,1700575772
1,48.5029,7.08896,0,0,1700575772
1,48.4809,7.08219,0,0,1700575772
