Sample,EIMMagnitude,EIMPhase,JointAngle,Mass,Time
1,87.0567,24.8566,0,0,1700576522
1,87.0567,24.8566,0,0,1700576522
1,76.8896,8.54477,0,0,1700576522
1,79.6476,31.0867,0,0,1700576522
1,73.6754,13.7206,0,0,1700576522
1,88.2197,8.41893,0,0,1700576522
1,68.2741,7.68456,0,0,1700576522
1,65.8752,19.5019,0,0,1700576522
1,75.865,22.0425,0,0,1700576522
1,98.1765,21.252,0,0,1700576522
1,85.1117,2.57456,0,0,1700576522
1,97.881,23.92,0,0,1700576522
1,90.1167,18.0476,0,0,1700576522
1,76.0032,16.3132,0,0,1700576522
1,94.3442,13.745,0,0,1700576522
1,60.3521,2.67464,0,0,1700576522
1,72.2535,3.27898,0,0,1700576522
1,78.2775,22.1818,0,0,1700576522
1,74.4217,3.08832,0,0,1700576522
1,74.5844,17.7962,0,0,1700576522
1,102.01,12.3416,0,0,1700576522
1,68.0766,5.45815,0,0,1700576522
1,71.1062,4.15557,0,0,1700576522
1,86.9353,1.29401,0,0,1700576522
1,76.3808,0.438269,0,0,1700576522
1,82.8135,2.36522,0,0,1700576522
1,72.4842,12.2543,0,0,1700576522
1,83.508,10.0746,0,0,1700576522
1,79.1138,6.95047,0,0,1700576522
1,77.1803,6.63646,0,0,1700576522
1,69.9775,21.2263,0,0,1700576522
1,95.2663,15.9131,0,0,1700576522
1,88.2978,5.96532,0,0,1700576522
1,66.2014,12.7844,0,0,1700576522
1,93.6598,21.0136,0,0,1700576522
1,69.2277,2.21879,0,0,1700576522
1,67.1328,15.2926,0,0,1700576522
1,63.1704,20.49,0,0,1700576522
1,83.8878,9.88069,0,0,1700576522
1,65.9268,19.3312,0,0,1700576522
1,60.7421,4.09077,0,0,1700576522
1,68.392,12.4634,0,0,1700576522
1,77.392,18.6633,0,0,1700576522
1,52.0169,6.45452,0,0,1700576522
1,89.2394,13.0655,0,0,1700576522
1,53.907,16.8757,0,0,1700576522
1,88.0945,18.2714,0,0,1700576522
1,75.8443,22.318,0,0,1700576522
1,102.244,8.76651,0,0,1700576522
1,64.0677,9.0483,0,0,1700576522
1,83.9474,10.493,0,0,1700576522
1,87.5273,4.73921,0,0,1700576522
1,79.2399,2.83252,0,0,1700576522
1,79.6767,16.2489,0,0,1700576522
1,86.7714,0.707529,0,0,1700576522
1,131.665,5.90793,0,0,1700576522
1,87.5845,6.88427,0,0,1700576522
1,92.29,16.4331,0,0,1700576522
1,97.2925,4.04293,0,0,1700576522
1,75.4989,15.4006,0,0,1700576522
1,81.5059,3.63181,0,0,1700576522
1,70.583,9.87801,0,0,1700576522
1,69.2825,31.558,0,0,1700576522
1,63.0706,10.3132,0,0,1700576522
1,79.7008,2.06361,0,0,1700576522
1,73.3122,11.8214,0,0,1700576522
1,88.1623,1.28423,0,0,1700576522
1,74.1599,9.21201,0,0,1700576522
1,79.9335,4.1071,0,0,1700576522
1,67.2712,6.3618,0,0,1700576522
1,86.2667,10.8107,0,0,1700576522
1,75.2766,19.2429,0,0,1700576522
1,77.8078,10.4831,0,0,1700576522
1,83.455,21.0087,0,0,1700576522
1,82.1931,0.590692,0,0,1700576522
1,63.8169,8.03866,0,0,1700576522
1,99.3344,11.8242,0,0,1700576522
1,74.6082,7.02845,0,0,1700576522
1,68.3189,4.91773,0,0,1700576522
1,65.109,17.1321,0,0,1700576522
1,92.1875,16.4653,0,0,1700576522
1,72.3787,5.79244,0,0,1700576522
1,91.6068,1.94912,0,0,1700576522
1,67.5443,1.95378,0,0,1700576522
1,56.9325,7.39784,0,0,1700576522
1,85.6364,3.72605,0,0,1700576522
1,73.8495,10.0741,0,0,1700576522
1,91.0703,20.1466,0,0,1700576522
1,76.5923,12.8799,0,0,1700576522
1,62.7069,12.8629,0,0,1700576522
1,68.74,3.58784,0,0,1700576522
1,69.4747,14.6467,0,0,1700576522
1,73.4852,3.46025,0,0,1700576522
1,75.4805,11.6383,0,0,1700576522
1,94.4961,21.5103,0,0,1700576522
1,71.2581,3.75671,0,0,1700576522
1,88.2083,16.8292,0,0,1700576522
1,63.4732,6.55382,0,0,1700576522
1,76.1069,16.0544,0,0,1700576522
1,76.4334,29.7853,0,0,1700576522
1,97.4647,8.41601,0,0,1700576522
1,85.9139,4.32632,0,0,1700576522
1,70.1471,6.32724,0,0,1700576522
1,80.2313,13.9545,0,0,1700576522
1,73.8428,1.53944,0,0,1700576522
1,51.6196,14.3134,0,0,1700576522
1,58.5887,17.3472,0,0,1700576522
1,80.6944,17.3486,0,0,1700576522
1,84.1037,1.36996,0,0,1700576522
1,75.47,10.9067,0,0,1700576522
1,91.2823,5.66627,0,0,1700576522
1,60.8132,7.28243,0,0,1700576522
1,74.4851,19.5775,0,0,1700576522
1,69.6584,7.09948,0,0,1700576522
1,83.1967,2.82183,0,0,1700576522
1,86.5547,7.89693,0,0,1700576522
1,71.1977,9.72125,0,0,1700576522
1,77.6581,0.449526,0,0,1700576522
1,67.4939,7.15775,0,0,1700576522
1,84.3487,4.46617,0,0,1700576522
1,86.3072,11.3211,0,0,1700576522
1,82.4972,6.981,0,0,1700576522
1,74.8478,15.4771,0,0,1700576522
1,48.3635,11.9046,0,0,1700576522
1,96.3709,2.34593,0,0,1700576522
1,76.7491,6.76174,0,0,1700576522
1,71.2936,1.81947,0,0,1700576522
1,87.6162,6.204,0,0,1700576522
1,82.0535,11.5893,0,0,1700576522
1,73.5069,5.96683,0,0,1700576522
1,73.5383,2.96411,0,0,1700576522
1,69.479,3.95159,0,0,1700576522
1,74.3594,10.5159,0,0,1700576522
1,71.8898,11.0543,0,0,1700576522
1,70.4782,4.67149,0,0,1700576522
1,84.6089,4.44368,0,0,1700576523
1,77.2515,10.1988,0,0,1700576523
1,78.3828,14.6076,0,0,1700576523
1,59.7357,11.4255,0,0,1700576523
1,75.5589,3.00384,0,0,1700576523
1,81.8242,12.0608,0,0,1700576523
1,89.81,4.31732,0,0,1700576523
1,69.9063,12.1844,0,0,1700576523
1,64.1141,6.39862,0,0,1700576523
1,63.4619,23.3565,0,0,1700576523
1,87.6894,15.7507,0,0,1700576523
1,86.5846,29.3079,0,0,1700576523
1,105.156,7.01407,0,0,1700576523
1,66.4925,13.9482,0,0,1700576523
1,99.5964,12.1256,0,0,1700576523
1,63.5182,5.92912,0,0,1700576523
1,80.5416,4.9208,0,0,1700576523
1,72.1145,5.8079,0,0,1700576523
1,89.7379,12.4697,0,0,1700576523
1,82.735,24.5275,0,0,1700576523
1,77.772,2.72178,0,0,1700576523
1,101.477,26.1064,0,0,1700576523
1,66.2911,20.2893,0,0,1700576523
1,73.0241,18.5568,0,0,1700576523
1,72.8367,3.59832,0,0,1700576523
1,66.1438,17.2215,0,0,1700576523
1,80.84,17.171,0,0,1700576523
1,79.6178,13.7997,0,0,1700576523
1,90.4219,0.787379,0,0,1700576523
1,73.1283,29.874,0,0,1700576523
1,62.9301,1.28064,0,0,1700576523
1,87.468,0.209304,0,0,1700576523
1,89.2582,1.78176,0,0,1700576523
1,59.7316,1.79836,0,0,1700576523
1,77.8358,2.54383,0,0,1700576523
1,80.9031,5.59838,0,0,1700576523
1,67.7565,4.66573,0,0,1700576523
1,84.648,1.35483,0,0,1700576523
1,103.147,19.1064,0,0,1700576523
1,63.0151,10.4269,0,0,1700576523
1,76.6277,6.67215,0,0,1700576523
1,85.3621,19.9537,0,0,1700576523
1,87.9576,7.91962,0,0,1700576523
1,101.239,3.1922,0,0,1700576523
1,106.911,15.764,0,0,1700576523
1,72.096,14.1892,0,0,1700576523
1,79.7943,0.859924,0,0,1700576523
1,76.834,16.519,0,0,1700576523
1,88.1652,25.7383,0,0,1700576523
1,65.7254,9.22777,0,0,1700576523
1,94.3687,18.9141,0,0,1700576523
1,82.7413,4.9926,0,0,1700576523
1,90.3065,13.1475,0,0,1700576523
1,89.736,4.47153,0,0,1700576523
1,69.6633,23.8127,0,0,1700576523
1,87.9691,12.3416,0,0,1700576523
1,65.0462,0.105029,0,0,1700576523
1,107.619,5.52373,0,0,1700576523
1,83.7459,8.47561,0,0,1700576523
1,72.3615,27.1268,0,0,1700576523
1,92.4717,8.62339,0,0,1700576523
1,54.9765,0.468376,0,0,1700576523
1,67.3353,2.37961,0,0,1700576523
1,76.3086,9.59912,0,0,1700576523
1,65.2171,11.2545,0,0,1700576523
1,65.3496,22.9175,0,0,1700576523
1,86.3041,8.14403,0,0,1700576523
1,69.3956,19.5126,0,0,1700576523
1,76.2709,4.69782,0,0,1700576523
1,73.5071,13.6965,0,0,1700576523
1,78.6411,11.5232,0,0,1700576523
1,106.433,9.70329,0,0,1700576523
1,100.741,8.39882,0,0,1700576523
1,67.2876,17.4165,0,0,1700576523
1,79.5142,27.8967,0,0,1700576523
1,73.6374,0.489599,0,0,1700576523
1,90.6133,14.9767,0,0,1700576523
1,88.7596,19.0367,0,0,1700576523
1,76.4572,14.1454,0,0,1700576523
1,78.0942,19.7238,0,0,1700576523
1,64.0406,1.56395,0,0,1700576523
1,75.2483,5.38683,0,0,1700576523
1,77.7,0.667799,0,0,1700576523
1,61.007,27.4648,0,0,1700576523
1,86.1587,17.2251,0,0,1700576523
1,70.8549,6.85507,0,0,1700576523
1,80.5795,5.91713,0,0,1700576523
1,53.279,1.05624,0,0,1700576523
1,84.2082,7.53221,0,0,1700576523
1,85.0722,12.408,0,0,1700576523
1,69.5876,15.2773,0,0,1700576523
1,75.7674,13.6978,0,0,1700576523
1,83.3413,4.61738,0,0,1700576523
1,83.3167,8.70569,0,0,1700576523
1,102.599,27.9727,0,0,1700576523
1,63.3771,0.508444,0,0,1700576523
1,61.9065,16.5807,0,0,1700576523
1,84.7157,7.78553,0,0,1700576523
1,65.043,9.98933,0,0,1700576523
1,54.6096,4.02184,0,0,1700576523
1,58.073,10.3591,0,0,1700576523
1,78.3096,0.978281,0,0,1700576523
1,81.1723,14.2325,0,0,1700576523
1,72.6013,3.78928,0,0,1700576523
1,62.8417,35.2761,0,0,1700576523
1,73.1823,26.7002,0,0,1700576523
1,97.3874,13.5357,0,0,1700576523
1,69.7336,10.5903,0,0,1700576523
1,80.5956,8.53209,0,0,1700576523
1,70.5268,3.54162,0,0,1700576523
1,82.2581,13.5524,0,0,1700576523
1,47.5945,3.30889,0,0,1700576523
1,82.6595,27.9536,0,0,1700576523
1,62.8485,6.84089,0,0,1700576523
1,84.8445,13.355,0,0,1700576523
1,78.7339,0.549123,0,0,1700576523
1,109.1,4.83668,0,0,1700576523
1,86.7281,0.768202,0,0,1700576523
1,72.2056,15.6909,0,0,1700576523
1,64.1998,4.61009,0,0,1700576523
1,88.6574,0.33827,0,0,1700576523
1,75.4427,15.3131,0,0,1700576523
1,80.2513,8.56738,0,0,1700576523
1,84.5078,2.49483,0,0,1700576523
1,87.7023,23.651,0,0,1700576523
1,76.4596,5.18467,0,0,1700576523
1,83.3566,11.6256,0,0,1700576523
1,59.4937,1.9008,0,0,1700576523
1,93.7126,0.809509,0,0,1700576523
1,91.9579,7.31351,0,0,1700576523
1,73.1901,9.44765,0,0,1700576523
1,82.3226,19.1707,0,0,1700576523
1,78.8875,12.3682,0,0,1700576523
1,88.0404,21.2712,0,0,1700576523
1,89.832,18.5843,0,0,1700576523
1,87.8825,13.4814,0,0,1700576523
1,61.972,6.77971,0,0,1700576523
1,89.3744,13.4752,0,0,1700576523
1,88.2948,17.0045,0,0,1700576523
