[177.66],['1700570723']
[177.65],['1700570724']
[177.47],['1700570724']
[177.5],['1700570724']
[177.35],['1700570724']
[177.36],['1700570724']
[177.35],['1700570724']
[177.27],['1700570724']
[177.32],['1700570724']
[177.41],['1700570724']
[177.34],['1700570724']
[177.33],['1700570724']
[177.23],['1700570724']
[177.22],['1700570724']
[177.19],['1700570724']
[177.08],['1700570724']
[176.78],['1700570725']
[176.58],['1700570725']
[175.43],['1700570725']
[174.36],['1700570725']
[171.82],['1700570725']
[170.23],['1700570725']
[168.93],['1700570725']
[167.12],['1700570725']
[166.44],['1700570725']
[164.93],['1700570725']
[163.43],['1700570725']
[162.19],['1700570725']
[161.17],['1700570725']
[159.88],['1700570725']
[158.27],['1700570725']
[154.8],['1700570726']
[152.34],['1700570726']
[150.67],['1700570726']
[148.],['1700570726']
[144.86],['1700570726']
[142.23],['1700570726']
[139.04],['1700570726']
[133.38],['1700570726']
[127.65],['1700570726']
[120.46],['1700570726']
[111.86],['1700570726']
[100.07],['1700570726']
[97.37],['1700570726']
[93.79],['1700570726']
[93.59],['1700570727']
[92.29],['1700570727']
[90.55],['1700570727']
[89.36],['1700570727']
[84.91],['1700570727']
[76.68],['1700570727']
[66.02],['1700570727']
[60.23],['1700570727']
[50.91],['1700570727']
[42.06],['1700570727']
[38.28],['1700570727']
[37.54],['1700570727']
[36.22],['1700570727']
[36.43],['1700570727']
[36.58],['1700570727']
[35.4],['1700570728']
[33.66],['1700570728']
[33.44],['1700570728']
[33.49],['1700570728']
[33.76],['1700570728']
[33.76],['1700570728']
[34.07],['1700570728']
[34.61],['1700570728']
[34.58],['1700570728']
[34.45],['1700570728']
[34.53],['1700570728']
[34.49],['1700570728']
[34.59],['1700570728']
[34.59],['1700570728']
[34.73],['1700570728']
[34.88],['1700570729']
[35.77],['1700570729']
[36.07],['1700570729']
[36.8],['1700570729']
[36.95],['1700570729']
[39.43],['1700570729']
[40.25],['1700570729']
[41.09],['1700570729']
[41.74],['1700570729']
[42.46],['1700570729']
[44.09],['1700570729']
[48.04],['1700570729']
[51.46],['1700570729']
[53.21],['1700570729']
[57.16],['1700570729']
[58.14],['1700570729']
[58.6],['1700570730']
[59.61],['1700570730']
[64.87],['1700570730']
[66.88],['1700570730']
[73.9],['1700570730']
[80.23],['1700570730']
[85.51],['1700570730']
[88.04],['1700570730']
[90.45],['1700570730']
[93.22],['1700570730']
[98.65],['1700570730']
[103.67],['1700570730']
[107.63],['1700570730']
[111.45],['1700570730']
[114.27],['1700570730']
[117.15],['1700570731']
[124.11],['1700570731']
[124.71],['1700570731']
[126.62],['1700570731']
[130.62],['1700570731']
[133.75],['1700570731']
[134.31],['1700570731']
[135.75],['1700570731']
[141.35],['1700570731']
[146.58],['1700570731']
[149.69],['1700570731']
[151.2],['1700570731']
[152.45],['1700570731']
[154.64],['1700570731']
[155.69],['1700570731']
[156.6],['1700570732']
[159.76],['1700570732']
[161.23],['1700570732']
[162.44],['1700570732']
[164.11],['1700570732']
[164.72],['1700570732']
[165.7],['1700570732']
[167.07],['1700570732']
[168.05],['1700570732']
[169.],['1700570732']
[169.53],['1700570732']
[169.68],['1700570732']
[169.98],['1700570732']
[170.7],['1700570732']
[171.17],['1700570732']
[171.68],['1700570733']
[171.57],['1700570733']
[171.31],['1700570733']
[171.66],['1700570733']
[171.81],['1700570733']
[171.62],['1700570733']
[171.78],['1700570733']
[172.18],['1700570733']
[172.55],['1700570733']
[172.68],['1700570733']
[172.68],['1700570733']
[172.85],['1700570733']
[172.9],['1700570733']
[173.04],['1700570733']
[173.39],['1700570733']
[173.46],['1700570734']
[173.55],['1700570734']
[173.85],['1700570734']
