Sample,EIMMagnitude,EIMPhase,JointAngle,Mass,Time
1,61.1653,8.62972,0,0,1700570903
1,69.744,17.4249,0,0,1700570903
1,64.1717,3.58932,0,0,1700570903
1,64.0354,8.38391,0,0,1700570903
1,62.711,20.6345,0,0,1700570903
1,64.6149,8.11231,0,0,1700570903
1,66.3837,6.02387,0,0,1700570903
1,60.1347,13.0674,0,0,1700570903
1,65.4493,7.4988,0,0,1700570903
1,77.6823,8.08693,0,0,1700570903
1,69.0004,5.71098,0,0,1700570903
1,82.752,1.07449,0,0,1700570903
1,74.2247,1.40412,0,0,1700570903
1,50.0779,10.012,0,0,1700570903
1,98.3039,4.76211,0,0,1700570903
1,84.7419,8.66125,0,0,1700570903
1,93.6328,19.6949,0,0,1700570903
1,72.7296,16.1094,0,0,1700570903
1,66.1644,2.97872,0,0,1700570903
1,71.8213,0.807555,0,0,1700570903
1,72.6024,12.4492,0,0,1700570903
1,59.7703,3.10911,0,0,1700570903
1,55.2464,12.5608,0,0,1700570903
1,78.6965,7.15743,0,0,1700570903
1,62.6083,0.637858,0,0,1700570903
1,53.3268,1.05896,0,0,1700570903
1,53.4637,10.6749,0,0,1700570903
1,69.8898,20.5507,0,0,1700570903
1,74.5239,0.0934544,0,0,1700570903
1,77.7016,20.4851,0,0,1700570903
1,54.2058,0.201627,0,0,1700570903
1,80.4928,2.89221,0,0,1700570903
1,72.1547,25.9978,0,0,1700570903
1,82.8943,1.51853,0,0,1700570903
1,77.7514,2.42365,0,0,1700570903
1,72.7904,6.76032,0,0,1700570903
1,60.8671,13.0191,0,0,1700570903
1,82.1958,12.7301,0,0,1700570903
1,63.6949,12.9888,0,0,1700570903
1,65.9987,4.22424,0,0,1700570903
1,76.7511,8.59713,0,0,1700570903
1,42.576,21.7476,0,0,1700570903
1,69.2023,10.7831,0,0,1700570903
1,79.6901,4.23312,0,0,1700570903
1,57.8002,3.65173,0,0,1700570903
1,76.0352,9.29199,0,0,1700570903
1,87.2134,3.68481,0,0,1700570903
1,81.3941,5.72386,0,0,1700570903
1,94.4494,7.6023,0,0,1700570903
1,62.9366,6.72395,0,0,1700570903
1,84.0612,21.0133,0,0,1700570903
1,69.813,8.83897,0,0,1700570903
1,85.3607,1.88601,0,0,1700570903
1,68.9304,0.749052,0,0,1700570903
1,56.3115,14.6115,0,0,1700570903
1,68.2965,25.031,0,0,1700570903
1,76.2764,3.31868,0,0,1700570903
1,73.9509,5.12332,0,0,1700570903
1,83.9507,24.1725,0,0,1700570903
1,77.9361,25.4714,0,0,1700570903
1,72.2742,8.6154,0,0,1700570903
1,79.1524,14.2471,0,0,1700570903
1,75.8328,5.85669,0,0,1700570903
1,95.5543,21.2462,0,0,1700570903
1,81.0457,13.1592,0,0,1700570903
1,87.2086,9.22901,0,0,1700570903
1,68.6435,17.2419,0,0,1700570903
1,70.5166,7.23811,0,0,1700570903
1,89.7522,10.273,0,0,1700570903
1,84.0498,3.756,0,0,1700570903
1,73.4478,2.9802,0,0,1700570903
1,70.7557,18.3267,0,0,1700570903
1,67.2936,9.70895,0,0,1700570903
1,73.6162,2.15076,0,0,1700570903
1,91.0814,8.45562,0,0,1700570903
1,94.4748,27.6875,0,0,1700570903
1,69.362,25.5315,0,0,1700570903
1,74.4499,16.4736,0,0,1700570903
1,71.8537,3.48984,0,0,1700570903
1,73.25,8.342,0,0,1700570903
1,66.4996,15.1269,0,0,1700570903
1,66.0794,0.997358,0,0,1700570903
1,72.6469,4.35465,0,0,1700570903
1,71.0387,11.0514,0,0,1700570903
1,66.8408,8.29347,0,0,1700570903
1,71.1292,2.56414,0,0,1700570903
1,66.3359,6.59617,0,0,1700570903
1,74.6665,13.603,0,0,1700570903
1,76.2475,14.1349,0,0,1700570903
1,80.2506,10.8481,0,0,1700570903
1,66.0566,11.5344,0,0,1700570903
1,71.0983,9.55371,0,0,1700570903
1,56.6573,20.9802,0,0,1700570903
1,49.3121,1.56696,0,0,1700570903
1,78.9422,18.9955,0,0,1700570903
1,66.9628,0.296551,0,0,1700570903
1,86.7906,18.831,0,0,1700570903
1,71.6707,14.4082,0,0,1700570903
1,72.7352,4.77302,0,0,1700570903
1,76.9966,31.4573,0,0,1700570903
1,60.7671,6.69646,0,0,1700570903
1,65.3224,21.0446,0,0,1700570903
1,69.6415,3.79465,0,0,1700570903
1,74.1063,1.21894,0,0,1700570903
1,96.6146,15.0447,0,0,1700570903
1,80.6874,2.10232,0,0,1700570903
1,64.583,2.67769,0,0,1700570903
1,83.8661,13.0563,0,0,1700570903
1,71.8813,4.34925,0,0,1700570903
1,86.0255,12.5688,0,0,1700570903
1,67.9529,5.95664,0,0,1700570903
1,82.5881,18.0765,0,0,1700570903
1,81.3453,7.56584,0,0,1700570903
1,58.1967,0.330491,0,0,1700570903
1,81.7936,21.609,0,0,1700570903
1,75.2771,5.47051,0,0,1700570903
1,64.4511,9.35231,0,0,1700570903
1,67.7758,7.26023,0,0,1700570903
1,70.1482,9.8368,0,0,1700570903
1,66.598,22.5797,0,0,1700570903
1,77.7123,12.6828,0,0,1700570903
1,56.8275,9.50996,0,0,1700570903
1,77.3293,9.48558,0,0,1700570903
1,72.0058,17.1581,0,0,1700570903
1,76.5392,3.89203,0,0,1700570903
1,70.2624,14.3621,0,0,1700570903
1,73.5306,11.9093,0,0,1700570903
1,62.7561,17.52,0,0,1700570903
1,84.0593,10.1257,0,0,1700570903
1,96.5246,3.09676,0,0,1700570903
1,68.3373,22.0098,0,0,1700570903
1,63.1165,8.18173,0,0,1700570903
1,83.0216,2.19404,0,0,1700570903
1,82.9536,1.699,0,0,1700570903
1,80.9973,0.120822,0,0,1700570903
1,70.3182,8.63743,0,0,1700570903
1,81.0357,25.2203,0,0,1700570903
1,80.4029,12.9462,0,0,1700570903
1,78.5497,14.7018,0,0,1700570903
1,73.172,8.65756,0,0,1700570903
1,76.384,12.651,0,0,1700570903
1,52.7797,2.30792,0,0,1700570903
1,57.5363,1.60983,0,0,1700570903
1,88.1737,11.5828,0,0,1700570903
1,80.5404,0.133943,0,0,1700570903
1,81.1302,26.1672,0,0,1700570903
1,72.8977,22.8618,0,0,1700570903
1,82.248,15.5979,0,0,1700570903
1,55.4509,3.46092,0,0,1700570903
1,63.7644,11.3428,0,0,1700570903
1,88.1961,17.1743,0,0,1700570903
1,81.0156,7.83949,0,0,1700570903
1,67.2545,11.3502,0,0,1700570903
1,66.6243,6.81677,0,0,1700570903
1,65.5903,19.535,0,0,1700570903
1,89.1194,11.6805,0,0,1700570903
1,64.8302,6.44937,0,0,1700570903
1,94.1495,42.2731,0,0,1700570903
1,65.0401,19.4872,0,0,1700570903
1,91.4085,1.13469,0,0,1700570903
1,50.6179,20.977,0,0,1700570903
1,65.8792,3.54317,0,0,1700570903
1,90.8637,23.6808,0,0,1700570903
1,84.1621,7.48578,0,0,1700570903
1,65.2474,6.63787,0,0,1700570903
1,74.3456,12.7062,0,0,1700570903
1,68.2488,7.62129,0,0,1700570903
1,79.1248,9.05786,0,0,1700570903
1,56.0464,5.38295,0,0,1700570903
1,55.656,3.32339,0,0,1700570903
1,97.7202,5.16582,0,0,1700570903
1,65.3528,21.5752,0,0,1700570903
1,85.6404,6.85354,0,0,1700570903
1,47.8913,13.1218,0,0,1700570903
1,89.3347,13.2371,0,0,1700570903
1,78.2968,9.36459,0,0,1700570903
1,71.2501,21.6427,0,0,1700570903
1,73.1794,1.03476,0,0,1700570903
1,75.2799,0.247464,0,0,1700570903
1,81.6629,15.4925,0,0,1700570903
1,80.7431,0.769692,0,0,1700570903
1,73.571,14.2072,0,0,1700570903
1,60.4029,34.6416,0,0,1700570903
1,58.0653,12.0318,0,0,1700570903
1,50.049,11.769,0,0,1700570903
1,84.5496,9.33593,0,0,1700570903
1,95.8201,8.22266,0,0,1700570903
1,79.0782,5.25202,0,0,1700570903
1,79.8198,8.31758,0,0,1700570903
1,85.6607,7.51949,0,0,1700570903
1,77.7964,3.62326,0,0,1700570903
1,89.0291,0.026343,0,0,1700570903
1,82.3777,12.0547,0,0,1700570903
1,70.6156,17.3346,0,0,1700570903
1,51.8671,7.47234,0,0,1700570903
1,65.6472,16.6929,0,0,1700570903
1,67.5864,1.53572,0,0,1700570903
1,107.209,10.7044,0,0,1700570903
1,65.4971,1.7788,0,0,1700570903
1,75.783,4.54524,0,0,1700570903
1,67.5828,22.9855,0,0,1700570903
1,65.6886,3.78298,0,0,1700570903
1,65.7885,8.75277,0,0,1700570903
1,71.5057,14.7755,0,0,1700570903
1,59.7749,4.89749,0,0,1700570903
1,56.0298,14.6938,0,0,1700570903
1,59.6246,13.3621,0,0,1700570903
1,83.7697,19.802,0,0,1700570903
1,78.6858,14.3258,0,0,1700570903
1,63.4653,14.3312,0,0,1700570903
1,66.5192,2.12296,0,0,1700570903
1,78.3336,7.25985,0,0,1700570903
1,71.8299,2.12554,0,0,1700570903
1,73.1934,6.88283,0,0,1700570903
1,57.0432,14.1626,0,0,1700570903
1,88.4003,5.65557,0,0,1700570903
1,79.7099,4.2541,0,0,1700570903
1,80.7532,2.97429,0,0,1700570903
1,101.473,8.61619,0,0,1700570903
1,85.3036,21.6016,0,0,1700570903
1,76.827,2.50526,0,0,1700570903
1,79.5893,28.5228,0,0,1700570903
1,83.3448,6.87798,0,0,1700570903
1,89.1447,21.0529,0,0,1700570903
1,64.741,10.9436,0,0,1700570903
1,78.3062,11.2543,0,0,1700570903
1,78.6536,12.1857,0,0,1700570903
1,86.4853,25.5534,0,0,1700570903
1,64.3261,13.2914,0,0,1700570903
1,78.9826,1.65425,0,0,1700570903
1,52.7733,7.89036,0,0,1700570903
1,61.7367,19.1143,0,0,1700570903
1,91.7363,16.7067,0,0,1700570903
1,79.7606,17.9817,0,0,1700570903
1,90.0767,5.6013,0,0,1700570903
1,74.3759,14.9545,0,0,1700570903
1,106.356,8.03575,0,0,1700570903
1,64.1356,10.3868,0,0,1700570903
1,66.0252,10.2714,0,0,1700570903
1,64.2784,3.82526,0,0,1700570903
1,86.9203,15.1001,0,0,1700570903
1,64.7564,15.0769,0,0,1700570903
1,85.3734,9.82457,0,0,1700570903
1,63.1348,1.24434,0,0,1700570903
1,80.7498,0.112077,0,0,1700570903
1,87.3122,10.4424,0,0,1700570903
1,99.9295,7.63328,0,0,1700570903
1,75.3022,9.36287,0,0,1700570903
1,68.2487,24.1895,0,0,1700570903
1,72.9545,14.8678,0,0,1700570903
1,67.529,2.46275,0,0,1700570903
1,76.7455,16.3494,0,0,1700570903
1,55.305,3.00671,0,0,1700570903
1,73.324,14.8659,0,0,1700570903
1,47.8958,5.75844,0,0,1700570903
1,68.0154,24.8434,0,0,1700570903
1,77.7997,9.2843,0,0,1700570903
1,62.3419,13.4549,0,0,1700570903
1,76.7697,9.58539,0,0,1700570903
1,67.4159,15.0585,0,0,1700570903
1,72.38,7.08476,0,0,1700570903
1,77.3132,6.98859,0,0,1700570903
1,68.7946,7.14498,0,0,1700570903
1,64.1018,3.72669,0,0,1700570903
1,77.034,10.8741,0,0,1700570903
1,87.437,11.588,0,0,1700570903
1,64.7528,22.762,0,0,1700570903
1,54.2241,16.4065,0,0,1700570903
1,56.6647,4.20061,0,0,1700570903
1,67.8537,3.01767,0,0,1700570903
1,55.108,14.0114,0,0,1700570903
1,93.1461,14.2634,0,0,1700570903
1,62.4642,6.74323,0,0,1700570903
1,55.2408,5.39086,0,0,1700570903
1,51.7586,3.11915,0,0,1700570903
1,78.2359,0.963544,0,0,1700570903
1,72.7975,1.53481,0,0,1700570903
1,67.8967,17.212,0,0,1700570903
1,76.2103,19.6233,0,0,1700570903
1,69.2388,9.71698,0,0,1700570903
1,61.8418,25.5034,0,0,1700570903
1,70.5902,7.17692,0,0,1700570903
1,57.5459,6.04632,0,0,1700570903
1,73.3983,12.268,0,0,1700570903
1,64.3697,4.59084,0,0,1700570903
1,75.4654,16.0297,0,0,1700570903
1,57.2304,14.8203,0,0,1700570903
1,65.0172,12.5937,0,0,1700570903
1,98.5624,9.87514,0,0,1700570903
1,57.5351,0.872136,0,0,1700570903
1,48.2426,3.45253,0,0,1700570903
1,65.478,15.5175,0,0,1700570903
1,78.092,17.214,0,0,1700570903
1,61.2239,5.79147,0,0,1700570903
1,76.6882,5.03307,0,0,1700570903
1,67.1133,19.99,0,0,1700570903
1,82.099,4.29185,0,0,1700570903
1,63.4838,13.8328,0,0,1700570903
1,51.2626,12.7744,0,0,1700570903
1,95.144,13.3853,0,0,1700570903
1,66.1756,12.6889,0,0,1700570903
1,80.0382,12.9395,0,0,1700570903
1,78.0591,0.91283,0,0,1700570903
1,67.3919,22.3918,0,0,1700570903
1,62.4747,9.23528,0,0,1700570903
1,77.9356,1.94679,0,0,1700570903
1,90.1339,8.39889,0,0,1700570903
1,73.5087,8.54017,0,0,1700570903
1,51.6938,20.1358,0,0,1700570903
1,83.1342,14.6987,0,0,1700570903
1,80.2045,22.5967,0,0,1700570903
1,85.2611,17.9021,0,0,1700570903
1,92.5232,8.02294,0,0,1700570903
1,64.8395,3.06988,0,0,1700570903
1,63.8003,2.77495,0,0,1700570903
1,78.5012,21.613,0,0,1700570903
1,59.5607,9.84217,0,0,1700570903
1,58.4826,21.0425,0,0,1700570903
1,68.427,0.00178764,0,0,1700570903
1,91.7344,9.04266,0,0,1700570903
1,96.0101,8.73842,0,0,1700570903
1,98.7441,19.7415,0,0,1700570903
1,68.7413,6.78191,0,0,1700570903
1,65.5275,18.5007,0,0,1700570903
1,59.8708,8.79548,0,0,1700570903
1,69.3037,15.5038,0,0,1700570903
1,93.493,12.434,0,0,1700570903
1,66.163,21.7739,0,0,1700570903
1,73.9776,11.8476,0,0,1700570903
1,72.9269,17.9004,0,0,1700570903
1,66.7293,15.0193,0,0,1700570903
1,73.0239,7.34465,0,0,1700570903
1,69.1739,9.27407,0,0,1700570903
1,76.5152,5.2604,0,0,1700570903
1,63.5598,6.35046,0,0,1700570903
1,76.4123,1.13842,0,0,1700570903
1,97.2447,13.5271,0,0,1700570903
1,78.2352,9.9233,0,0,1700570903
1,64.0465,18.0439,0,0,1700570903
1,84.7911,15.6539,0,0,1700570903
1,75.3213,4.38072,0,0,1700570903
1,108.497,2.22033,0,0,1700570903
1,70.3359,4.95784,0,0,1700570903
1,84.8033,14.9984,0,0,1700570903
1,65.407,6.58431,0,0,1700570903
1,65.3012,18.5625,0,0,1700570904
1,67.4752,16.4575,0,0,1700570904
1,81.7687,11.1651,0,0,1700570904
1,60.5706,10.8764,0,0,1700570904
1,84.8137,11.8846,0,0,1700570904
1,72.9401,8.7719,0,0,1700570904
1,90.2889,4.11014,0,0,1700570904
1,81.7225,7.21733,0,0,1700570904
1,62.9031,25.9839,0,0,1700570904
1,73.5723,17.496,0,0,1700570904
1,62.4898,14.7362,0,0,1700570904
1,76.5513,0.254285,0,0,1700570904
1,77.1533,3.27159,0,0,1700570904
1,56.0615,16.3868,0,0,1700570904
1,85.5845,23.33,0,0,1700570904
1,84.8694,2.22452,0,0,1700570904
1,109.385,17.0517,0,0,1700570904
1,66.4604,12.9193,0,0,1700570904
1,60.9193,1.80468,0,0,1700570904
1,62.5688,4.06603,0,0,1700570904
1,97.0306,6.79325,0,0,1700570904
1,71.8056,5.92164,0,0,1700570904
1,89.922,2.48822,0,0,1700570904
1,59.8616,14.5917,0,0,1700570904
1,68.5628,9.02048,0,0,1700570904
1,67.4502,2.78843,0,0,1700570904
1,56.9162,6.47882,0,0,1700570904
1,74.1777,0.926631,0,0,1700570904
1,98.2678,15.6556,0,0,1700570904
1,55.5166,2.3363,0,0,1700570904
1,79.0939,29.3316,0,0,1700570904
1,78.1959,1.61094,0,0,1700570904
1,98.7809,8.42185,0,0,1700570904
1,70.6615,1.58713,0,0,1700570904
1,55.0942,18.8069,0,0,1700570904
1,85.3689,14.3785,0,0,1700570904
1,72.6,18.2397,0,0,1700570904
1,63.7673,5.55545,0,0,1700570904
1,60.9692,4.88286,0,0,1700570904
1,71.6425,10.8422,0,0,1700570904
1,61.884,16.4951,0,0,1700570904
1,58.5282,4.5753,0,0,1700570904
1,95.4203,14.2385,0,0,1700570904
1,55.7821,21.893,0,0,1700570904
1,79.2215,0.695182,0,0,1700570904
1,70.8138,18.1109,0,0,1700570904
1,69.4315,2.14653,0,0,1700570904
1,54.3824,4.87064,0,0,1700570904
1,73.0644,9.11169,0,0,1700570904
1,59.193,12.7311,0,0,1700570904
1,65.03,9.32352,0,0,1700570904
1,69.1904,1.24455,0,0,1700570904
1,57.3445,17.2868,0,0,1700570904
1,75.2543,15.5574,0,0,1700570904
1,74.5077,6.13307,0,0,1700570904
1,84.2612,9.13119,0,0,1700570904
1,78.4222,16.0298,0,0,1700570904
1,65.4829,18.7819,0,0,1700570904
1,49.1739,0.328777,0,0,1700570904
1,80.5135,0.496792,0,0,1700570904
1,106.674,2.50055,0,0,1700570904
1,65.105,1.16822,0,0,1700570904
1,62.2867,0.787996,0,0,1700570904
1,71.8696,0.912616,0,0,1700570904
1,53.1397,1.95186,0,0,1700570904
1,61.7083,2.91094,0,0,1700570904
1,64.3134,23.3877,0,0,1700570904
1,84.4346,18.8674,0,0,1700570904
1,88.1214,3.53356,0,0,1700570904
1,73.3827,29.0944,0,0,1700570904
1,64.5029,12.2519,0,0,1700570904
1,70.2904,2.26263,0,0,1700570904
1,68.9595,25.8823,0,0,1700570904
1,93.4012,5.081,0,0,1700570904
1,61.6549,6.07253,0,0,1700570904
1,80.1201,13.6461,0,0,1700570904
1,83.7193,24.7244,0,0,1700570904
1,57.1935,5.4332,0,0,1700570904
1,73.0518,16.8381,0,0,1700570904
1,63.6527,8.17074,0,0,1700570904
1,75.3064,0.597165,0,0,1700570904
1,85.1444,10.8176,0,0,1700570904
1,60.7629,7.25758,0,0,1700570904
1,53.8958,18.8032,0,0,1700570904
1,81.067,17.9909,0,0,1700570904
1,70.8975,4.49904,0,0,1700570904
1,73.7304,7.94372,0,0,1700570904
1,94.1692,13.3837,0,0,1700570904
1,77.4653,10.3632,0,0,1700570904
1,74.1578,5.104,0,0,1700570904
1,114.127,12.2996,0,0,1700570904
1,79.3025,13.8522,0,0,1700570904
1,91.9542,24.7888,0,0,1700570904
1,66.7639,14.9779,0,0,1700570904
1,70.237,2.21177,0,0,1700570904
1,90.6309,30.657,0,0,1700570904
1,70.9196,6.85337,0,0,1700570904
1,77.0322,16.5745,0,0,1700570904
1,71.0458,16.8538,0,0,1700570904
1,70.2774,3.64386,0,0,1700570904
1,66.017,11.4073,0,0,1700570904
1,75.1281,11.7852,0,0,1700570904
1,76.9262,21.6252,0,0,1700570904
1,62.9617,11.1605,0,0,1700570904
1,85.0855,6.16321,0,0,1700570904
1,117.886,14.3102,0,0,1700570904
1,87.4465,17.3816,0,0,1700570904
1,66.7901,12.3523,0,0,1700570904
1,73.1935,6.05488,0,0,1700570904
1,88.5703,3.74017,0,0,1700570904
1,63.9173,7.21423,0,0,1700570904
1,72.7337,14.7952,0,0,1700570904
1,78.3625,9.32185,0,0,1700570904
1,75.3895,3.53842,0,0,1700570904
1,62.3721,2.16033,0,0,1700570904
1,61.2132,9.69033,0,0,1700570904
1,52.0678,3.55042,0,0,1700570904
1,69.8962,11.8256,0,0,1700570904
1,69.2169,12.8727,0,0,1700570904
1,79.7186,14.3761,0,0,1700570904
1,70.1771,9.06063,0,0,1700570904
1,89.1791,3.07662,0,0,1700570904
1,88.4983,20.9259,0,0,1700570904
1,87.5128,2.44836,0,0,1700570904
1,87.9118,9.72923,0,0,1700570904
1,99.5804,15.8708,0,0,1700570904
1,66.035,10.0603,0,0,1700570904
1,72.137,13.8943,0,0,1700570904
1,76.2678,1.84126,0,0,1700570904
1,66.3314,2.77795,0,0,1700570904
1,77.1626,6.50279,0,0,1700570904
1,88.9018,1.69843,0,0,1700570904
1,66.7872,24.756,0,0,1700570904
